Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,stimulated,libraryprepmethod,experiment type
SRR17694809,17634961,705398440,40,277,SRX13857988,GSM5830099,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732917,SAMN25159651,simple,10090,Mus musculus,GSM5830099,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,mi1RNA: miR-1 transduced cortical culture RNA,cortical culture DIV 14,cortical culture DIV 14,NA,RNA-seq,microRNA experiment
SRR17694808,46312100,1852484000,40,721,SRX13857989,GSM5830100,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732919,SAMN25159650,simple,10090,Mus musculus,GSM5830100,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,m15RNA: miR-155 transduced cortical culture RNA,cortical culture DIV 14,cortical culture DIV 14,NA,RNA-seq,microRNA experiment
SRR17694807,8887792,355511680,40,140,SRX13857990,GSM5830101,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732918,SAMN25159649,simple,10090,Mus musculus,GSM5830101,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,gfpRPF: GFP transduced cortical culture RPF,cortical culture DIV 14,cortical culture DIV 14,NA,Ribosome profiling,microRNA experiment
SRR17694806,2015775,80631000,40,32,SRX13857991,GSM5830102,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732920,SAMN25159648,simple,10090,Mus musculus,GSM5830102,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,mi1RPF: miR-155 transduced cortical culture RPF,cortical culture DIV 14,cortical culture DIV 14,NA,Ribosome profiling,microRNA experiment
SRR17694805,17065368,682614720,40,266,SRX13857992,GSM5830103,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732922,SAMN25159647,simple,10090,Mus musculus,GSM5830103,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,m15RPF: miR-1 transduced cortical culture RPF,cortical culture DIV 14,cortical culture DIV 14,NA,Ribosome profiling,microRNA experiment
SRR17694804,22237525,6671257500,50,2236,SRX13857993,GSM5830104,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732921,SAMN25159646,simple,10090,Mus musculus,GSM5830104,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,cntrb_TAI: BDNF and glugly stim control tail lengths,cortical culture DIV 14,cortical culture DIV 14,No,TAIL-seq,BDNF/Glugly experiment
SRR17694803,23153224,6945967200,50,2331,SRX13857994,GSM5830105,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732923,SAMN25159645,simple,10090,Mus musculus,GSM5830105,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,bdnfs_TAI: BDNF stim tail lengths,cortical culture DIV 14,cortical culture DIV 14,Yes,TAIL-seq,BDNF/Glugly experiment
SRR17694802,17169259,5150777700,50,1735,SRX13857995,GSM5830106,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732924,SAMN25159644,simple,10090,Mus musculus,GSM5830106,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,glugl_TAI: Glugly stim tail lengths,cortical culture DIV 14,cortical culture DIV 14,Yes,TAIL-seq,BDNF/Glugly experiment
SRR17694801,13184123,3955236900,50,1333,SRX13857996,GSM5830107,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732926,SAMN25159643,simple,10090,Mus musculus,GSM5830107,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 10,cntrk_TAI: KCl stim control tail lengths,cortical culture DIV 10,cortical culture DIV 10,No,TAIL-seq,KCl experiment
SRR17694799,12056552,3616965600,50,1219,SRX13857997,GSM5830108,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732925,SAMN25159642,simple,10090,Mus musculus,GSM5830108,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 10,kcl10_TAI: KCl stim 10 min tail lengths,cortical culture DIV 10,cortical culture DIV 10,Yes,TAIL-seq,KCl experiment
SRR17694798,15572499,4671749700,50,1571,SRX13857998,GSM5830109,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732927,SAMN25159641,simple,10090,Mus musculus,GSM5830109,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 10,kcl30_TAI: KCl stim 30 min tail lengths,cortical culture DIV 10,cortical culture DIV 10,Yes,TAIL-seq,KCl experiment
SRR17694797,4801128,1440338400,50,566,SRX13857999,GSM5830110,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732929,SAMN25159640,simple,10090,Mus musculus,GSM5830110,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,LightStim visual cortex 0hr,LightStim0hrSample1: LightStim visual cortex 0hr Sample 1 tail lengths [PAL-seq V2],LightStim visual cortex 0hr,visual cortex,No,PAL-seq V2,Light stimulation experiment
SRR17694800,14470604,4341181200,50,1711,SRX13858000,GSM5830111,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732928,SAMN25159639,simple,10090,Mus musculus,GSM5830111,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,LightStim visual cortex 0hr,LightStim0hrSample2: LightStim visual cortex 0hr Sample 2 tail lengths [PAL-seq V2],LightStim visual cortex 0hr,visual cortex,No,PAL-seq V2,Light stimulation experiment
SRR17694796,4813351,1444005300,50,556,SRX13858001,GSM5830112,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732930,SAMN25159638,simple,10090,Mus musculus,GSM5830112,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,LightStim visual cortex 0hr,LightStim0hrSample3: LightStim visual cortex 0hr Sample 3 tail lengths [PAL-seq V2],LightStim visual cortex 0hr,visual cortex,No,PAL-seq V2,Light stimulation experiment
SRR17694795,4505584,1351675200,50,523,SRX13858002,GSM5830113,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732932,SAMN25159637,simple,10090,Mus musculus,GSM5830113,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,LightStim visual cortex 0hr,LightStim0hrSample4: LightStim visual cortex 0hr Sample 4 tail lengths [PAL-seq V2],LightStim visual cortex 0hr,visual cortex,No,PAL-seq V2,Light stimulation experiment
SRR17694794,4539778,1361933400,50,533,SRX13858003,GSM5830114,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732931,SAMN25159636,simple,10090,Mus musculus,GSM5830114,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,LightStim visual cortex 1hr,LightStim1hrSample1: LightStim visual cortex 1hr Sample 1 tail lengths [PAL-seq V2],LightStim visual cortex 1hr,visual cortex,Yes,PAL-seq V2,Light stimulation experiment
SRR17694793,5032230,1509669000,50,593,SRX13858004,GSM5830115,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732933,SAMN25159635,simple,10090,Mus musculus,GSM5830115,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,LightStim visual cortex 1hr,LightStim1hrSample2: LightStim visual cortex 1hr Sample 2 tail lengths [PAL-seq V2],LightStim visual cortex 1hr,visual cortex,Yes,PAL-seq V2,Light stimulation experiment
SRR17694792,5307047,1592114100,50,632,SRX13858005,GSM5830116,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732935,SAMN25159634,simple,10090,Mus musculus,GSM5830116,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,LightStim visual cortex 1hr,LightStim1hrSample3: LightStim visual cortex 1hr Sample 3 tail lengths [PAL-seq V2],LightStim visual cortex 1hr,visual cortex,Yes,PAL-seq V2,Light stimulation experiment
SRR17694791,5653434,1696030200,50,658,SRX13858006,GSM5830117,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732934,SAMN25159633,simple,10090,Mus musculus,GSM5830117,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,LightStim visual cortex 1hr,LightStim1hrSample4: LightStim visual cortex 1hr Sample 4 tail lengths [PAL-seq V2],LightStim visual cortex 1hr,visual cortex,Yes,PAL-seq V2,Light stimulation experiment
SRR17694790,13734445,4120333500,50,2200,SRX13858007,GSM5830118,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732936,SAMN25159632,simple,10090,Mus musculus,GSM5830118,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,Adult hippocampus,aduhp_TAI: Adult hippocampus tissue tail lengths [PAL-seq V2],Adult hippocampus,Adult hippocampus,NA,PAL-seq V2,Tissue dissection
SRR17694789,8448500,2534550000,50,1455,SRX13858008,GSM5830119,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732938,SAMN25159631,simple,10090,Mus musculus,GSM5830119,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,Embryonic hippocampus,embhp_TAI: Embryonic hippocampus tissue tail lengths [PAL-seq V2],Embryonic hippocampus,Embryonic hippocampus,NA,PAL-seq V2,Tissue dissection
SRR17694788,14475306,4342591800,50,1462,SRX13858009,GSM5830120,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732937,SAMN25159630,simple,10090,Mus musculus,GSM5830120,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,Adult cortex,aduco_TAI: Adult cortex tissue tail lengths,Adult cortex,Adult cortex,NA,TAIL-seq,Tissue dissection
SRR17694787,9795864,2938759200,50,989,SRX13858010,GSM5830121,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732939,SAMN25159629,simple,10090,Mus musculus,GSM5830121,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,gfpTAI: GFP transduced cortical culture tail lengths,cortical culture DIV 14,cortical culture DIV 14,NA,TAIL-seq,microRNA experiment
SRR17694786,11548003,3464400900,50,1166,SRX13858011,GSM5830122,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732940,SAMN25159628,simple,10090,Mus musculus,GSM5830122,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,mi1TAI: miR-1 transduced cortical culture tail lengths,cortical culture DIV 14,cortical culture DIV 14,NA,TAIL-seq,microRNA experiment
SRR17694785,12018738,3605621400,50,1214,SRX13858012,GSM5830123,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732941,SAMN25159627,simple,10090,Mus musculus,GSM5830123,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,m15TAI: miR-155 transduced cortical culture tail lengths,cortical culture DIV 14,cortical culture DIV 14,NA,TAIL-seq,microRNA experiment
