Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,strain/genotype,drug treatment,GEO Accession
SRR4450343,44551701,2227585050,50,1341,SRX2268420,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759627,SAMN05941901,simple,10090,Mus musculus,GSM2360191,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB008B_dotflaA_WT,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360191
SRR4450344,44922721,2246136050,50,1349,SRX2268421,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759626,SAMN05941900,simple,10090,Mus musculus,GSM2360192,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RKVB008C_flaA_Myd88,Bone Marrow Macrophages,Bone Marrow Macrophages,Myd88-/-,none,GSM2360192
SRR4450345,36949689,1847484450,50,1116,SRX2268422,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759628,SAMN05941899,simple,10090,Mus musculus,GSM2360193,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB008D_dotflaA_Myd88,Bone Marrow Macrophages,Bone Marrow Macrophages,Myd88-/-,none,GSM2360193
SRR4450346,50216880,5021688000,100,3236,SRX2268423,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759629,SAMN05941898,simple,10090,Mus musculus,GSM2360194,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB010A_uninf_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360194
SRR4450347,64378166,6437816600,100,4167,SRX2268424,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759630,SAMN05941897,simple,10090,Mus musculus,GSM2360195,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB010B_flaA_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360195
SRR4450348,54134907,5413490700,100,3498,SRX2268425,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759631,SAMN05941896,simple,10090,Mus musculus,GSM2360196,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB010C_dotflaA_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360196
SRR4450350,59009306,5900930600,100,3808,SRX2268426,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759632,SAMN05941912,simple,10090,Mus musculus,GSM2360197,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB010D_7flaA_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360197
SRR4450351,43447862,2172393100,50,1325,SRX2268427,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759633,SAMN05941895,simple,10090,Mus musculus,GSM2360198,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB016A_uninf,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360198
SRR4450352,41819591,2090979550,50,1258,SRX2268428,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759634,SAMN05941894,simple,10090,Mus musculus,GSM2360199,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB016B_uninf_harr,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),harringtonine,GSM2360199
SRR4450353,39181051,1959052550,50,1177,SRX2268429,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759635,SAMN05941892,simple,10090,Mus musculus,GSM2360200,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB016C_flaA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360200
SRR4450354,43834723,2191736150,50,1352,SRX2268430,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759636,SAMN05941891,simple,10090,Mus musculus,GSM2360201,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB016D_flaA_harr,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),harringtonine,GSM2360201
SRR4450355,42683398,2134169900,50,1325,SRX2268431,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759637,SAMN05941890,simple,10090,Mus musculus,GSM2360202,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB017A_dotflaA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360202
SRR4450356,39551545,1977577250,50,1239,SRX2268432,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759638,SAMN05941889,simple,10090,Mus musculus,GSM2360203,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB017B_dotflaA_harr,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),harringtonine,GSM2360203
SRR4450357,66438021,3321901050,50,2030,SRX2268433,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759639,SAMN05941888,simple,10090,Mus musculus,GSM2360204,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB017C_7flaA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360204
SRR4450358,32578955,1628947750,50,995,SRX2268434,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759641,SAMN05941887,simple,10090,Mus musculus,GSM2360205,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB017D_7flaA_harr,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),harringtonine,GSM2360205
SRR4450359,84286684,8428668400,100,2818,SRX2268435,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759640,SAMN05941886,simple,10090,Mus musculus,GSM2360206,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB018A_uninf_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360206
SRR4450360,87529368,8752936800,100,2935,SRX2268436,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759642,SAMN05941885,simple,10090,Mus musculus,GSM2360207,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB018B_flaA_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360207
SRR4450361,93056769,9305676900,100,3155,SRX2268437,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759643,SAMN05941884,simple,10090,Mus musculus,GSM2360208,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB018C_dotflaA_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360208
SRR4450362,93925785,9392578500,100,3145,SRX2268438,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759644,SAMN05941883,simple,10090,Mus musculus,GSM2360209,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB018D_7flaA_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360209
SRR4450363,60465961,3023298050,50,1783,SRX2268439,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759645,SAMN05941882,simple,10090,Mus musculus,GSM2360210,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB019A_uninf_Myd88,Bone Marrow Macrophages,Bone Marrow Macrophages,Myd88-/-,none,GSM2360210
SRR4450364,49424521,2471226050,50,1454,SRX2268440,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759646,SAMN05941881,simple,10090,Mus musculus,GSM2360211,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB019B_flaA_Myd88,Bone Marrow Macrophages,Bone Marrow Macrophages,Myd88-/-,none,GSM2360211
SRR4450365,53139301,2656965050,50,1558,SRX2268441,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759647,SAMN05941922,simple,10090,Mus musculus,GSM2360212,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB019C_dotflaA_Myd88,Bone Marrow Macrophages,Bone Marrow Macrophages,Myd88-/-,none,GSM2360212
SRR4450366,49401135,2470056750,50,1444,SRX2268442,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759648,SAMN05941921,simple,10090,Mus musculus,GSM2360213,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB020A_uninf_WT,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360213
SRR4450367,41800231,2090011550,50,1231,SRX2268443,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759649,SAMN05941920,simple,10090,Mus musculus,GSM2360214,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB020B_flaA_WT,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360214
SRR4450368,62084290,3104214500,50,1815,SRX2268444,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759650,SAMN05941919,simple,10090,Mus musculus,GSM2360215,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB020C_dotflaA_WT,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360215
SRR4450369,116202746,11620274600,100,3959,SRX2268445,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759651,SAMN05941918,simple,10090,Mus musculus,GSM2360216,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB021A_uninf_Myd88_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,Myd88-/-,none,GSM2360216
SRR4450370,118175005,11817500500,100,4045,SRX2268446,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759653,SAMN05941917,simple,10090,Mus musculus,GSM2360217,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB021B_flaA_Myd88_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,Myd88-/-,none,GSM2360217
SRR4450371,111135134,11113513400,100,3792,SRX2268447,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759652,SAMN05941916,simple,10090,Mus musculus,GSM2360218,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB021C_dotflaA_Myd88_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,Myd88-/-,none,GSM2360218
SRR4450372,137758714,13775871400,100,4691,SRX2268448,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759654,SAMN05941915,simple,10090,Mus musculus,GSM2360219,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB022A_uninf_WT_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360219
SRR4450373,92861049,9286104900,100,3191,SRX2268449,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759655,SAMN05941914,simple,10090,Mus musculus,GSM2360220,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB022B_flaA_WT_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360220
SRR4450374,114733076,11473307600,100,3950,SRX2268450,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759656,SAMN05941913,simple,10090,Mus musculus,GSM2360221,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB022C_dotflaA_WT_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360221
