Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,time point,replicate,tissue,molecule subtype,GEO Accession
SRR15359346,63000259,3213013209,51,982,SRX11661832,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694658,SAMN20601092,simple,5141,Neurospora crassa,GSM5506281,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD36 rep2,mycelia,wild-type,DD36,2,mycelia,ribosome-protected mRNA,GSM5506281
SRR15359347,50961134,2599017834,51,794,SRX11661833,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694659,SAMN20601093,simple,5141,Neurospora crassa,GSM5506282,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD40 rep2,mycelia,wild-type,DD40,2,mycelia,ribosome-protected mRNA,GSM5506282
SRR15359348,40506710,2065842210,51,666,SRX11661834,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694660,SAMN20601094,simple,5141,Neurospora crassa,GSM5506283,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD44 rep2,mycelia,wild-type,DD44,2,mycelia,ribosome-protected mRNA,GSM5506283
SRR15359349,130264207,6643474557,51,1988,SRX11661835,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694661,SAMN20601095,simple,5141,Neurospora crassa,GSM5506284,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq wild-type DD48 rep2,mycelia,wild-type,DD48,2,mycelia,ribosome-protected mRNA,GSM5506284
SRR15359350,147039546,7499016846,51,2138,SRX11661836,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694662,SAMN20601096,simple,5141,Neurospora crassa,GSM5506285,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD12 rep1,mycelia,frq knockout,DD12,1,mycelia,ribosome-protected mRNA,GSM5506285
SRR15359351,77112528,3932738928,51,974,SRX11661837,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694663,SAMN20601097,simple,5141,Neurospora crassa,GSM5506286,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD16 rep1,mycelia,frq knockout,DD16,1,mycelia,ribosome-protected mRNA,GSM5506286
SRR15359352,53413996,2724113796,51,783,SRX11661838,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694664,SAMN20601098,simple,5141,Neurospora crassa,GSM5506287,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD20 rep1,mycelia,frq knockout,DD20,1,mycelia,ribosome-protected mRNA,GSM5506287
SRR15359353,108540432,5535562032,51,1459,SRX11661839,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694665,SAMN20601099,simple,5141,Neurospora crassa,GSM5506288,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD24 rep1,mycelia,frq knockout,DD24,1,mycelia,ribosome-protected mRNA,GSM5506288
SRR15359354,95568062,4873971162,51,1409,SRX11661840,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694666,SAMN20601100,simple,5141,Neurospora crassa,GSM5506289,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD28 rep1,mycelia,frq knockout,DD28,1,mycelia,ribosome-protected mRNA,GSM5506289
SRR15359355,152615151,7783372701,51,2165,SRX11661841,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694667,SAMN20601101,simple,5141,Neurospora crassa,GSM5506290,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD32 rep1,mycelia,frq knockout,DD32,1,mycelia,ribosome-protected mRNA,GSM5506290
SRR15359356,95248502,4857673602,51,1497,SRX11661842,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694669,SAMN20601102,simple,5141,Neurospora crassa,GSM5506291,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD36 rep1,mycelia,frq knockout,DD36,1,mycelia,ribosome-protected mRNA,GSM5506291
SRR15359357,76346263,3893659413,51,1134,SRX11661843,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694668,SAMN20601264,simple,5141,Neurospora crassa,GSM5506292,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD40 rep1,mycelia,frq knockout,DD40,1,mycelia,ribosome-protected mRNA,GSM5506292
SRR15359358,87512790,4463152290,51,1370,SRX11661844,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694670,SAMN20601265,simple,5141,Neurospora crassa,GSM5506293,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD44 rep1,mycelia,frq knockout,DD44,1,mycelia,ribosome-protected mRNA,GSM5506293
SRR15359359,77232059,3938835009,51,1100,SRX11661845,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694671,SAMN20601266,simple,5141,Neurospora crassa,GSM5506294,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD48 rep1,mycelia,frq knockout,DD48,1,mycelia,ribosome-protected mRNA,GSM5506294
SRR15359360,73292432,3737914032,51,1085,SRX11661846,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694673,SAMN20601267,simple,5141,Neurospora crassa,GSM5506295,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD12 rep2,mycelia,frq knockout,DD12,2,mycelia,ribosome-protected mRNA,GSM5506295
SRR15359361,102932708,5249568108,51,1590,SRX11661847,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694672,SAMN20601268,simple,5141,Neurospora crassa,GSM5506296,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD16 rep2,mycelia,frq knockout,DD16,2,mycelia,ribosome-protected mRNA,GSM5506296
SRR15359362,95945491,4893220041,51,1471,SRX11661848,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694674,SAMN20601190,simple,5141,Neurospora crassa,GSM5506297,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD20 rep2,mycelia,frq knockout,DD20,2,mycelia,ribosome-protected mRNA,GSM5506297
SRR15359363,203211473,10363785123,51,3105,SRX11661849,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694675,SAMN20601191,simple,5141,Neurospora crassa,GSM5506298,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD24 rep2,mycelia,frq knockout,DD24,2,mycelia,ribosome-protected mRNA,GSM5506298
SRR15359364,78815406,4019585706,51,1164,SRX11661850,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694676,SAMN20601192,simple,5141,Neurospora crassa,GSM5506299,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD28 rep2,mycelia,frq knockout,DD28,2,mycelia,ribosome-protected mRNA,GSM5506299
SRR15359365,50278173,2564186823,51,737,SRX11661851,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694677,SAMN20601193,simple,5141,Neurospora crassa,GSM5506300,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD32 rep2,mycelia,frq knockout,DD32,2,mycelia,ribosome-protected mRNA,GSM5506300
SRR15359366,68611207,3499171557,51,1094,SRX11661852,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694678,SAMN20601194,simple,5141,Neurospora crassa,GSM5506301,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD36 rep2,mycelia,frq knockout,DD36,2,mycelia,ribosome-protected mRNA,GSM5506301
SRR15359367,66225281,3377489331,51,1038,SRX11661853,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694679,SAMN20601195,simple,5141,Neurospora crassa,GSM5506302,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD40 rep2,mycelia,frq knockout,DD40,2,mycelia,ribosome-protected mRNA,GSM5506302
SRR15359368,74043182,3776202282,51,1127,SRX11661854,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694680,SAMN20601196,simple,5141,Neurospora crassa,GSM5506303,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD44 rep2,mycelia,frq knockout,DD44,2,mycelia,ribosome-protected mRNA,GSM5506303
SRR15359369,74722997,3810872847,51,1125,SRX11661855,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694681,SAMN20601197,simple,5141,Neurospora crassa,GSM5506304,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq frq knockout DD48 rep2,mycelia,frq knockout,DD48,2,mycelia,ribosome-protected mRNA,GSM5506304
SRR15359370,99644782,5081883882,51,1500,SRX11661856,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694682,SAMN20601198,simple,5141,Neurospora crassa,GSM5506305,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD12 rep1,mycelia,cpc-3 knockout,DD12,1,mycelia,ribosome-protected mRNA,GSM5506305
SRR15359371,45421640,2316503640,51,696,SRX11661857,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694683,SAMN20601199,simple,5141,Neurospora crassa,GSM5506306,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD16 rep1,mycelia,cpc-3 knockout,DD16,1,mycelia,ribosome-protected mRNA,GSM5506306
SRR15359372,93027332,4744393932,51,1372,SRX11661858,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694684,SAMN20601200,simple,5141,Neurospora crassa,GSM5506307,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD20 rep1,mycelia,cpc-3 knockout,DD20,1,mycelia,ribosome-protected mRNA,GSM5506307
SRR15359373,61738192,3148647792,51,926,SRX11661859,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694685,SAMN20601201,simple,5141,Neurospora crassa,GSM5506308,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD24 rep1,mycelia,cpc-3 knockout,DD24,1,mycelia,ribosome-protected mRNA,GSM5506308
SRR15359374,101934587,5198663937,51,1478,SRX11661860,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694686,SAMN20601202,simple,5141,Neurospora crassa,GSM5506309,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD28 rep1,mycelia,cpc-3 knockout,DD28,1,mycelia,ribosome-protected mRNA,GSM5506309
SRR15359375,134729194,6871188894,51,2059,SRX11661861,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694687,SAMN20601203,simple,5141,Neurospora crassa,GSM5506310,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD32 rep1,mycelia,cpc-3 knockout,DD32,1,mycelia,ribosome-protected mRNA,GSM5506310
SRR15359376,68474652,3492207252,51,1075,SRX11661862,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694688,SAMN20601204,simple,5141,Neurospora crassa,GSM5506311,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD36 rep1,mycelia,cpc-3 knockout,DD36,1,mycelia,ribosome-protected mRNA,GSM5506311
SRR15359377,73968500,3772393500,51,1134,SRX11661863,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694689,SAMN20601205,simple,5141,Neurospora crassa,GSM5506312,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD40 rep1,mycelia,cpc-3 knockout,DD40,1,mycelia,ribosome-protected mRNA,GSM5506312
SRR15359378,45929032,2342380632,51,711,SRX11661864,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694690,SAMN20601171,simple,5141,Neurospora crassa,GSM5506313,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD44 rep1,mycelia,cpc-3 knockout,DD44,1,mycelia,ribosome-protected mRNA,GSM5506313
SRR15359379,106797704,5446682904,51,1568,SRX11661865,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694692,SAMN20601172,simple,5141,Neurospora crassa,GSM5506314,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD48 rep1,mycelia,cpc-3 knockout,DD48,1,mycelia,ribosome-protected mRNA,GSM5506314
SRR15359380,67805786,3458095086,51,1051,SRX11661866,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694691,SAMN20601173,simple,5141,Neurospora crassa,GSM5506315,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD12 rep2,mycelia,cpc-3 knockout,DD12,2,mycelia,ribosome-protected mRNA,GSM5506315
SRR15359381,119693731,6104380281,51,1772,SRX11661867,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694694,SAMN20601174,simple,5141,Neurospora crassa,GSM5506316,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD16 rep2,mycelia,cpc-3 knockout,DD16,2,mycelia,ribosome-protected mRNA,GSM5506316
SRR15359382,69431104,3540986304,51,1158,SRX11661868,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694693,SAMN20601175,simple,5141,Neurospora crassa,GSM5506317,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD20 rep2,mycelia,cpc-3 knockout,DD20,2,mycelia,ribosome-protected mRNA,GSM5506317
SRR15359383,78100039,3983101989,51,1204,SRX11661869,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694695,SAMN20601176,simple,5141,Neurospora crassa,GSM5506318,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD24 rep2,mycelia,cpc-3 knockout,DD24,2,mycelia,ribosome-protected mRNA,GSM5506318
SRR15359384,69767966,3558166266,51,1101,SRX11661870,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694696,SAMN20601177,simple,5141,Neurospora crassa,GSM5506319,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD28 rep2,mycelia,cpc-3 knockout,DD28,2,mycelia,ribosome-protected mRNA,GSM5506319
SRR15359385,74400709,3794436159,51,1216,SRX11661871,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694697,SAMN20601178,simple,5141,Neurospora crassa,GSM5506320,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD32 rep2,mycelia,cpc-3 knockout,DD32,2,mycelia,ribosome-protected mRNA,GSM5506320
SRR15359386,89786458,4579109358,51,1322,SRX11661872,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694698,SAMN20601179,simple,5141,Neurospora crassa,GSM5506321,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD36 rep2,mycelia,cpc-3 knockout,DD36,2,mycelia,ribosome-protected mRNA,GSM5506321
SRR15359387,78116776,3983955576,51,1256,SRX11661873,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694699,SAMN20601180,simple,5141,Neurospora crassa,GSM5506322,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD40 rep2,mycelia,cpc-3 knockout,DD40,2,mycelia,ribosome-protected mRNA,GSM5506322
SRR15359388,187662076,9570765876,51,2955,SRX11661874,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP331348,PRJNA752584,36577368,"",SRS9694700,SAMN20601181,simple,5141,Neurospora crassa,GSM5506323,GEO,SRA1272537,11,2022,Castillo,mycelia,Ribo-seq cpc-3 knockout DD44 rep2,mycelia,cpc-3 knockout,DD44,2,mycelia,ribosome-protected mRNA,GSM5506323
