Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,sample type,tissue,rna type,genotype,time,GEO Accession
SRR10008180,12008306,600415300,50,355,SRX6746454,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296786,SAMN12611355,simple,10090,Mus musculus,GSM4040966,GEO,SRA945845,06,2020,Gerashchenko,liver,mRNA-seq_liver_kd_7days-3,liver,tissue,liver,polyA enriched mRNA-seq,eef2 kd,7 days,GSM4040966
SRR10008181,11290989,564549450,50,332,SRX6746455,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296787,SAMN12611354,simple,10090,Mus musculus,GSM4040967,GEO,SRA945845,06,2020,Gerashchenko,liver,mRNA-seq_liver_kd_9days-1,liver,tissue,liver,polyA enriched mRNA-seq,eef2 kd,9 days,GSM4040967
SRR10008182,13938486,696924300,50,411,SRX6746456,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296788,SAMN12611335,simple,10090,Mus musculus,GSM4040968,GEO,SRA945845,06,2020,Gerashchenko,liver,mRNA-seq_liver_kd_9days-2,liver,tissue,liver,polyA enriched mRNA-seq,eef2 kd,9 days,GSM4040968
SRR10008183,11563398,578169900,50,340,SRX6746457,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296789,SAMN12611348,simple,10090,Mus musculus,GSM4040969,GEO,SRA945845,06,2020,Gerashchenko,liver,mRNA-seq_liver_kd_9days-3,liver,tissue,liver,polyA enriched mRNA-seq,eef2 kd,9 days,GSM4040969
SRR10008184,11801565,590078250,50,347,SRX6746458,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296790,SAMN12611346,simple,10090,Mus musculus,GSM4040970,GEO,SRA945845,06,2020,Gerashchenko,liver,mRNA-seq_liver_kd_12days-1,liver,tissue,liver,polyA enriched mRNA-seq,eef2 kd,12 days,GSM4040970
SRR10008185,10023339,501166950,50,294,SRX6746459,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296791,SAMN12611353,simple,10090,Mus musculus,GSM4040971,GEO,SRA945845,06,2020,Gerashchenko,liver,mRNA-seq_liver_kd_12days-2,liver,tissue,liver,polyA enriched mRNA-seq,eef2 kd,12 days,GSM4040971
SRR10008186,12307676,615383800,50,363,SRX6746460,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296792,SAMN12611351,simple,10090,Mus musculus,GSM4040972,GEO,SRA945845,06,2020,Gerashchenko,liver,mRNA-seq_liver_kd_12days-3,liver,tissue,liver,polyA enriched mRNA-seq,eef2 kd,12 days,GSM4040972
SRR10008187,21352149,1067607450,50,591,SRX6746461,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296793,SAMN12611350,simple,10090,Mus musculus,GSM4040973,GEO,SRA945845,06,2020,Gerashchenko,liver,Ribo-seq_liver_control-1,liver,tissue,liver,Ribosomal profiling,control,,GSM4040973
SRR10008188,27939708,1396985400,50,784,SRX6746462,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296794,SAMN12611337,simple,10090,Mus musculus,GSM4040974,GEO,SRA945845,06,2020,Gerashchenko,liver,Ribo-seq_liver_control-2,liver,tissue,liver,Ribosomal profiling,control,,GSM4040974
SRR10008189,24473143,1223657150,50,677,SRX6746463,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296795,SAMN12611336,simple,10090,Mus musculus,GSM4040975,GEO,SRA945845,06,2020,Gerashchenko,liver,Ribo-seq_liver_control-3,liver,tissue,liver,Ribosomal profiling,control,,GSM4040975
SRR10008190,28701607,1435080350,50,799,SRX6746464,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296796,SAMN12611345,simple,10090,Mus musculus,GSM4040976,GEO,SRA945845,06,2020,Gerashchenko,liver,Ribo-seq_liver_kd_7days-1,liver,tissue,liver,Ribosomal profiling,eef2 kd,,GSM4040976
SRR10008191,34387424,1719371200,50,961,SRX6746465,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296797,SAMN12611343,simple,10090,Mus musculus,GSM4040977,GEO,SRA945845,06,2020,Gerashchenko,liver,Ribo-seq_liver_kd_7days-2,liver,tissue,liver,Ribosomal profiling,eef2 kd,,GSM4040977
SRR10008192,33903703,1695185150,50,943,SRX6746466,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296798,SAMN12611341,simple,10090,Mus musculus,GSM4040978,GEO,SRA945845,06,2020,Gerashchenko,liver,Ribo-seq_liver_kd_7days-3,liver,tissue,liver,Ribosomal profiling,eef2 kd,,GSM4040978
