Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,strain,batch,molecule type,GEO Accession
SRR5398661,4367689,222752139,51,103,SRX2693407,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090019,SAMN06672124,simple,10090,Mus musculus,GSM2561014,GEO,SRA550674,01,2019,Makar,"","GEO accession GSM2561014 is currently private and is scheduled to be released on Dec 31, 2018.",Bone-marrow derived macrophages,wildtype,C57BL/6J,3,ribosome protected fragment (RPFs),GSM2561014
SRR5398662,16740156,853747956,51,391,SRX2693408,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090021,SAMN06672123,simple,10090,Mus musculus,GSM2561015,GEO,SRA550674,01,2019,Makar,Bone-marrow derived macrophages,KO #3 total RNA,Bone-marrow derived macrophages,wildtype,C57BL/6J,3,total RNA,GSM2561015
SRR5398663,18461508,941536908,51,440,SRX2693409,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090023,SAMN06672122,simple,10090,Mus musculus,GSM2561016,GEO,SRA550674,01,2019,Makar,Bone-marrow derived macrophages,KO #4 RPF,Bone-marrow derived macrophages,wildtype,C57BL/6J,3,ribosome protected fragment (RPFs),GSM2561016
SRR5398664,18200820,928241820,51,426,SRX2693410,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090022,SAMN06672121,simple,10090,Mus musculus,GSM2561017,GEO,SRA550674,01,2019,Makar,Bone-marrow derived macrophages,KO #4 total RNA,Bone-marrow derived macrophages,wildtype,C57BL/6J,3,total RNA,GSM2561017
SRR5398665,20111445,1025683695,51,468,SRX2693411,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090024,SAMN06672120,simple,10090,Mus musculus,GSM2561018,GEO,SRA550674,01,2019,Makar,Bone-marrow derived macrophages,WT #4 RPF,Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,1,ribosome protected fragment (RPFs),GSM2561018
SRR5398666,21716522,1107542622,51,507,SRX2693412,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090025,SAMN06672119,simple,10090,Mus musculus,GSM2561019,GEO,SRA550674,01,2019,Makar,Bone-marrow derived macrophages,WT #4 total RNA,Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,2,total RNA,GSM2561019
SRR5398667,12597525,642473775,51,176,SRX2693413,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090026,SAMN06672118,simple,10090,Mus musculus,GSM2561020,GEO,SRA550674,01,2019,Makar,Bone-marrow derived macrophages,KO #5 RPF,Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,2,ribosome protected fragment (RPFs),GSM2561020
SRR5398668,9881052,503933652,51,224,SRX2693414,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090027,SAMN06672117,simple,10090,Mus musculus,GSM2561021,GEO,SRA550674,01,2019,Makar,Bone-marrow derived macrophages,KO #5 total RNA,Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,2,total RNA,GSM2561021
SRR5398669,2927198,149287098,51,41,SRX2693415,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090028,SAMN06672116,simple,10090,Mus musculus,GSM2561022,GEO,SRA550674,01,2019,Makar,Bone-marrow derived macrophages,KO #6 RPF,Bone-marrow derived macrophages,wildtype,C57BL/6J,2,ribosome protected fragment (RPFs),GSM2561022
SRR5398670,11372363,579990513,51,257,SRX2693416,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090029,SAMN06672115,simple,10090,Mus musculus,GSM2561023,GEO,SRA550674,01,2019,Makar,Bone-marrow derived macrophages,KO #6 total RNA,Bone-marrow derived macrophages,wildtype,C57BL/6J,2,total RNA,GSM2561023
SRR5398671,13915683,709699833,51,171,SRX2693417,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090030,SAMN06672114,simple,10090,Mus musculus,GSM2561024,GEO,SRA550674,01,2019,Makar,Bone-marrow derived macrophages,WT #5 RPF,Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,3,ribosome protected fragment (RPFs),GSM2561024
SRR5398672,10050062,512553162,51,227,SRX2693418,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090031,SAMN06672113,simple,10090,Mus musculus,GSM2561025,GEO,SRA550674,01,2019,Makar,Bone-marrow derived macrophages,WT #5 total RNA,Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,3,total RNA,GSM2561025
SRR5398673,7076532,360903132,51,84,SRX2693419,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090032,SAMN06672112,simple,10090,Mus musculus,GSM2561026,GEO,SRA550674,01,2019,Makar,Bone-marrow derived macrophages,WT #6 RPF,Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,3,ribosome protected fragment (RPFs),GSM2561026
SRR5398674,10483662,534666762,51,243,SRX2693420,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090033,SAMN06672111,simple,10090,Mus musculus,GSM2561027,GEO,SRA550674,01,2019,Makar,Bone-marrow derived macrophages,WT #6 total RNA,Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,3,total RNA,GSM2561027
