Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,developmental stage,genotype,growth condition,individual,organism part,sample name,environmental stress,Experimental Factor: time,Experimental Factor: environmental stress
ERR3719491,26821294,779289257,29,343,ERX3720761,Sample 35_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138779,SAMEA6372682,simple,7962,Cyprinus carpio,SAMEA6372682,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 35,2020-05-01,2019-12-06,SAMEA6372682,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 35,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,142,kidney,E-MTAB-8567:Sample 35,,3,none
ERR3719492,31366356,989989502,31,370,ERX3720762,Sample 36_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138780,SAMEA6372683,simple,7962,Cyprinus carpio,SAMEA6372683,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 36,2020-05-01,2019-12-06,SAMEA6372683,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 36,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,143,kidney,E-MTAB-8567:Sample 36,,3,none
ERR3719493,32151159,920073384,28,407,ERX3720763,Sample 37_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138781,SAMEA6372684,simple,7962,Cyprinus carpio,SAMEA6372684,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 37,2020-05-01,2019-12-06,SAMEA6372684,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 37,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,144,kidney,E-MTAB-8567:Sample 37,,3,none
ERR3719494,27571911,832820670,30,341,ERX3720764,Sample 38_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138782,SAMEA6372685,simple,7962,Cyprinus carpio,SAMEA6372685,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 38,2020-05-01,2019-12-06,SAMEA6372685,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 38,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,145,kidney,E-MTAB-8567:Sample 38,,3,none
ERR3719495,46090098,1326923473,28,582,ERX3720765,Sample 39_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138783,SAMEA6372686,simple,7962,Cyprinus carpio,SAMEA6372686,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 39,2020-05-01,2019-12-06,SAMEA6372686,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 39,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,147,kidney,E-MTAB-8567:Sample 39,,3,none
ERR3719496,29223596,887061046,30,378,ERX3720766,Sample 65_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138784,SAMEA6372687,simple,7962,Cyprinus carpio,SAMEA6372687,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 65,2020-05-01,2019-12-06,SAMEA6372687,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 65,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,178,kidney,E-MTAB-8567:Sample 65,,11,none
ERR3719497,48416190,1392170217,28,586,ERX3720767,Sample 66_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138785,SAMEA6372688,simple,7962,Cyprinus carpio,SAMEA6372688,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 66,2020-05-01,2019-12-06,SAMEA6372688,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 66,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,179,kidney,E-MTAB-8567:Sample 66,,11,none
ERR3719498,30582391,849846937,27,374,ERX3720768,Sample 67_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138786,SAMEA6372689,simple,7962,Cyprinus carpio,SAMEA6372689,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 67,2020-05-01,2019-12-06,SAMEA6372689,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 67,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,180,kidney,E-MTAB-8567:Sample 67,,11,none
ERR3719499,43827177,1274725326,29,554,ERX3720769,Sample 68_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138787,SAMEA6372690,simple,7962,Cyprinus carpio,SAMEA6372690,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 68,2020-05-01,2019-12-06,SAMEA6372690,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 68,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,181,kidney,E-MTAB-8567:Sample 68,,11,none
ERR3719500,33429862,980656382,29,431,ERX3720770,Sample 69_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138788,SAMEA6372691,simple,7962,Cyprinus carpio,SAMEA6372691,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 69,2020-05-01,2019-12-06,SAMEA6372691,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 69,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,183,kidney,E-MTAB-8567:Sample 69,,11,none
ERR3719501,16613612,476557055,28,213,ERX3720771,Sample 79_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138789,SAMEA6372692,simple,7962,Cyprinus carpio,SAMEA6372692,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 79,2020-05-01,2019-12-06,SAMEA6372692,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 79,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,193,kidney,E-MTAB-8567:Sample 79,,23,none
ERR3719502,20806920,609308632,29,273,ERX3720772,Sample 80_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138790,SAMEA6372693,simple,7962,Cyprinus carpio,SAMEA6372693,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 80,2020-05-01,2019-12-06,SAMEA6372693,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 80,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,195,kidney,E-MTAB-8567:Sample 80,,23,none
ERR3719503,31969793,915938888,28,398,ERX3720773,Sample 81_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138791,SAMEA6372694,simple,7962,Cyprinus carpio,SAMEA6372694,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 81,2020-05-01,2019-12-06,SAMEA6372694,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 81,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,197,kidney,E-MTAB-8567:Sample 81,,23,none
ERR3719504,17825431,520990723,29,230,ERX3720774,Sample 82_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138792,SAMEA6372695,simple,7962,Cyprinus carpio,SAMEA6372695,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 82,2020-05-01,2019-12-06,SAMEA6372695,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 82,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,198,kidney,E-MTAB-8567:Sample 82,,23,none
ERR3719505,27515863,813416617,29,357,ERX3720775,Sample 11_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138793,SAMEA6372696,simple,7962,Cyprinus carpio,SAMEA6372696,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 11,2020-05-01,2019-12-06,SAMEA6372696,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 11,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,112,kidney,E-MTAB-8567:Sample 11,cooling - 19 degrees Celsius,0.25,cooling - 19 degrees Celsius
ERR3719506,31047337,888500194,28,389,ERX3720776,Sample 12_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138794,SAMEA6372697,simple,7962,Cyprinus carpio,SAMEA6372697,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 12,2020-05-01,2019-12-06,SAMEA6372697,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 12,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,114,kidney,E-MTAB-8567:Sample 12,cooling - 19 degrees Celsius,0.25,cooling - 19 degrees Celsius
ERR3719507,29954205,900823262,30,378,ERX3720777,Sample 13_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138795,SAMEA6372698,simple,7962,Cyprinus carpio,SAMEA6372698,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 13,2020-05-01,2019-12-06,SAMEA6372698,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 13,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,115,kidney,E-MTAB-8567:Sample 13,cooling - 19 degrees Celsius,0.25,cooling - 19 degrees Celsius
ERR3719508,20312219,576798073,28,258,ERX3720778,Sample 14_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138796,SAMEA6372699,simple,7962,Cyprinus carpio,SAMEA6372699,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 14,2020-05-01,2019-12-06,SAMEA6372699,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 14,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,116,kidney,E-MTAB-8567:Sample 14,cooling - 19 degrees Celsius,0.25,cooling - 19 degrees Celsius
ERR3719509,31574243,902369056,28,398,ERX3720779,Sample 15_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138797,SAMEA6372700,simple,7962,Cyprinus carpio,SAMEA6372700,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 15,2020-05-01,2019-12-06,SAMEA6372700,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 15,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,117,kidney,E-MTAB-8567:Sample 15,cooling - 19 degrees Celsius,0.25,cooling - 19 degrees Celsius
ERR3719510,42475896,1218916839,28,527,ERX3720780,Sample 16_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138798,SAMEA6372701,simple,7962,Cyprinus carpio,SAMEA6372701,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 16,2020-05-01,2019-12-06,SAMEA6372701,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 16,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,118,kidney,E-MTAB-8567:Sample 16,cooling - 19 degrees Celsius,1,cooling - 19 degrees Celsius
ERR3719511,27410308,790680467,28,350,ERX3720781,Sample 17_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138799,SAMEA6372702,simple,7962,Cyprinus carpio,SAMEA6372702,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 17,2020-05-01,2019-12-06,SAMEA6372702,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 17,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,119,kidney,E-MTAB-8567:Sample 17,cooling - 19 degrees Celsius,1,cooling - 19 degrees Celsius
