Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype/variation,replicate,molecule subtype,GEO Accession
SRR6255539,36652041,2767351042,75,960,SRX3362030,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660713,SAMN07977195,simple,10090,Mus musculus,GSM2839991,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,3.R98S35_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 3, RPL10 R98S clone #35",polysome associated mRNA,GSM2839991
SRR6255540,44058780,3321235509,75,1161,SRX3362031,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660745,SAMN07977194,simple,10090,Mus musculus,GSM2839992,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_polyRNAseq,3.WT28_PolyRNASeq,isogenic Ba/F3_WT form of human RPL10_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,"Replicate 3, RPL10 WT clone #28",polysome associated mRNA,GSM2839992
SRR6255541,46240149,3485231522,75,1220,SRX3362032,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660715,SAMN07977193,simple,10090,Mus musculus,GSM2839993,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_polyRNAseq,3.WT29_PolyRNASeq,isogenic Ba/F3_WT form of human RPL10_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,"Replicate 3, RPL10 WT clone #29",polysome associated mRNA,GSM2839993
SRR6255542,38524974,2909900519,75,1014,SRX3362033,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660716,SAMN07977192,simple,10090,Mus musculus,GSM2839994,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_polyRNAseq,3.WT36_PolyRNASeq,isogenic Ba/F3_WT form of human RPL10_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,"Replicate 3, RPL10 WT clone #36",polysome associated mRNA,GSM2839994
SRR6255543,19454644,1468954075,75,514,SRX3362034,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660717,SAMN07977191,simple,10090,Mus musculus,GSM2839995,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,1.R98S11_mRNA_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 1, RPL10 R98S clone #11",polyA RNA,GSM2839995
SRR6255544,21097262,1593076120,75,547,SRX3362035,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660718,SAMN07977190,simple,10090,Mus musculus,GSM2839996,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,1.R98S13_mRNA_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 1, RPL10 R98S clone #13",polyA RNA,GSM2839996
SRR6255545,18412964,1385842453,75,476,SRX3362036,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660719,SAMN07977189,simple,10090,Mus musculus,GSM2839997,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,1.R98S35_mRNA_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 1, RPL10 R98S clone #35",polyA RNA,GSM2839997
SRR6255546,23677919,1788374358,75,635,SRX3362037,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660721,SAMN07977188,simple,10090,Mus musculus,GSM2839998,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,1.WT28_mRNA_PolyRNASeq,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,"Replicate 1, RPL10 WT clone #28",polyA RNA,GSM2839998
SRR6255547,19774499,1491563228,75,522,SRX3362038,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660720,SAMN07977187,simple,10090,Mus musculus,GSM2839999,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,1.WT29_mRNA_PolyRNASeq,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,"Replicate 1, RPL10 WT clone #29",polyA RNA,GSM2839999
SRR6255548,23343779,1762721543,75,613,SRX3362039,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660722,SAMN07977186,simple,10090,Mus musculus,GSM2840000,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,2.R98S11_mRNA_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 2, RPL10 R98S clone #11",polyA RNA,GSM2840000
SRR6255549,23766144,1791862733,75,616,SRX3362040,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660746,SAMN07977224,simple,10090,Mus musculus,GSM2840001,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,2.R98S13_mRNA_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 2, RPL10 R98S clone #13",polyA RNA,GSM2840001
SRR6255550,28831735,2176591695,75,765,SRX3362041,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660723,SAMN07977223,simple,10090,Mus musculus,GSM2840002,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,2.R98S35_mRNA_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 2, RPL10 R98S clone #35",polyA RNA,GSM2840002
SRR6255551,13328554,999207874,74,347,SRX3362042,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660724,SAMN07977222,simple,10090,Mus musculus,GSM2840003,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,2.WT28_mRNA_PolyRNASeq,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,"Replicate 2, RPL10 WT clone #28",polyA RNA,GSM2840003
SRR6255552,23279915,1757212205,75,600,SRX3362043,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660725,SAMN07977221,simple,10090,Mus musculus,GSM2840004,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,2.WT29_mRNA_PolyRNASeq,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,"Replicate 2, RPL10 WT clone #29",polyA RNA,GSM2840004
SRR6255553,25627357,1931993378,75,662,SRX3362044,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660727,SAMN07977172,simple,10090,Mus musculus,GSM2840005,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,2.WT36_mRNA_PolyRNASeq,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,"Replicate 2, RPL10 WT clone #36",polyA RNA,GSM2840005
SRR6255554,16032092,1210790687,75,417,SRX3362045,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660726,SAMN07977171,simple,10090,Mus musculus,GSM2840006,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,3.R98S11_mRNA_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 3, RPL10 R98S clone #11",polyA RNA,GSM2840006
SRR6255555,27086098,2045660784,75,713,SRX3362046,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660728,SAMN07977170,simple,10090,Mus musculus,GSM2840007,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,3.R98S13_mRNA_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 3, RPL10 R98S clone #13",polyA RNA,GSM2840007
SRR6255556,30601041,2311341647,75,813,SRX3362047,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660729,SAMN07977220,simple,10090,Mus musculus,GSM2840008,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,3.R98S35_mRNA_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 3, RPL10 R98S clone #35",polyA RNA,GSM2840008
SRR6255557,20742900,1566293959,75,544,SRX3362048,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660730,SAMN07977219,simple,10090,Mus musculus,GSM2840009,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,3.WT28_mRNA_PolyRNASeq,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,"Replicate 3, RPL10 WT clone #28",polyA RNA,GSM2840009
SRR6255558,20757364,1567778115,75,544,SRX3362049,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660732,SAMN07977218,simple,10090,Mus musculus,GSM2840010,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,3.WT29_mRNA_PolyRNASeq,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,"Replicate 3, RPL10 WT clone #29",polyA RNA,GSM2840010
SRR6255559,21781014,1645062254,75,570,SRX3362050,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660731,SAMN07977217,simple,10090,Mus musculus,GSM2840011,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,3.WT36_mRNA_PolyRNASeq,isogenic Ba/F3_WT form of human RPL10_mRNA_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,"Replicate 3, RPL10 WT clone #36",polyA RNA,GSM2840011
