Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,batch,development stage,library type,treatment,GEO Accession
SRR12495026,13826510,4175606020,151,1734,SRX8986492,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240696,SAMN15880560,simple,9606,Homo sapiens,GSM4736564,GEO,SRA1115933,08,2020,Makar,early neurons,D8 RNAdecay 8h rep2,early neurons,early neurons,batch7,Day8,RNAdecay,Actinmycin D,GSM4736564
SRR12495027,12358095,3732144690,151,1655,SRX8986493,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240697,SAMN15880559,simple,9606,Homo sapiens,GSM4736565,GEO,SRA1115933,08,2020,Makar,neurons,D14 RNAdecay 8h rep1,neurons,neurons,batch6,Day14,RNAdecay,Actinmycin D,GSM4736565
SRR12495028,19621948,5925828296,151,2502,SRX8986494,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240698,SAMN15880558,simple,9606,Homo sapiens,GSM4736566,GEO,SRA1115933,08,2020,Makar,neurons,D14 RNAdecay 8h rep2,neurons,neurons,batch7,Day14,RNAdecay,Actinmycin D,GSM4736566
SRR12495031,45854434,3439082550,75,1396,SRX8986495,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240699,SAMN15880429,simple,9606,Homo sapiens,GSM4736474,GEO,SRA1115933,08,2020,Makar,hESCs,D0 icShape NAIN3 batch1 rep1,hESCs,hESCs,batch1,Day0,icSHAPE,NAIN3,GSM4736474
SRR12495032,49647947,3723596025,75,1507,SRX8986496,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240701,SAMN15880428,simple,9606,Homo sapiens,GSM4736475,GEO,SRA1115933,08,2020,Makar,hESCs,D0 icShape NAIN3 batch1 rep2,hESCs,hESCs,batch1,Day0,icSHAPE,NAIN3,GSM4736475
SRR12495033,59227307,4442048025,75,1780,SRX8986497,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240700,SAMN15880427,simple,9606,Homo sapiens,GSM4736476,GEO,SRA1115933,08,2020,Makar,neuronal precursor cells,D7 icShape DMSO batch1 rep1,neuronal precursor cells,neuronal precursor cells,batch1,Day7,icSHAPE,DMSO,GSM4736476
SRR12495034,31962719,2397203925,75,964,SRX8986498,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240702,SAMN15880426,simple,9606,Homo sapiens,GSM4736477,GEO,SRA1115933,08,2020,Makar,neuronal precursor cells,D7 icShape DMSO batch1 rep2,neuronal precursor cells,neuronal precursor cells,batch1,Day7,icSHAPE,DMSO,GSM4736477
SRR12495035,64843786,4863283950,75,1960,SRX8986499,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240703,SAMN15880425,simple,9606,Homo sapiens,GSM4736478,GEO,SRA1115933,08,2020,Makar,neuronal precursor cells,D7 icShape NAIN3 batch1 rep1,neuronal precursor cells,neuronal precursor cells,batch1,Day7,icSHAPE,NAIN3,GSM4736478
SRR12495036,55420780,4156558500,75,1682,SRX8986500,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240704,SAMN15880424,simple,9606,Homo sapiens,GSM4736479,GEO,SRA1115933,08,2020,Makar,neuronal precursor cells,D7 icShape NAIN3 batch1 rep2,neuronal precursor cells,neuronal precursor cells,batch1,Day7,icSHAPE,NAIN3,GSM4736479
SRR12495037,61002556,4575191700,75,1833,SRX8986501,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240705,SAMN15880423,simple,9606,Homo sapiens,GSM4736480,GEO,SRA1115933,08,2020,Makar,early neurons,D8 icShape DMSO batch1 rep1,early neurons,early neurons,batch1,Day8,icSHAPE,DMSO,GSM4736480
SRR12495038,64473955,4835546625,75,1941,SRX8986502,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240706,SAMN15880422,simple,9606,Homo sapiens,GSM4736481,GEO,SRA1115933,08,2020,Makar,early neurons,D8 icShape DMSO batch1 rep2,early neurons,early neurons,batch1,Day8,icSHAPE,DMSO,GSM4736481
SRR12495039,66501107,4987583025,75,2031,SRX8986503,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240707,SAMN15880421,simple,9606,Homo sapiens,GSM4736482,GEO,SRA1115933,08,2020,Makar,early neurons,D8 icShape NAIN3 batch1 rep1,early neurons,early neurons,batch1,Day8,icSHAPE,NAIN3,GSM4736482
SRR12495040,51278476,3845885700,75,1551,SRX8986504,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240708,SAMN15880420,simple,9606,Homo sapiens,GSM4736483,GEO,SRA1115933,08,2020,Makar,early neurons,D8 icShape NAIN3 batch1 rep2,early neurons,early neurons,batch1,Day8,icSHAPE,NAIN3,GSM4736483
SRR12495041,36683646,2751273450,75,1107,SRX8986505,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240709,SAMN15880416,simple,9606,Homo sapiens,GSM4736484,GEO,SRA1115933,08,2020,Makar,neurons,D14 icShape DMSO batch1 rep1,neurons,neurons,batch1,Day14,icSHAPE,DMSO,GSM4736484
SRR12495042,62620558,4696541850,75,1872,SRX8986506,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240710,SAMN15880419,simple,9606,Homo sapiens,GSM4736485,GEO,SRA1115933,08,2020,Makar,neurons,D14 icShape DMSO batch1 rep2,neurons,neurons,batch1,Day14,icSHAPE,DMSO,GSM4736485
SRR12495043,66038277,4952870775,75,1988,SRX8986507,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240711,SAMN15880418,simple,9606,Homo sapiens,GSM4736486,GEO,SRA1115933,08,2020,Makar,neurons,D14 icShape NAIN3 batch1 rep1,neurons,neurons,batch1,Day14,icSHAPE,NAIN3,GSM4736486
SRR12495044,57373280,4302996000,75,1734,SRX8986508,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240712,SAMN15880417,simple,9606,Homo sapiens,GSM4736487,GEO,SRA1115933,08,2020,Makar,neurons,D14 icShape NAIN3 batch1 rep2,neurons,neurons,batch1,Day14,icSHAPE,NAIN3,GSM4736487
SRR12495045,50286221,3821752796,76,1366,SRX8986509,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240714,SAMN15880415,simple,9606,Homo sapiens,GSM4736488,GEO,SRA1115933,08,2020,Makar,hESCs,D0 icShape DMSO batch2 rep1,hESCs,hESCs,batch2,Day0,icSHAPE,DMSO,GSM4736488
SRR12494947,62615082,4758746232,76,1679,SRX8986510,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240713,SAMN15880414,simple,9606,Homo sapiens,GSM4736489,GEO,SRA1115933,08,2020,Makar,hESCs,D0 icShape DMSO batch2 rep2,hESCs,hESCs,batch2,Day0,icSHAPE,DMSO,GSM4736489
SRR12495029,46828145,3512110875,75,1408,SRX8986511,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240715,SAMN15880431,simple,9606,Homo sapiens,GSM4736472,GEO,SRA1115933,08,2020,Makar,hESCs,D0 icShape DMSO batch1 rep1,hESCs,hESCs,batch1,Day0,icSHAPE,DMSO,GSM4736472
SRR12495030,43600430,3270032250,75,1310,SRX8986512,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240716,SAMN15880430,simple,9606,Homo sapiens,GSM4736473,GEO,SRA1115933,08,2020,Makar,hESCs,D0 icShape DMSO batch1 rep2,hESCs,hESCs,batch1,Day0,icSHAPE,DMSO,GSM4736473
SRR12494948,47265171,3592152996,76,1297,SRX8986513,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240717,SAMN15880413,simple,9606,Homo sapiens,GSM4736490,GEO,SRA1115933,08,2020,Makar,hESCs,D0 icShape NAIN3 batch2 rep1,hESCs,hESCs,batch2,Day0,icSHAPE,NAIN3,GSM4736490
SRR12494949,45569008,3463244608,76,1256,SRX8986514,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240719,SAMN15880412,simple,9606,Homo sapiens,GSM4736491,GEO,SRA1115933,08,2020,Makar,hESCs,D0 icShape NAIN3 batch2 rep2,hESCs,hESCs,batch2,Day0,icSHAPE,NAIN3,GSM4736491
SRR12494950,54203053,4119432028,76,1470,SRX8986515,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240718,SAMN15880454,simple,9606,Homo sapiens,GSM4736492,GEO,SRA1115933,08,2020,Makar,neuronal precursor cells,D7 icShape DMSO batch2 rep1,neuronal precursor cells,neuronal precursor cells,batch2,Day7,icSHAPE,DMSO,GSM4736492
SRR12494951,52752751,4009209076,76,1428,SRX8986516,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240720,SAMN15880515,simple,9606,Homo sapiens,GSM4736493,GEO,SRA1115933,08,2020,Makar,neuronal precursor cells,D7 icShape DMSO batch2 rep2,neuronal precursor cells,neuronal precursor cells,batch2,Day7,icSHAPE,DMSO,GSM4736493
SRR12494952,52692274,4004612824,76,1442,SRX8986517,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240721,SAMN15880514,simple,9606,Homo sapiens,GSM4736494,GEO,SRA1115933,08,2020,Makar,neuronal precursor cells,D7 icShape NAIN3 batch2 rep1,neuronal precursor cells,neuronal precursor cells,batch2,Day7,icSHAPE,NAIN3,GSM4736494
SRR12494953,61853047,4700831572,76,1697,SRX8986518,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240722,SAMN15880513,simple,9606,Homo sapiens,GSM4736495,GEO,SRA1115933,08,2020,Makar,neuronal precursor cells,D7 icShape NAIN3 batch2 rep2,neuronal precursor cells,neuronal precursor cells,batch2,Day7,icSHAPE,NAIN3,GSM4736495
SRR12494954,61018578,4637411928,76,1647,SRX8986519,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240723,SAMN15880512,simple,9606,Homo sapiens,GSM4736496,GEO,SRA1115933,08,2020,Makar,early neurons,D8 icShape DMSO batch2 rep2,early neurons,early neurons,batch2,Day8,icSHAPE,DMSO,GSM4736496
SRR12494955,56496497,4293733772,76,1561,SRX8986520,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240724,SAMN15880511,simple,9606,Homo sapiens,GSM4736497,GEO,SRA1115933,08,2020,Makar,early neurons,D8 icShape NAIN3 batch2 rep1,early neurons,early neurons,batch2,Day8,icSHAPE,NAIN3,GSM4736497
SRR12494956,64653883,4913695108,76,1771,SRX8986521,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240725,SAMN15880510,simple,9606,Homo sapiens,GSM4736498,GEO,SRA1115933,08,2020,Makar,early neurons,D8 icShape NAIN3 batch2 rep2,early neurons,early neurons,batch2,Day8,icSHAPE,NAIN3,GSM4736498
SRR12494957,46548581,3537692156,76,1253,SRX8986522,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240726,SAMN15880509,simple,9606,Homo sapiens,GSM4736499,GEO,SRA1115933,08,2020,Makar,neurons,D14 icShape DMSO batch2 rep1,neurons,neurons,batch2,Day14,icSHAPE,DMSO,GSM4736499
SRR12494958,61299727,4658779252,76,1645,SRX8986523,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240727,SAMN15880508,simple,9606,Homo sapiens,GSM4736500,GEO,SRA1115933,08,2020,Makar,neurons,D14 icShape DMSO batch2 rep2,neurons,neurons,batch2,Day14,icSHAPE,DMSO,GSM4736500
SRR12494959,53041407,4031146932,76,1444,SRX8986524,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240728,SAMN15880507,simple,9606,Homo sapiens,GSM4736501,GEO,SRA1115933,08,2020,Makar,neurons,D14 icShape NAIN3 batch2 rep1,neurons,neurons,batch2,Day14,icSHAPE,NAIN3,GSM4736501
SRR12494960,73544728,5589399328,76,2023,SRX8986525,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP278460,PRJNA658654,1,"",SRS7240729,SAMN15880506,simple,9606,Homo sapiens,GSM4736502,GEO,SRA1115933,08,2020,Makar,neurons,D14 icShape NAIN3 batch2 rep2,neurons,neurons,batch2,Day14,icSHAPE,NAIN3,GSM4736502
SRR12494961,50724760,15310606246,150,6034,SRX8986526,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240730,SAMN15880505,simple,9606,Homo sapiens,GSM4736503,GEO,SRA1115933,08,2020,Makar,hESCs,D0 RNASeq rep1,hESCs,hESCs,batch3,Day0,RNAseq,--,GSM4736503
SRR12494962,53777674,16232072947,150,6393,SRX8986527,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240731,SAMN15880504,simple,9606,Homo sapiens,GSM4736504,GEO,SRA1115933,08,2020,Makar,hESCs,D0 RNASeq rep2,hESCs,hESCs,batch3,Day0,RNAseq,--,GSM4736504
