Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,condition,cells pretreated with cycloheximide,GEO Accession
SRR8439596,28647079,815770771,28,1001,SRX5247028,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249263,SAMN10740365,simple,4932,Saccharomyces cerevisiae,GSM3561526,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_09_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 9,TRUE,GSM3561526
SRR8439597,50944170,1438281301,28,1746,SRX5247029,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249264,SAMN10740364,simple,4932,Saccharomyces cerevisiae,GSM3561527,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_10_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 10,TRUE,GSM3561527
SRR8439598,42990179,1210883788,28,1469,SRX5247030,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249265,SAMN10740363,simple,4932,Saccharomyces cerevisiae,GSM3561528,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_11_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 11,TRUE,GSM3561528
SRR8439599,42401878,1192251503,28,1447,SRX5247031,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249266,SAMN10740362,simple,4932,Saccharomyces cerevisiae,GSM3561529,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_12_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 12,TRUE,GSM3561529
SRR8439600,34836529,995942925,28,1206,SRX5247032,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249267,SAMN10740361,simple,4932,Saccharomyces cerevisiae,GSM3561530,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_13_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 13,TRUE,GSM3561530
SRR8439601,28154271,791284189,28,977,SRX5247033,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249268,SAMN10740360,simple,4932,Saccharomyces cerevisiae,GSM3561531,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_14_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 14,TRUE,GSM3561531
SRR8439602,22841778,649941702,28,800,SRX5247034,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249269,SAMN10740359,simple,4932,Saccharomyces cerevisiae,GSM3561532,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_15_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 15,TRUE,GSM3561532
SRR8439603,32957596,935108691,28,1138,SRX5247035,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249270,SAMN10740358,simple,4932,Saccharomyces cerevisiae,GSM3561533,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_16_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 16,TRUE,GSM3561533
SRR8439606,11490295,323821722,28,396,SRX5247036,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249271,SAMN10740355,simple,4932,Saccharomyces cerevisiae,GSM3561536,GEO,SRA834477,03,2019,Santos,yeast cell lysate,by4741_starved_plusChx_footprints,yeast cell lysate,BY4741,MATa his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,20 min amino acid starvation,TRUE,GSM3561536
SRR8439607,10801850,309801230,28,373,SRX5247037,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249272,SAMN10740354,simple,4932,Saccharomyces cerevisiae,GSM3561537,GEO,SRA834477,03,2019,Santos,yeast cell lysate,by4741_starved_minusChx_footprints,yeast cell lysate,BY4741,MATa his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,20 min amino acid starvation,FALSE,GSM3561537
SRR8439608,16628610,479725042,28,564,SRX5247038,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249273,SAMN10740353,simple,4932,Saccharomyces cerevisiae,GSM3561538,GEO,SRA834477,03,2019,Santos,yeast cell lysate,yjw1862-Pnop2-nop2_replete_plusChx_footprints,yeast cell lysate,yJW1862,MATa nop2::klNOP2 yhrcdelta14::PNOP2-NOP2::kanMX6 his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,replete,TRUE,GSM3561538
SRR8439609,11712049,335546660,28,400,SRX5247039,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249274,SAMN10740352,simple,4932,Saccharomyces cerevisiae,GSM3561539,GEO,SRA834477,03,2019,Santos,yeast cell lysate,yjw1862-Pnop2-nop2_starved_plusChx_footprints,yeast cell lysate,yJW1862,MATa nop2::klNOP2 yhrcdelta14::PNOP2-NOP2::kanMX6 his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,20 min amino acid starvation,TRUE,GSM3561539
SRR8439610,25053474,714555206,28,863,SRX5247040,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249275,SAMN10740351,simple,4932,Saccharomyces cerevisiae,GSM3561540,GEO,SRA834477,03,2019,Santos,yeast cell lysate,yjw1863-Pnop2-gfp_replete_plusChx_footprints,yeast cell lysate,yJW1863,MATa yhrcdelta14::PNOP2-5'UTRADH1-EGFP-3'UTRADH1::kanMX6 his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,replete,TRUE,GSM3561540
SRR8439611,16783073,487048352,29,591,SRX5247041,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249276,SAMN10740350,simple,4932,Saccharomyces cerevisiae,GSM3561541,GEO,SRA834477,03,2019,Santos,yeast cell lysate,yjw1863-Pnop2-gfp_starved_plusChx_footprints,yeast cell lysate,yJW1863,MATa yhrcdelta14::PNOP2-5'UTRADH1-EGFP-3'UTRADH1::kanMX6 his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,20 min amino acid starvation,TRUE,GSM3561541
SRR8439612,26450875,757742599,28,909,SRX5247042,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249277,SAMN10740349,simple,4932,Saccharomyces cerevisiae,GSM3561542,GEO,SRA834477,03,2019,Santos,yeast cell lysate,yjw1861-Pccw12-nop2_replete_plusChx_footprints,yeast cell lysate,yJW1861,MATa nop2::klNOP2 yhrcdelta14::PCCW12-NOP2::kanMX6 his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,replete,TRUE,GSM3561542
SRR8439613,12334446,359081152,29,425,SRX5247043,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249278,SAMN10740387,simple,4932,Saccharomyces cerevisiae,GSM3561543,GEO,SRA834477,03,2019,Santos,yeast cell lysate,yjw1861-Pccw12-nop2_starved_plusChx_footprints,yeast cell lysate,yJW1861,MATa nop2::klNOP2 yhrcdelta14::PCCW12-NOP2::kanMX6 his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,20 min amino acid starvation,TRUE,GSM3561543
SRR8439614,39502761,1124621589,28,1356,SRX5247044,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249279,SAMN10740386,simple,4932,Saccharomyces cerevisiae,GSM3561544,GEO,SRA834477,03,2019,Santos,yeast cell lysate,yjw1864-tripleKO_replete_plusChx_footprints,yeast cell lysate,yJW1864,MATa dot6::LEU2 tod6::URA3 stb3::kanMX6 his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,replete,TRUE,GSM3561544
SRR8439615,16086145,458277510,28,548,SRX5247045,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249280,SAMN10740374,simple,4932,Saccharomyces cerevisiae,GSM3561545,GEO,SRA834477,03,2019,Santos,yeast cell lysate,yjw1864-tripleKO_starved_plusChx_footprints,yeast cell lysate,yJW1864,MATa dot6::LEU2 tod6::URA3 stb3::kanMX6 his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,20 min amino acid starvation,TRUE,GSM3561545
SRR8439616,41708488,2127132888,51,703,SRX5247046,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249281,SAMN10740385,simple,4932,Saccharomyces cerevisiae,GSM3561546,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_01_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 1,TRUE,GSM3561546
SRR8439617,43447288,2215811688,51,739,SRX5247047,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249282,SAMN10740384,simple,4932,Saccharomyces cerevisiae,GSM3561547,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_02_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 2,TRUE,GSM3561547
SRR8439618,33452857,1706095707,51,568,SRX5247048,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249283,SAMN10740383,simple,4932,Saccharomyces cerevisiae,GSM3561548,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_03_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 3,TRUE,GSM3561548
SRR8439619,46194943,2355942093,51,793,SRX5247049,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249284,SAMN10740382,simple,4932,Saccharomyces cerevisiae,GSM3561549,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_04_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 4,TRUE,GSM3561549
SRR8439620,36137137,1842993987,51,614,SRX5247050,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4527071,SAMN11094133,simple,4932,Saccharomyces cerevisiae,GSM3561550,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_05_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 5,TRUE,GSM3561550
SRR8439621,37635442,1919407542,51,641,SRX5247051,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273247,SAMN10741702,simple,4932,Saccharomyces cerevisiae,GSM3561551,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_06_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 6,TRUE,GSM3561551
SRR8439622,42354834,2160096534,51,729,SRX5247052,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273248,SAMN10741701,simple,4932,Saccharomyces cerevisiae,GSM3561552,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_07_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 7,TRUE,GSM3561552
SRR8439623,40155403,2047925553,51,677,SRX5247053,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273249,SAMN10741700,simple,4932,Saccharomyces cerevisiae,GSM3561553,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_08_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 8,TRUE,GSM3561553
SRR8439624,42071167,2145629517,51,713,SRX5247054,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273250,SAMN10741699,simple,4932,Saccharomyces cerevisiae,GSM3561554,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_09_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 9,TRUE,GSM3561554
SRR8439625,43242457,2205365307,51,737,SRX5247055,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273251,SAMN10741698,simple,4932,Saccharomyces cerevisiae,GSM3561555,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_10_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 10,TRUE,GSM3561555
SRR8439626,39249290,2001713790,51,667,SRX5247056,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273252,SAMN10741697,simple,4932,Saccharomyces cerevisiae,GSM3561556,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_11_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 11,TRUE,GSM3561556
SRR8439627,37430595,1908960345,51,638,SRX5247057,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273253,SAMN10741692,simple,4932,Saccharomyces cerevisiae,GSM3561557,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_12_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 12,TRUE,GSM3561557
SRR8439628,40712359,2076330309,51,686,SRX5247058,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273254,SAMN10741696,simple,4932,Saccharomyces cerevisiae,GSM3561558,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_13_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 13,TRUE,GSM3561558
SRR8439629,40407512,2060783112,51,687,SRX5247059,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273255,SAMN10741695,simple,4932,Saccharomyces cerevisiae,GSM3561559,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_14_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 14,TRUE,GSM3561559
SRR8439630,40475828,2064267228,51,686,SRX5247060,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273256,SAMN10741694,simple,4932,Saccharomyces cerevisiae,GSM3561560,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_15_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 15,TRUE,GSM3561560
SRR8439631,47761265,2435824515,51,817,SRX5247061,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273257,SAMN10741693,simple,4932,Saccharomyces cerevisiae,GSM3561561,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_16_plusChx_mrna,yeast cell lysate,CEN.PK,MATa,YMC time point 16,TRUE,GSM3561561
SRR8439632,22696055,1157498805,51,423,SRX5247062,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273259,SAMN10741691,simple,4932,Saccharomyces cerevisiae,GSM3561562,GEO,SRA834477,03,2019,Santos,yeast cell lysate,by4741_replete_plusChx_mrna,yeast cell lysate,BY4741,MATa his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,replete,TRUE,GSM3561562
SRR8439633,20141771,1027230321,51,356,SRX5247063,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273258,SAMN10741690,simple,4932,Saccharomyces cerevisiae,GSM3561563,GEO,SRA834477,03,2019,Santos,yeast cell lysate,by4741_replete_minusChx_mrna,yeast cell lysate,BY4741,MATa his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,replete,FALSE,GSM3561563
SRR8439634,24000589,1224030039,51,448,SRX5247064,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273260,SAMN10741689,simple,4932,Saccharomyces cerevisiae,GSM3561564,GEO,SRA834477,03,2019,Santos,yeast cell lysate,by4741_starved_plusChx_mrna,yeast cell lysate,BY4741,MATa his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,20 min amino acid starvation,TRUE,GSM3561564
SRR8439635,21535154,1098292854,51,381,SRX5247065,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273261,SAMN10741688,simple,4932,Saccharomyces cerevisiae,GSM3561565,GEO,SRA834477,03,2019,Santos,yeast cell lysate,by4741_starved_minusChx_mrna,yeast cell lysate,BY4741,MATa his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,20 min amino acid starvation,FALSE,GSM3561565
SRR8439636,19030048,970532448,51,343,SRX5247066,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4273262,SAMN10741687,simple,4932,Saccharomyces cerevisiae,GSM3561566,GEO,SRA834477,03,2019,Santos,yeast cell lysate,yjw1862-Pnop2-nop2_replete_plusChx_mrna,yeast cell lysate,yJW1862,MATa nop2::klNOP2 yhrcdelta14::PNOP2-NOP2::kanMX6 his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,replete,TRUE,GSM3561566
SRR8439637,17250410,879770910,51,312,SRX5247067,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249285,SAMN10740381,simple,4932,Saccharomyces cerevisiae,GSM3561567,GEO,SRA834477,03,2019,Santos,yeast cell lysate,yjw1862-Pnop2-nop2_starved_plusChx_mrna,yeast cell lysate,yJW1862,MATa nop2::klNOP2 yhrcdelta14::PNOP2-NOP2::kanMX6 his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,20 min amino acid starvation,TRUE,GSM3561567
SRR8439638,26487345,1350854595,51,467,SRX5247068,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249286,SAMN10740380,simple,4932,Saccharomyces cerevisiae,GSM3561568,GEO,SRA834477,03,2019,Santos,yeast cell lysate,yjw1863-Pnop2-gfp_replete_plusChx_mrna,yeast cell lysate,yJW1863,MATa yhrcdelta14::PNOP2-5'UTRADH1-EGFP-3'UTRADH1::kanMX6 his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,replete,TRUE,GSM3561568
SRR8439639,25173285,1283837535,51,447,SRX5247069,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249287,SAMN10740379,simple,4932,Saccharomyces cerevisiae,GSM3561569,GEO,SRA834477,03,2019,Santos,yeast cell lysate,yjw1863-Pnop2-gfp_starved_plusChx_mrna,yeast cell lysate,yJW1863,MATa yhrcdelta14::PNOP2-5'UTRADH1-EGFP-3'UTRADH1::kanMX6 his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,20 min amino acid starvation,TRUE,GSM3561569
