Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,metastatic capacity,rna,genotype/variation,treatment
SRR22193103,4031196,266058936,66,147,SRX18171518,GSM6710510,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670740,SAMN31608463,simple,9606,Homo sapiens,GSM6710510,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-gHNRNPC_Cyto_2,breast cancer cell line,MDA-MB-231,poorly metastatic,cytoplasmic,HNRNPC knockdown,
SRR22193102,5230120,345187920,66,191,SRX18171519,GSM6710511,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670741,SAMN31608462,simple,9606,Homo sapiens,GSM6710511,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-gHNRNPC_Cyto_3,breast cancer cell line,MDA-MB-231,poorly metastatic,cytoplasmic,HNRNPC knockdown,
SRR22193101,3485608,230050128,66,126,SRX18171520,GSM6710512,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670742,SAMN31608461,simple,9606,Homo sapiens,GSM6710512,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-Par_Nuc_1,breast cancer cell line,MDA-MB-231,poorly metastatic,nuclear,,
SRR22193100,4064197,268237002,66,149,SRX18171521,GSM6710513,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670743,SAMN31608460,simple,9606,Homo sapiens,GSM6710513,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-Par_Nuc_2,breast cancer cell line,MDA-MB-231,poorly metastatic,nuclear,,
SRR22193099,3393923,223998918,66,124,SRX18171522,GSM6710514,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670744,SAMN31608459,simple,9606,Homo sapiens,GSM6710514,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-Par_Nuc_3,breast cancer cell line,MDA-MB-231,poorly metastatic,nuclear,,
SRR22193098,2368708,156334728,66,87,SRX18171523,GSM6710515,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670745,SAMN31608458,simple,9606,Homo sapiens,GSM6710515,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_Nuc_1,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,nuclear,,
SRR22193097,4113097,271464402,66,151,SRX18171524,GSM6710516,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670746,SAMN31608457,simple,9606,Homo sapiens,GSM6710516,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_Nuc_2,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,nuclear,,
SRR22193096,4335506,286143396,66,158,SRX18171525,GSM6710517,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670747,SAMN31608456,simple,9606,Homo sapiens,GSM6710517,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_Nuc_3,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,nuclear,,
SRR22193095,4965335,327712110,66,182,SRX18171526,GSM6710518,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670748,SAMN31608455,simple,9606,Homo sapiens,GSM6710518,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-gCTRL_Nuc_1,breast cancer cell line,MDA-MB-231,poorly metastatic,nuclear,control,
SRR22193094,4815111,317797326,66,176,SRX18171527,GSM6710519,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670749,SAMN31608454,simple,9606,Homo sapiens,GSM6710519,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-gCTRL_Nuc_2,breast cancer cell line,MDA-MB-231,poorly metastatic,nuclear,control,
SRR22193093,3975588,262388808,66,145,SRX18171528,GSM6710520,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670750,SAMN31608453,simple,9606,Homo sapiens,GSM6710520,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-gCTRL_Nuc_3,breast cancer cell line,MDA-MB-231,poorly metastatic,nuclear,control,
SRR22193092,3827980,252646680,66,140,SRX18171529,GSM6710521,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670751,SAMN31608452,simple,9606,Homo sapiens,GSM6710521,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-gHNRNPC_Nuc_1,breast cancer cell line,MDA-MB-231,poorly metastatic,nuclear,HNRNPC knockdown,
SRR22193091,3974255,262300830,66,145,SRX18171530,GSM6710522,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670752,SAMN31608451,simple,9606,Homo sapiens,GSM6710522,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-gHNRNPC_Nuc_2,breast cancer cell line,MDA-MB-231,poorly metastatic,nuclear,HNRNPC knockdown,
SRR22193090,4528554,298884564,66,165,SRX18171531,GSM6710523,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670753,SAMN31608450,simple,9606,Homo sapiens,GSM6710523,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-gHNRNPC_Nuc_3,breast cancer cell line,MDA-MB-231,poorly metastatic,nuclear,HNRNPC knockdown,
SRR22193089,3817823,251976318,66,140,SRX18171532,GSM6710524,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670754,SAMN31608449,simple,9606,Homo sapiens,GSM6710524,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_06h_DMSO_1,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,DMSO
SRR22193088,3961312,261446592,66,145,SRX18171533,GSM6710525,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670755,SAMN31608448,simple,9606,Homo sapiens,GSM6710525,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_06h_DMSO_2,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,DMSO
SRR22193087,4712029,310993914,66,173,SRX18171534,GSM6710526,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670756,SAMN31608447,simple,9606,Homo sapiens,GSM6710526,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_06h_DMSO_3,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,DMSO
SRR22193086,4181788,275998008,66,153,SRX18171535,GSM6710527,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670757,SAMN31608446,simple,9606,Homo sapiens,GSM6710527,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_06h_T4_1,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,T4
SRR22193085,4026030,265717980,66,148,SRX18171536,GSM6710528,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670758,SAMN31608445,simple,9606,Homo sapiens,GSM6710528,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_06h_T4_2,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,T4
SRR22193084,2820615,186160590,66,104,SRX18171537,GSM6710529,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670759,SAMN31608444,simple,9606,Homo sapiens,GSM6710529,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_06h_T4_3,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,T4
SRR22193083,3997666,263845956,66,146,SRX18171538,GSM6710530,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670760,SAMN31608443,simple,9606,Homo sapiens,GSM6710530,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_24h_DMSO_1,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,DMSO
SRR22193082,4370517,288454122,66,161,SRX18171539,GSM6710531,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670761,SAMN31608442,simple,9606,Homo sapiens,GSM6710531,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_24h_DMSO_2,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,DMSO
SRR22193081,4031570,266083620,66,147,SRX18171540,GSM6710532,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670762,SAMN31608441,simple,9606,Homo sapiens,GSM6710532,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_24h_DMSO_3,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,DMSO
SRR22193080,4353252,287314632,66,160,SRX18171541,GSM6710533,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670763,SAMN31608440,simple,9606,Homo sapiens,GSM6710533,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_24h_T4_1,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,T4
SRR22193079,4514153,297934098,66,166,SRX18171542,GSM6710534,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670764,SAMN31608439,simple,9606,Homo sapiens,GSM6710534,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_24h_T4_2,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,T4
SRR22193078,3992605,263511930,66,147,SRX18171543,GSM6710535,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670765,SAMN31608438,simple,9606,Homo sapiens,GSM6710535,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_24h_T4_3,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,T4
SRR22193077,4035844,266365704,66,148,SRX18171544,GSM6710536,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670766,SAMN31608437,simple,9606,Homo sapiens,GSM6710536,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_72h_DMSO_1,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,DMSO
SRR22193076,4221049,278589234,66,154,SRX18171545,GSM6710537,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670767,SAMN31608436,simple,9606,Homo sapiens,GSM6710537,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_72h_DMSO_2,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,DMSO
SRR22193075,4275864,282207024,66,157,SRX18171546,GSM6710538,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670768,SAMN31608435,simple,9606,Homo sapiens,GSM6710538,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_72h_DMSO_3,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,DMSO
SRR22193074,4250618,280540788,66,156,SRX18171547,GSM6710539,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670769,SAMN31608434,simple,9606,Homo sapiens,GSM6710539,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_72h_T4_1,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,T4
SRR22193073,3875908,255809928,66,142,SRX18171548,GSM6710540,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670770,SAMN31608433,simple,9606,Homo sapiens,GSM6710540,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_72h_T4_2,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,T4
SRR22193072,4000719,264047454,66,147,SRX18171549,GSM6710541,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670771,SAMN31608432,simple,9606,Homo sapiens,GSM6710541,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_72h_T4_3,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,total,,T4
