Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,fraction,genotype,replicate,sample name,stimulus,Experimental Factor: genotype,Experimental Factor: compound,Experimental Factor: fraction,Experimental Factor: dose
ERR3850602,12027053,3608115900,150,1403,ERX3863184,sty1delta.control.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270336,SAMEA6505901,simple,4896,Schizosaccharomyces pombe,SAMEA6505901,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",sty1delta.control.rna.1,2020-06-01,2020-01-28,SAMEA6505901,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:sty1delta.control.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,1,E-MTAB-8744:sty1delta.control.rna.1,untreated,sty1delta,none,rRNA depleted total RNA,
ERR3850603,11416168,3424850400,150,1313,ERX3863185,sty1delta.control.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270337,SAMEA6505902,simple,4896,Schizosaccharomyces pombe,SAMEA6505902,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",sty1delta.control.rna.2,2020-06-01,2020-01-28,SAMEA6505902,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:sty1delta.control.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,2,E-MTAB-8744:sty1delta.control.rna.2,untreated,sty1delta,none,rRNA depleted total RNA,
ERR3850592,16722871,836143550,50,251,ERX3863186,sty1delta.h2o2.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270338,SAMEA6505903,simple,4896,Schizosaccharomyces pombe,SAMEA6505903,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",sty1delta.h2o2.ribo.1,2020-06-01,2020-01-28,SAMEA6505903,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:sty1delta.h2o2.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,1,E-MTAB-8744:sty1delta.h2o2.ribo.1,hydrogen peroxide,sty1delta,hydrogen peroxide,ribosome protected fragments,0.5
ERR3850593,42723140,2136157000,50,633,ERX3863187,sty1delta.h2o2.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270339,SAMEA6505904,simple,4896,Schizosaccharomyces pombe,SAMEA6505904,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",sty1delta.h2o2.ribo.2,2020-06-01,2020-01-28,SAMEA6505904,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:sty1delta.h2o2.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,2,E-MTAB-8744:sty1delta.h2o2.ribo.2,hydrogen peroxide,sty1delta,hydrogen peroxide,ribosome protected fragments,0.5
ERR3850604,8848523,2654556900,150,965,ERX3863188,sty1delta.h2o2.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270340,SAMEA6505905,simple,4896,Schizosaccharomyces pombe,SAMEA6505905,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",sty1delta.h2o2.rna.1,2020-06-01,2020-01-28,SAMEA6505905,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:sty1delta.h2o2.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,1,E-MTAB-8744:sty1delta.h2o2.rna.1,hydrogen peroxide,sty1delta,hydrogen peroxide,rRNA depleted total RNA,0.5
ERR3850605,12556586,3766975800,150,1424,ERX3863189,sty1delta.h2o2.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270341,SAMEA6505906,simple,4896,Schizosaccharomyces pombe,SAMEA6505906,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",sty1delta.h2o2.rna.2,2020-06-01,2020-01-28,SAMEA6505906,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:sty1delta.h2o2.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,2,E-MTAB-8744:sty1delta.h2o2.rna.2,hydrogen peroxide,sty1delta,hydrogen peroxide,rRNA depleted total RNA,0.5
ERR3850594,17866181,893309050,50,259,ERX3863190,wt.control.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270342,SAMEA6505907,simple,4896,Schizosaccharomyces pombe,SAMEA6505907,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",wt.control.ribo.1,2020-06-01,2020-01-28,SAMEA6505907,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:wt.control.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,1,E-MTAB-8744:wt.control.ribo.1,untreated,wild type genotype,none,ribosome protected fragments,
ERR3850595,54109191,2705459550,50,799,ERX3863191,wt.control.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270343,SAMEA6505908,simple,4896,Schizosaccharomyces pombe,SAMEA6505908,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",wt.control.ribo.2,2020-06-01,2020-01-28,SAMEA6505908,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:wt.control.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,2,E-MTAB-8744:wt.control.ribo.2,untreated,wild type genotype,none,ribosome protected fragments,
ERR3850606,11620822,3486246600,150,1247,ERX3863192,wt.control.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270344,SAMEA6505909,simple,4896,Schizosaccharomyces pombe,SAMEA6505909,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",wt.control.rna.1,2020-06-01,2020-01-28,SAMEA6505909,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:wt.control.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,1,E-MTAB-8744:wt.control.rna.1,untreated,wild type genotype,none,rRNA depleted total RNA,
ERR3850607,13411768,4023530400,150,1541,ERX3863193,wt.control.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270345,SAMEA6505910,simple,4896,Schizosaccharomyces pombe,SAMEA6505910,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",wt.control.rna.2,2020-06-01,2020-01-28,SAMEA6505910,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:wt.control.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,2,E-MTAB-8744:wt.control.rna.2,untreated,wild type genotype,none,rRNA depleted total RNA,
ERR3850596,14695825,734791250,50,214,ERX3863194,wt.h2o2.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270346,SAMEA6505911,simple,4896,Schizosaccharomyces pombe,SAMEA6505911,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",wt.h2o2.ribo.1,2020-06-01,2020-01-28,SAMEA6505911,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:wt.h2o2.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,1,E-MTAB-8744:wt.h2o2.ribo.1,hydrogen peroxide,wild type genotype,hydrogen peroxide,ribosome protected fragments,0.5
ERR3850597,32771291,1638564550,50,490,ERX3863195,wt.h2o2.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270347,SAMEA6505912,simple,4896,Schizosaccharomyces pombe,SAMEA6505912,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",wt.h2o2.ribo.2,2020-06-01,2020-01-28,SAMEA6505912,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:wt.h2o2.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,2,E-MTAB-8744:wt.h2o2.ribo.2,hydrogen peroxide,wild type genotype,hydrogen peroxide,ribosome protected fragments,0.5
ERR3850608,2576782,773034600,150,304,ERX3863196,wt.h2o2.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270348,SAMEA6505913,simple,4896,Schizosaccharomyces pombe,SAMEA6505913,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",wt.h2o2.rna.1,2020-06-01,2020-01-28,SAMEA6505913,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:wt.h2o2.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,1,E-MTAB-8744:wt.h2o2.rna.1,hydrogen peroxide,wild type genotype,hydrogen peroxide,rRNA depleted total RNA,0.5
ERR3850609,14482573,4344771900,150,1676,ERX3863197,wt.h2o2.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270349,SAMEA6505914,simple,4896,Schizosaccharomyces pombe,SAMEA6505914,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",wt.h2o2.rna.2,2020-06-01,2020-01-28,SAMEA6505914,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:wt.h2o2.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,2,E-MTAB-8744:wt.h2o2.rna.2,hydrogen peroxide,wild type genotype,hydrogen peroxide,rRNA depleted total RNA,0.5
