Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,input,fragmentation,Stage,geo_loc_name,collection_date,cell type
SRR18080568,5709547,777476283,60,300,SRX14232105,GSM5907719,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP360681,PRJNA808741,1,"",SRS12053213,SAMN26102175,simple,10090,Mus musculus,GSM5907719,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse forebrain lysate,"forebrain, 12.5U/mL_RP",Mouse forebrain lysate,forebrain,30 ng RNA equiv. forebrain lysate,RNase I 12.5 U/mL,P5,missing,missing,
SRR18080567,6105446,833830197,61,322,SRX14232106,GSM5907720,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP360681,PRJNA808741,1,"",SRS12053212,SAMN26102174,simple,10090,Mus musculus,GSM5907720,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse forebrain lysate,"forebrain, 62.5U/mL_RP",Mouse forebrain lysate,forebrain,30 ng RNA equiv. forebrain lysate,RNase I 62.5 U/mL,P5,missing,missing,
SRR18080566,8053791,1082986604,59,415,SRX14232107,GSM5907721,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP360681,PRJNA808741,1,"",SRS12053214,SAMN26102173,simple,10090,Mus musculus,GSM5907721,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse forebrain lysate,"forebrain, 312.5U/mL_RP",Mouse forebrain lysate,forebrain,30 ng RNA equiv. forebrain lysate,RNase I 312.5 U/mL,P5,missing,missing,
SRR18080565,4757694,633005020,57,246,SRX14232108,GSM5907722,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP360681,PRJNA808741,1,"",SRS12053215,SAMN26102172,simple,10090,Mus musculus,GSM5907722,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse forebrain lysate,"forebrain, in_vitro_R>G",Mouse forebrain lysate,forebrain,50 ng extracted RNA,RNase I 0.05 U,P5,missing,missing,
SRR18080564,31973519,3230031823,50,1015,SRX14232109,GSM5907723,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS12053216,SAMN26102171,simple,10090,Mus musculus,GSM5907723,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse cortex,"cortex, AlkFrag_test",Mouse cortex,cortex,7.5 ng extracted RNA,"Alkaline Fragmentation (pH=9.2, 37 min at 95 deg C)",P3,missing,missing,
SRR18080563,33185083,3367140017,50,1044,SRX14232110,GSM5907724,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS12053218,SAMN26102170,simple,10090,Mus musculus,GSM5907724,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse cortex,"cortex, 50kCPN_12.5U_RP",Mouse cortex,cortex,50k sorted CPN,Rnase I 12.5 U/mL,P3,missing,missing,Callosal Projection Neuron
SRR18080562,27140468,2750393841,50,862,SRX14232111,GSM5907725,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS12053217,SAMN26102169,simple,10090,Mus musculus,GSM5907725,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse cortex,"cortex, 50kCPN_2.5U_RP",Mouse cortex,cortex,50k sorted CPN,Rnase I 2.5 U/mL,P3,missing,missing,Callosal Projection Neuron
SRR18080561,25402356,2572107153,50,805,SRX14232112,GSM5907726,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS12053219,SAMN26102168,simple,10090,Mus musculus,GSM5907726,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse cortex,"cortex, 17kCPN_12.5U_RP",Mouse cortex,cortex,17k sorted CPN,Rnase I 12.5 U/mL,P3,missing,missing,Callosal Projection Neuron
SRR18080560,23457221,2378375604,50,738,SRX14232113,GSM5907727,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS12053220,SAMN26102167,simple,10090,Mus musculus,GSM5907727,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse cortex,"cortex, 50kSCPN_12.5U_RP",Mouse cortex,cortex,50k sorted SCPN,Rnase I 12.5 U/mL,P3,missing,missing,Subcerebral Projection Neuron
SRR18080559,55551499,5666252898,51,1876,SRX14232114,GSM5907728,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS12053221,SAMN26102166,simple,10090,Mus musculus,GSM5907728,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse cortex,"cortex, CPN_hemi1_RP",Mouse cortex,cortex,20.8k sorted CPN,Rnase I 12.5 U/mL,P4,missing,missing,Callosal Projection Neuron
SRR18080558,62305824,6355194048,51,2099,SRX14232115,GSM5907729,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS12053222,SAMN26102165,simple,10090,Mus musculus,GSM5907729,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse cortex,"cortex, CPN_hemi2_RP",Mouse cortex,cortex,9.1k sorted CPN,Rnase I 12.5 U/mL,P4,missing,missing,Callosal Projection Neuron
SRR18080557,47446257,4839518214,51,1620,SRX14232116,GSM5907730,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS12053223,SAMN26102164,simple,10090,Mus musculus,GSM5907730,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse cortex,"cortex, CPN_hemi3_RP",Mouse cortex,cortex,2.5k sorted CPN,Rnase I 12.5 U/mL,P4,missing,missing,Callosal Projection Neuron
SRR18080556,44985863,4588558026,51,1526,SRX14232117,GSM5907731,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS12053224,SAMN26102163,simple,10090,Mus musculus,GSM5907731,"Jeannie Lee lab, Molecular Biology, HHMI, Massachusetts General Hospital, Harvard Medical School",SRA1376270,08,2023,Makar,Mouse cortex,"cortex, CPN_hemi4_RP",Mouse cortex,cortex,4.3k sorted CPN,Rnase I 12.5 U/mL,P4,missing,missing,Callosal Projection Neuron
SRR24833784,38745501,3952041102,51,1333,SRX20598173,GSM7453779,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898289,SAMN35636697,simple,10090,Mus musculus,GSM7453779,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,sorted cortical neurons,RP_SCPN_13000,sorted cortical neurons,,13000 cells,Rnase I 12.5 U/mL,P3,missing,missing,Subcerebral Projection Neurons
SRR24833783,29531012,3012163224,51,1023,SRX20598174,GSM7453778,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898290,SAMN35636698,simple,10090,Mus musculus,GSM7453778,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,sorted cortical neurons,RP_CPN_13900,sorted cortical neurons,,13900 cells,Rnase I 12.5 U/mL,P3,missing,missing,Callosal Projection Neurons
SRR24833781,27970814,2853023028,51,964,SRX20598175,GSM7453777,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898293,SAMN35636699,simple,10090,Mus musculus,GSM7453777,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,sorted cortical neurons,RP_CPN_15000,sorted cortical neurons,,15000 cells,Rnase I 12.5 U/mL,P3,missing,missing,Callosal Projection Neurons
SRR24833779,43108371,4397053842,51,1557,SRX20598176,GSM7453776,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898291,SAMN35636700,simple,9606,Homo sapiens,GSM7453776,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,HEK293,nanoRibo-seq_B_50000,HEK293,,50000 cells,RNase I 12.5 U/mL,,missing,missing,HEK293T
SRR24833782,44439677,4532847054,51,1643,SRX20598176,GSM7453776,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898291,SAMN35636700,simple,9606,Homo sapiens,GSM7453776,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,HEK293,nanoRibo-seq_B_50000,HEK293,,10000 cells,RNase I 2.5 U/mL,,missing,missing,HEK293T
SRR24833777,25337206,2584395012,51,906,SRX20598177,GSM7453775,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898292,SAMN35636701,simple,9606,Homo sapiens,GSM7453775,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,HEK293,nanoRibo-seq_B_10000,HEK293,,1000 cells,RNase I 2.5 U/mL,,missing,missing,HEK293T
SRR24833780,26724819,2725931538,51,980,SRX20598177,GSM7453775,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898292,SAMN35636701,simple,9606,Homo sapiens,GSM7453775,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,HEK293,nanoRibo-seq_B_10000,HEK293,,50000 cells,RNase I 2.5 U/mL,,missing,missing,HEK293T
SRR24833775,12590526,1284233652,51,455,SRX20598178,GSM7453774,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898294,SAMN35636702,simple,9606,Homo sapiens,GSM7453774,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,HEK293,nanoRibo-seq_B_1000,HEK293,,10000 cells,RNase I 2.5 U/mL,,missing,missing,HEK293T
SRR24833778,13044731,1330562562,51,483,SRX20598178,GSM7453774,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898294,SAMN35636702,simple,9606,Homo sapiens,GSM7453774,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,HEK293,nanoRibo-seq_B_1000,HEK293,,1000 cells,RNase I 2.5 U/mL,,missing,missing,HEK293T
SRR24833773,49002693,4998274686,51,1763,SRX20598179,GSM7453773,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898295,SAMN35636703,simple,9606,Homo sapiens,GSM7453773,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,HEK293,nanoRibo-seq_A_50000,sorted cortical neurons,,13200 cells,Rnase I 12.5 U/mL,P3,missing,missing,Subcerebral Projection Neurons
SRR24833776,50745487,5176039674,51,1870,SRX20598179,GSM7453773,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898295,SAMN35636703,simple,9606,Homo sapiens,GSM7453773,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,HEK293,nanoRibo-seq_A_50000,sorted cortical neurons,,5000 cells,"Alkaline Fragmentation (pH=9.2, 37 min at 95 deg C)",P3,missing,missing,Callosal Projection Neurons
SRR24833771,3832800,390945600,51,139,SRX20598180,GSM7453772,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898296,SAMN35636704,simple,9606,Homo sapiens,GSM7453772,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,HEK293,nanoRibo-seq_A_10000,sorted cortical neurons,,4600 cells,"Alkaline Fragmentation (pH=9.2, 37 min at 95 deg C)",P3,missing,missing,Callosal Projection Neurons
SRR24833774,3979774,405936948,51,148,SRX20598180,GSM7453772,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898296,SAMN35636704,simple,9606,Homo sapiens,GSM7453772,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,HEK293,nanoRibo-seq_A_10000,sorted cortical neurons,,3100 cells,"Alkaline Fragmentation (pH=9.2, 37 min at 95 deg C)",P3,missing,missing,Subcerebral Projection Neurons
SRR24833770,15344473,1565136246,51,554,SRX20598181,GSM7453771,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898297,SAMN35636705,simple,9606,Homo sapiens,GSM7453771,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,HEK293,nanoRibo-seq_A_1000,sorted cortical neurons,,3300 cells,"Alkaline Fragmentation (pH=9.2, 37 min at 95 deg C)",P3,missing,missing,Subcerebral Projection Neurons
SRR24833772,15900791,1621880682,51,589,SRX20598181,GSM7453771,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898297,SAMN35636705,simple,9606,Homo sapiens,GSM7453771,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,HEK293,nanoRibo-seq_A_1000,sorted cortical neurons,,22500 cells,Rnase I 12.5 U/mL,P3,missing,missing,Callosal Projection Neurons
SRR24833769,29413748,3000202296,51,1028,SRX20598182,GSM7453780,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898298,SAMN35636696,simple,10090,Mus musculus,GSM7453780,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,sorted cortical neurons,RP_SCPN_13200,sorted cortical neurons,,22500 cells,Rnase I 12.5 U/mL,P3,missing,missing,Callosal Projection Neurons
SRR24833768,63893898,6517177596,51,2213,SRX20598183,GSM7453781,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898300,SAMN35636695,simple,10090,Mus musculus,GSM7453781,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,sorted cortical neurons,AF_CPN_5000,sorted cortical neurons,,14400 cells,Rnase I 12.5 U/mL,P3,missing,missing,Subcerebral Projection Neurons
SRR24833767,71048140,7246910280,51,2454,SRX20598184,GSM7453782,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898299,SAMN35636694,simple,10090,Mus musculus,GSM7453782,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,sorted cortical neurons,AF_CPN_4600,sorted cortical neurons,,15800 cells,Rnase I 12.5 U/mL,P3,missing,missing,Subcerebral Projection Neurons
SRR24833766,95093687,9699556074,51,3265,SRX20598185,GSM7453783,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898301,SAMN35636693,simple,10090,Mus musculus,GSM7453783,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,sorted cortical neurons,AF_SCPN_3100,sorted cortical neurons,,7500 cells,"Alkaline Fragmentation (pH=9.2, 37 min at 95 deg C)",P3,missing,missing,Callosal Projection Neurons
SRR24833765,46852969,4779002838,51,1631,SRX20598186,GSM7453784,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898302,SAMN35636692,simple,10090,Mus musculus,GSM7453784,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,sorted cortical neurons,AF_SCPN_3300,sorted cortical neurons,,7500 cells,"Alkaline Fragmentation (pH=9.2, 37 min at 95 deg C)",P3,missing,missing,Callosal Projection Neurons
SRR24833764,33771483,3444691266,51,1170,SRX20598187,GSM7453785,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898303,SAMN35636691,simple,10090,Mus musculus,GSM7453785,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,sorted cortical neurons,RP_CPN_22500-1,sorted cortical neurons,,3600 cells,"Alkaline Fragmentation (pH=9.2, 37 min at 95 deg C)",P3,missing,missing,Subcerebral Projection Neurons
SRR24833763,55010484,5611069368,51,1902,SRX20598188,GSM7453786,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898308,SAMN35636690,simple,10090,Mus musculus,GSM7453786,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,sorted cortical neurons,RP_CPN_22500-2,sorted cortical neurons,,5200 cells,"Alkaline Fragmentation (pH=9.2, 37 min at 95 deg C)",P3,missing,missing,Subcerebral Projection Neurons
SRR24833762,51746090,5278101180,51,1776,SRX20598189,GSM7453787,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898305,SAMN35636689,simple,10090,Mus musculus,GSM7453787,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,sorted cortical neurons,RP_SCPN_14400,Mouse forebrain lysate,forebrain,30 ng RNA equiv. forebrain lysate,RNase I 2.5 U/mL,P4,missing,missing,
SRR24833761,59989740,6118953480,51,2073,SRX20598190,GSM7453788,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898304,SAMN35636688,simple,10090,Mus musculus,GSM7453788,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,sorted cortical neurons,RP_SCPN_15800,Mouse cortex,cortex,9.9k sorted CPN,Rnase I 12.5 U/mL,P4,missing,missing,Callosal Projection Neuron
SRR24833760,79868486,8146585572,51,2752,SRX20598191,GSM7453789,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360681,PRJNA808741,1,"",SRS17898307,SAMN35636687,simple,10090,Mus musculus,GSM7453789,"Macklis Lab, Stem Cell & Regenerative Biology, Harvard University",SRA1649662,08,2023,Makar,sorted cortical neurons,AF_CPN_7500-1,Mouse cortex,cortex,6.2k sorted CPN,"Alkaline Fragmentation (pH=9.2, 37 min at 95 deg C)",P4,missing,missing,Callosal Projection Neuron
