Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,age,strain,genotype
SRR17238163,32464095,3311337690,51,1642,SRX13417243,GSM5736920,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318873,SAMN24103109,simple,10090,Mus musculus,GSM5736920,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,input_8dpp_Ythdc2-WT_DJ138,Testis,Testis,Postnatal day 8,C57BL/6J,Ythdc2 +/+
SRR17238162,33268150,3393351300,51,1711,SRX13417244,GSM5736921,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318874,SAMN24103108,simple,10090,Mus musculus,GSM5736921,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,input_8dpp_Ythdc2-WT_DJ34,Testis,Testis,Postnatal day 8,C57BL/6J,Ythdc2 +/+
SRR17238161,33415362,858577403,25,438,SRX13417245,GSM5736922,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318876,SAMN24103107,simple,10090,Mus musculus,GSM5736922,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,ribo_10dpp_Ythdc2KO_het_DJ359,Testis,Testis,Postnatal day 10,C57BL/6J,Ythdc2 +/- (het)
SRR17238160,56645280,1534938924,27,764,SRX13417246,GSM5736923,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318875,SAMN24103106,simple,10090,Mus musculus,GSM5736923,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,ribo_10dpp_Ythdc2KO_het_DJ364,Testis,Testis,Postnatal day 10,C57BL/6J,Ythdc2 +/- (het)
SRR17238159,67562082,1758552573,26,895,SRX13417247,GSM5736924,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318877,SAMN24103105,simple,10090,Mus musculus,GSM5736924,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,ribo_10dpp_Ythdc2KO_homo_DJ358,Testis,Testis,Postnatal day 10,C57BL/6J,Ythdc2 -/- (homo)
SRR17238158,58859767,1559471040,26,786,SRX13417248,GSM5736925,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318879,SAMN24103104,simple,10090,Mus musculus,GSM5736925,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,ribo_10dpp_Ythdc2KO_homo_DJ363,Testis,Testis,Postnatal day 10,C57BL/6J,Ythdc2 -/- (homo)
SRR17238157,65086832,1654698558,25,853,SRX13417249,GSM5736926,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318878,SAMN24103103,simple,10090,Mus musculus,GSM5736926,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,ribo_10dpp_Ythdc2KO_homo_DJ391,Testis,Testis,Postnatal day 10,C57BL/6J,Ythdc2 -/- (homo)
SRR17238156,83862681,2261078004,26,1133,SRX13417250,GSM5736927,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318880,SAMN24103102,simple,10090,Mus musculus,GSM5736927,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,ribo_10dpp_Ythdc2-WT_DJ395,Testis,Testis,Postnatal day 10,C57BL/6J,Ythdc2 +/+
SRR17238155,67815790,1971557744,29,956,SRX13417251,GSM5736928,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318882,SAMN24103101,simple,10090,Mus musculus,GSM5736928,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,ribo_8dpp_Ythdc2KO_homo_DJ132,Testis,Testis,Postnatal day 8,C57BL/6J,Ythdc2 -/- (homo)
SRR17238154,34136356,981610154,28,478,SRX13417252,GSM5736929,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318881,SAMN24103100,simple,10090,Mus musculus,GSM5736929,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,ribo_8dpp_Ythdc2KO_homo_DJ139,Testis,Testis,Postnatal day 8,C57BL/6J,Ythdc2 -/- (homo)
SRR17238153,88828811,2561170375,28,1240,SRX13417253,GSM5736930,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318883,SAMN24103099,simple,10090,Mus musculus,GSM5736930,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,ribo_8dpp_Ythdc2KO_homo_DJ32,Testis,Testis,Postnatal day 8,C57BL/6J,Ythdc2 -/- (homo)
SRR17238152,50072791,1460017405,29,693,SRX13417254,GSM5736931,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318885,SAMN24103098,simple,10090,Mus musculus,GSM5736931,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,ribo_8dpp_Ythdc2-WT_DJ134,Testis,Testis,Postnatal day 8,C57BL/6J,Ythdc2 +/+
SRR17238151,57809637,1670153329,28,810,SRX13417255,GSM5736932,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318884,SAMN24103097,simple,10090,Mus musculus,GSM5736932,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,ribo_8dpp_Ythdc2-WT_DJ138,Testis,Testis,Postnatal day 8,C57BL/6J,Ythdc2 +/+
SRR17238150,36437047,1046836062,28,514,SRX13417256,GSM5736933,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318886,SAMN24103096,simple,10090,Mus musculus,GSM5736933,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,ribo_8dpp_Ythdc2-WT_DJ34,Testis,Testis,Postnatal day 8,C57BL/6J,Ythdc2 +/+
SRR17238149,50423971,10185642142,101,3810,SRX13417257,GSM5736934,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318887,SAMN24103095,simple,10090,Mus musculus,GSM5736934,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,RNAseq_Ythdc2_WLA_het_224,Testis,Testis,24 weeks,C57BL/6J,Ythdc2 WLA/+ (het)
SRR17238148,56893343,11492455286,101,4168,SRX13417258,GSM5736935,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318889,SAMN24103094,simple,10090,Mus musculus,GSM5736935,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,RNAseq_Ythdc2_WLA_het_227,Testis,Testis,24 weeks,C57BL/6J,Ythdc2 WLA/+ (het)
SRR17238147,47259468,9546412536,101,3925,SRX13417259,GSM5736936,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318888,SAMN24103093,simple,10090,Mus musculus,GSM5736936,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,RNAseq_Ythdc2_WLA_het_242,Testis,Testis,20 weeks,C57BL/6J,Ythdc2 WLA/+ (het)
SRR17238146,52013535,10506734070,101,3836,SRX13417260,GSM5736937,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318890,SAMN24103092,simple,10090,Mus musculus,GSM5736937,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,RNAseq_Ythdc2_WLA_homo_225,Testis,Testis,24 weeks,C57BL/6J,Ythdc2 WLA/WLA (homo)
SRR17238145,43256762,8737865924,101,3282,SRX13417261,GSM5736938,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318892,SAMN24103091,simple,10090,Mus musculus,GSM5736938,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,RNAseq_Ythdc2_WLA_homo_226,Testis,Testis,24 weeks,C57BL/6J,Ythdc2 WLA/WLA (homo)
SRR17238144,49938238,10087524076,101,3731,SRX13417262,GSM5736939,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318891,SAMN24103090,simple,10090,Mus musculus,GSM5736939,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,RNAseq_Ythdc2_WLA_homo_243,Testis,Testis,20 weeks,C57BL/6J,Ythdc2 WLA/WLA (homo)
