Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,developmental stage,molecule,GEO Accession
SRR13577602,15826559,2373983850,150,1018,SRX9975662,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147792,SAMN17679169,simple,10090,Mus musculus,GSM5049863,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,E3_DRB_L2C_Ribo,Preimplantation embryo,WT,late 2-cell,Ribosome protected fragment,GSM5049863
SRR13577603,7391483,2217444900,150,946,SRX9975663,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147793,SAMN17679167,simple,10090,Mus musculus,GSM5049864,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,E3_DRB_L2C_smart,Preimplantation embryo,WT,late 2-cell,polyA RNA,GSM5049864
SRR13577604,5594999,1130189798,101,482,SRX9975664,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147794,SAMN17679165,simple,10090,Mus musculus,GSM5049865,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,E2_CHX_L2C_fromE2C_L2C_smart,Preimplantation embryo,WT,late 2-cell stage,polyA RNA,GSM5049865
SRR13577605,18232755,5469826500,150,1966,SRX9975665,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147795,SAMN17679126,simple,10090,Mus musculus,GSM5049866,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,E2_CHX_L2C_fromPN3_L2C_smart,Preimplantation embryo,WT,late 2-cell stage,polyA RNA,GSM5049866
SRR13577606,7148872,2144661600,150,866,SRX9975666,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147796,SAMN17678852,simple,10090,Mus musculus,GSM5049867,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,E2_CHX_L2C_fromPN5_L2C_smart,Preimplantation embryo,WT,late 2-cell stage,polyA RNA,GSM5049867
SRR13577607,5126147,1035481694,101,439,SRX9975667,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147797,SAMN17678851,simple,10090,Mus musculus,GSM5049868,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,E2_Ctr_L2C_fromE2C_L2C_smart,Preimplantation embryo,WT,late 2-cell,polyA RNA,GSM5049868
SRR13577608,4943279,1482983700,150,585,SRX9975668,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147798,SAMN17678850,simple,10090,Mus musculus,GSM5049869,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,E2_Ctr_L2C_fromPN3_L2C_smart,Preimplantation embryo,WT,late 2-cell,polyA RNA,GSM5049869
SRR13577609,8772246,2631673800,150,1026,SRX9975669,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147799,SAMN17678849,simple,10090,Mus musculus,GSM5049870,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,E2_Ctr_L2C_fromPN5_L2C_smart,Preimplantation embryo,WT,late 2-cell,polyA RNA,GSM5049870
SRR13577616,14569493,2185423950,150,870,SRX9975676,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147806,SAMN17678842,simple,10090,Mus musculus,GSM5049877,GEO,SRA1189375,04,2022,Xiong,Oocyte,E4_MII_Cnot6l_Het_Ribo_re1,Oocyte,Cnot6l Het,MII oocyte,Ribosome protected fragment,GSM5049877
SRR13577617,17331324,2599698600,150,1032,SRX9975677,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147807,SAMN17678841,simple,10090,Mus musculus,GSM5049878,GEO,SRA1189375,04,2022,Xiong,Oocyte,E4_MII_Cnot6l_KO_Ribo_re1,Oocyte,Cnot6l KO,MII oocyte,Ribosome protected fragment,GSM5049878
SRR13577621,11431633,3429489900,150,1346,SRX9975681,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147811,SAMN17678837,simple,10090,Mus musculus,GSM5049882,GEO,SRA1189375,04,2022,Xiong,Oocyte,E4_MII_Cnot6l_Het_smart_rep1,Oocyte,Cnot6l Het,MII oocyte,polyA RNA,GSM5049882
SRR13577622,9292095,2787628500,150,1106,SRX9975682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147812,SAMN17678835,simple,10090,Mus musculus,GSM5049883,GEO,SRA1189375,04,2022,Xiong,Oocyte,E4_MII_Cnot6l_Het_smart_rep2,Oocyte,Cnot6l Het,MII oocyte,polyA RNA,GSM5049883
SRR13577623,8934978,2680493400,150,1065,SRX9975683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147813,SAMN17678832,simple,10090,Mus musculus,GSM5049884,GEO,SRA1189375,04,2022,Xiong,Oocyte,E4_MII_Cnot6l_KO_smart_rep1,Oocyte,Cnot6l KO,MII oocyte,polyA RNA,GSM5049884
SRR13577624,8159819,2447945700,150,1017,SRX9975684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147814,SAMN17678830,simple,10090,Mus musculus,GSM5049885,GEO,SRA1189375,04,2022,Xiong,Oocyte,E4_MII_Cnot6l_KO_smart_rep2,Oocyte,Cnot6l KO,MII oocyte,polyA RNA,GSM5049885
SRR18677066,12581403,1887210450,150,764,SRX14778597,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12537998,SAMN27404740,simple,10090,Mus musculus,GSM6033257,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_1_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033257
SRR18677067,17880748,2682112200,150,954,SRX14778598,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12537999,SAMN27404741,simple,10090,Mus musculus,GSM6033258,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_2_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033258
SRR18677068,13399968,2009995200,150,814,SRX14778599,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538000,SAMN27404742,simple,10090,Mus musculus,GSM6033259,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_3_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033259
SRR18677069,26663453,3999517950,150,1433,SRX14778600,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538001,SAMN27404743,simple,10090,Mus musculus,GSM6033260,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_4_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033260
SRR18677070,15387290,2308093500,150,1010,SRX14778601,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538002,SAMN27404744,simple,10090,Mus musculus,GSM6033261,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_5_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033261
SRR18677071,13092417,1963862550,150,799,SRX14778602,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538003,SAMN27404745,simple,10090,Mus musculus,GSM6033262,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_6_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033262
SRR18677072,13915644,2087346600,150,986,SRX14778603,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538005,SAMN27404746,simple,10090,Mus musculus,GSM6033263,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_7_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033263
SRR18677073,15744181,2361627150,150,1021,SRX14778604,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538004,SAMN27404747,simple,10090,Mus musculus,GSM6033264,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_8_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033264
SRR18677074,12906973,1936045950,150,918,SRX14778605,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538006,SAMN27404748,simple,10090,Mus musculus,GSM6033265,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_9_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033265
SRR18677075,10650127,1597519050,150,676,SRX14778606,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538008,SAMN27404749,simple,10090,Mus musculus,GSM6033266,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_10_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033266
SRR18677076,14371722,2155758300,150,1030,SRX14778607,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538007,SAMN27404750,simple,10090,Mus musculus,GSM6033267,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_11_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033267
SRR18677077,13440369,2016055350,150,956,SRX14778608,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538009,SAMN27404751,simple,10090,Mus musculus,GSM6033268,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_12_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033268
SRR18677078,13325042,1998756300,150,948,SRX14778609,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538010,SAMN27404752,simple,10090,Mus musculus,GSM6033269,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_13_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033269
SRR18677079,13809780,2071467000,150,979,SRX14778610,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538011,SAMN27404753,simple,10090,Mus musculus,GSM6033270,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_14_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033270
SRR18677080,17854718,2678207700,150,1155,SRX14778611,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538012,SAMN27404754,simple,10090,Mus musculus,GSM6033271,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_15_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033271
SRR18677081,10896555,1634483250,150,662,SRX14778612,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538014,SAMN27404755,simple,10090,Mus musculus,GSM6033272,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_FGO_16_Ribo,Oocyte,WT,Full-grown oocyte,Ribosome protected fragment,GSM6033272
SRR18677098,8013015,1201952250,150,433,SRX14778613,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538013,SAMN27404712,simple,10090,Mus musculus,GSM6033289,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_MII_15_Ribo,Oocyte,WT,MII oocyte,Ribosome protected fragment,GSM6033289
SRR18677099,7457803,1118670450,150,404,SRX14778614,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS12538016,SAMN27404713,simple,10090,Mus musculus,GSM6033290,GEO,SRA1189375,04,2022,Xiong,Oocyte,E1_MII_16_Ribo,Oocyte,WT,MII oocyte,Ribosome protected fragment,GSM6033290
