Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,ID,disease state,GEO Accession
SRR14511602,94636773,12018870171,28,4096,SRX10857402,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952884,SAMN19117444,simple,9606,Homo sapiens,GSM5292156,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_128_snRNA-A7,Motor Cortex,Motor Cortex,224,c9FTLD,GSM5292169
SRR14511603,93426270,11865136290,28,4061,SRX10857402,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952884,SAMN19117444,simple,9606,Homo sapiens,GSM5292156,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_128_snRNA-A7,Motor Cortex,Motor Cortex,225,sFTLD,GSM5292170
SRR14511604,104076200,13217677400,28,4506,SRX10857403,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952885,SAMN19117443,simple,9606,Homo sapiens,GSM5292157,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_129_snRNA-A2,Motor Cortex,Motor Cortex,226,sFTLD,GSM5292171
SRR14511605,102765039,13051159953,28,4467,SRX10857403,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952885,SAMN19117443,simple,9606,Homo sapiens,GSM5292157,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_129_snRNA-A2,Motor Cortex,Motor Cortex,228,sFTLD,GSM5292172
SRR14511606,99124147,12588766669,28,4284,SRX10857404,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952886,SAMN19117442,simple,9606,Homo sapiens,GSM5292158,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_130_snRNA-A5,Motor Cortex,Motor Cortex,229,c9FTLD,GSM5292173
SRR14511607,97917035,12435463445,28,4251,SRX10857404,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952886,SAMN19117442,simple,9606,Homo sapiens,GSM5292158,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_130_snRNA-A5,Motor Cortex,Motor Cortex,301,PN,GSM5292174
SRR14511608,120625067,15319383509,28,4992,SRX10857405,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952887,SAMN19117441,simple,9606,Homo sapiens,GSM5292159,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_202_snRNA-D3,Motor Cortex,Motor Cortex,303,PN,GSM5292175
SRR14511609,122501594,15557702438,28,5028,SRX10857405,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952887,SAMN19117441,simple,9606,Homo sapiens,GSM5292159,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_202_snRNA-D3,Motor Cortex,Motor Cortex,304,PN,GSM5292176
SRR14511610,120789664,15340287328,28,4990,SRX10857406,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952888,SAMN19117440,simple,9606,Homo sapiens,GSM5292160,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_204_snRNA-D4,Motor Cortex,Motor Cortex,306,PN,GSM5292177
SRR14511611,122613477,15571911579,28,5023,SRX10857406,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952888,SAMN19117440,simple,9606,Homo sapiens,GSM5292160,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_204_snRNA-D4,Motor Cortex,Motor Cortex,307,PN,GSM5292178
SRR14511612,112053321,14230771767,28,4606,SRX10857407,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952889,SAMN19117439,simple,9606,Homo sapiens,GSM5292161,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_207_snRNA-D5,Motor Cortex,Motor Cortex,308,PN,GSM5292179
SRR14511613,113727241,14443359607,28,4636,SRX10857407,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952889,SAMN19117439,simple,9606,Homo sapiens,GSM5292161,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_207_snRNA-D5,Motor Cortex,Motor Cortex,309,PN,GSM5292180
SRR14511614,117053033,14865735191,28,4835,SRX10857408,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952890,SAMN19117438,simple,9606,Homo sapiens,GSM5292162,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_209_snRNA-D6,Motor Cortex,Motor Cortex,317,PN,GSM5292181
SRR14511615,118936416,15104924832,28,4873,SRX10857408,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952890,SAMN19117438,simple,9606,Homo sapiens,GSM5292162,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_209_snRNA-D6,Motor Cortex,Motor Cortex,318,PN,GSM5292182
SRR14511616,114529884,14545295268,28,4872,SRX10857409,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952891,SAMN19117437,simple,9606,Homo sapiens,GSM5292163,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_211_snRNA-D7,Motor Cortex,Motor Cortex,319,PN,GSM5292183
SRR14511617,113147914,14369785078,28,4827,SRX10857409,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952891,SAMN19117437,simple,9606,Homo sapiens,GSM5292163,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_211_snRNA-D7,Motor Cortex,Motor Cortex,322,PN,GSM5292184
SRR14511618,106826550,13566971850,28,4565,SRX10857410,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952892,SAMN19117436,simple,9606,Homo sapiens,GSM5292164,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_214_snRNA-D9,Motor Cortex,Motor Cortex,323,PN,GSM5292185
SRR14511619,105502055,13398760985,28,4521,SRX10857410,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952892,SAMN19117436,simple,9606,Homo sapiens,GSM5292164,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_214_snRNA-D9,Motor Cortex,Motor Cortex,324,PN,GSM5292186
SRR14511620,104546130,13277358510,28,4458,SRX10857411,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952894,SAMN19117435,simple,9606,Homo sapiens,GSM5292165,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_216_snRNA-H3,Motor Cortex,Motor Cortex,325,PN,GSM5292187
SRR14511621,103409166,13132964082,28,4424,SRX10857411,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952894,SAMN19117435,simple,9606,Homo sapiens,GSM5292165,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_216_snRNA-H3,Motor Cortex,Motor Cortex,328,PN,GSM5292188
SRR14511622,77286657,9815405439,28,3471,SRX10857412,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952893,SAMN19117434,simple,9606,Homo sapiens,GSM5292166,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_217_snRNA-D11,Motor Cortex,Motor Cortex,206,sFTLD,GSM5292189
SRR14511623,91522385,11623342895,28,3991,SRX10857412,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952893,SAMN19117434,simple,9606,Homo sapiens,GSM5292166,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_217_snRNA-D11,Motor Cortex,Motor Cortex,210,c9FTLD,GSM5292190
SRR14511624,78229921,9935199967,28,3522,SRX10857413,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952895,SAMN19117462,simple,9606,Homo sapiens,GSM5292167,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_218_snRNA-H4,Motor Cortex,Motor Cortex,214,c9FTLD,GSM5292191
SRR14511625,92790713,11784420551,28,4057,SRX10857413,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952895,SAMN19117462,simple,9606,Homo sapiens,GSM5292167,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_218_snRNA-H4,Motor Cortex,Motor Cortex,229,c9FTLD,GSM5292192
SRR14511626,77827806,9884131362,28,3490,SRX10857414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952896,SAMN19117461,simple,9606,Homo sapiens,GSM5292168,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_222_snRNA-E1,Motor Cortex,Motor Cortex,302,PN,GSM5292193
SRR14511627,92172310,11705883370,28,4014,SRX10857414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952896,SAMN19117461,simple,9606,Homo sapiens,GSM5292168,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_222_snRNA-E1,Motor Cortex,Motor Cortex,101,sALS,GSM5292194
SRR14511628,89606623,11380041121,28,4000,SRX10857415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952897,SAMN19117459,simple,9606,Homo sapiens,GSM5292169,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_224_snRNA-E2,Motor Cortex,Motor Cortex,102,sALS,GSM5292195
SRR14511629,110103011,13983082397,28,4779,SRX10857415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952897,SAMN19117459,simple,9606,Homo sapiens,GSM5292169,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_224_snRNA-E2,Motor Cortex,Motor Cortex,103,sALS,GSM5292196
SRR14511630,114054201,14484883527,28,4969,SRX10857416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952898,SAMN19117495,simple,9606,Homo sapiens,GSM5292170,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_225_snRNA-H5,Motor Cortex,Motor Cortex,104,sALS,GSM5292197
SRR14511631,112696762,14312488774,28,4930,SRX10857416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952898,SAMN19117495,simple,9606,Homo sapiens,GSM5292170,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_225_snRNA-H5,Motor Cortex,Motor Cortex,106,sALS,GSM5292198
SRR14511632,112881055,14335893985,28,4889,SRX10857417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952899,SAMN19117494,simple,9606,Homo sapiens,GSM5292171,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_226_snRNA-E4,Motor Cortex,Motor Cortex,108,sALS,GSM5292199
SRR14511633,111505457,14161193039,28,4850,SRX10857417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952899,SAMN19117494,simple,9606,Homo sapiens,GSM5292171,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_226_snRNA-E4,Motor Cortex,Motor Cortex,113,c9ALS,GSM5292200
SRR14511634,104679479,13294293833,28,4542,SRX10857418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952900,SAMN19117493,simple,9606,Homo sapiens,GSM5292172,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_228_snRNA-E5,Motor Cortex,Motor Cortex,311,PN,GSM5292201
SRR14511635,103405630,13132515010,28,4505,SRX10857418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952900,SAMN19117493,simple,9606,Homo sapiens,GSM5292172,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_228_snRNA-E5,Motor Cortex,Motor Cortex,232,c9FTLD,GSM5292202
SRR14511636,106925792,13579575584,28,4657,SRX10857419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952901,SAMN19117492,simple,9606,Homo sapiens,GSM5292173,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_229_snRNA-E6,Motor Cortex,Motor Cortex,234,c9FTLD,GSM5292203
SRR14511637,105563756,13406597012,28,4616,SRX10857419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952901,SAMN19117492,simple,9606,Homo sapiens,GSM5292173,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191113_FTLD_229_snRNA-E6,Motor Cortex,Motor Cortex,235,c9FTLD,GSM5292204
