Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,fraction,genotype,replicate,sample name,stimulus,Experimental Factor: genotype,Experimental Factor: stimulus,Experimental Factor: fraction
ERR3823838,20530298,6159089400,150,2127,ERX3833221,sty1delta.control.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251147,SAMEA6486676,simple,4896,Schizosaccharomyces pombe,SAMEA6486676,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",sty1delta.control.rna.1,2020-06-01,2020-01-17,SAMEA6486676,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:sty1delta.control.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,1,E-MTAB-8686:sty1delta.control.rna.1,untreated,sty1delta,untreated,rRNA depleted total RNA
ERR3823839,16932690,5079807000,150,1890,ERX3833222,sty1delta.control.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251148,SAMEA6486677,simple,4896,Schizosaccharomyces pombe,SAMEA6486677,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",sty1delta.control.rna.2,2020-06-01,2020-01-17,SAMEA6486677,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:sty1delta.control.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,2,E-MTAB-8686:sty1delta.control.rna.2,untreated,sty1delta,untreated,rRNA depleted total RNA
ERR3823828,62561979,3128098950,50,896,ERX3833223,sty1delta.hs.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251149,SAMEA6486678,simple,4896,Schizosaccharomyces pombe,SAMEA6486678,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",sty1delta.hs.ribo.1,2020-06-01,2020-01-17,SAMEA6486678,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:sty1delta.hs.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,1,E-MTAB-8686:sty1delta.hs.ribo.1,heat shock,sty1delta,heat shock,ribosome protected fragments
ERR3823829,54459680,2722984000,50,784,ERX3833224,sty1delta.hs.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251150,SAMEA6486679,simple,4896,Schizosaccharomyces pombe,SAMEA6486679,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",sty1delta.hs.ribo.2,2020-06-01,2020-01-17,SAMEA6486679,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:sty1delta.hs.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,2,E-MTAB-8686:sty1delta.hs.ribo.2,heat shock,sty1delta,heat shock,ribosome protected fragments
ERR3823840,23145072,6943521600,150,2513,ERX3833225,sty1delta.hs.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251151,SAMEA6486680,simple,4896,Schizosaccharomyces pombe,SAMEA6486680,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",sty1delta.hs.rna.1,2020-06-01,2020-01-17,SAMEA6486680,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:sty1delta.hs.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,1,E-MTAB-8686:sty1delta.hs.rna.1,heat shock,sty1delta,heat shock,rRNA depleted total RNA
ERR3823841,16633010,4989903000,150,1853,ERX3833226,sty1delta.hs.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251152,SAMEA6486681,simple,4896,Schizosaccharomyces pombe,SAMEA6486681,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",sty1delta.hs.rna.2,2020-06-01,2020-01-17,SAMEA6486681,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:sty1delta.hs.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,2,E-MTAB-8686:sty1delta.hs.rna.2,heat shock,sty1delta,heat shock,rRNA depleted total RNA
ERR3823830,49547072,2477353600,50,703,ERX3833227,wt.control.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251153,SAMEA6486682,simple,4896,Schizosaccharomyces pombe,SAMEA6486682,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",wt.control.ribo.1,2020-06-01,2020-01-17,SAMEA6486682,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:wt.control.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,1,E-MTAB-8686:wt.control.ribo.1,untreated,wild type genotype,untreated,ribosome protected fragments
ERR3823831,52065160,2603258000,50,750,ERX3833228,wt.control.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251154,SAMEA6486683,simple,4896,Schizosaccharomyces pombe,SAMEA6486683,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",wt.control.ribo.2,2020-06-01,2020-01-17,SAMEA6486683,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:wt.control.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,2,E-MTAB-8686:wt.control.ribo.2,untreated,wild type genotype,untreated,ribosome protected fragments
ERR3823842,21563012,6468903600,150,2209,ERX3833229,wt.control.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251155,SAMEA6486684,simple,4896,Schizosaccharomyces pombe,SAMEA6486684,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",wt.control.rna.1,2020-06-01,2020-01-17,SAMEA6486684,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:wt.control.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,1,E-MTAB-8686:wt.control.rna.1,untreated,wild type genotype,untreated,rRNA depleted total RNA
ERR3823843,17250081,5175024300,150,1900,ERX3833230,wt.control.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251156,SAMEA6486685,simple,4896,Schizosaccharomyces pombe,SAMEA6486685,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",wt.control.rna.2,2020-06-01,2020-01-17,SAMEA6486685,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:wt.control.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,2,E-MTAB-8686:wt.control.rna.2,untreated,wild type genotype,untreated,rRNA depleted total RNA
ERR3823832,70854086,3542704300,50,991,ERX3833231,wt.hs.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251157,SAMEA6486686,simple,4896,Schizosaccharomyces pombe,SAMEA6486686,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",wt.hs.ribo.1,2020-06-01,2020-01-17,SAMEA6486686,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:wt.hs.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,1,E-MTAB-8686:wt.hs.ribo.1,heat shock,wild type genotype,heat shock,ribosome protected fragments
ERR3823833,68715578,3435778900,50,982,ERX3833232,wt.hs.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251158,SAMEA6486687,simple,4896,Schizosaccharomyces pombe,SAMEA6486687,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",wt.hs.ribo.2,2020-06-01,2020-01-17,SAMEA6486687,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:wt.hs.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,2,E-MTAB-8686:wt.hs.ribo.2,heat shock,wild type genotype,heat shock,ribosome protected fragments
ERR3823844,93812031,28143609300,150,9695,ERX3833233,wt.hs.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251159,SAMEA6486688,simple,4896,Schizosaccharomyces pombe,SAMEA6486688,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",wt.hs.rna.1,2020-06-01,2020-01-17,SAMEA6486688,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:wt.hs.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,1,E-MTAB-8686:wt.hs.rna.1,heat shock,wild type genotype,heat shock,rRNA depleted total RNA
ERR3823845,13966908,4190072400,150,1595,ERX3833234,wt.hs.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251160,SAMEA6486689,simple,4896,Schizosaccharomyces pombe,SAMEA6486689,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",wt.hs.rna.2,2020-06-01,2020-01-17,SAMEA6486689,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:wt.hs.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,2,E-MTAB-8686:wt.hs.rna.2,heat shock,wild type genotype,heat shock,rRNA depleted total RNA
