Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,feeding,genotype,GEO Accession
SRR2535281,9913485,495674250,50,316,SRX1295232,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094306,SAMN04122290,simple,10090,Mus musculus,GSM1897857,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT02_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897870
SRR2535282,9502315,484618065,51,308,SRX1295232,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094306,SAMN04122290,simple,10090,Mus musculus,GSM1897857,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT02_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897871
SRR2535283,9560236,478011800,50,305,SRX1295233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094305,SAMN04122291,simple,10090,Mus musculus,GSM1897858,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT04_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897872
SRR2535284,9167936,467564736,51,298,SRX1295233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094305,SAMN04122291,simple,10090,Mus musculus,GSM1897858,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT04_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897873
SRR2535285,9524605,476230250,50,304,SRX1295233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094305,SAMN04122291,simple,10090,Mus musculus,GSM1897858,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT04_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897874
SRR2535286,9060559,462088509,51,294,SRX1295233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094305,SAMN04122291,simple,10090,Mus musculus,GSM1897858,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT04_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897875
SRR2535287,9486140,474307000,50,302,SRX1295233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094305,SAMN04122291,simple,10090,Mus musculus,GSM1897858,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT04_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897876
SRR2535288,9217639,470099589,51,300,SRX1295233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094305,SAMN04122291,simple,10090,Mus musculus,GSM1897858,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT04_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897877
SRR2535289,9629510,481475500,50,307,SRX1295233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094305,SAMN04122291,simple,10090,Mus musculus,GSM1897858,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT04_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897878
SRR2535290,9182591,468312141,51,298,SRX1295233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094305,SAMN04122291,simple,10090,Mus musculus,GSM1897858,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT04_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897879
SRR2535291,9414696,470734800,50,299,SRX1295234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094304,SAMN04122292,simple,10090,Mus musculus,GSM1897859,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT06_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897880
SRR2535292,9060379,462079329,51,293,SRX1295234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094304,SAMN04122292,simple,10090,Mus musculus,GSM1897859,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT06_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897881
SRR2535293,9388379,469418950,50,298,SRX1295234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094304,SAMN04122292,simple,10090,Mus musculus,GSM1897859,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT06_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897882
SRR2535294,8952634,456584334,51,289,SRX1295234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094304,SAMN04122292,simple,10090,Mus musculus,GSM1897859,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT06_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897883
SRR2535295,9352531,467626550,50,297,SRX1295234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094304,SAMN04122292,simple,10090,Mus musculus,GSM1897859,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT06_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897884
SRR2535296,9084635,463316385,51,295,SRX1295234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094304,SAMN04122292,simple,10090,Mus musculus,GSM1897859,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT06_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897885
SRR2535297,9462756,473137800,50,301,SRX1295234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094304,SAMN04122292,simple,10090,Mus musculus,GSM1897859,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT06_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897886
SRR2535298,9071239,462633189,51,294,SRX1295234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094304,SAMN04122292,simple,10090,Mus musculus,GSM1897859,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT06_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897887
SRR2535299,9951043,497552150,50,317,SRX1295235,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094303,SAMN04122293,simple,10090,Mus musculus,GSM1897860,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT08_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897888
SRR2535300,9575698,488360598,51,311,SRX1295235,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094303,SAMN04122293,simple,10090,Mus musculus,GSM1897860,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT08_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897889
SRR2535301,9917661,495883050,50,316,SRX1295235,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094303,SAMN04122293,simple,10090,Mus musculus,GSM1897860,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT08_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897890
SRR2535302,9460392,482479992,51,307,SRX1295235,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094303,SAMN04122293,simple,10090,Mus musculus,GSM1897860,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT08_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897891
SRR2535303,9869069,493453450,50,314,SRX1295235,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094303,SAMN04122293,simple,10090,Mus musculus,GSM1897860,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT08_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897892
SRR2535304,9604544,489831744,51,312,SRX1295235,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094303,SAMN04122293,simple,10090,Mus musculus,GSM1897860,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT08_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897893
SRR2535305,10001443,500072150,50,319,SRX1295235,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094303,SAMN04122293,simple,10090,Mus musculus,GSM1897860,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT08_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897894
SRR2535306,9554240,487266240,51,310,SRX1295235,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094303,SAMN04122293,simple,10090,Mus musculus,GSM1897860,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT08_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897895
SRR2535307,9395444,469772200,50,304,SRX1295236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094302,SAMN04122294,simple,10090,Mus musculus,GSM1897861,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897896
SRR2535308,9004788,459244188,51,296,SRX1295236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094302,SAMN04122294,simple,10090,Mus musculus,GSM1897861,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897897
SRR2535309,9367923,468396150,50,303,SRX1295236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094302,SAMN04122294,simple,10090,Mus musculus,GSM1897861,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897898
SRR2535310,8891951,453489501,51,292,SRX1295236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094302,SAMN04122294,simple,10090,Mus musculus,GSM1897861,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897899
SRR2535311,9325873,466293650,50,301,SRX1295236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094302,SAMN04122294,simple,10090,Mus musculus,GSM1897861,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897900
SRR2535312,9034425,460755675,51,298,SRX1295236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094302,SAMN04122294,simple,10090,Mus musculus,GSM1897861,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897901
SRR2535313,9449103,472455150,50,305,SRX1295236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094302,SAMN04122294,simple,10090,Mus musculus,GSM1897861,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897902
SRR2535314,8994407,458714757,51,296,SRX1295236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094302,SAMN04122294,simple,10090,Mus musculus,GSM1897861,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897903
SRR2535315,10027938,501396900,50,317,SRX1295237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094301,SAMN04122295,simple,10090,Mus musculus,GSM1897862,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_A_RFP,Liver Total RNA,SV/129,Liver,10-14 weeks,Night restricted,Wild type,GSM1897904
SRR2535316,9652656,492285456,51,311,SRX1295237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094301,SAMN04122295,simple,10090,Mus musculus,GSM1897862,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_A_RFP,Liver Total RNA,SV/129,Liver,10-14 weeks,Night restricted,Wild type,GSM1897905
SRR2535317,10004775,500238750,50,317,SRX1295237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094301,SAMN04122295,simple,10090,Mus musculus,GSM1897862,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_A_RFP,Liver Total RNA,SV/129,Liver,10-14 weeks,Night restricted,Wild type,GSM1897906
SRR2535318,9533680,486217680,51,307,SRX1295237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094301,SAMN04122295,simple,10090,Mus musculus,GSM1897862,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_A_RFP,Liver Total RNA,SV/129,Liver,10-14 weeks,Night restricted,Wild type,GSM1897907
SRR2535319,9958400,497920000,50,315,SRX1295237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094301,SAMN04122295,simple,10090,Mus musculus,GSM1897862,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_A_RFP,Liver Total RNA,SV/129,Liver,10-14 weeks,Night restricted,Wild type,GSM1897908
SRR2535320,9679218,493640118,51,313,SRX1295237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094301,SAMN04122295,simple,10090,Mus musculus,GSM1897862,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_A_RFP,Liver Total RNA,SV/129,Liver,10-14 weeks,Night restricted,Wild type,GSM1897909
SRR2535321,10084057,504202850,50,319,SRX1295237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094301,SAMN04122295,simple,10090,Mus musculus,GSM1897862,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_A_RFP,Liver Total RNA,SV/129,Liver,10-14 weeks,Night restricted,Wild type,GSM1897910
SRR2535322,9661146,492718446,51,312,SRX1295237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094301,SAMN04122295,simple,10090,Mus musculus,GSM1897862,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_A_RFP,Liver Total RNA,SV/129,Liver,10-14 weeks,Night restricted,Wild type,GSM1897911
SRR2535323,12308195,615409750,50,388,SRX1295238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094300,SAMN04122296,simple,10090,Mus musculus,GSM1897863,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT14_A_RFP,Liver Total RNA,SV/129,Liver,10-14 weeks,Night restricted,Wild type,GSM1897912
SRR2535324,11894741,606631791,51,382,SRX1295238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094300,SAMN04122296,simple,10090,Mus musculus,GSM1897863,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT14_A_RFP,Liver Total RNA,SV/129,Liver,10-14 weeks,Night restricted,Wild type,GSM1897913
SRR2535325,12282495,614124750,50,387,SRX1295238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094300,SAMN04122296,simple,10090,Mus musculus,GSM1897863,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT14_A_RFP,Liver Total RNA,SV/129,Liver,10-14 weeks,Night restricted,Wild type,GSM1897914
SRR2535326,11743001,598893051,51,377,SRX1295238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094300,SAMN04122296,simple,10090,Mus musculus,GSM1897863,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT14_A_RFP,Liver Total RNA,SV/129,Liver,10-14 weeks,Night restricted,Wild type,GSM1897915
