Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,time point,rna-pretreatment,molecule subtype,sub_species,GEO Accession
SRR10400899,1965345,100232595,51,61,SRX7100971,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613228,SAMN13198656,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150161,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer Stationary RppH+ TSS-seq rep3,cell culture,ZM4,stationary,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150166
SRR10400900,1907379,97276329,51,59,SRX7100971,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613228,SAMN13198656,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150161,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer Stationary RppH+ TSS-seq rep3,cell culture,ZM4,stationary,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150167
SRR10400901,8935007,455685357,51,149,SRX7100972,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613229,SAMN13198655,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150162,GEO,SRA991514,07,2020,Vera,cell culture,RMG Aero mid-Glucose RppH+ TSS-seq rep1,cell culture,ZM4,stationary,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150168
SRR10400902,3696119,188502069,51,64,SRX7100973,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613230,SAMN13198654,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150163,GEO,SRA991514,07,2020,Vera,cell culture,RMG Aero mid-Glucose RppH+ TSS-seq rep2,cell culture,ZM4,mid-glucose,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150169
SRR10400903,2586722,131922822,51,44,SRX7100974,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613231,SAMN13198653,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150164,GEO,SRA991514,07,2020,Vera,cell culture,RMG Aero mid-Glucose RppH+ TSS-seq rep3,cell culture,ZM4,mid-glucose,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150170
SRR10400904,138148,7045548,51,2,SRX7100975,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613232,SAMN13198652,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150165,GEO,SRA991514,07,2020,Vera,cell culture,RMG Aero Stationary RppH+ TSS-seq rep1,cell culture,ZM4,mid-glucose,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150171
SRR10400905,4348363,221766513,51,76,SRX7100976,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613233,SAMN13198651,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150166,GEO,SRA991514,07,2020,Vera,cell culture,RMG Aero Stationary RppH+ TSS-seq rep2,cell culture,ZM4,stationary,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150172
SRR10400906,9013335,459680085,51,150,SRX7100977,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613234,SAMN13198650,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150167,GEO,SRA991514,07,2020,Vera,cell culture,RMG Aero Stationary RppH+ TSS-seq rep3,cell culture,ZM4,stationary,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150173
SRR10400907,4577291,233441841,51,78,SRX7100978,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613235,SAMN13198649,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150168,GEO,SRA991514,07,2020,Vera,cell culture,RMG Aero Stationary RppH+ TSS-seq rep4,cell culture,ZM4,stationary,RppH-treated,rRNA-depleted RNA,mobilis,GSM4150174
SRR10400908,8610643,439142793,51,142,SRX7100979,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613236,SAMN13198648,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150169,GEO,SRA991514,07,2020,Vera,cell culture,RMG Anaer mid-Glucose RppH+ TSS-seq rep1,cell culture,ZM4,mid-glucose,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150175
SRR10400909,1476657,75309507,51,26,SRX7100980,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613237,SAMN13198647,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150170,GEO,SRA991514,07,2020,Vera,cell culture,RMG Anaer mid-Glucose RppH+ TSS-seq rep2,cell culture,ZM4,mid-glucose,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150176
SRR10400910,3437154,175294854,51,61,SRX7100981,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613238,SAMN13198646,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150171,GEO,SRA991514,07,2020,Vera,cell culture,RMG Anaer mid-Glucose RppH+ TSS-seq rep3,cell culture,ZM4,mid-glucose,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150177
SRR10400911,3898490,198822990,51,68,SRX7100982,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613239,SAMN13198645,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150172,GEO,SRA991514,07,2020,Vera,cell culture,RMG Anaer Stationary RppH+ TSS-seq rep1,cell culture,ZM4,stationary,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150178
SRR10400912,1701896,86796696,51,30,SRX7100983,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613240,SAMN13198644,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150173,GEO,SRA991514,07,2020,Vera,cell culture,RMG Anaer Stationary RppH+ TSS-seq rep2,cell culture,ZM4,stationary,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150179
SRR10400913,1974832,100716432,51,34,SRX7100984,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613241,SAMN13198643,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150174,GEO,SRA991514,07,2020,Vera,cell culture,RMG Anaer Stationary RppH+ TSS-seq rep3,cell culture,ZM4,stationary,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150180
SRR10400914,1812899,92457849,51,55,SRX7100985,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613242,SAMN13198642,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150175,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer mid-Glucose RppH- TSS-seq rep1,cell culture,ZM4,mid-glucose,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150181
SRR10400915,1761764,89849964,51,53,SRX7100985,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613242,SAMN13198642,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150175,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer mid-Glucose RppH- TSS-seq rep1,cell culture,ZM4,mid-glucose,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150182
SRR10400916,4280016,218280816,51,131,SRX7100986,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613243,SAMN13198641,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150176,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer mid-Glucose RppH- TSS-seq rep2,cell culture,ZM4,mid-glucose,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150183
SRR10400917,4144950,211392450,51,127,SRX7100986,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613243,SAMN13198641,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150176,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer mid-Glucose RppH- TSS-seq rep2,cell culture,ZM4,stationary,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150184
SRR10400918,2697104,137552304,51,81,SRX7100987,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613244,SAMN13198640,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150177,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer mid-Glucose RppH- TSS-seq rep3,cell culture,ZM4,stationary,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150185
SRR10400919,2618720,133554720,51,79,SRX7100987,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613244,SAMN13198640,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150177,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer mid-Glucose RppH- TSS-seq rep3,cell culture,ZM4,stationary,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150186
SRR10400920,2994719,152730669,51,91,SRX7100988,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613245,SAMN13198639,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150178,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer Stationary RppH- TSS-seq rep1,cell culture,ZM4,stationary,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150187
SRR10400921,2903830,148095330,51,88,SRX7100988,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613245,SAMN13198639,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150178,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer Stationary RppH- TSS-seq rep1,cell culture,ZM4,mid-glucose,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150188
SRR10400922,3612465,184235715,51,110,SRX7100989,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613246,SAMN13198638,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150179,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer Stationary RppH- TSS-seq rep2,cell culture,ZM4,mid-glucose,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150189
SRR10400923,3493991,178193541,51,106,SRX7100989,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613246,SAMN13198638,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150179,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer Stationary RppH- TSS-seq rep2,cell culture,ZM4,mid-glucose,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150190
SRR10400924,1628445,83050695,51,49,SRX7100990,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613247,SAMN13198691,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150180,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer Stationary RppH- TSS-seq rep3,cell culture,ZM4,stationary,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150191
SRR10400925,1583704,80768904,51,48,SRX7100990,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613247,SAMN13198691,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150180,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer Stationary RppH- TSS-seq rep3,cell culture,ZM4,stationary,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150192
SRR10400926,3664801,186904851,51,63,SRX7100991,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613248,SAMN13198637,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150181,GEO,SRA991514,07,2020,Vera,cell culture,RMG Aero mid-Glucose RppH- TSS-seq rep1,cell culture,ZM4,stationary,RppH-untreated,rRNA-depleted RNA,mobilis,GSM4150193
SRR10400927,1821853,92914503,51,32,SRX7100992,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613249,SAMN13198669,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150182,GEO,SRA991514,07,2020,Vera,cell culture,RMG Aero mid-Glucose RppH- TSS-seq rep2,cell culture,ZM4,mid-glucose,N/A,rRNA-depleted RNA,mobilis,GSM4150194
SRR10400928,2262339,115379289,51,39,SRX7100993,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613250,SAMN13198668,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150183,GEO,SRA991514,07,2020,Vera,cell culture,RMG Aero mid-Glucose RppH- TSS-seq rep3,cell culture,ZM4,mid-glucose,N/A,rRNA-depleted RNA,mobilis,GSM4150195
SRR10400929,5535611,282316161,51,98,SRX7100994,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613251,SAMN13198667,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150184,GEO,SRA991514,07,2020,Vera,cell culture,RMG Aero Stationary RppH- TSS-seq rep1,cell culture,ZM4,mid-glucose,N/A,rRNA-depleted RNA,mobilis,GSM4150196
SRR10400930,4531342,231098442,51,80,SRX7100995,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613252,SAMN13198666,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150185,GEO,SRA991514,07,2020,Vera,cell culture,RMG Aero Stationary RppH- TSS-seq rep2,cell culture,ZM4,stationary,N/A,rRNA-depleted RNA,mobilis,GSM4150197
SRR10400931,4542001,231642051,51,78,SRX7100996,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613253,SAMN13198665,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150186,GEO,SRA991514,07,2020,Vera,cell culture,RMG Aero Stationary RppH- TSS-seq rep3,cell culture,ZM4,stationary,N/A,rRNA-depleted RNA,mobilis,GSM4150198
SRR10400932,9268784,472707984,51,156,SRX7100997,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613254,SAMN13198664,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150187,GEO,SRA991514,07,2020,Vera,cell culture,RMG Aero Stationary RppH- TSS-seq rep4,cell culture,ZM4,stationary,N/A,rRNA-depleted RNA,mobilis,GSM4150199
SRR10400933,2870220,146381220,51,49,SRX7100998,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613255,SAMN13198663,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150188,GEO,SRA991514,07,2020,Vera,cell culture,RMG Anaer mid-Glucose RppH- TSS-seq rep1,cell culture,ZM4,mid-glucose,N/A,rRNA-depleted RNA,mobilis,GSM4150200
SRR10400934,3459231,176420781,51,59,SRX7100999,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613256,SAMN13198662,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150189,GEO,SRA991514,07,2020,Vera,cell culture,RMG Anaer mid-Glucose RppH- TSS-seq rep2,cell culture,ZM4,mid-glucose,N/A,rRNA-depleted RNA,mobilis,GSM4150201
SRR10400935,4379189,223338639,51,76,SRX7101000,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613257,SAMN13198721,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150190,GEO,SRA991514,07,2020,Vera,cell culture,RMG Anaer mid-Glucose RppH- TSS-seq rep3,cell culture,ZM4,mid-glucose,N/A,rRNA-depleted RNA,mobilis,GSM4150202
SRR10400936,6012482,306636582,51,105,SRX7101001,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613258,SAMN13198705,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150191,GEO,SRA991514,07,2020,Vera,cell culture,RMG Anaer Stationary RppH- TSS-seq rep1,cell culture,ZM4,stationary,N/A,rRNA-depleted RNA,mobilis,GSM4150203
SRR10400937,3291466,167864766,51,56,SRX7101002,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613259,SAMN13198703,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150192,GEO,SRA991514,07,2020,Vera,cell culture,RMG Anaer Stationary RppH- TSS-seq rep2,cell culture,ZM4,stationary,N/A,rRNA-depleted RNA,mobilis,GSM4150204
SRR10400938,3381082,172435182,51,58,SRX7101003,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613260,SAMN13198702,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150193,GEO,SRA991514,07,2020,Vera,cell culture,RMG Anaer Stationary RppH- TSS-seq rep3,cell culture,ZM4,stationary,N/A,rRNA-depleted RNA,mobilis,GSM4150205
SRR10400939,1475012,75225612,51,25,SRX7101004,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613262,SAMN13198701,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150194,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer mid-Glucose term-seq rep1,cell culture,ZM4,stationary,N/A,rRNA-depleted RNA,mobilis,GSM4150206
SRR10400940,1677666,85560966,51,28,SRX7101005,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613261,SAMN13198700,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150195,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer mid-Glucose term-seq rep2,cell culture,ZM4,mid-glucose,N/A,rRNA-depleted RNA,mobilis,GSM4150207
SRR10400941,2062451,105185001,51,35,SRX7101006,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP228586,PRJNA587699,32694125,"",SRS5613263,SAMN13198699,simple,264203,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,GSM4150196,GEO,SRA991514,07,2020,Vera,cell culture,MMG Anaer mid-Glucose term-seq rep3,cell culture,ZM4,mid-glucose,N/A,rRNA-depleted RNA,mobilis,GSM4150208
