Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,antibody,GEO Accession
SRR6497066,22141076,4428215200,100,1863,SRX3586140,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854833,SAMN08379252,simple,10090,Mus musculus,GSM2942724,GEO,SRA650456,12,2018,Tan,Lin28B_X0_Polysome_Mouse,Lin28B_X0_Polysome_Mouse,Lin28B_X0_Polysome_Mouse,NIH3T3,,GSM2942724
SRR6497067,17636294,3527258800,100,1499,SRX3586141,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854834,SAMN08379264,simple,10090,Mus musculus,GSM2942725,GEO,SRA650456,12,2018,Tan,Lin28B_X1_Polysome_Mouse,Lin28B_X1_Polysome_Mouse,Lin28B_X1_Polysome_Mouse,NIH3T3,,GSM2942725
SRR6497068,20649943,4129988600,100,1732,SRX3586142,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854835,SAMN08379263,simple,10090,Mus musculus,GSM2942726,GEO,SRA650456,12,2018,Tan,Lin28B_X2_Polysome_Mouse,Lin28B_X2_Polysome_Mouse,Lin28B_X2_Polysome_Mouse,NIH3T3,,GSM2942726
SRR6497069,19331417,3866283400,100,1724,SRX3586143,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854836,SAMN08379248,simple,10090,Mus musculus,GSM2942727,GEO,SRA650456,12,2018,Tan,Lin28B_X3_Polysome_Mouse,Lin28B_X3_Polysome_Mouse,Lin28B_X3_Polysome_Mouse,NIH3T3,,GSM2942727
SRR6497070,17887092,3577418400,100,1502,SRX3586144,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854838,SAMN08379247,simple,10090,Mus musculus,GSM2942728,GEO,SRA650456,12,2018,Tan,Lin28B_X4_Polysome_Mouse,Lin28B_X4_Polysome_Mouse,Lin28B_X4_Polysome_Mouse,NIH3T3,,GSM2942728
SRR6497071,24922656,4984531200,100,2092,SRX3586145,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2858978,SAMN08379265,simple,10090,Mus musculus,GSM2942729,GEO,SRA650456,12,2018,Tan,LIN28B_X0_Total_RNA_Mouse,LIN28B_X0_Total_RNA_Mouse,LIN28B_X0_Total_RNA_Mouse,NIH3T3,,GSM2942729
SRR6497072,17582777,3516555400,100,1457,SRX3586146,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854837,SAMN08379251,simple,10090,Mus musculus,GSM2942730,GEO,SRA650456,12,2018,Tan,LIN28B_X1_Total_RNA_Mouse,LIN28B_X1_Total_RNA_Mouse,LIN28B_X1_Total_RNA_Mouse,NIH3T3,,GSM2942730
SRR6497073,16014565,3202913000,100,1340,SRX3586147,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2858965,SAMN08379250,simple,10090,Mus musculus,GSM2942731,GEO,SRA650456,12,2018,Tan,LIN28B_X2_Total_RNA_Mouse,LIN28B_X2_Total_RNA_Mouse,LIN28B_X2_Total_RNA_Mouse,NIH3T3,,GSM2942731
SRR6497074,20300501,4060100200,100,1684,SRX3586148,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854839,SAMN08379249,simple,10090,Mus musculus,GSM2942732,GEO,SRA650456,12,2018,Tan,LIN28B_X3_Total_RNA_Mouse,LIN28B_X3_Total_RNA_Mouse,LIN28B_X3_Total_RNA_Mouse,NIH3T3,,GSM2942732
SRR6497075,22493378,4498675600,100,1875,SRX3586149,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854840,SAMN08379246,simple,10090,Mus musculus,GSM2942733,GEO,SRA650456,12,2018,Tan,LIN28B_X4_Total_RNA_Mouse,LIN28B_X4_Total_RNA_Mouse,LIN28B_X4_Total_RNA_Mouse,NIH3T3,,GSM2942733
SRR6497076,11438118,857858850,75,335,SRX3586150,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854841,SAMN08379288,simple,9606,Homo sapiens,GSM2942734,GEO,SRA650456,12,2018,Tan,LIN28B_KO_let7_ip,LIN28B_KO_let7_ip_smallRNA,LIN28B_KO_let7_ip,HEK293A,"anti-AGO2 Clone 9E8.2, Millipore, Cat# 04-642",GSM2942734
SRR6497077,15054801,1129110075,75,457,SRX3586151,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854842,SAMN08379287,simple,9606,Homo sapiens,GSM2942735,GEO,SRA650456,12,2018,Tan,LIN28B_KO_let7_total,LIN28B_KO_let7_total_smallRNA,LIN28B_KO_let7_total,HEK293A,,GSM2942735
SRR6497078,10460416,784531200,75,304,SRX3586152,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854844,SAMN08379289,simple,9606,Homo sapiens,GSM2942736,GEO,SRA650456,12,2018,Tan,LIN28B_KO_wt_ip,LIN28B_KO_wt_ip_smallRNA,LIN28B_KO_wt_ip,HEK293A,"anti-AGO2 Clone 9E8.2, Millipore, Cat# 04-642",GSM2942736
SRR6497079,18036398,1352729850,75,563,SRX3586153,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854843,SAMN08379245,simple,9606,Homo sapiens,GSM2942737,GEO,SRA650456,12,2018,Tan,LIN28B_KO_wt_total,LIN28B_KO_wt_total_smallRNA,LIN28B_KO_wt_total,HEK293A,,GSM2942737
SRR6497080,8183880,613791000,75,241,SRX3586154,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854846,SAMN08379290,simple,9606,Homo sapiens,GSM2942738,GEO,SRA650456,12,2018,Tan,LIN28B_X3_let7_ip,LIN28B_X3_let7_ip_smallRNA,LIN28B_X3_let7_ip,HEK293A,"anti-AGO2 Clone 9E8.2, Millipore, Cat# 04-642",GSM2942738
SRR6497081,16804977,1260373275,75,509,SRX3586155,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854845,SAMN08379283,simple,9606,Homo sapiens,GSM2942739,GEO,SRA650456,12,2018,Tan,LIN28B_X3_let7_total,LIN28B_X3_let7_total_smallRNA,LIN28B_X3_let7_total,HEK293A,,GSM2942739
SRR6497082,11834223,887566725,75,341,SRX3586156,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2858966,SAMN08379282,simple,9606,Homo sapiens,GSM2942740,GEO,SRA650456,12,2018,Tan,LIN28B_X3_wt_ip,LIN28B_X3_wt_ip_smallRNA,LIN28B_X3_wt_ip,HEK293A,"anti-AGO2 Clone 9E8.2, Millipore, Cat# 04-642",GSM2942740
SRR6497083,20111442,1508358150,75,617,SRX3586157,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854847,SAMN08379281,simple,9606,Homo sapiens,GSM2942741,GEO,SRA650456,12,2018,Tan,LIN28B_X3_wt_total,LIN28B_X3_wt_total_smallRNA,LIN28B_X3_wt_total,HEK293A,,GSM2942741
SRR6497084,15779005,788950250,50,274,SRX3586158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854848,SAMN08379280,simple,9606,Homo sapiens,GSM2942742,GEO,SRA650456,12,2018,Tan,LIN28B_X0_let7_transfection_Polysome_Human,LIN28B_X0_let7_transfection_Polysome_Human,LIN28B_X0_let7_transfection_Polysome_Human,HEK293A,,GSM2942742
SRR6497085,51344176,2567208800,50,857,SRX3586159,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854849,SAMN08379286,simple,9606,Homo sapiens,GSM2942743,GEO,SRA650456,12,2018,Tan,LIN28B_X0_let7_transfection_Total_RNA_Human,LIN28B_X0_let7_transfection_Total_RNA_Human,LIN28B_X0_let7_transfection_Total_RNA_Human,HEK293A,,GSM2942743
