Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,sub_species,type-material,GEO Accession
SRR12300499,7035226,351761300,50,166,SRX8803537,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070064,SAMN15615300,simple,1423,Bacillus subtilis,GSM4684806,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684806 is currently private and is scheduled to be released on Jul 23, 2020.",Inducible ileS with 500 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4684806
SRR12300500,6219014,310950700,50,146,SRX8803538,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070065,SAMN15615299,simple,1423,Bacillus subtilis,GSM4684807,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684807 is currently private and is scheduled to be released on Jul 23, 2020.",Inducible leuS with 25 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4684807
SRR12300501,7170789,358539450,50,169,SRX8803539,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070066,SAMN15615298,simple,1423,Bacillus subtilis,GSM4684808,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684808 is currently private and is scheduled to be released on Jul 23, 2020.",Inducible leuS with 27 μM IPTG + relA D264G mutation,168,subtilis,type strain of Bacillus subtilis,GSM4684808
SRR12300502,4170819,208540950,50,98,SRX8803540,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070067,SAMN15615297,simple,1423,Bacillus subtilis,GSM4684809,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684809 is currently private and is scheduled to be released on Jul 23, 2020.",Inducible leuS with 27 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4684809
SRR12300503,7637565,381878250,50,180,SRX8803541,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070068,SAMN15615296,simple,1423,Bacillus subtilis,GSM4684810,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684810 is currently private and is scheduled to be released on Jul 23, 2020.",Inducible leuS with 30 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4684810
SRR12300504,6678731,333936550,50,158,SRX8803542,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070069,SAMN15615295,simple,1423,Bacillus subtilis,GSM4684811,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684811 is currently private and is scheduled to be released on Jul 23, 2020.",Inducible leuS with 35 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4684811
SRR10582397,23028799,1151439950,50,433,SRX7262757,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758314,SAMN13473829,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202202,GEO,SRA1006055,07,2020,Parker,168 relA D264G,168_relA,Inducible leuS with 40 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202202
SRR10582398,69778181,3488909050,50,1425,SRX7262758,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758315,SAMN13473828,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202203,GEO,SRA1006055,07,2020,Parker,168 Wildtype,168_WT,Inducible leuS with 500 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202203
SRR10582399,55352465,2767623250,50,1174,SRX7262759,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758316,SAMN13473827,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202204,GEO,SRA1006055,07,2020,Parker,Inducible argS with 15 μM IPTG,argS_15,Inducible no insert construct with 500 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202204
SRR10582400,28309775,1415488750,50,614,SRX7262760,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758317,SAMN13473826,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202205,GEO,SRA1006055,07,2020,Parker,Inducible argS with 30 μM IPTG,argS_30,Inducible serS with 5 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202205
SRR10582401,24319226,1215961300,50,565,SRX7262761,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758318,SAMN13473825,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202206,GEO,SRA1006055,07,2020,Parker,Inducible argS with 500 μM IPTG,argS_500,Inducible serS with 10 μM IPTG + relA D264G mutation,168,subtilis,type strain of Bacillus subtilis,GSM4202206
SRR10582402,19448099,972404950,50,639,SRX7262762,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758319,SAMN13473824,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202207,GEO,SRA1006055,07,2020,Parker,168 Wildtype with 500 μM IPTG,control_500,Inducible serS with 10 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202207
SRR10582403,51365567,2568278350,50,1087,SRX7262763,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758320,SAMN13473823,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202208,GEO,SRA1006055,07,2020,Parker,Inducible ileS with 10 μM IPTG,ileS_10,Inducible serS with 20 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202208
SRR10582404,38060547,1903027350,50,722,SRX7262764,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758321,SAMN13473822,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202209,GEO,SRA1006055,07,2020,Parker,Inducible ileS with 15 μM IPTG + relA D264G mutation,ileS_15_relA,Inducible serS with 500 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202209
SRR10582405,58395234,2919761700,50,1201,SRX7262765,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758322,SAMN13473821,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202210,GEO,SRA1006055,07,2020,Parker,Inducible ileS with 15 μM IPTG,ileS_15_WT,168 relA D264G,168,subtilis,type strain of Bacillus subtilis,GSM4202210
SRR10582406,33706942,1685347100,50,732,SRX7262766,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758323,SAMN13473820,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202211,GEO,SRA1006055,07,2020,Parker,Inducible ileS with 30 μM IPTG,ileS_30,168 Wildtype,168,subtilis,type strain of Bacillus subtilis,GSM4202211
SRR10582407,34415950,1720797500,50,878,SRX7262767,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758324,SAMN13473819,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202212,GEO,SRA1006055,07,2020,Parker,Inducible ileS with 500 μM IPTG,ileS_500,Inducible argS with 15 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202212
SRR10582408,37357575,1867878750,50,1056,SRX7262768,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758325,SAMN13473818,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202213,GEO,SRA1006055,07,2020,Parker,Inducible leuS with 25 μM IPTG,leuS_25,Inducible argS with 30 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202213
SRR10582409,26856937,1342846850,50,509,SRX7262769,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758326,SAMN13473817,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202214,GEO,SRA1006055,07,2020,Parker,Inducible leuS with 27 μM IPTG + relA D264G mutation,leuS_27_relA,Inducible argS with 500 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202214
SRR10582410,19341866,967093300,50,364,SRX7262770,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758327,SAMN13473816,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202215,GEO,SRA1006055,07,2020,Parker,Inducible leuS with 27 μM IPTG,leuS_27_WT,168 Wildtype with 500 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202215
SRR10582411,23139542,1156977100,50,741,SRX7262771,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758328,SAMN13473815,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202216,GEO,SRA1006055,07,2020,Parker,Inducible leuS with 30 μM IPTG,leuS_30,Inducible ileS with 10 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202216
SRR10582412,24611901,1230595050,50,790,SRX7262772,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758329,SAMN13473814,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202217,GEO,SRA1006055,07,2020,Parker,Inducible leuS with 35 μM IPTG,leuS_35,Inducible ileS with 15 μM IPTG + relA D264G mutation,168,subtilis,type strain of Bacillus subtilis,GSM4202217
SRR10582413,73173093,3658654650,50,2235,SRX7262773,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758330,SAMN13473813,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202218,GEO,SRA1006055,07,2020,Parker,Inducible leuS with 40 μM IPTG,leuS_40,Inducible ileS with 15 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202218
SRR10582414,24043950,1202197500,50,735,SRX7262774,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758331,SAMN13473812,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202219,GEO,SRA1006055,07,2020,Parker,Inducible leuS with 500 μM IPTG,leuS_500,Inducible ileS with 30 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202219
SRR10582415,30821788,1541089400,50,727,SRX7262775,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758332,SAMN13473811,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202220,GEO,SRA1006055,07,2020,Parker,Inducible no insert construct with 500 μM IPTG,no_insert_500,Inducible ileS with 500 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202220
SRR10582416,48665899,2433294950,50,1036,SRX7262776,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758333,SAMN13473810,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202221,GEO,SRA1006055,07,2020,Parker,Inducible serS with 5 μM IPTG,serS_5,Inducible leuS with 25 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202221
SRR10582417,43649137,2182456850,50,822,SRX7262777,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758334,SAMN13473809,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202222,GEO,SRA1006055,07,2020,Parker,Inducible serS with 10 μM IPTG + relA D264G mutation,serS_10_relA,Inducible leuS with 27 μM IPTG + relA D264G mutation,168,subtilis,type strain of Bacillus subtilis,GSM4202222
SRR10582418,69410768,3470538400,50,1314,SRX7262778,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758335,SAMN13473808,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202223,GEO,SRA1006055,07,2020,Parker,Inducible serS with 10 μM IPTG,serS_10_WT,Inducible leuS with 27 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202223
SRR10582419,34574204,1728710200,50,752,SRX7262779,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758336,SAMN13473831,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202224,GEO,SRA1006055,07,2020,Parker,Inducible serS with 20 μM IPTG,serS_20,Inducible leuS with 30 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202224
SRR10582420,26295374,1314768700,50,684,SRX7262780,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS5758337,SAMN13473830,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM4202225,GEO,SRA1006055,07,2020,Parker,Inducible serS with 500 μM IPTG,serS_500,Inducible leuS with 35 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4202225
