Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,age of mice,sex of mice,number of mice,tissue,cell type,iclip antibody,GEO Accession
SRR12318330,32225196,1643484996,51,709,SRX8819600,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082491,SAMN15639704,simple,10090,Mus musculus,GSM4694972,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,Ribo Ctrl 5,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl control,10 weeks,Male,1,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694972
SRR12318331,41093062,2095746162,51,942,SRX8819601,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082492,SAMN15639703,simple,10090,Mus musculus,GSM4694973,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,Ribo Zfp36/Zfp36l1 dKO 1,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl CD4-cre dKO,11-13 weeks,Mix of male/female,2,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694973
SRR12318332,47326420,2413647420,51,1081,SRX8819602,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082493,SAMN15639702,simple,10090,Mus musculus,GSM4694974,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,Ribo Zfp36/Zfp36l1 dKO 2,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl CD4-cre dKO,11-13 weeks,Mix of male/female,2,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694974
SRR12318333,26174044,1334876244,51,569,SRX8819603,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082494,SAMN15639701,simple,10090,Mus musculus,GSM4694975,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,Ribo Zfp36/Zfp36l1 dKO 3,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl CD4-cre dKO,11 weeks,Mix of male/female,2,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694975
SRR12318334,25999952,1325997552,51,571,SRX8819604,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082495,SAMN15639700,simple,10090,Mus musculus,GSM4694976,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,Ribo Zfp36/Zfp36l1 dKO 4,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl CD4-cre dKO,11 weeks,Mix of male/female,2,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694976
SRR12318335,32436916,1654282716,51,707,SRX8819605,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082496,SAMN15639699,simple,10090,Mus musculus,GSM4694977,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,Ribo Zfp36/Zfp36l1 dKO 5,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl CD4-cre dKO,11 weeks,Mix of male/female,2,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694977
SRR12318336,94133897,9507523597,101,6814,SRX8819606,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082497,SAMN15639698,simple,10090,Mus musculus,GSM4694978,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,4sU-seq labelled Ctrl 1,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl control,10-18 weeks,Mix of male/female,10,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694978
SRR12318337,38201172,3858318372,101,2379,SRX8819607,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082498,SAMN15639697,simple,10090,Mus musculus,GSM4694979,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,4sU-seq labelled Ctrl 2,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl control,7-14 weeks,Mix of male/female,10,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694979
SRR12318338,50180479,5068228379,101,3161,SRX8819608,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082499,SAMN15639696,simple,10090,Mus musculus,GSM4694980,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,4sU-seq labelled Zfp36/Zfp36l1 dKO 1,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl CD4-cre dKO,10-18 weeks,Mix of male/female,16,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694980
SRR12318339,41180688,4159249488,101,2570,SRX8819609,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082500,SAMN15639692,simple,10090,Mus musculus,GSM4694981,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,4sU-seq labelled Zfp36/Zfp36l1 dKO 2,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl CD4-cre dKO,7-14 weeks,Mix of male/female,16,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694981
SRR12318340,29030535,2932084035,101,1839,SRX8819610,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082501,SAMN15639691,simple,10090,Mus musculus,GSM4694982,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,4sU-seq unlabelled Ctrl 1,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl control,10-18 weeks,Mix of male/female,10,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694982
SRR12318341,27615033,2789118333,101,1735,SRX8819611,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082502,SAMN15639690,simple,10090,Mus musculus,GSM4694983,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,4sU-seq unlabelled Ctrl 2,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl control,7-14 weeks,Mix of male/female,10,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694983
SRR12318342,38459950,3884454950,101,2432,SRX8819612,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082503,SAMN15639695,simple,10090,Mus musculus,GSM4694984,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,4sU-seq unlabelled Zfp36/Zfp36l1 dKO 1,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl CD4-cre dKO,10-18 weeks,Mix of male/female,16,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694984
SRR12318343,29801505,3009952005,101,1869,SRX8819613,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082504,SAMN15639694,simple,10090,Mus musculus,GSM4694985,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,4sU-seq unlabelled Zfp36/Zfp36l1 dKO 2,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl CD4-cre dKO,7-14 weeks,Mix of male/female,16,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694985
SRR12318344,37503045,3787807545,101,2371,SRX8819614,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082505,SAMN15639693,simple,10090,Mus musculus,GSM4694986,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,4sU-seq total Ctrl 1,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl control,10-18 weeks,Mix of male/female,10,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694986
SRR12318345,26065281,2632593381,101,1633,SRX8819615,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082506,SAMN15639689,simple,10090,Mus musculus,GSM4694987,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,4sU-seq total Ctrl 2,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl control,7-14 weeks,Mix of male/female,10,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694987
SRR12318346,39042874,3943330274,101,2465,SRX8819616,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082507,SAMN15639688,simple,10090,Mus musculus,GSM4694988,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,4sU-seq total Zfp36/Zfp36l1 dKO 1,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl CD4-cre dKO,10-18 weeks,Mix of male/female,16,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694988
SRR12318347,29249483,2954197783,101,1831,SRX8819617,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP273454,PRJNA648398,36385275,"",SRS7082508,SAMN15639687,simple,10090,Mus musculus,GSM4694989,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,4sU-seq total Zfp36/Zfp36l1 dKO 2,Activated CD4+ T cells,C57BL/6,Zfp36fl/fl Zfp36l1fl/fl CD4-cre dKO,7-14 weeks,Mix of male/female,16,"Spleen, peripheral and mesenteric LN",CD4+ T cells,,GSM4694989
SRR12318348,13760666,701793966,51,425,SRX8819618,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP273454,PRJNA648398,36385275,"",SRS7082509,SAMN15639686,simple,10090,Mus musculus,GSM4694990,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,iCLIP BRF1/2 1 low MW,Activated CD4+ T cells,C57BL/6,WT,9-16 weeks,,3,"Spleen, peripheral and mesenteric LN",CD4+ T cells,anti-BRF1/2 (Cell Signalling 2119),GSM4694990
SRR12318349,16644115,848849865,51,510,SRX8819619,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP273454,PRJNA648398,36385275,"",SRS7082510,SAMN15639685,simple,10090,Mus musculus,GSM4694991,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,iCLIP BRF1/2 1 high MW,Activated CD4+ T cells,C57BL/6,WT,9-16 weeks,,3,"Spleen, peripheral and mesenteric LN",CD4+ T cells,anti-BRF1/2 (Cell Signalling 2119),GSM4694991
SRR12318350,20943171,1068101721,51,714,SRX8819620,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP273454,PRJNA648398,36385275,"",SRS7082511,SAMN15639684,simple,10090,Mus musculus,GSM4694992,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,iCLIP BRF1/2 2,Activated CD4+ T cells,C57BL/6,WT,9-16 weeks,,3,"Spleen, peripheral and mesenteric LN",CD4+ T cells,anti-BRF1/2 (Cell Signalling 2119),GSM4694992
SRR12318351,41391847,2110984197,51,1396,SRX8819621,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP273454,PRJNA648398,36385275,"",SRS7082512,SAMN15639683,simple,10090,Mus musculus,GSM4694993,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,iCLIP BRF1/2 3,Activated CD4+ T cells,C57BL/6,WT,9-16 weeks,,3,"Spleen, peripheral and mesenteric LN",CD4+ T cells,anti-BRF1/2 (Cell Signalling 2119),GSM4694993
SRR12318352,22212127,1132818477,51,673,SRX8819622,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP273454,PRJNA648398,36385275,"",SRS7082513,SAMN15639682,simple,10090,Mus musculus,GSM4694994,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,iCLIP Tis11b 1,Activated CD4+ T cells,C57BL/6,WT,9-16 weeks,,3,"Spleen, peripheral and mesenteric LN",CD4+ T cells,anti-Tis11b (abcam ab42473),GSM4694994
SRR12318353,49214968,2509963368,51,1660,SRX8819623,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP273454,PRJNA648398,36385275,"",SRS7082514,SAMN15639681,simple,10090,Mus musculus,GSM4694995,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,iCLIP Tis11b 2,Activated CD4+ T cells,C57BL/6,WT,9-16 weeks,,3,"Spleen, peripheral and mesenteric LN",CD4+ T cells,anti-Tis11b (abcam ab42473),GSM4694995
SRR12318354,5820523,296846673,51,200,SRX8819624,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP273454,PRJNA648398,36385275,"",SRS7082515,SAMN15639680,simple,10090,Mus musculus,GSM4694996,GEO,SRA1103310,04,2021,Matheson,Activated CD4+ T cells,iCLIP Tis11b 3,Activated CD4+ T cells,C57BL/6,WT,9-16 weeks,,3,"Spleen, peripheral and mesenteric LN",CD4+ T cells,anti-Tis11b (abcam ab42473),GSM4694996
