Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,gender,age,tissue,GEO Accession
SRR15236496,48022964,3649745264,76,1285,SRX11542380,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577364,SAMN20370400,simple,10090,Mus musculus,GSM5470559,GEO,SRA1264034,08,2023,Makar,584 input RNA,"hippocampus, ko_male_input_rep1",584 input RNA,Qtrt1-/-,male,6 months 18 days,hippocampus,GSM5470559
SRR15236497,50864171,3865676996,76,1361,SRX11542381,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577365,SAMN20370399,simple,10090,Mus musculus,GSM5470560,GEO,SRA1264034,08,2023,Makar,585 input RNA,"hippocampus, wt_male_input_rep1",585 input RNA,wild type,male,6 months 18 days,hippocampus,GSM5470560
SRR15236498,46139515,3506603140,76,1270,SRX11542382,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577366,SAMN20370398,simple,10090,Mus musculus,GSM5470561,GEO,SRA1264034,08,2023,Makar,596 input RNA,"hippocampus, wt_male_input_rep2",596 input RNA,wild type,male,5 months 16 days,hippocampus,GSM5470561
SRR15236499,50582441,3844265516,76,1372,SRX11542383,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577367,SAMN20370397,simple,10090,Mus musculus,GSM5470562,GEO,SRA1264034,08,2023,Makar,599 input RNA,"hippocampus, ko_male_input_rep2",599 input RNA,Qtrt1-/-,male,5 months 16 days,hippocampus,GSM5470562
SRR15236500,55298521,4202687596,76,1475,SRX11542384,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577368,SAMN20370396,simple,10090,Mus musculus,GSM5470563,GEO,SRA1264034,08,2023,Makar,551 input RNA,"hippocampus, wt_female_input_rep1",551 input RNA,wild type,female,6 months 22 days,hippocampus,GSM5470563
SRR15236501,53194762,4042801912,76,1422,SRX11542385,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577369,SAMN20370395,simple,10090,Mus musculus,GSM5470564,GEO,SRA1264034,08,2023,Makar,564 input RNA,"hippocampus, wt_female_input_rep2",564 input RNA,wild type,female,6 months 21 days,hippocampus,GSM5470564
SRR15236502,49519846,3763508296,76,1322,SRX11542386,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577370,SAMN20370394,simple,10090,Mus musculus,GSM5470565,GEO,SRA1264034,08,2023,Makar,565 input RNA,"hippocampus, wt_female_input_rep3",565 input RNA,wild type,female,6 months 21 days,hippocampus,GSM5470565
SRR15236503,51799320,3936748320,76,1383,SRX11542387,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577371,SAMN20370393,simple,10090,Mus musculus,GSM5470566,GEO,SRA1264034,08,2023,Makar,557 input RNA,"hippocampus, ko_female_input_rep1",557 input RNA,Qtrt1-/-,female,6 months 21 days,hippocampus,GSM5470566
SRR15236504,53849978,4092598328,76,1438,SRX11542388,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577372,SAMN20370392,simple,10090,Mus musculus,GSM5470567,GEO,SRA1264034,08,2023,Makar,558 input RNA,"hippocampus, ko_female_input_rep2",558 input RNA,Qtrt1-/-,female,6 months 21 days,hippocampus,GSM5470567
SRR15236505,52534156,3992595856,76,1402,SRX11542389,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP329691,PRJNA749454,1,"",SRS9577373,SAMN20370391,simple,10090,Mus musculus,GSM5470568,GEO,SRA1264034,08,2023,Makar,559 input RNA,"hippocampus, ko_female_input_rep3",559 input RNA,Qtrt1-/-,female,6 months 21 days,hippocampus,GSM5470568
