Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,transfection,time,GEO Accession
SRR057521,5910808,212789088,36,148,SRX021970,GSM546924: Footprint_miR-1_32hr_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079389,SAMN00014834,simple,9606,Homo sapiens,GSM546924,GEO,SRA020150,08,2010,Guo,HeLa,Footprint_miR-1_32hr_runs1-2,HeLa,miR-1 duplex,12hr,GSM546930
SRR057522,14178182,510414552,36,347,SRX021970,GSM546924: Footprint_miR-1_32hr_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079389,SAMN00014834,simple,9606,Homo sapiens,GSM546924,GEO,SRA020150,08,2010,Guo,HeLa,Footprint_miR-1_32hr_runs1-2,HeLa,miR-1 duplex,12hr,GSM546931
SRR057523,5318174,287181396,54,198,SRX021971,GSM546925: mRNASeq_miR-1_32hr_runs1-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079390,SAMN00014835,simple,9606,Homo sapiens,GSM546925,GEO,SRA020150,08,2010,Guo,HeLa,mRNASeq_miR-1_32hr_runs1-3,HeLa,mock,32hr,GSM546920
SRR057524,5693396,204962256,36,148,SRX021971,GSM546925: mRNASeq_miR-1_32hr_runs1-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079390,SAMN00014835,simple,9606,Homo sapiens,GSM546925,GEO,SRA020150,08,2010,Guo,HeLa,mRNASeq_miR-1_32hr_runs1-3,HeLa,mock,32hr,GSM546921
SRR057525,2493486,89765496,36,65,SRX021971,GSM546925: mRNASeq_miR-1_32hr_runs1-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079390,SAMN00014835,simple,9606,Homo sapiens,GSM546925,GEO,SRA020150,08,2010,Guo,HeLa,mRNASeq_miR-1_32hr_runs1-3,HeLa,miR-155 duplex,32hr,GSM546922
SRR057526,20366374,733189464,36,333,SRX021972,GSM546926: Footprint_mock_12hr_run1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079391,SAMN00014836,simple,9606,Homo sapiens,GSM546926,GEO,SRA020150,08,2010,Guo,HeLa,Footprint_mock_12hr_run1,HeLa,miR-155 duplex,32hr,GSM546923
SRR057527,26842660,966335760,36,436,SRX021973,GSM546927: mRNASeq_mock_12hr_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079392,SAMN00014837,simple,9606,Homo sapiens,GSM546927,GEO,SRA020150,08,2010,Guo,HeLa,mRNASeq_mock_12hr_runs1-2,HeLa,miR-1 duplex,32hr,GSM546924
SRR057528,1892695,68137020,,50,SRX021973,GSM546927: mRNASeq_mock_12hr_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079392,SAMN00014837,simple,9606,Homo sapiens,GSM546927,GEO,SRA020150,08,2010,Guo,HeLa,mRNASeq_mock_12hr_runs1-2,HeLa,miR-1 duplex,32hr,GSM546925
SRR057529,20233514,728406504,36,338,SRX021974,GSM546928: Footprint_miR-155_12hr_run1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079393,SAMN00014838,simple,9606,Homo sapiens,GSM546928,GEO,SRA020150,08,2010,Guo,HeLa,Footprint_miR-155_12hr_run1,HeLa,mock,12hr,GSM546926
SRR057530,27194894,979016184,36,437,SRX021975,GSM546929: mRNASeq_miR-155_12hr_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079394,SAMN00014839,simple,9606,Homo sapiens,GSM546929,GEO,SRA020150,08,2010,Guo,HeLa,mRNASeq_miR-155_12hr_runs1-2,HeLa,mock,12hr,GSM546927
SRR057531,2486749,89522964,36,65,SRX021975,GSM546929: mRNASeq_miR-155_12hr_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079394,SAMN00014839,simple,9606,Homo sapiens,GSM546929,GEO,SRA020150,08,2010,Guo,HeLa,mRNASeq_miR-155_12hr_runs1-2,HeLa,miR-155 duplex,12hr,GSM546928
SRR057532,18817795,677440620,36,312,SRX021976,GSM546930: Footprint_miR-1_12hr_run1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079395,SAMN00014840,simple,9606,Homo sapiens,GSM546930,GEO,SRA020150,08,2010,Guo,HeLa,Footprint_miR-1_12hr_run1,HeLa,miR-155 duplex,12hr,GSM546929
SRR057533,25590178,921246408,36,425,SRX021977,GSM546931: mRNASeq_miR-1_12hr_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079396,SAMN00014841,simple,9606,Homo sapiens,GSM546931,GEO,SRA020150,08,2010,Guo,HeLa,mRNASeq_miR-1_12hr_runs1-2,HeLa,miR-1 duplex,12hr,GSM546930
SRR057534,2429249,87452964,36,63,SRX021977,GSM546931: mRNASeq_miR-1_12hr_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079396,SAMN00014841,simple,9606,Homo sapiens,GSM546931,GEO,SRA020150,08,2010,Guo,HeLa,mRNASeq_miR-1_12hr_runs1-2,HeLa,miR-1 duplex,12hr,GSM546931
