Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,treatment,tissue
SRR18590146,39104092,1014432507,25,482,SRX14718866,GSM6008208,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481137,SAMN27278958,simple,5465,Colletotrichum orbiculare,GSM6008208,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-WT_Aglafoline 0.3 µM,Ribo_Mycelia_WT_Ag0.3uM,eIF4A-WT_Aglafoline 0.3 µM,eIF4A-WT,Aglafoline 0.3 µM,
SRR18590145,59761395,1545459979,25,735,SRX14718867,GSM6008209,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481135,SAMN27278957,simple,5465,Colletotrichum orbiculare,GSM6008209,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-WT_Aglafoline 3 µM,Ribo_Mycelia_WT_Ag3uM,eIF4A-WT_Aglafoline 3 µM,eIF4A-WT,Aglafoline 3 µM,
SRR18590144,63462562,1628579947,25,775,SRX14718868,GSM6008210,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481138,SAMN27278956,simple,5465,Colletotrichum orbiculare,GSM6008210,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-H153G_DMSO,Ribo_Mycelia_H153G_DMSO1,eIF4A-H153G_DMSO,eIF4A-H153G,DMSO,
SRR18590143,34148845,890643558,26,423,SRX14718869,GSM6008211,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481139,SAMN27278955,simple,5465,Colletotrichum orbiculare,GSM6008211,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-H153G_DMSO,Ribo_Mycelia_H153G_DMSO2,eIF4A-H153G_DMSO,eIF4A-H153G,DMSO,
SRR18590142,36093156,944505120,26,447,SRX14718870,GSM6008212,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481140,SAMN27278954,simple,5465,Colletotrichum orbiculare,GSM6008212,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-H153G_Aglafoline 0.3 µM,Ribo_Mycelia_H153G_Ag0.3uM,eIF4A-H153G_Aglafoline 0.3 µM,eIF4A-H153G,Aglafoline 0.3 µM,
SRR18590141,33969561,897503030,26,424,SRX14718871,GSM6008213,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS12481141,SAMN27278953,simple,5465,Colletotrichum orbiculare,GSM6008213,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1399965,02,2023,Chen,eIF4A-H153G_Aglafoline 3 µM,Ribo_Mycelia_H153G_Ag3uM,eIF4A-H153G_Aglafoline 3 µM,eIF4A-H153G,Aglafoline 3 µM,
SRR22811850,22548383,6809611666,151,2463,SRX18771536,GSM6858428,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS16205732,SAMN32311040,simple,5465,Colletotrichum orbiculare,GSM6858428,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1561808,02,2023,Chen,conidia,RNA_Conidia_WT_DMSO1,conidia,eIF4A-WT,DMSO,conidia
SRR22811849,24166122,7298168844,151,2655,SRX18771537,GSM6858429,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS16205733,SAMN32311039,simple,5465,Colletotrichum orbiculare,GSM6858429,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1561808,02,2023,Chen,conidia,RNA_Conidia_WT_Ag0.3uM,conidia,eIF4A-WT,Aglafoline 0.3 uM,conidia
SRR22811848,24749762,7474428124,151,2728,SRX18771538,GSM6858430,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS16205734,SAMN32311038,simple,5465,Colletotrichum orbiculare,GSM6858430,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1561808,02,2023,Chen,conidia,RNA_Conidia_WT_Ag3uM,conidia,eIF4A-WT,Aglafoline 3 uM,conidia
SRR22811847,23729499,7166308698,151,2607,SRX18771539,GSM6858431,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS16205735,SAMN32311037,simple,5465,Colletotrichum orbiculare,GSM6858431,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1561808,02,2023,Chen,conidia,RNA_Conidia_H153G_DMSO1,conidia,eIF4A-H153G,DMSO,conidia
SRR22811846,27207325,8216612150,151,2975,SRX18771540,GSM6858432,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS16205736,SAMN32311036,simple,5465,Colletotrichum orbiculare,GSM6858432,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1561808,02,2023,Chen,conidia,RNA_Conidia_H153G_DMSO2,conidia,eIF4A-H153G,DMSO,conidia
SRR22811845,26811758,8097150916,151,2924,SRX18771541,GSM6858433,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS16205737,SAMN32311035,simple,5465,Colletotrichum orbiculare,GSM6858433,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1561808,02,2023,Chen,conidia,RNA_Conidia_H153G_Ag0.3uM,conidia,eIF4A-H153G,Aglafoline 0.3 uM,conidia
SRR22811844,23931850,7227418700,151,2620,SRX18771542,GSM6858434,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS16205738,SAMN32311034,simple,5465,Colletotrichum orbiculare,GSM6858434,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1561808,02,2023,Chen,conidia,RNA_Conidia_H153G_Ag3uM,conidia,eIF4A-H153G,Aglafoline 3 uM,conidia
SRR22811843,21321426,6439070652,151,2338,SRX18771543,GSM6858435,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS16205739,SAMN32311033,simple,5465,Colletotrichum orbiculare,GSM6858435,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1561808,02,2023,Chen,mycelia,RNA_Mycelia_WT_DMSO1,mycelia,eIF4A-WT,DMSO,mycelia
SRR22811842,22462622,6783711844,151,2489,SRX18771544,GSM6858436,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS16205740,SAMN32311032,simple,5465,Colletotrichum orbiculare,GSM6858436,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1561808,02,2023,Chen,mycelia,RNA_Mycelia_WT_DMSO2,mycelia,eIF4A-WT,DMSO,mycelia
SRR22811841,24000099,7248029898,151,2654,SRX18771545,GSM6858437,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS16205741,SAMN32311031,simple,5465,Colletotrichum orbiculare,GSM6858437,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1561808,02,2023,Chen,mycelia,RNA_Mycelia_WT_Ag0.3uM,mycelia,eIF4A-WT,Aglafoline 0.3 uM,mycelia
SRR22811840,21194855,6400846210,151,2328,SRX18771546,GSM6858438,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS16205742,SAMN32311030,simple,5465,Colletotrichum orbiculare,GSM6858438,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1561808,02,2023,Chen,mycelia,RNA_Mycelia_WT_Ag3uM,mycelia,eIF4A-WT,Aglafoline 3 uM,mycelia
SRR22811839,22384886,6760235572,151,2470,SRX18771547,GSM6858439,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS16205743,SAMN32311029,simple,5465,Colletotrichum orbiculare,GSM6858439,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1561808,02,2023,Chen,mycelia,RNA_Mycelia_H153G_DMSO1,mycelia,eIF4A-H153G,DMSO,mycelia
SRR22811838,23945054,7231406308,151,2658,SRX18771548,GSM6858440,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS16205744,SAMN32311028,simple,5465,Colletotrichum orbiculare,GSM6858440,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1561808,02,2023,Chen,mycelia,RNA_Mycelia_H153G_DMSO2,mycelia,eIF4A-H153G,DMSO,mycelia
SRR22811837,23987565,7244244630,151,2635,SRX18771549,GSM6858441,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS16205745,SAMN32311027,simple,5465,Colletotrichum orbiculare,GSM6858441,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1561808,02,2023,Chen,mycelia,RNA_Mycelia_H153G_Ag0.3uM,mycelia,eIF4A-H153G,Aglafoline 0.3 uM,mycelia
SRR22811836,20408278,6163299956,151,2236,SRX18771550,GSM6858442,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP367330,PRJNA822806,36852480,"",SRS16205746,SAMN32311026,simple,5465,Colletotrichum orbiculare,GSM6858442,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1561808,02,2023,Chen,mycelia,RNA_Mycelia_H153G_Ag3uM,mycelia,eIF4A-H153G,Aglafoline 3 uM,mycelia
