Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,dev_stage,sex,tissue,cell_line,cell_type,genotype,replicate,BioSampleModel
SRR24044796,67461543,5127077268,76,2213,SRX19846738,RPL39l_1_20_1_RIBOSEQ,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP430560,PRJNA951511,1,"",SRS17205643,SAMN34044625,simple,10090,Mus musculus,RPL39l_1_20_1,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,1_20_1,Model organism or animal
SRR24044795,58412820,4439374320,76,1923,SRX19846739,RPL39l_1_20_2_RIBOSEQ,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP430560,PRJNA951511,1,"",SRS17205646,SAMN34044626,simple,10090,Mus musculus,RPL39l_1_20_2,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,1_20_2,Model organism or animal
SRR24044794,60680309,4611703484,76,1996,SRX19846740,RPL39l_1_20_3_RIBOSEQ,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP430560,PRJNA951511,1,"",SRS17205645,SAMN34044627,simple,10090,Mus musculus,RPL39l_1_20_3,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,1_20_3,Model organism or animal
SRR24044793,75704934,5753574984,76,2486,SRX19846741,RPL39l_2_9_1_RIBOSEQ,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP430560,PRJNA951511,1,"",SRS17205647,SAMN34044628,simple,10090,Mus musculus,RPL39l_2_9_1,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,2_9_1,Model organism or animal
SRR24044792,65979265,5014424140,76,2167,SRX19846742,RPL39l_2_9_2_RIBOSEQ,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP430560,PRJNA951511,1,"",SRS17205635,SAMN34044629,simple,10090,Mus musculus,RPL39l_2_9_2,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,2_9_2,Model organism or animal
SRR24044791,72134877,5482250652,76,2370,SRX19846743,RPL39l_2_9_3_RIBOSEQ,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP430560,PRJNA951511,1,"",SRS17205636,SAMN34044630,simple,10090,Mus musculus,RPL39l_2_9_3,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,2_9_3,Model organism or animal
SRR24044790,72106228,5480073328,76,2368,SRX19846744,RPL39l_2_11_1_RIBOSEQ,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP430560,PRJNA951511,1,"",SRS17205639,SAMN34044631,simple,10090,Mus musculus,RPL39l_2_11_1,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,2_11_1,Model organism or animal
SRR24044789,78943082,5999674232,76,2593,SRX19846745,RPL39l_2_11_2_RIBOSEQ,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP430560,PRJNA951511,1,"",SRS17205638,SAMN34044632,simple,10090,Mus musculus,RPL39l_2_11_2,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,2_11_2,Model organism or animal
SRR24044788,64804547,4925145572,76,2127,SRX19846746,RPL39l_2_11_3_RIBOSEQ,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP430560,PRJNA951511,1,"",SRS17205637,SAMN34044633,simple,10090,Mus musculus,RPL39l_2_11_3,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,2_11_3,Model organism or animal
SRR24044787,46364503,4682814803,101,1292,SRX19846747,RPL39l_1_17_1_RNASEQ,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430560,PRJNA951511,1,"",SRS17205641,SAMN34044622,simple,10090,Mus musculus,RPL39l_1_17_1,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,1_17_1,Model organism or animal
SRR24044786,51416233,5193039533,101,1433,SRX19846748,RPL39l_1_17_2_RNASEQ,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430560,PRJNA951511,1,"",SRS17205642,SAMN34044623,simple,10090,Mus musculus,RPL39l_1_17_2,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,1_17_2,Model organism or animal
SRR24044785,51300102,5181310302,101,1421,SRX19846749,RPL39l_1_17_3_RNASEQ,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430560,PRJNA951511,1,"",SRS17205644,SAMN34044624,simple,10090,Mus musculus,RPL39l_1_17_3,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,1_17_3,Model organism or animal
SRR24044784,46625034,4709128434,101,1294,SRX19846750,RPL39l_1_20_1_RNASEQ,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430560,PRJNA951511,1,"",SRS17205643,SAMN34044625,simple,10090,Mus musculus,RPL39l_1_20_1,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,1_20_1,Model organism or animal
SRR24044783,45790123,4624802423,101,1270,SRX19846751,RPL39l_1_20_2_RNASEQ,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430560,PRJNA951511,1,"",SRS17205646,SAMN34044626,simple,10090,Mus musculus,RPL39l_1_20_2,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,1_20_2,Model organism or animal
SRR24044782,58203827,5878586527,101,1610,SRX19846752,RPL39l_1_20_3_RNASEQ,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430560,PRJNA951511,1,"",SRS17205645,SAMN34044627,simple,10090,Mus musculus,RPL39l_1_20_3,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,1_20_3,Model organism or animal
SRR24044781,64404666,6504871266,101,1780,SRX19846753,RPL39l_2_9_1_RNASEQ,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430560,PRJNA951511,1,"",SRS17205647,SAMN34044628,simple,10090,Mus musculus,RPL39l_2_9_1,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,2_9_1,Model organism or animal
