Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,gene expressed,induction concentration,induction od,induction time
SRR9691464,4205751,319637076,76,117,SRX6450788,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104506,SAMN12283948,simple,562,Escherichia coli,GSM3942203,GEO,SRA921338,07,2022,Makar,bpTDC,bpTDC-2 [ribosome profiling],btASMT,Gly2,btASMT,1mM Rhamnose,0.3,2hr
SRR9691465,4089692,310816592,76,115,SRX6450788,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104506,SAMN12283948,simple,562,Escherichia coli,GSM3942203,GEO,SRA921338,07,2022,Makar,bpTDC,bpTDC-2 [ribosome profiling],CC1,Gly2,CC1,1mM Rhamnose,0.3,2hr
SRR9691466,4179733,317659708,76,116,SRX6450788,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104506,SAMN12283948,simple,562,Escherichia coli,GSM3942203,GEO,SRA921338,07,2022,Makar,bpTDC,bpTDC-2 [ribosome profiling],CC1,Gly2,CC1,1mM Rhamnose,0.3,2hr
SRR9691467,4273011,324748836,76,117,SRX6450789,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104507,SAMN12283947,simple,562,Escherichia coli,GSM3942204,GEO,SRA921338,07,2022,Makar,BRCA,BRCA-1 [ribosome profiling],ccCOMT,Gly2,ccCOMT,1mM Rhamnose,0.3,2hr
SRR9691468,4234828,321846928,76,116,SRX6450789,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104507,SAMN12283947,simple,562,Escherichia coli,GSM3942204,GEO,SRA921338,07,2022,Makar,BRCA,BRCA-1 [ribosome profiling],ccCOMT,Gly2,ccCOMT,1mM Rhamnose,0.3,2hr
SRR9691469,4079540,310045040,76,112,SRX6450789,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104507,SAMN12283947,simple,562,Escherichia coli,GSM3942204,GEO,SRA921338,07,2022,Makar,BRCA,BRCA-1 [ribosome profiling],ckDDC,Gly2,ckDDC,1mM Rhamnose,0.3,2hr
SRR9691470,4183211,317924036,76,115,SRX6450789,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104507,SAMN12283947,simple,562,Escherichia coli,GSM3942204,GEO,SRA921338,07,2022,Makar,BRCA,BRCA-1 [ribosome profiling],ckDDC,Gly2,ckDDC,1mM Rhamnose,0.3,2hr
SRR9691471,4058701,308461276,76,111,SRX6450790,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104508,SAMN12283946,simple,562,Escherichia coli,GSM3942205,GEO,SRA921338,07,2022,Makar,BRCA,BRCA-2 [ribosome profiling],CNTF_belt,Gly2,CNTF_belt,1mM Rhamnose,0.3,2hr
SRR9691472,3964825,301326700,76,108,SRX6450790,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104508,SAMN12283946,simple,562,Escherichia coli,GSM3942205,GEO,SRA921338,07,2022,Makar,BRCA,BRCA-2 [ribosome profiling],CNTF_belt,Gly2,CNTF_belt,1mM Rhamnose,0.3,2hr
SRR9691473,4100486,311636936,76,113,SRX6450790,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104508,SAMN12283946,simple,562,Escherichia coli,GSM3942205,GEO,SRA921338,07,2022,Makar,BRCA,BRCA-2 [ribosome profiling],cobPNMT,Gly2,cobPNMT,1mM Rhamnose,0.3,2hr
SRR9691474,4129624,313851424,76,113,SRX6450790,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104508,SAMN12283946,simple,562,Escherichia coli,GSM3942205,GEO,SRA921338,07,2022,Makar,BRCA,BRCA-2 [ribosome profiling],cobPNMT,Gly2,cobPNMT,1mM Rhamnose,0.3,2hr
SRR9691475,3587143,272622868,76,96,SRX6450791,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104509,SAMN12283983,simple,562,Escherichia coli,GSM3942206,GEO,SRA921338,07,2022,Makar,BRCA_v1,BRCA_v1-1 [ribosome profiling],cvPhhB,Gly2,cvPhhB,1mM Rhamnose,0.3,2hr
SRR9691476,3584209,272399884,76,98,SRX6450791,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104509,SAMN12283983,simple,562,Escherichia coli,GSM3942206,GEO,SRA921338,07,2022,Makar,BRCA_v1,BRCA_v1-1 [ribosome profiling],cvPhhB,Gly2,cvPhhB,1mM Rhamnose,0.3,2hr
SRR9691477,3409506,259122456,76,92,SRX6450791,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104509,SAMN12283983,simple,562,Escherichia coli,GSM3942206,GEO,SRA921338,07,2022,Makar,BRCA_v1,BRCA_v1-1 [ribosome profiling],ggAANAT,Gly2,ggAANAT,1mM Rhamnose,0.3,2hr
SRR9691478,3766569,286259244,76,101,SRX6450791,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104509,SAMN12283983,simple,562,Escherichia coli,GSM3942206,GEO,SRA921338,07,2022,Makar,BRCA_v1,BRCA_v1-1 [ribosome profiling],ggAANAT,Gly2,ggAANAT,1mM Rhamnose,0.3,2hr
SRR9691479,4578985,348002860,76,123,SRX6450792,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104510,SAMN12283982,simple,562,Escherichia coli,GSM3942207,GEO,SRA921338,07,2022,Makar,BRCA_v1,BRCA_v1-2 [ribosome profiling],ggTPH,Gly2,ggTPH,1mM Rhamnose,0.3,2hr
SRR9691480,4595048,349223648,76,121,SRX6450792,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104510,SAMN12283982,simple,562,Escherichia coli,GSM3942207,GEO,SRA921338,07,2022,Makar,BRCA_v1,BRCA_v1-2 [ribosome profiling],ggTPH,Gly2,ggTPH,1mM Rhamnose,0.3,2hr
SRR9691481,4365337,331765612,76,116,SRX6450792,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104510,SAMN12283982,simple,562,Escherichia coli,GSM3942207,GEO,SRA921338,07,2022,Makar,BRCA_v1,BRCA_v1-2 [ribosome profiling],hsAANAT,Gly2,hsAANAT,1mM Rhamnose,0.3,2hr
SRR9691482,4810030,365562280,76,127,SRX6450792,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104510,SAMN12283982,simple,562,Escherichia coli,GSM3942207,GEO,SRA921338,07,2022,Makar,BRCA_v1,BRCA_v1-2 [ribosome profiling],hsAANAT,Gly2,hsAANAT,1mM Rhamnose,0.3,2hr
SRR9691483,2617764,198950064,76,69,SRX6450793,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104511,SAMN12283981,simple,562,Escherichia coli,GSM3942208,GEO,SRA921338,07,2022,Makar,BRCA_v2,BRCA_v2-1 [ribosome profiling],hsASMT,Gly2,hsASMT,1mM Rhamnose,0.3,2hr
SRR9691484,2484484,188820784,76,66,SRX6450793,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104511,SAMN12283981,simple,562,Escherichia coli,GSM3942208,GEO,SRA921338,07,2022,Makar,BRCA_v2,BRCA_v2-1 [ribosome profiling],hsASMT,Gly2,hsASMT,1mM Rhamnose,0.3,2hr
SRR9691485,2613767,198646292,76,70,SRX6450793,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104511,SAMN12283981,simple,562,Escherichia coli,GSM3942208,GEO,SRA921338,07,2022,Makar,BRCA_v2,BRCA_v2-1 [ribosome profiling],hsPNMT-mb,Gly2,hsPNMT-mb,1mM Rhamnose,0.3,2hr
SRR9691486,2738539,208128964,76,73,SRX6450793,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104511,SAMN12283981,simple,562,Escherichia coli,GSM3942208,GEO,SRA921338,07,2022,Makar,BRCA_v2,BRCA_v2-1 [ribosome profiling],hsPNMT-mb,Gly2,hsPNMT-mb,1mM Rhamnose,0.3,2hr
SRR9691487,3100820,235662320,76,85,SRX6450794,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104512,SAMN12283980,simple,562,Escherichia coli,GSM3942209,GEO,SRA921338,07,2022,Makar,BRCA_v2,BRCA_v2-2 [ribosome profiling],hsTPH_E2K,Gly2,hsTPH_E2K,1mM Rhamnose,0.3,2hr
SRR9691488,3258911,247677236,76,89,SRX6450794,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104512,SAMN12283980,simple,562,Escherichia coli,GSM3942209,GEO,SRA921338,07,2022,Makar,BRCA_v2,BRCA_v2-2 [ribosome profiling],hsTPH_E2K,Gly2,hsTPH_E2K,1mM Rhamnose,0.3,2hr
SRR9691489,3418572,259811472,76,94,SRX6450794,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104512,SAMN12283980,simple,562,Escherichia coli,GSM3942209,GEO,SRA921338,07,2022,Makar,BRCA_v2,BRCA_v2-2 [ribosome profiling],hsTPH_N158trunc,Gly2,hsTPH_N158trunc,1mM Rhamnose,0.3,2hr
SRR9691490,3260403,247790628,76,91,SRX6450794,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104512,SAMN12283980,simple,562,Escherichia coli,GSM3942209,GEO,SRA921338,07,2022,Makar,BRCA_v2,BRCA_v2-2 [ribosome profiling],hsTPH_N158trunc,Gly2,hsTPH_N158trunc,1mM Rhamnose,0.3,2hr
SRR9691491,5446158,413908008,76,142,SRX6450795,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104513,SAMN12283979,simple,562,Escherichia coli,GSM3942210,GEO,SRA921338,07,2022,Makar,btAANAT,btAANAT-1 [ribosome profiling],hsTPH_N174trunc,Gly2,hsTPH_N174trunc,1mM Rhamnose,0.3,2hr
SRR9691492,5673210,431163960,76,147,SRX6450795,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104513,SAMN12283979,simple,562,Escherichia coli,GSM3942210,GEO,SRA921338,07,2022,Makar,btAANAT,btAANAT-1 [ribosome profiling],hsTPH_N174trunc,Gly2,hsTPH_N174trunc,1mM Rhamnose,0.3,2hr
SRR9691493,5647947,429243972,76,147,SRX6450795,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104513,SAMN12283979,simple,562,Escherichia coli,GSM3942210,GEO,SRA921338,07,2022,Makar,btAANAT,btAANAT-1 [ribosome profiling],hsTPH_Ntermtrunc,Gly2,hsTPH_Ntermtrunc,1mM Rhamnose,0.3,2hr
SRR9691494,5424276,412244976,76,139,SRX6450795,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104513,SAMN12283979,simple,562,Escherichia coli,GSM3942210,GEO,SRA921338,07,2022,Makar,btAANAT,btAANAT-1 [ribosome profiling],hsTPH_Ntermtrunc,Gly2,hsTPH_Ntermtrunc,1mM Rhamnose,0.3,2hr
SRR9691495,3750272,285020672,76,96,SRX6450796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104514,SAMN12283978,simple,562,Escherichia coli,GSM3942211,GEO,SRA921338,07,2022,Makar,btAANAT,btAANAT-2 [ribosome profiling],hsTPH,Gly2,hsTPH,1mM Rhamnose,0.3,2hr
SRR9691496,3604261,273923836,76,93,SRX6450796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104514,SAMN12283978,simple,562,Escherichia coli,GSM3942211,GEO,SRA921338,07,2022,Makar,btAANAT,btAANAT-2 [ribosome profiling],hsTPH1,Gly2,hsTPH1,1mM Rhamnose,0.3,2hr
SRR9691497,3737249,284030924,76,97,SRX6450796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104514,SAMN12283978,simple,562,Escherichia coli,GSM3942211,GEO,SRA921338,07,2022,Makar,btAANAT,btAANAT-2 [ribosome profiling],hsTPH1,Gly2,hsTPH1,1mM Rhamnose,0.3,2hr
SRR9691498,3594885,273211260,76,91,SRX6450796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104514,SAMN12283978,simple,562,Escherichia coli,GSM3942211,GEO,SRA921338,07,2022,Makar,btAANAT,btAANAT-2 [ribosome profiling],hsTPH,Gly2,hsTPH,1mM Rhamnose,0.3,2hr
SRR9691499,3002376,228180576,76,76,SRX6450797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104515,SAMN12283977,simple,562,Escherichia coli,GSM3942212,GEO,SRA921338,07,2022,Makar,btASMT,btASMT-1 [ribosome profiling],hsTPH-E2K-N91I-P99C,Gly2,hsTPH-E2K-N91I-P99C,1mM Rhamnose,0.3,2hr
SRR9691500,2863629,217635804,76,74,SRX6450797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104515,SAMN12283977,simple,562,Escherichia coli,GSM3942212,GEO,SRA921338,07,2022,Makar,btASMT,btASMT-1 [ribosome profiling],hsTPH-E2K-N91I-P99C,Gly2,hsTPH-E2K-N91I-P99C,1mM Rhamnose,0.3,2hr
SRR9691501,2846604,216341904,76,72,SRX6450797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104515,SAMN12283977,simple,562,Escherichia coli,GSM3942212,GEO,SRA921338,07,2022,Makar,btASMT,btASMT-1 [ribosome profiling],MBP,Gly2,MBP,1mM Rhamnose,0.3,2hr
SRR9691502,2988240,227106240,76,77,SRX6450797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104515,SAMN12283977,simple,562,Escherichia coli,GSM3942212,GEO,SRA921338,07,2022,Makar,btASMT,btASMT-1 [ribosome profiling],MBP,Gly2,MBP,1mM Rhamnose,0.3,2hr
SRR9691503,3827680,290903680,76,97,SRX6450798,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104516,SAMN12283976,simple,562,Escherichia coli,GSM3942213,GEO,SRA921338,07,2022,Makar,btASMT,btASMT-2 [ribosome profiling],msCOMT,Gly2,msCOMT,1mM Rhamnose,0.3,2hr
SRR9691504,3840817,291902092,76,96,SRX6450798,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104516,SAMN12283976,simple,562,Escherichia coli,GSM3942213,GEO,SRA921338,07,2022,Makar,btASMT,btASMT-2 [ribosome profiling],msCOMT,Gly2,msCOMT,1mM Rhamnose,0.3,2hr
SRR9691505,3669383,278873108,76,93,SRX6450798,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104516,SAMN12283976,simple,562,Escherichia coli,GSM3942213,GEO,SRA921338,07,2022,Makar,btASMT,btASMT-2 [ribosome profiling],ocAANAT,Gly2,ocAANAT,1mM Rhamnose,0.3,2hr
SRR9691506,3642522,276831672,76,90,SRX6450798,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104516,SAMN12283976,simple,562,Escherichia coli,GSM3942213,GEO,SRA921338,07,2022,Makar,btASMT,btASMT-2 [ribosome profiling],ocAANAT,Gly2,ocAANAT,1mM Rhamnose,0.3,2hr
SRR9691507,1600013,121600988,76,40,SRX6450799,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104517,SAMN12283975,simple,562,Escherichia coli,GSM3942214,GEO,SRA921338,07,2022,Makar,CC1,CC1-1 [ribosome profiling],osTDC-K374H,Gly2,osTDC-K374H,1mM Rhamnose,0.3,2hr
SRR9691508,1648793,125308268,76,41,SRX6450799,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104517,SAMN12283975,simple,562,Escherichia coli,GSM3942214,GEO,SRA921338,07,2022,Makar,CC1,CC1-1 [ribosome profiling],osTDC-K374H,Gly2,osTDC-K374H,1mM Rhamnose,0.3,2hr
SRR9691509,1554367,118131892,76,40,SRX6450799,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104517,SAMN12283975,simple,562,Escherichia coli,GSM3942214,GEO,SRA921338,07,2022,Makar,CC1,CC1-1 [ribosome profiling],osTDC-K374L,Gly2,osTDC-K374L,1mM Rhamnose,0.3,2hr
SRR9691510,1634717,124238492,76,40,SRX6450799,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104517,SAMN12283975,simple,562,Escherichia coli,GSM3942214,GEO,SRA921338,07,2022,Makar,CC1,CC1-1 [ribosome profiling],osTDC-K374L,Gly2,osTDC-K374L,1mM Rhamnose,0.3,2hr
SRR9691511,2085773,158518748,76,53,SRX6450800,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104518,SAMN12283974,simple,562,Escherichia coli,GSM3942215,GEO,SRA921338,07,2022,Makar,CC1,CC1-2 [ribosome profiling],osTDC-K374Q,Gly2,osTDC-K374Q,1mM Rhamnose,0.3,2hr
SRR9691512,2071271,157416596,76,52,SRX6450800,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104518,SAMN12283974,simple,562,Escherichia coli,GSM3942215,GEO,SRA921338,07,2022,Makar,CC1,CC1-2 [ribosome profiling],osTDC-K374Q,Gly2,osTDC-K374Q,1mM Rhamnose,0.3,2hr
SRR9691513,2024363,153851588,76,52,SRX6450800,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104518,SAMN12283974,simple,562,Escherichia coli,GSM3942215,GEO,SRA921338,07,2022,Makar,CC1,CC1-2 [ribosome profiling],osTDC-L360V,Gly2,osTDC-L360V,1mM Rhamnose,0.3,2hr
SRR9691514,1970932,149790832,76,52,SRX6450800,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104518,SAMN12283974,simple,562,Escherichia coli,GSM3942215,GEO,SRA921338,07,2022,Makar,CC1,CC1-2 [ribosome profiling],osTDC-L360V,Gly2,osTDC-L360V,1mM Rhamnose,0.3,2hr
SRR9691515,4461324,339060624,76,120,SRX6450801,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104519,SAMN12283973,simple,562,Escherichia coli,GSM3942216,GEO,SRA921338,07,2022,Makar,ccCOMT,ccCOMT-1 [ribosome profiling],pmTPH,Gly2,pmTPH,1mM Rhamnose,0.3,2hr
