Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,host,collection_date,geo_loc_name,sample_type,sample_label,isolate,BioSampleModel,extracted_nucleic_acid,rap_protein,atc_plus/minus,replicate_number,ip/input,time_point
SRR13389605,83739168,16915311936,101,4841,SRX9808760,WT_RNA_32h_rep1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992749,SAMN17266143,simple,36329,Plasmodium falciparum 3D7,WT_RNAseq_32h_rep1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2019,not applicable,clonal culture,WT_32h_rep1,3D7,"Microbe, viral or environmental",,,,,,
SRR13389604,32724733,6610396066,101,2079,SRX9808761,WT_RNA_32h_rep2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992750,SAMN17266144,simple,36329,Plasmodium falciparum 3D7,WT_RNAseq_32h_rep2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,WT_32h_rep2,3D7,"Microbe, viral or environmental",,,,,,
SRR13389603,63535909,12834253618,101,3680,SRX9808762,WT_RNA_56h_rep1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992751,SAMN17266145,simple,36329,Plasmodium falciparum 3D7,WT_RNAseq_56h_rep1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2019,not applicable,clonal culture,WT_56h_rep1,3D7,"Microbe, viral or environmental",,,,,,
SRR13389601,20462406,4133406012,101,1284,SRX9808763,WT_RNA_56h_rep2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992752,SAMN17266146,simple,36329,Plasmodium falciparum 3D7,WT_RNAseq_56h_rep2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,WT_56h_rep2,3D7,"Microbe, viral or environmental",,,,,,
SRR13389600,67793738,13694335076,101,3925,SRX9808764,WT_RNA_72h_rep1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992754,SAMN17266147,simple,36329,Plasmodium falciparum 3D7,WT_RNAseq_72h_rep1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2019,not applicable,clonal culture,WT_72h_rep1,3D7,"Microbe, viral or environmental",,,,,,
SRR13389599,35643391,7199964982,101,2259,SRX9808765,WT_RNA_72h_rep2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992753,SAMN17266148,simple,36329,Plasmodium falciparum 3D7,WT_RNAseq_72h_rep2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,WT_72h_rep2,3D7,"Microbe, viral or environmental",,,,,,
SRR13389602,79318394,16022315588,101,4592,SRX9808766,WT_RNA_80h_rep1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992755,SAMN17266149,simple,36329,Plasmodium falciparum 3D7,WT_RNAseq_80h_rep1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2019,not applicable,clonal culture,WT_80h_rep1,3D7,"Microbe, viral or environmental",,,,,,
SRR13389598,8378762,1692509924,101,533,SRX9808767,WT_RNA_80h_rep2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992756,SAMN17266150,simple,36329,Plasmodium falciparum 3D7,WT_RNAseq_80h_rep2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,WT_80h_rep2,3D7,"Microbe, viral or environmental",,,,,,
SRR13389597,36874590,7448667180,101,2368,SRX9808768,RAP01KD_RNA_72h_aTc-_rep1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992757,SAMN17266115,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_72h_aTc-_rep1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,RAP01_72h_aTc-_rep1,3D7,"Microbe, viral or environmental",,,,,,
SRR13389596,1296463,130942763,101,40,SRX9808769,RAP01-CLIP-IP1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992758,SAMN17266151,simple,36329,Plasmodium falciparum 3D7,RAP01-HA_CLIP_IP-1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,IP01-1,3D7,"Microbe, viral or environmental",,,,,,
SRR13389595,660410,66701410,101,20,SRX9808770,RAP01-CLIP-IP2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992759,SAMN17266152,simple,36329,Plasmodium falciparum 3D7,RAP01-HA_CLIP_IP-2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,IP01-2,3D7,"Microbe, viral or environmental",,,,,,
SRR13389594,21027,2123727,101,0,SRX9808771,RAP01-CLIP-Input1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992760,SAMN17266153,simple,36329,Plasmodium falciparum 3D7,RAP01-HA_CLIP_Input-1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,Input01-1,3D7,"Microbe, viral or environmental",,,,,,
SRR13389593,148426,14991026,101,4,SRX9808772,RAP01-CLIP-Input2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992761,SAMN17266154,simple,36329,Plasmodium falciparum 3D7,RAP01-HA_CLIP_Input-2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,Input01-2,3D7,"Microbe, viral or environmental",,,,,,
SRR13389588,9279014,937180414,101,281,SRX9808777,WT-CLIP-IP1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992766,SAMN17266159,simple,36329,Plasmodium falciparum 3D7,WT_CLIP_IP-1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,IPWT-1,3D7,"Microbe, viral or environmental",,,,,,
SRR13389587,150369,15187269,101,4,SRX9808778,WT-CLIP-IP2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992767,SAMN17266160,simple,36329,Plasmodium falciparum 3D7,WT_CLIP_IP-2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,IPWT-2,3D7,"Microbe, viral or environmental",,,,,,
SRR13389586,22043701,4452827602,101,1394,SRX9808779,RAP01KD_RNA_72h_aTc+_rep1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992768,SAMN17266116,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_72h_aTc+_rep1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,RAP01_72h_aTc+_rep1,3D7,"Microbe, viral or environmental",,,,,,
SRR13389585,45302,4575502,101,1,SRX9808780,WT-CLIP-Input1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992769,SAMN17266161,simple,36329,Plasmodium falciparum 3D7,WT_CLIP_Input-1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,InputWT-1,3D7,"Microbe, viral or environmental",,,,,,
SRR13389584,207156,20922756,101,6,SRX9808781,WT-CLIP-Input2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992770,SAMN17266162,simple,36329,Plasmodium falciparum 3D7,WT_CLIP_Input-2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,InputWT-2,3D7,"Microbe, viral or environmental",,,,,,
SRR13389583,17949975,3625894950,101,1124,SRX9808782,RAP01KD_RNA_80h_aTc-_rep1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992771,SAMN17266117,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_80h_aTc-_rep1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,RAP01_80h_aTc-_rep1,3D7,"Microbe, viral or environmental",,,,,,
SRR13389582,20244430,4089374860,101,1280,SRX9808783,RAP01KD_RNA_80h_aTc+_rep1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992772,SAMN17266118,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_80h_aTc+_rep1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,RAP01_80h_aTc+_rep1,3D7,"Microbe, viral or environmental",,,,,,
SRR13389581,29903909,6040589618,101,1892,SRX9808784,RAP01KD_RNA_32h_aTc-_rep2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992773,SAMN17266119,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_32h_aTc-_rep2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,RAP01_32h_aTc-_rep2,3D7,"Microbe, viral or environmental",,,,,,
SRR13389580,73121131,14770468462,101,4623,SRX9808785,RAP01KD_RNA_32h_aTc+_rep2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992774,SAMN17266120,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_32h_aTc+_rep2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,RAP01_32h_aTc+_rep2,3D7,"Microbe, viral or environmental",,,,,,
SRR15530395,23697555,3576803561,75,1459,SRX11828725,RAP01_gDNA_CloneF2,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP300936,PRJNA690830,1,"",SRS9842351,SAMN20863855,simple,5833,Plasmodium falciparum,RAP01_gDNA_CloneF2,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2019,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",Genomic DNA,RAP01,not applicable,One,not applicable,not applicable
SRR15530394,35330462,5333038161,75,2195,SRX11828726,RAP01_gDNA_CloneF4,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP300936,PRJNA690830,1,"",SRS9842350,SAMN20863856,simple,5833,Plasmodium falciparum,RAP01_gDNA_CloneF4,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2019,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",Genomic DNA,RAP01,not applicable,Two,not applicable,not applicable
SRR15530393,15824240,1598248240,101,449,SRX11828727,RAP01_TotalSmallRNA_aTc-_rep1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS9842352,SAMN20863865,simple,5833,Plasmodium falciparum,RAP01_TotalSmallRNA_aTc-_rep1,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2021,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",Total small RNA,RAP01,Minus,One,not applicable,not applicable
SRR15530392,23175155,2340690655,101,697,SRX11828728,RAP01_TotalSmallRNA_aTc-_rep2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS9842353,SAMN20863866,simple,5833,Plasmodium falciparum,RAP01_TotalSmallRNA_aTc-_rep2,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2021,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",Total small RNA,RAP01,Minus,Two,not applicable,not applicable
SRR15530391,21353008,2156653808,101,638,SRX11828729,RAP01_TotalSmallRNA_aTc+_rep1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS9842354,SAMN20863867,simple,5833,Plasmodium falciparum,RAP01_TotalSmallRNA_aTc+_rep1,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2021,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",Total small RNA,RAP01,Plus,One,not applicable,not applicable
SRR15530390,14204882,1434693082,101,428,SRX11828730,RAP01_TotalSmallRNA_aTc+_rep2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS9842355,SAMN20863868,simple,5833,Plasmodium falciparum,RAP01_TotalSmallRNA_aTc+_rep2,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2021,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",Total small RNA,RAP01,Plus,Two,not applicable,not applicable
SRR15530389,16324550,1648779550,101,505,SRX11828731,RAP21_MitoEnrichedSmallRNA_aTc-_rep1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS9842356,SAMN20863869,simple,5833,Plasmodium falciparum,RAP21_MitoEnrichedSmallRNA_aTc-_rep1,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2021,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",Mitochondrial-enriched small RNA,RAP21,Minus,One,not applicable,not applicable
SRR15530388,17266306,1743896906,101,529,SRX11828732,RAP21_MitoEnrichedSmallRNA_aTc-_rep2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS9842357,SAMN20863870,simple,5833,Plasmodium falciparum,RAP21_MitoEnrichedSmallRNA_aTc-_rep2,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2021,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",Mitochondrial-enriched small RNA,RAP21,Minus,Two,not applicable,not applicable
SRR15530387,8841862,893028062,101,273,SRX11828733,RAP21_MitoEnrichedSmallRNA_aTc+_rep1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS9842358,SAMN20863871,simple,5833,Plasmodium falciparum,RAP21_MitoEnrichedSmallRNA_aTc+_rep1,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2021,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",Mitochondrial-enriched small RNA,RAP21,Plus,One,not applicable,not applicable
SRR15530386,37264389,3763703289,101,1147,SRX11828734,RAP21_MitoEnrichedSmallRNA_aTc+_rep2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS9842359,SAMN20863872,simple,5833,Plasmodium falciparum,RAP21_MitoEnrichedSmallRNA_aTc+_rep2,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2021,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",Mitochondrial-enriched small RNA,RAP21,Plus,Two,not applicable,not applicable
SRR15530385,11706121,1182318221,101,350,SRX11828735,RAP21_TotalSmallRNA_aTc-_rep1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS9842360,SAMN20863873,simple,5833,Plasmodium falciparum,RAP21_TotalSmallRNA_aTc-_rep1,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2021,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",Total small RNA,RAP21,Minus,One,not applicable,not applicable
SRR15530384,123972162,12521188362,101,3754,SRX11828736,RAP21_TotalSmallRNA_aTc-_rep2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS9842362,SAMN20863874,simple,5833,Plasmodium falciparum,RAP21_TotalSmallRNA_aTc-_rep2,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2021,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",Total small RNA,RAP21,Minus,Two,not applicable,not applicable
SRR15530383,25480051,3845993347,75,1585,SRX11828737,RAP21_gDNA_CloneG1,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP300936,PRJNA690830,1,"",SRS9842361,SAMN20863857,simple,5833,Plasmodium falciparum,RAP21_gDNA_CloneG1,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2019,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",Genomic DNA,RAP21,not applicable,One,not applicable,not applicable
SRR15530382,13975766,1411552366,101,416,SRX11828738,RAP21_TotalSmallRNA_aTc+_rep1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS9842363,SAMN20863875,simple,5833,Plasmodium falciparum,RAP21_TotalSmallRNA_aTc+_rep1,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2021,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",Total small RNA,RAP21,Plus,One,not applicable,not applicable
SRR15530381,16761088,1692869888,101,507,SRX11828739,RAP21_TotalSmallRNA_aTc+_rep2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS9842364,SAMN20863876,simple,5833,Plasmodium falciparum,RAP21_TotalSmallRNA_aTc+_rep2,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2021,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",Total small RNA,RAP21,Plus,Two,not applicable,not applicable
SRR15530380,77920533,15739947666,101,4462,SRX11828740,RAP21KD_RNA_32h_aTc-_rep1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS9842365,SAMN20863877,simple,5833,Plasmodium falciparum,RAP21KD_RNAseq_32h_aTc-_rep1,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2019,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",mRNA,RAP21,Minus,One,not applicable,32h
SRR15530379,89991712,18178325824,101,5169,SRX11828741,RAP21KD_RNA_32h_aTc+_rep1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS9842366,SAMN20863878,simple,5833,Plasmodium falciparum,RAP21KD_RNAseq_32h_aTc+_rep1,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2019,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",mRNA,RAP21,Plus,One,not applicable,32h
SRR15530378,94248749,19038247298,101,5413,SRX11828742,RAP21KD_RNA_56h_aTc-_rep1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS9842367,SAMN20863879,simple,5833,Plasmodium falciparum,RAP21KD_RNAseq_56h_aTc-_rep1,UC Riverside,SRA1281024,02,2022,Makar,"","",Homo sapiens,2019,not applicable,clonal culture,,NF54,"Microbe, viral or environmental",mRNA,RAP21,Minus,One,not applicable,56h
