Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR24190349,20679894,4177338588,101,1225,SRX19987578,GSM7179266,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332753,SAMN34223638,simple,9606,Homo sapiens,GSM7179266,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,GSC2 RNA seq irradiated (t=60 min),RNAseq_GSC2_t_2_S74,GSC2 RNA seq irradiated (t=60 min),Glioblastoma,GSC2,CNS derived tumor,IDH1 wild type EGFR ampllified,Irradiated,missing,missing
SRR24190348,34201569,6908716938,101,2077,SRX19987579,GSM7179267,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332754,SAMN34223637,simple,9606,Homo sapiens,GSM7179267,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,GSC20 RNA seq not irratiated (t=0 min),RNAseq_GSC20_t_0_S70,GSC20 RNA seq not irratiated (t=0 min),Glioblastoma,GSC20,CNS derived tumor,IDH1 wild type,None,missing,missing
SRR24190347,34380664,6944894128,101,2079,SRX19987580,GSM7179268,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332755,SAMN34223636,simple,9606,Homo sapiens,GSM7179268,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,GSC20 RNA seq irradiated (t=30 min),RNAseq_GSC20_t_1_S71,GSC20 RNA seq irradiated (t=30 min),Glioblastoma,GSC20,CNS derived tumor,IDH1 wild type,Irradiated,missing,missing
SRR24190345,29528325,5964721650,101,1809,SRX19987581,GSM7179269,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332757,SAMN34223635,simple,9606,Homo sapiens,GSM7179269,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,GSC20 RNA seq irradiated (t=60 min),RNAseq_GSC20_t_2_S72,GSC20 RNA seq irradiated (t=60 min),Glioblastoma,GSC20,CNS derived tumor,IDH1 wild type,Irradiated,missing,missing
SRR24190344,31234080,6309284160,101,1882,SRX19987582,GSM7179270,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332758,SAMN34223634,simple,9606,Homo sapiens,GSM7179270,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,GSC28 RNA seq not irratiated (t=0 min),RNAseq_GSC28t0_S89_L002,GSC28 RNA seq not irratiated (t=0 min),Glioblastoma,GSC28,CNS derived tumor,IDH1 wild type,None,missing,missing
SRR24441096,28521360,5761314720,101,1727,SRX19987583,GSM7179271,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332756,SAMN34223633,simple,9606,Homo sapiens,GSM7179271,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1632944,08,2023,Makar,GSC28 RNA seq irradiated (t=30 min),RNAseq_GSC28t1_S90_L002,GSC28 RNA seq irradiated (t=30 min),Glioblastoma,GSC28,CNS derived tumor,IDH1 wild type,Irradiated,missing,missing
SRR24190346,31325739,6327799278,101,1869,SRX19987584,GSM7179272,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332759,SAMN34223632,simple,9606,Homo sapiens,GSM7179272,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,GSC28 RNA seq irradiated (t=60 min),RNAseq_GCS28t2_S91_L002,GSC28 RNA seq irradiated (t=60 min),Glioblastoma,GSC28,CNS derived tumor,IDH1 wild type,Irradiated,missing,missing
SRR24190342,32703024,6606010848,101,1994,SRX19987585,GSM7179273,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332760,SAMN34223631,simple,9606,Homo sapiens,GSM7179273,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,GSC34 RNA seq not irratiated (t=0 min),RNAseq_GSC34_t_0_S64,GSC34 RNA seq not irratiated (t=0 min),Glioblastoma,GSC34,CNS derived tumor,IDH1 wild type,None,missing,missing
SRR24190341,39942781,8068441762,101,2426,SRX19987586,GSM7179274,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332761,SAMN34223630,simple,9606,Homo sapiens,GSM7179274,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,GSC34 RNA seq irradiated (t=30 min),RNAseq_GSC34_t_1_S65,GSC34 RNA seq irradiated (t=30 min),Glioblastoma,GSC34,CNS derived tumor,IDH1 wild type,Irradiated,missing,missing
SRR24190340,33072909,6680727618,101,2025,SRX19987587,GSM7179275,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332762,SAMN34223629,simple,9606,Homo sapiens,GSM7179275,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,GSC34 RNA seq irradiated (t=60 min),RNAseq_GCS34_t_2_S66,GSC34 RNA seq irradiated (t=60 min),Glioblastoma,GSC34,CNS derived tumor,IDH1 wild type,Irradiated,missing,missing
SRR24190339,34387577,6946290554,101,2079,SRX19987588,GSM7179276,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332764,SAMN34223628,simple,9606,Homo sapiens,GSM7179276,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,VU591 RNA seq not irratiated (t=0 min),RNAseq_VU591_t_0_S67,VU591 RNA seq not irratiated (t=0 min),Glioblastoma,VU591,CNS derived tumor,IDH1 mutant,None,missing,missing
SRR24441097,29278007,5914157414,101,1778,SRX19987589,GSM7179277,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332763,SAMN34223627,simple,9606,Homo sapiens,GSM7179277,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1632944,08,2023,Makar,VU591 RNA seq irradiated (t=30 min),RNAseq_VU591_t_1_S68,VU591 RNA seq irradiated (t=30 min),Glioblastoma,VU591,CNS derived tumor,IDH1 mutant,Irradiated,missing,missing
SRR24190337,40092427,8098670254,101,2436,SRX19987590,GSM7179278,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332765,SAMN34223626,simple,9606,Homo sapiens,GSM7179278,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,VU591 RNA seq irradiated (t=60 min),RNAseq_VU591_t_2_S69,VU591 RNA seq irradiated (t=60 min),Glioblastoma,VU591,CNS derived tumor,IDH1 mutant,Irradiated,missing,missing
SRR24190336,23923102,4832466604,101,1358,SRX19987591,GSM7179279,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332766,SAMN34223625,simple,9606,Homo sapiens,GSM7179279,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,VU593 RNA seq not irratiated (t=0 min),RNAseq_VU593_t_0_S1,VU593 RNA seq not irratiated (t=0 min),Glioblastoma,VU593,CNS derived tumor,IDH1 wild type,None,missing,missing
SRR24190335,25113086,5072843372,101,1437,SRX19987592,GSM7179280,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332767,SAMN34223624,simple,9606,Homo sapiens,GSM7179280,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,VU593 RNA seq irradiated (t=30 min),RNAseq_VU593_t_1_S2,VU593 RNA seq irradiated (t=30 min),Glioblastoma,VU593,CNS derived tumor,IDH1 wild type,Irradiated,missing,missing
SRR24190334,21338978,4310473556,101,1208,SRX19987593,GSM7179281,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332768,SAMN34223623,simple,9606,Homo sapiens,GSM7179281,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,VU593 RNA seq irradiated (t=60 min),RNAseq_VU593_t_2_S3,VU593 RNA seq irradiated (t=60 min),Glioblastoma,VU593,CNS derived tumor,IDH1 wild type,Irradiated,missing,missing
SRR24190333,24792138,5008011876,101,1405,SRX19987594,GSM7179282,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332769,SAMN34223622,simple,9606,Homo sapiens,GSM7179282,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,VU598 RNA seq not irratiated (t=0 min),RNAseq_VU598_t_0_S4,VU598 RNA seq not irratiated (t=0 min),Glioblastoma,VU598,CNS derived tumor,IDH1 wild type,None,missing,missing
SRR24190332,24726825,4994818650,101,1405,SRX19987595,GSM7179283,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332770,SAMN34223621,simple,9606,Homo sapiens,GSM7179283,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,VU598 RNA seq irradiated (t=30 min),RNAseq_VU598_t_1_S5,VU598 RNA seq irradiated (t=30 min),Glioblastoma,VU598,CNS derived tumor,IDH1 wild type,Irradiated,missing,missing
SRR24190331,19923672,4024581744,101,1126,SRX19987596,GSM7179284,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332771,SAMN34223620,simple,9606,Homo sapiens,GSM7179284,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,VU598 RNA seq irradiated (t=60 min),RNAseq_VU598_t_2_S6,VU598 RNA seq irradiated (t=60 min),Glioblastoma,VU598,CNS derived tumor,IDH1 wild type,Irradiated,missing,missing
SRR24190330,23370285,4720797570,101,1324,SRX19987597,GSM7179285,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332772,SAMN34223619,simple,9606,Homo sapiens,GSM7179285,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,VU609 RNA seq not irratiated (t=0 min),RNAseq_VU609_t_0_S7,VU609 RNA seq not irratiated (t=0 min),Glioblastoma,VU609,CNS derived tumor,IDH1 wild type,None,missing,missing
SRR24190329,19039642,3846007684,101,1088,SRX19987598,GSM7179286,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332773,SAMN34223618,simple,9606,Homo sapiens,GSM7179286,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,VU609 RNA seq irradiated (t=30 min),RNAseq_VU609_t_1_S8,VU609 RNA seq irradiated (t=30 min),Glioblastoma,VU609,CNS derived tumor,IDH1 wild type,Irradiated,missing,missing
SRR24190328,22273032,4499152464,101,1263,SRX19987599,GSM7179287,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332774,SAMN34223617,simple,9606,Homo sapiens,GSM7179287,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,VU609 RNA seq irradiated (t=60 min),RNAseq_VU609_t_2_S9,VU609 RNA seq irradiated (t=60 min),Glioblastoma,VU609,CNS derived tumor,IDH1 wild type,Irradiated,missing,missing
