Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,sample type,GEO Accession
SRR12109266,4149209,119417070,28,69,SRX8633306,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920041,SAMN15399622,simple,9606,Homo sapiens,GSM4645417,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_0615594_2,Tissue,Tumor,GSM4645417
SRR12109267,892984,24995064,27,14,SRX8633307,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920042,SAMN15399621,simple,9606,Homo sapiens,GSM4645418,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_0615594_3,Tissue,Tumor,GSM4645418
SRR12109268,10151133,301610808,29,173,SRX8633308,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920043,SAMN15399620,simple,9606,Homo sapiens,GSM4645419,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_09-32283_1,Tissue,Tumor,GSM4645419
SRR12109269,4059118,121404978,29,69,SRX8633315,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920050,SAMN15399619,simple,9606,Homo sapiens,GSM4645420,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_09-32283_2,Tissue,Tumor,GSM4645420
SRR12109270,9791192,289155518,29,166,SRX8633316,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920051,SAMN15399618,simple,9606,Homo sapiens,GSM4645421,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_09-32283_3,Tissue,Tumor,GSM4645421
SRR12109271,2609637,67033950,25,41,SRX8633317,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920052,SAMN15399617,simple,9606,Homo sapiens,GSM4645422,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_11-14420_1,Tissue,Tumor,GSM4645422
SRR12109272,972826,25983265,26,16,SRX8633318,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920053,SAMN15399616,simple,9606,Homo sapiens,GSM4645423,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_11-14420_2,Tissue,Tumor,GSM4645423
SRR12109273,2250918,61559257,27,37,SRX8633319,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920054,SAMN15399606,simple,9606,Homo sapiens,GSM4645424,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_11-14420_3,Tissue,Tumor,GSM4645424
SRR12109274,4744600,131582247,27,82,SRX8633320,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920055,SAMN15399605,simple,9606,Homo sapiens,GSM4645425,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_12-003909_1,Tissue,Tumor,GSM4645425
SRR12109275,1643587,45442392,27,28,SRX8633321,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920056,SAMN15399604,simple,9606,Homo sapiens,GSM4645426,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_12-003909_2,Tissue,Tumor,GSM4645426
SRR12109276,3604160,99389576,27,62,SRX8633322,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920057,SAMN15399603,simple,9606,Homo sapiens,GSM4645427,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_12-003909_3,Tissue,Tumor,GSM4645427
SRR12109277,1758844,43812083,24,26,SRX8633323,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920058,SAMN15399602,simple,9606,Homo sapiens,GSM4645428,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_12-33637_1,Tissue,Tumor,GSM4645428
SRR12109278,2008936,49692307,24,29,SRX8633324,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920059,SAMN15399601,simple,9606,Homo sapiens,GSM4645429,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_12-33637_2,Tissue,Tumor,GSM4645429
SRR12109279,505563,11764987,23,7,SRX8633325,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920060,SAMN15399600,simple,9606,Homo sapiens,GSM4645430,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_12-33637_3,Tissue,Tumor,GSM4645430
SRR12109280,235220,9199291,39,5,SRX8633326,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920061,SAMN15399599,simple,9606,Homo sapiens,GSM4645431,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_13-34824_1,Tissue,Tumor,GSM4645431
SRR12109281,13457063,541324283,40,306,SRX8633327,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920062,SAMN15399596,simple,9606,Homo sapiens,GSM4645432,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_13-34824_2,Tissue,Tumor,GSM4645432
SRR12109282,2497991,100379713,40,57,SRX8633328,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920063,SAMN15399637,simple,9606,Homo sapiens,GSM4645433,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_13-34824_3,Tissue,Tumor,GSM4645433
SRR12109283,516953,12967814,25,8,SRX8633329,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920064,SAMN15399636,simple,9606,Homo sapiens,GSM4645434,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_13-34950_1,Tissue,Tumor,GSM4645434
SRR12109284,825326,20446524,24,13,SRX8633330,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920065,SAMN15399598,simple,9606,Homo sapiens,GSM4645435,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_13-34950_2,Tissue,Tumor,GSM4645435
SRR12109285,206547,5070906,24,3,SRX8633331,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920066,SAMN15399597,simple,9606,Homo sapiens,GSM4645436,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_13-34950_3,Tissue,Tumor,GSM4645436
SRR12109286,1732593,47286853,27,30,SRX8633332,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920067,SAMN15399635,simple,9606,Homo sapiens,GSM4645437,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_2023999_1,Tissue,Tumor,GSM4645437
SRR12109287,3424046,94883145,27,60,SRX8633333,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920068,SAMN15399634,simple,9606,Homo sapiens,GSM4645438,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_2023999_2,Tissue,Tumor,GSM4645438
SRR12109288,1132133,31574072,27,20,SRX8633334,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920069,SAMN15399633,simple,9606,Homo sapiens,GSM4645439,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_2023999_3,Tissue,Tumor,GSM4645439
SRR12109289,3239387,80214372,24,55,SRX8633335,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920070,SAMN15399632,simple,9606,Homo sapiens,GSM4645440,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_3017349_1,Tissue,Tumor,GSM4645440
SRR12109290,2290855,56280411,24,39,SRX8633336,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920071,SAMN15399631,simple,9606,Homo sapiens,GSM4645441,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_3017349_2,Tissue,Tumor,GSM4645441
SRR12109291,470293,11262792,23,8,SRX8633337,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920072,SAMN15399659,simple,9606,Homo sapiens,GSM4645442,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_3017349_3,Tissue,Tumor,GSM4645442
SRR12109292,16415195,658164758,40,370,SRX8633338,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920073,SAMN15399657,simple,9606,Homo sapiens,GSM4645443,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_5012726_1,Tissue,Tumor,GSM4645443
SRR12109293,8948333,359809561,40,203,SRX8633339,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920074,SAMN15399656,simple,9606,Homo sapiens,GSM4645444,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_5012726_2,Tissue,Tumor,GSM4645444
SRR12109294,12838622,508853722,39,289,SRX8633340,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920075,SAMN15399655,simple,9606,Homo sapiens,GSM4645445,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_5012726_3,Tissue,Tumor,GSM4645445
SRR12109295,2211572,59207550,26,38,SRX8633341,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920076,SAMN15399654,simple,9606,Homo sapiens,GSM4645446,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_5014505_1,Tissue,Tumor,GSM4645446
SRR12109296,3646611,97408421,26,62,SRX8633342,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920077,SAMN15399615,simple,9606,Homo sapiens,GSM4645447,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_5014505_2,Tissue,Tumor,GSM4645447
SRR12109297,1091066,29032151,26,19,SRX8633343,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920078,SAMN15399614,simple,9606,Homo sapiens,GSM4645448,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_5014505_3,Tissue,Tumor,GSM4645448
SRR12109298,4253598,114189419,26,68,SRX8633344,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920079,SAMN15399613,simple,9606,Homo sapiens,GSM4645449,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_6008010_1,Tissue,Tumor,GSM4645449
SRR12109299,42477,1107160,26,0,SRX8633345,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920080,SAMN15399612,simple,9606,Homo sapiens,GSM4645450,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_6008010_2,Tissue,Tumor,GSM4645450
SRR12109300,3458284,87370897,25,52,SRX8633346,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920081,SAMN15399650,simple,9606,Homo sapiens,GSM4645451,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_6008010_3,Tissue,Tumor,GSM4645451
SRR12109301,4150633,110298538,26,65,SRX8633347,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920082,SAMN15399649,simple,9606,Homo sapiens,GSM4645452,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_7019632_1,Tissue,Tumor,GSM4645452
SRR12109302,1600716,43245650,27,25,SRX8633348,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920083,SAMN15399648,simple,9606,Homo sapiens,GSM4645453,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_7019632_2,Tissue,Tumor,GSM4645453
SRR12109303,3781172,101193449,26,58,SRX8633349,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920084,SAMN15399647,simple,9606,Homo sapiens,GSM4645454,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_7019632_3,Tissue,Tumor,GSM4645454
SRR12109304,12705991,496049000,39,274,SRX8633350,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920085,SAMN15399646,simple,9606,Homo sapiens,GSM4645455,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_8019179_1,Tissue,Tumor,GSM4645455
SRR12109305,8262142,328068774,39,182,SRX8633351,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920086,SAMN15399645,simple,9606,Homo sapiens,GSM4645456,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_8019179_2,Tissue,Tumor,GSM4645456
SRR12109306,13723313,541746894,39,300,SRX8633352,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920087,SAMN15399644,simple,9606,Homo sapiens,GSM4645457,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_8019179_3,Tissue,Tumor,GSM4645457
SRR12109307,3753237,93961027,25,69,SRX8633353,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920088,SAMN15399643,simple,9606,Homo sapiens,GSM4645458,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_9016714_1,Tissue,Tumor,GSM4645458
SRR12109308,383791,9543276,24,7,SRX8633354,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920089,SAMN15399642,simple,9606,Homo sapiens,GSM4645459,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_9016714_2,Tissue,Tumor,GSM4645459
SRR12109309,2310353,58249119,25,43,SRX8633355,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920090,SAMN15399641,simple,9606,Homo sapiens,GSM4645460,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_9016714_3,Tissue,Tumor,GSM4645460
SRR12109310,6669030,167227148,25,105,SRX8633356,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920091,SAMN15399640,simple,9606,Homo sapiens,GSM4645461,GEO,SRA1092426,03,2021,Krogh,Cell line,DLBCL derived cell line HT_1,Cell line,DLBCL derived cell line,GSM4645461
SRR12109311,7170348,181774440,25,114,SRX8633357,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920092,SAMN15399639,simple,9606,Homo sapiens,GSM4645462,GEO,SRA1092426,03,2021,Krogh,Cell line,DLBCL derived cell line HT_2,Cell line,DLBCL derived cell line,GSM4645462
SRR12109312,3557681,88697329,24,56,SRX8633358,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920093,SAMN15399638,simple,9606,Homo sapiens,GSM4645463,GEO,SRA1092426,03,2021,Krogh,Cell line,DLBCL derived cell line HT_3,Cell line,DLBCL derived cell line,GSM4645463
SRR12109313,8567559,229781420,26,134,SRX8633359,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920094,SAMN15399583,simple,9606,Homo sapiens,GSM4645464,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult Liver_1,Tissue,Adult,GSM4645464
SRR12109314,11018556,302323434,27,178,SRX8633360,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920095,SAMN15399591,simple,9606,Homo sapiens,GSM4645465,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult Liver_2,Tissue,Adult,GSM4645465
SRR12109315,4493214,121972788,27,71,SRX8633361,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920096,SAMN15399589,simple,9606,Homo sapiens,GSM4645466,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult Liver_3,Tissue,Adult,GSM4645466
SRR12109316,7718051,192314682,24,125,SRX8633362,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920097,SAMN15399587,simple,9606,Homo sapiens,GSM4645467,GEO,SRA1092426,03,2021,Krogh,Cell line,DLBCL derived cell line OCI-Ly3_1,Cell line,DLBCL derived cell line,GSM4645467
SRR12109317,10925737,271468134,24,177,SRX8633363,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920098,SAMN15399586,simple,9606,Homo sapiens,GSM4645468,GEO,SRA1092426,03,2021,Krogh,Cell line,DLBCL derived cell line OCI-Ly3_2,Cell line,DLBCL derived cell line,GSM4645468
SRR12109318,4019350,99307056,24,65,SRX8633364,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920099,SAMN15399584,simple,9606,Homo sapiens,GSM4645469,GEO,SRA1092426,03,2021,Krogh,Cell line,DLBCL derived cell line OCI-Ly3_3,Cell line,DLBCL derived cell line,GSM4645469
SRR12109319,6291073,182420733,29,105,SRX8633365,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920100,SAMN15399582,simple,9606,Homo sapiens,GSM4645470,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult reactive_lymphnode_01-30628_1,Tissue,Adult,GSM4645470
SRR12109320,10571433,302297199,28,175,SRX8633366,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920101,SAMN15399581,simple,9606,Homo sapiens,GSM4645471,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult reactive_lymphnode_01-30628_2,Tissue,Adult,GSM4645471
SRR12109321,1794145,50648725,28,29,SRX8633367,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920102,SAMN15399580,simple,9606,Homo sapiens,GSM4645472,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult reactive_lymphnode_01-30628_3,Tissue,Adult,GSM4645472
SRR12109322,6182368,187047653,30,107,SRX8633368,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920103,SAMN15399579,simple,9606,Homo sapiens,GSM4645473,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult reactive_lymphnode_02-15017_1,Tissue,Adult,GSM4645473
SRR12109323,9308871,283014073,30,163,SRX8633369,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920104,SAMN15399578,simple,9606,Homo sapiens,GSM4645474,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult reactive_lymphnode_02-15017_2,Tissue,Adult,GSM4645474
SRR12109324,1255379,37452543,29,21,SRX8633370,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920105,SAMN15399577,simple,9606,Homo sapiens,GSM4645475,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult reactive_lymphnode_02-15017_3,Tissue,Adult,GSM4645475
SRR12109325,9004646,276029246,30,159,SRX8633371,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920106,SAMN15399576,simple,9606,Homo sapiens,GSM4645476,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult reactive_lymphnode_98-21123_1,Tissue,Adult,GSM4645476
