Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,strain,transfection,GEO Accession
SRR11798528,19529567,996007917,51,285,SRX8349998,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666615,SAMN14933912,simple,10090,Mus musculus,GSM4556255,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,RPF_Con_rep1,Embryonic stem cells,mESC J1,129S4/SvJae,control shRNA,GSM4556255
SRR11798529,16688159,851096109,51,300,SRX8349998,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666615,SAMN14933912,simple,10090,Mus musculus,GSM4556255,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,RPF_Con_rep1,Embryonic stem cells,mESC J1,129S4/SvJae,control shRNA,GSM4556256
SRR11798530,26608746,1357046046,51,396,SRX8349999,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666616,SAMN14933911,simple,10090,Mus musculus,GSM4556256,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,RPF_Con_rep2,Embryonic stem cells,mESC J1,129S4/SvJae,eIF4A2 shRNA,GSM4556257
SRR11798531,29035992,1480835592,51,426,SRX8349999,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666616,SAMN14933911,simple,10090,Mus musculus,GSM4556256,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,RPF_Con_rep2,Embryonic stem cells,mESC J1,129S4/SvJae,eIF4A2 shRNA,GSM4556258
SRR11798532,8864903,452110053,51,129,SRX8349999,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666616,SAMN14933911,simple,10090,Mus musculus,GSM4556256,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,RPF_Con_rep2,Embryonic stem cells,mESC J1,129S4/SvJae,control shRNA,GSM4556259
SRR11798533,14527391,740896941,51,262,SRX8349999,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666616,SAMN14933911,simple,10090,Mus musculus,GSM4556256,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,RPF_Con_rep2,Embryonic stem cells,mESC J1,129S4/SvJae,control shRNA,GSM4556260
SRR11798534,25150616,1282681416,51,453,SRX8350000,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666617,SAMN14933910,simple,10090,Mus musculus,GSM4556257,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,eif4a2_totalRNA_KD_rep1,Embryonic stem cells,mESC J1,129S4/SvJae,eIF4A2 shRNA,GSM4556253
SRR11798535,27051500,1379626500,51,487,SRX8350001,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666618,SAMN14933909,simple,10090,Mus musculus,GSM4556258,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,eif4a2_totalRNA_KD_rep2,Embryonic stem cells,mESC J1,129S4/SvJae,eIF4A2 shRNA,GSM4556254
SRR11798536,18735583,955514733,51,337,SRX8350002,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666619,SAMN14933926,simple,10090,Mus musculus,GSM4556259,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,totalRNA_Con_rep1,Embryonic stem cells,mESC J1,129S4/SvJae,control shRNA,GSM4556255
SRR11798537,16610153,847117803,51,300,SRX8350003,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666620,SAMN14933925,simple,10090,Mus musculus,GSM4556260,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,totalRNA_Con_rep2,Embryonic stem cells,mESC J1,129S4/SvJae,control shRNA,GSM4556256
