Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,treatment,GEO Accession
SRR14298994,1503184,114241984,76,43,SRX10656830,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751921,SAMN18828641,simple,9606,Homo sapiens,GSM5259538,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-cell timepoint 2 replicate 1,Cell culture,HEK293T cell line,,GSM5259538
SRR14298995,563923,42858148,76,17,SRX10656831,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751922,SAMN18828640,simple,9606,Homo sapiens,GSM5259539,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-cell timepoint 2 replicate 2,Cell culture,HEK293T cell line,,GSM5259539
SRR14298996,2383806,181169256,76,69,SRX10656832,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751923,SAMN18828639,simple,9606,Homo sapiens,GSM5259540,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-cell timepoint 2 replicate 3,Cell culture,HEK293T cell line,,GSM5259540
SRR14298997,2456041,186659116,76,71,SRX10656833,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751924,SAMN18828638,simple,9606,Homo sapiens,GSM5259541,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-cell timepoint 3 replicate 1,Cell culture,HEK293T cell line,,GSM5259541
SRR14298998,2144761,163001836,76,62,SRX10656834,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751925,SAMN18828637,simple,9606,Homo sapiens,GSM5259542,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-cell timepoint 3 replicate 2,Cell culture,HEK293T cell line,,GSM5259542
SRR14298999,1646892,125163792,76,48,SRX10656835,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751926,SAMN18828636,simple,9606,Homo sapiens,GSM5259543,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-cell timepoint 3 replicate 3,Cell culture,HEK293T cell line,,GSM5259543
SRR14299000,674583,51268308,76,20,SRX10656836,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751927,SAMN18828635,simple,9606,Homo sapiens,GSM5259544,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-cell timepoint 4 replicate 1,Cell culture,HEK293T cell line,,GSM5259544
SRR14299001,2487974,189086024,76,72,SRX10656837,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751928,SAMN18828634,simple,9606,Homo sapiens,GSM5259545,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-cell timepoint 4 replicate 2,Cell culture,HEK293T cell line,,GSM5259545
SRR14299002,2327460,176886960,76,67,SRX10656838,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751929,SAMN18828652,simple,9606,Homo sapiens,GSM5259546,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-cell timepoint 4 replicate 3,Cell culture,HEK293T cell line,,GSM5259546
SRR14299003,2062927,156782452,76,59,SRX10656839,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751930,SAMN18828607,simple,9606,Homo sapiens,GSM5259547,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-cell timepoint 5 replicate 1,Cell culture,HEK293T cell line,,GSM5259547
SRR14299004,1586159,120548084,76,46,SRX10656840,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751931,SAMN18828606,simple,9606,Homo sapiens,GSM5259548,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-cell timepoint 5 replicate 2,Cell culture,HEK293T cell line,,GSM5259548
SRR14299005,546147,41507172,76,16,SRX10656841,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751932,SAMN18828651,simple,9606,Homo sapiens,GSM5259549,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-cell timepoint 5 replicate 3,Cell culture,HEK293T cell line,,GSM5259549
SRR14299006,2345594,178265144,76,67,SRX10656842,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751933,SAMN18828581,simple,9606,Homo sapiens,GSM5259550,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-solution timepoint 1,Cell culture,HEK293T cell line,,GSM5259550
SRR14299007,2351759,178733684,76,67,SRX10656843,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751934,SAMN18828580,simple,9606,Homo sapiens,GSM5259551,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-solution timepoint 2,Cell culture,HEK293T cell line,,GSM5259551
SRR14299008,2331017,177157292,76,67,SRX10656844,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751935,SAMN18828579,simple,9606,Homo sapiens,GSM5259552,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-solution timepoint 3,Cell culture,HEK293T cell line,,GSM5259552
SRR14299009,2295427,174452452,76,66,SRX10656845,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751936,SAMN18828608,simple,9606,Homo sapiens,GSM5259553,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-solution timepoint 4,Cell culture,HEK293T cell line,,GSM5259553
SRR14299010,2289573,174007548,76,66,SRX10656846,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751937,SAMN18828605,simple,9606,Homo sapiens,GSM5259554,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-solution timepoint 5,Cell culture,HEK293T cell line,,GSM5259554
SRR14299011,2151367,163503892,76,62,SRX10656847,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751938,SAMN18828604,simple,9606,Homo sapiens,GSM5259555,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-solution timepoint 6,Cell culture,HEK293T cell line,,GSM5259555
SRR14299012,2074126,157633576,76,60,SRX10656848,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751939,SAMN18828603,simple,9606,Homo sapiens,GSM5259556,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-solution timepoint 7,Cell culture,HEK293T cell line,,GSM5259556
SRR14299013,2078657,157977932,76,60,SRX10656849,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751940,SAMN18828602,simple,9606,Homo sapiens,GSM5259557,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-solution timepoint 8,Cell culture,HEK293T cell line,,GSM5259557
SRR14299014,2336050,177539800,76,68,SRX10656850,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751941,SAMN18828601,simple,9606,Homo sapiens,GSM5259558,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-solution timepoint 9,Cell culture,HEK293T cell line,,GSM5259558
SRR14299015,1991673,151367148,76,57,SRX10656851,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751942,SAMN18828600,simple,9606,Homo sapiens,GSM5259559,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-solution timepoint 10,Cell culture,HEK293T cell line,,GSM5259559
SRR14299016,51960316,4208785596,81,1578,SRX10656852,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751943,SAMN18828599,simple,9606,Homo sapiens,GSM5259560,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 1 input cycle 0,Cell culture,HEK293T cell line,,GSM5259560
SRR14299017,53249449,4313205369,81,1617,SRX10656853,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751944,SAMN18828598,simple,9606,Homo sapiens,GSM5259561,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 1 selected cycle 0,Cell culture,HEK293T cell line,,GSM5259561
SRR14299018,52923725,4286821725,81,1606,SRX10656854,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751945,SAMN18828597,simple,9606,Homo sapiens,GSM5259562,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 1 input cycle 1,Cell culture,HEK293T cell line,,GSM5259562
SRR14299019,40627444,3290822964,81,1233,SRX10656855,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751946,SAMN18828596,simple,9606,Homo sapiens,GSM5259563,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 1 selected cycle 1,Cell culture,HEK293T cell line,,GSM5259563
SRR14299020,23879672,1934253432,81,656,SRX10656856,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751947,SAMN18828621,simple,9606,Homo sapiens,GSM5259564,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 1 selected cycle 2,Cell culture,HEK293T cell line,,GSM5259564
SRR14299021,20501315,1660606515,81,576,SRX10656857,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751948,SAMN18828620,simple,9606,Homo sapiens,GSM5259565,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 1 selected cycle 3,Cell culture,HEK293T cell line,,GSM5259565
SRR14299022,25206814,2041751934,81,690,SRX10656858,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751949,SAMN18828619,simple,9606,Homo sapiens,GSM5259566,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 1 selected cycle 4,Cell culture,HEK293T cell line,,GSM5259566
SRR14299023,22632605,1833241005,81,621,SRX10656859,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751950,SAMN18828618,simple,9606,Homo sapiens,GSM5259567,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 1 selected cycle 5,Cell culture,HEK293T cell line,,GSM5259567
SRR14299024,24049679,1948023999,81,660,SRX10656860,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751951,SAMN18828617,simple,9606,Homo sapiens,GSM5259568,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 1 input cycle 5,Cell culture,HEK293T cell line,,GSM5259568
SRR14299025,51782250,4194362250,81,1569,SRX10656861,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751952,SAMN18828616,simple,9606,Homo sapiens,GSM5259569,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 2 input cycle 0,Cell culture,HEK293T cell line,,GSM5259569
SRR14299026,59457775,4816079775,81,1799,SRX10656862,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751953,SAMN18828615,simple,9606,Homo sapiens,GSM5259570,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 2 selected cycle 0,Cell culture,HEK293T cell line,,GSM5259570
SRR14299027,53457285,4330040085,81,1624,SRX10656863,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751954,SAMN18828614,simple,9606,Homo sapiens,GSM5259571,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 2 input cycle 1,Cell culture,HEK293T cell line,,GSM5259571
SRR14299028,44383728,3595081968,81,1346,SRX10656864,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751955,SAMN18828613,simple,9606,Homo sapiens,GSM5259572,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 2 selected cycle 1,Cell culture,HEK293T cell line,,GSM5259572
SRR14299029,23978574,1942264494,81,658,SRX10656865,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751956,SAMN18828612,simple,9606,Homo sapiens,GSM5259573,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 2 selected cycle 2,Cell culture,HEK293T cell line,,GSM5259573
SRR14299030,23832962,1930469922,81,655,SRX10656866,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751957,SAMN18828611,simple,9606,Homo sapiens,GSM5259574,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 2 selected cycle 3,Cell culture,HEK293T cell line,,GSM5259574
SRR14299031,21986169,1780879689,81,606,SRX10656867,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751958,SAMN18828610,simple,9606,Homo sapiens,GSM5259575,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 2 selected cycle 4,Cell culture,HEK293T cell line,,GSM5259575
SRR14299032,23178834,1877485554,81,635,SRX10656868,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751959,SAMN18828609,simple,9606,Homo sapiens,GSM5259576,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 2 selected cycle 5,Cell culture,HEK293T cell line,,GSM5259576
SRR14299033,25255767,2045717127,81,693,SRX10656869,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751960,SAMN18828633,simple,9606,Homo sapiens,GSM5259577,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome selection pool 2 input cycle 5,Cell culture,HEK293T cell line,,GSM5259577
SRR14299034,1845856,1111205312,301,685,SRX10656870,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP315847,PRJNA723762,35318324,"",SRS8751961,SAMN18828595,simple,32630,synthetic construct,GSM5259578,GEO,SRA1221963,04,2021,Leppek,in vitro transcribed,B1 Chemical Mapping - 1M7,in vitro transcribed,in vitro transcribed,1M7,GSM5259578
SRR14299035,690311,415567222,301,249,SRX10656871,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP315847,PRJNA723762,35318324,"",SRS8751962,SAMN18828594,simple,32630,synthetic construct,GSM5259579,GEO,SRA1221963,04,2021,Leppek,in vitro transcribed,B1 Chemical Mapping - DMSO,in vitro transcribed,in vitro transcribed,DMSO,GSM5259579
SRR14299036,1769021,1064950642,301,621,SRX10656872,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP315847,PRJNA723762,35318324,"",SRS8751963,SAMN18828593,simple,32630,synthetic construct,GSM5259580,GEO,SRA1221963,04,2021,Leppek,in vitro transcribed,B1 Chemical Mapping - DMS,in vitro transcribed,in vitro transcribed,DMS,GSM5259580
SRR14299037,1418512,853944224,301,496,SRX10656873,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP315847,PRJNA723762,35318324,"",SRS8751964,SAMN18828592,simple,32630,synthetic construct,GSM5259581,GEO,SRA1221963,04,2021,Leppek,in vitro transcribed,B1 Chemical Mapping - NM,in vitro transcribed,in vitro transcribed,NM,GSM5259581
SRR14299038,379174,228262748,301,134,SRX10656874,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP315847,PRJNA723762,35318324,"",SRS8751965,SAMN18828590,simple,32630,synthetic construct,GSM5259582,GEO,SRA1221963,04,2021,Leppek,in vitro transcribed,C1 Chemical Mapping - 1M7,in vitro transcribed,in vitro transcribed,1M7,GSM5259582
SRR14299039,354423,213362646,301,123,SRX10656875,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP315847,PRJNA723762,35318324,"",SRS8751966,SAMN18828588,simple,32630,synthetic construct,GSM5259583,GEO,SRA1221963,04,2021,Leppek,in vitro transcribed,C1 Chemical Mapping - DMSO,in vitro transcribed,in vitro transcribed,DMSO,GSM5259583
SRR14299040,1062666,639724932,301,381,SRX10656876,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP315847,PRJNA723762,35318324,"",SRS8751967,SAMN18828586,simple,32630,synthetic construct,GSM5259584,GEO,SRA1221963,04,2021,Leppek,in vitro transcribed,C1 Chemical Mapping - DMS,in vitro transcribed,in vitro transcribed,DMS,GSM5259584
SRR14299041,3427908,2063600616,301,1204,SRX10656877,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP315847,PRJNA723762,35318324,"",SRS8751968,SAMN18828585,simple,32630,synthetic construct,GSM5259585,GEO,SRA1221963,04,2021,Leppek,in vitro transcribed,C1 Chemical Mapping - NM,in vitro transcribed,in vitro transcribed,NM,GSM5259585
SRR14299042,267973,161319746,301,96,SRX10656878,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP315847,PRJNA723762,35318324,"",SRS8751969,SAMN18828584,simple,32630,synthetic construct,GSM5259586,GEO,SRA1221963,04,2021,Leppek,in vitro transcribed,P4P6 Chemical Mapping - DMS,in vitro transcribed,in vitro transcribed,DMS,GSM5259586
