Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,protein expressed,molecule subtype,GEO Accession
SRR1032172,104171446,3750172056,36,2321,SRX378952,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503517,SAMN02412429,simple,9606,Homo sapiens,GSM1267845,GEO,SRA111609,11,2013,Ricci,Stau2-MUT_Rnase_Footprinting,Stau2-MUT_Rnase_Footprinting,Stau2-MUT_Rnase_Footprinting,HEK293,Flag-Stau2-Mutant (65KDa Isoform),Stau2 associated RNAs,GSM1267845
SRR1032173,30932663,1361037172,44,1570,SRX378953,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503518,SAMN02412443,simple,9606,Homo sapiens,GSM1267846,GEO,SRA111609,11,2013,Ricci,HEK293_Control_RNASeq_BiolReplica,HEK293_Control_RNASeq_BiolReplica#1,HEK293_Control_RNASeq_BiolReplica,HEK293,N/A,Cytoplasmic Poly(A) RNA,GSM1267846
SRR1032174,18220270,801691880,44,914,SRX378954,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503519,SAMN02412437,simple,9606,Homo sapiens,GSM1267847,GEO,SRA111609,11,2013,Ricci,HEK293_Control_RNASeq_BiolReplica,HEK293_Control_RNASeq_BiolReplica#2,HEK293_Control_RNASeq_BiolReplica,HEK293,N/A,Cytoplasmic Poly(A) RNA,GSM1267847
SRR1032175,16081513,707586572,44,818,SRX378955,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503520,SAMN02412441,simple,9606,Homo sapiens,GSM1267848,GEO,SRA111609,11,2013,Ricci,Stau1_KnockDown_RNASeq_BiolReplica,Stau1_KnockDown_RNASeq_BiolReplica#1,Stau1_KnockDown_RNASeq_BiolReplica,HEK293,N/A,Cytoplasmic Poly(A) RNA,GSM1267848
SRR1032176,17534716,771527504,44,860,SRX378956,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503521,SAMN02412427,simple,9606,Homo sapiens,GSM1267849,GEO,SRA111609,11,2013,Ricci,Stau1_KnockDown_RNASeq_BiolReplica,Stau1_KnockDown_RNASeq_BiolReplica#2,Stau1_KnockDown_RNASeq_BiolReplica,HEK293,N/A,Cytoplasmic Poly(A) RNA,GSM1267849
SRR1032177,47355671,2083649524,44,2400,SRX378957,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503522,SAMN02412432,simple,9606,Homo sapiens,GSM1267850,GEO,SRA111609,11,2013,Ricci,Stau1_Overexpression_RNASeq_BiolReplica,Stau1_Overexpression_RNASeq_BiolReplica#1,Stau1_Overexpression_RNASeq_BiolReplica,HEK293,Flag-Stau1-WT (65KDa Isoform),Cytoplasmic Poly(A) RNA,GSM1267850
SRR1032178,33490819,1473596036,44,1678,SRX378958,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503523,SAMN02412431,simple,9606,Homo sapiens,GSM1267851,GEO,SRA111609,11,2013,Ricci,Stau1_Overexpression_RNASeq_BiolReplica,Stau1_Overexpression_RNASeq_BiolReplica#2,Stau1_Overexpression_RNASeq_BiolReplica,HEK293,Flag-Stau1-WT (65KDa Isoform),Cytoplasmic Poly(A) RNA,GSM1267851
SRR1032179,2071703,78724714,38,88,SRX378959,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503524,SAMN02412433,simple,9606,Homo sapiens,GSM1267852,GEO,SRA111609,11,2013,Ricci,HEK293_Control_RibosomeFootprinting_BiolReplica,HEK293_Control_RibosomeFootprinting_BiolReplica#1,HEK293_Control_RibosomeFootprinting_BiolReplica,HEK293,N/A,Ribosome footprint mRNA,GSM1267852
SRR1032180,978970,37200860,38,42,SRX378960,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503525,SAMN02412434,simple,9606,Homo sapiens,GSM1267853,GEO,SRA111609,11,2013,Ricci,HEK293_Control_RibosomeFootprinting_BiolReplica,HEK293_Control_RibosomeFootprinting_BiolReplica#2,HEK293_Control_RibosomeFootprinting_BiolReplica,HEK293,N/A,Ribosome footprint mRNA,GSM1267853
SRR1032181,1120322,42572236,38,47,SRX378961,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503526,SAMN02412428,simple,9606,Homo sapiens,GSM1267854,GEO,SRA111609,11,2013,Ricci,Stau1_KnockDown_RibosomeFootprinting_BiolReplica,Stau1_KnockDown_RibosomeFootprinting_BiolReplica#1,Stau1_KnockDown_RibosomeFootprinting_BiolReplica,HEK293,N/A,Ribosome footprint mRNA,GSM1267854
SRR1032182,933594,35476572,38,39,SRX378962,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503527,SAMN02412436,simple,9606,Homo sapiens,GSM1267855,GEO,SRA111609,11,2013,Ricci,Stau1_KnockDown_RibosomeFootprinting_BiolReplica,Stau1_KnockDown_RibosomeFootprinting_BiolReplica#2,Stau1_KnockDown_RibosomeFootprinting_BiolReplica,HEK293,N/A,Ribosome footprint mRNA,GSM1267855
SRR1032183,397568,15107584,38,16,SRX378963,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503528,SAMN02412446,simple,9606,Homo sapiens,GSM1267856,GEO,SRA111609,11,2013,Ricci,Stau1_Overexpression_RibosomeFootprinting_BiolReplica,Stau1_Overexpression_RibosomeFootprinting_BiolReplica#1,Stau1_Overexpression_RibosomeFootprinting_BiolReplica,HEK293,Flag-Stau1-WT (65KDa Isoform),Ribosome footprint mRNA,GSM1267856
SRR1032184,992319,37708122,38,41,SRX378964,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503529,SAMN02412445,simple,9606,Homo sapiens,GSM1267857,GEO,SRA111609,11,2013,Ricci,Stau1_Overexpression_RibosomeFootprinting_BiolReplica,Stau1_Overexpression_RibosomeFootprinting_BiolReplica#2,Stau1_Overexpression_RibosomeFootprinting_BiolReplica,HEK293,Flag-Stau1-WT (65KDa Isoform),Ribosome footprint mRNA,GSM1267857
SRR1032185,16130377,683247696,42,712,SRX378965,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503530,SAMN02412439,simple,9606,Homo sapiens,GSM1267858,GEO,SRA111609,11,2013,Ricci,HEK293_Control_PAS-Seq_BiolReplica,HEK293_Control_PAS-Seq_BiolReplica#1,HEK293_Control_PAS-Seq_BiolReplica,HEK293,N/A,Poly(A) selected RNA,GSM1267858
SRR1032186,9040693,383854949,42,402,SRX378966,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503531,SAMN02412442,simple,9606,Homo sapiens,GSM1267859,GEO,SRA111609,11,2013,Ricci,HEK293_Control_PAS-Seq_BiolReplica,HEK293_Control_PAS-Seq_BiolReplica#2,HEK293_Control_PAS-Seq_BiolReplica,HEK293,N/A,Poly(A) selected RNA,GSM1267859
SRR1032187,8918834,377908252,42,392,SRX378967,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503532,SAMN02412438,simple,9606,Homo sapiens,GSM1267860,GEO,SRA111609,11,2013,Ricci,Stau1_KnockDown_PAS-Seq_BiolReplica,Stau1_KnockDown_PAS-Seq_BiolReplica#1,Stau1_KnockDown_PAS-Seq_BiolReplica,HEK293,N/A,Poly(A) selected RNA,GSM1267860
SRR1032188,8198430,347864520,42,358,SRX378968,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503533,SAMN02412440,simple,9606,Homo sapiens,GSM1267861,GEO,SRA111609,11,2013,Ricci,Stau1_KnockDown_PAS-Seq_BiolReplica,Stau1_KnockDown_PAS-Seq_BiolReplica#2,Stau1_KnockDown_PAS-Seq_BiolReplica,HEK293,N/A,Poly(A) selected RNA,GSM1267861
SRR1032189,8462799,361912517,42,368,SRX378969,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503534,SAMN02412444,simple,9606,Homo sapiens,GSM1267862,GEO,SRA111609,11,2013,Ricci,Stau1_Overexpression_PAS-Seq_BiolReplica,Stau1_Overexpression_PAS-Seq_BiolReplica#1,Stau1_Overexpression_PAS-Seq_BiolReplica,HEK293,Flag-Stau1-WT (65KDa Isoform),Poly(A) selected RNA,GSM1267862
SRR1032190,7691194,325759747,42,339,SRX378970,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503535,SAMN02412447,simple,9606,Homo sapiens,GSM1267863,GEO,SRA111609,11,2013,Ricci,Stau1_Overexpression_PAS-Seq_BiolReplica,Stau1_Overexpression_PAS-Seq_BiolReplica#2,Stau1_Overexpression_PAS-Seq_BiolReplica,HEK293,Flag-Stau1-WT (65KDa Isoform),Poly(A) selected RNA,GSM1267863
