Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,procedure,age,Sex,strain,replicate,GEO Accession
SRR8327797,35195958,1759797900,50,667,SRX5139503,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151013,SAMN10601848,simple,10090,Mus musculus,GSM3516881,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_SNI_RFP_1,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Sham surgery,8 weeks,female,C57BL/6J,2,GSM3516886
SRR8327798,35749049,1787452450,50,672,SRX5139503,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151013,SAMN10601848,simple,10090,Mus musculus,GSM3516881,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_SNI_RFP_1,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Sham surgery,8 weeks,female,C57BL/6J,2,GSM3516887
SRR8327799,34041459,1702072950,50,632,SRX5139504,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151014,SAMN10601847,simple,10090,Mus musculus,GSM3516882,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_SNI_mRNA_2,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,1,GSM3516888
SRR8327800,33767263,1688363150,50,627,SRX5139504,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151014,SAMN10601847,simple,10090,Mus musculus,GSM3516882,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_SNI_mRNA_2,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,1,GSM3516889
SRR8327801,31031587,1551579350,50,592,SRX5139505,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151015,SAMN10601845,simple,10090,Mus musculus,GSM3516883,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_SNI_RFP_2,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,2,GSM3516890
SRR8327802,30860018,1543000900,50,588,SRX5139505,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151015,SAMN10601845,simple,10090,Mus musculus,GSM3516883,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_SNI_RFP_2,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,2,GSM3516891
SRR8327803,35614769,1780738450,50,661,SRX5139506,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151016,SAMN10601843,simple,10090,Mus musculus,GSM3516884,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_Sham_mRNA_1,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Sham surgery,8 weeks,female,C57BL/6J,1,GSM3516876
SRR8327804,35342203,1767110150,50,656,SRX5139506,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151016,SAMN10601843,simple,10090,Mus musculus,GSM3516884,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_Sham_mRNA_1,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Sham surgery,8 weeks,female,C57BL/6J,1,GSM3516877
SRR8327805,30718949,1535947450,50,576,SRX5139507,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151017,SAMN10601842,simple,10090,Mus musculus,GSM3516885,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_Sham_RFP_1,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Sham surgery,8 weeks,female,C57BL/6J,2,GSM3516878
SRR8327806,30563832,1528191600,50,572,SRX5139507,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151017,SAMN10601842,simple,10090,Mus musculus,GSM3516885,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_Sham_RFP_1,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Sham surgery,8 weeks,female,C57BL/6J,2,GSM3516879
SRR8327807,32528363,1626418150,50,597,SRX5139508,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151018,SAMN10601840,simple,10090,Mus musculus,GSM3516886,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_Sham_mRNA_2,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,1,GSM3516880
SRR8327808,32310982,1615549100,50,593,SRX5139508,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151018,SAMN10601840,simple,10090,Mus musculus,GSM3516886,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_Sham_mRNA_2,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,1,GSM3516881
SRR8327809,38985499,1949274950,50,746,SRX5139509,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151019,SAMN10601839,simple,10090,Mus musculus,GSM3516887,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_Sham_RFP_2,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,2,GSM3516882
SRR8327810,38746864,1937343200,50,742,SRX5139509,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151019,SAMN10601839,simple,10090,Mus musculus,GSM3516887,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_Sham_RFP_2,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,2,GSM3516883
SRR8327811,48662673,2433133650,50,915,SRX5139510,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151020,SAMN10601838,simple,10090,Mus musculus,GSM3516888,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_SNI_mRNA_1,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Sham surgery,8 weeks,female,C57BL/6J,1,GSM3516884
SRR8327812,48271551,2413577550,50,907,SRX5139510,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151020,SAMN10601838,simple,10090,Mus musculus,GSM3516888,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_SNI_mRNA_1,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Sham surgery,8 weeks,female,C57BL/6J,1,GSM3516885
SRR8327813,41436732,2071836600,50,770,SRX5139511,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151021,SAMN10601837,simple,10090,Mus musculus,GSM3516889,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_SNI_RFP_1,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Sham surgery,8 weeks,female,C57BL/6J,2,GSM3516886
SRR8327814,41259147,2062957350,50,765,SRX5139511,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151021,SAMN10601837,simple,10090,Mus musculus,GSM3516889,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_SNI_RFP_1,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Sham surgery,8 weeks,female,C57BL/6J,2,GSM3516887
SRR8327815,36034025,1801701250,50,680,SRX5139512,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151022,SAMN10601836,simple,10090,Mus musculus,GSM3516890,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_SNI_mRNA_2,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,1,GSM3516888
SRR8327816,41734310,2086715500,50,793,SRX5139512,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151022,SAMN10601836,simple,10090,Mus musculus,GSM3516890,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_SNI_mRNA_2,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,1,GSM3516889
SRR8327817,42069577,2103478850,50,798,SRX5139513,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151023,SAMN10601835,simple,10090,Mus musculus,GSM3516891,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_SNI_RFP_2,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,2,GSM3516890
SRR8327818,35815570,1790778500,50,676,SRX5139513,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151023,SAMN10601835,simple,10090,Mus musculus,GSM3516891,GEO,SRA823768,12,2018,Uttam,Lumbar(L3 to L5) dorsal root ganglion,DRG_SNI_RFP_2,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,2,GSM3516891
