Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,clip antibody,developmental stage,tissue,ecotype background,treatment,GEO Accession
SRR6687549,6869587,1717396750,125,647,SRX3663705,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132472,PRJNA433501,31481099,"",SRS2926333,SAMN08498494,simple,3702,Arabidopsis thaliana,GSM2987689,GEO,SRA657369,08,2019,Zhao,2-week seedlings,atpabs_RNA-seq_rep1,2-week seedlings,atpabs mutant,,2-week seedlings,seedling,,,GSM2987689
SRR6687550,8235896,2058974000,125,760,SRX3663706,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132472,PRJNA433501,31481099,"",SRS2926336,SAMN08498493,simple,3702,Arabidopsis thaliana,GSM2987690,GEO,SRA657369,08,2019,Zhao,2-week seedlings,atpabs_RNA-seq_rep2,2-week seedlings,atpabs mutant,,2-week seedlings,seedling,,,GSM2987690
SRR9960131,13837980,4151394000,150,1593,SRX6707676,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261577,SAMN12566052,simple,3702,Arabidopsis thaliana,GSM4029329,GEO,SRA657369,08,2019,Zhao,Degradation_Col_0h,Degradation_Col_0h_rep1,Degradation_Col_0h,,,2-week seedlings,,Col,cordycepin for 0 hour,GSM4029329
SRR9960132,14609603,4382880900,150,1642,SRX6707677,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261578,SAMN12566051,simple,3702,Arabidopsis thaliana,GSM4029330,GEO,SRA657369,08,2019,Zhao,Degradation_Col_0h,Degradation_Col_0h_rep2,Degradation_Col_0h,,,2-week seedlings,,Col,cordycepin for 0 hour,GSM4029330
SRR9960133,13363347,4009004100,150,1570,SRX6707678,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261579,SAMN12566069,simple,3702,Arabidopsis thaliana,GSM4029331,GEO,SRA657369,08,2019,Zhao,Degradation_Col_0h,Degradation_Col_0h_rep3,Degradation_Col_0h,,,2-week seedlings,,Col,cordycepin for 0 hour,GSM4029331
SRR9960134,16414157,4924247100,150,1846,SRX6707679,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261580,SAMN12566068,simple,3702,Arabidopsis thaliana,GSM4029332,GEO,SRA657369,08,2019,Zhao,Degradation_Col_0.5h,Degradation_Col_0.5h_rep1,Degradation_Col_0.5h,,,2-week seedlings,,Col,cordycepin for 0.5 hour,GSM4029332
SRR9960135,15666655,4699996500,150,1787,SRX6707680,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261581,SAMN12566067,simple,3702,Arabidopsis thaliana,GSM4029333,GEO,SRA657369,08,2019,Zhao,Degradation_Col_0.5h,Degradation_Col_0.5h_rep2,Degradation_Col_0.5h,,,2-week seedlings,,Col,cordycepin for 0.5 hour,GSM4029333
SRR9960136,14004856,4201456800,150,1580,SRX6707681,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261582,SAMN12566066,simple,3702,Arabidopsis thaliana,GSM4029334,GEO,SRA657369,08,2019,Zhao,Degradation_Col_0.5h,Degradation_Col_0.5h_rep3,Degradation_Col_0.5h,,,2-week seedlings,,Col,cordycepin for 0.5 hour,GSM4029334
SRR9960137,15432085,4629625500,150,1870,SRX6707682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261583,SAMN12566065,simple,3702,Arabidopsis thaliana,GSM4029335,GEO,SRA657369,08,2019,Zhao,Degradation_Col_1h,Degradation_Col_1h_rep1,Degradation_Col_1h,,,2-week seedlings,,Col,cordycepin for 1 hour,GSM4029335
SRR9960138,13281288,3984386400,150,1505,SRX6707683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261584,SAMN12566064,simple,3702,Arabidopsis thaliana,GSM4029336,GEO,SRA657369,08,2019,Zhao,Degradation_Col_1h,Degradation_Col_1h_rep2,Degradation_Col_1h,,,2-week seedlings,,Col,cordycepin for 1 hour,GSM4029336
SRR9960139,15833329,4749998700,150,1788,SRX6707684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261585,SAMN12566063,simple,3702,Arabidopsis thaliana,GSM4029337,GEO,SRA657369,08,2019,Zhao,Degradation_Col_1h,Degradation_Col_1h_rep3,Degradation_Col_1h,,,2-week seedlings,,Col,cordycepin for 1 hour,GSM4029337
SRR9960140,15885070,4765521000,150,1801,SRX6707685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261586,SAMN12566062,simple,3702,Arabidopsis thaliana,GSM4029338,GEO,SRA657369,08,2019,Zhao,Degradation_Col_2h,Degradation_Col_2h_rep1,Degradation_Col_2h,,,2-week seedlings,,Col,cordycepin for 2 hours,GSM4029338
SRR9960141,15124115,4537234500,150,1753,SRX6707686,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261587,SAMN12566061,simple,3702,Arabidopsis thaliana,GSM4029339,GEO,SRA657369,08,2019,Zhao,Degradation_Col_2h,Degradation_Col_2h_rep2,Degradation_Col_2h,,,2-week seedlings,,Col,cordycepin for 2 hours,GSM4029339
SRR9960142,13320382,3996114600,150,1527,SRX6707687,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261588,SAMN12566060,simple,3702,Arabidopsis thaliana,GSM4029340,GEO,SRA657369,08,2019,Zhao,Degradation_Col_2h,Degradation_Col_2h_rep3,Degradation_Col_2h,,,2-week seedlings,,Col,cordycepin for 2 hours,GSM4029340
SRR9960143,14648685,4394605500,150,1707,SRX6707688,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261589,SAMN12566059,simple,3702,Arabidopsis thaliana,GSM4029341,GEO,SRA657369,08,2019,Zhao,Degradation_Col_4h,Degradation_Col_4h_rep1,Degradation_Col_4h,,,2-week seedlings,,Col,cordycepin for 4 hours,GSM4029341
SRR9960144,17040913,5112273900,150,1902,SRX6707689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261590,SAMN12566058,simple,3702,Arabidopsis thaliana,GSM4029342,GEO,SRA657369,08,2019,Zhao,Degradation_Col_4h,Degradation_Col_4h_rep2,Degradation_Col_4h,,,2-week seedlings,,Col,cordycepin for 4 hours,GSM4029342
SRR9960145,14886989,4466096700,150,1694,SRX6707690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261591,SAMN12566057,simple,3702,Arabidopsis thaliana,GSM4029343,GEO,SRA657369,08,2019,Zhao,Degradation_Col_4h,Degradation_Col_4h_rep3,Degradation_Col_4h,,,2-week seedlings,,Col,cordycepin for 4 hours,GSM4029343
SRR9960146,14596099,4378829700,150,1788,SRX6707691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261592,SAMN12566056,simple,3702,Arabidopsis thaliana,GSM4029344,GEO,SRA657369,08,2019,Zhao,Degradation_Col_8h,Degradation_Col_8h_rep1,Degradation_Col_8h,,,2-week seedlings,,Col,cordycepin for 8 hours,GSM4029344
SRR9960147,12851281,3855384300,150,1567,SRX6707692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261593,SAMN12566055,simple,3702,Arabidopsis thaliana,GSM4029345,GEO,SRA657369,08,2019,Zhao,Degradation_Col_8h,Degradation_Col_8h_rep2,Degradation_Col_8h,,,2-week seedlings,,Col,cordycepin for 8 hours,GSM4029345
SRR9960148,13287502,3986250600,150,1556,SRX6707693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261594,SAMN12566054,simple,3702,Arabidopsis thaliana,GSM4029346,GEO,SRA657369,08,2019,Zhao,Degradation_Col_8h,Degradation_Col_8h_rep3,Degradation_Col_8h,,,2-week seedlings,,Col,cordycepin for 8 hours,GSM4029346
SRR9960149,34601317,10380395100,150,4727,SRX6707694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP132472,PRJNA433501,31481099,"",SRS5261595,SAMN12566053,simple,3702,Arabidopsis thaliana,GSM4029347,GEO,SRA657369,08,2019,Zhao,Poly(A)_Col,Poly(A)_Col,Poly(A)_Col,,,2-week seedlings,,Col,,GSM4029347
