Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,age,dev_stage,sex,tissue,cell_line,genotype,sample_type,treatment,replicate,BioSampleModel,experiment
SRR7215493,30989953,2355236428,76,967,SRX4122413,rnaseq.10p.fcs.rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337038,SAMN09255906,simple,10090,Mus musculus,rnaseq.10p.fcs.rep1,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,mRNA-seq,10% FCS,bio rep 1,Model organism or animal,
SRR7215492,32691237,2484534012,76,1018,SRX4122414,rnaseq.10p.fcs.rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337040,SAMN09255907,simple,10090,Mus musculus,rnaseq.10p.fcs.rep2,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,mRNA-seq,10% FCS,bio rep 2,Model organism or animal,
SRR7215491,21884635,1116116385,51,744,SRX4122415,rnaseq.fucci.g1.rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148898,PRJNA472989,1,"",SRS3337041,SAMN09255898,simple,10090,Mus musculus,rnaseq.fucci.g1.rep1,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,fucci,mRNA-seq,G1,bio rep 1,Model organism or animal,
SRR7215490,35282490,1799406990,51,1196,SRX4122416,rnaseq.fucci.g1.rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148898,PRJNA472989,1,"",SRS3337042,SAMN09255899,simple,10090,Mus musculus,rnaseq.fucci.g1.rep2,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,fucci,mRNA-seq,G1,bio rep 2,Model organism or animal,
SRR7215489,27247258,1389610158,51,928,SRX4122417,rnaseq.fucci.g2m.rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148898,PRJNA472989,1,"",SRS3337043,SAMN09255900,simple,10090,Mus musculus,rnaseq.fucci.g2m.rep1,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,fucci,mRNA-seq,G2M,bio rep 1,Model organism or animal,
SRR7215488,26294277,1341008127,51,897,SRX4122418,rnaseq.fucci.g2m.rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148898,PRJNA472989,1,"",SRS3337044,SAMN09255901,simple,10090,Mus musculus,rnaseq.fucci.g2m.rep2,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,fucci,mRNA-seq,G2M,bio rep 2,Model organism or animal,
SRR7215487,33757969,2565605644,76,1057,SRX4122419,rnaseq.1p.fcs.rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337045,SAMN09255902,simple,10090,Mus musculus,rnaseq.1p.fcs.rep1,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,mRNA-seq,1% FCS,bio rep 1,Model organism or animal,
SRR7215486,33010050,2508763800,76,1031,SRX4122420,rnaseq.1p.fcs.rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337046,SAMN09255903,simple,10090,Mus musculus,rnaseq.1p.fcs.rep2,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,mRNA-seq,1% FCS,bio rep 2,Model organism or animal,
SRR7215485,36273554,2756790104,76,1132,SRX4122421,rnaseq.1p.fcs.rep3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337048,SAMN09255904,simple,10090,Mus musculus,rnaseq.1p.fcs.rep3,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,mRNA-seq,1% FCS,bio rep 3,Model organism or animal,
SRR7215484,39999229,3039941404,76,1243,SRX4122422,rnaseq.1p.fcs.rep4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337047,SAMN09255905,simple,10090,Mus musculus,rnaseq.1p.fcs.rep4,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,mRNA-seq,1% FCS,bio rep 4,Model organism or animal,
SRR7215483,11135926,846330376,76,332,SRX4122423,trnaseq.10p.fcs.rep3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337049,SAMN09255921,simple,10090,Mus musculus,trnaseq.10p.fcs.rep3,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,tRNA-seq,10% FCS,bio rep 3,Model organism or animal,
SRR7215482,10733738,815764088,76,319,SRX4122424,trnaseq.10p.fcs.rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337050,SAMN09255920,simple,10090,Mus musculus,trnaseq.10p.fcs.rep2,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,tRNA-seq,10% FCS,bio rep 2,Model organism or animal,
SRR7215481,10982097,834639372,76,325,SRX4122425,trnaseq.10p.fcs.rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337051,SAMN09255919,simple,10090,Mus musculus,trnaseq.10p.fcs.rep1,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,tRNA-seq,10% FCS,bio rep 1,Model organism or animal,
SRR7215480,10488566,797131016,76,322,SRX4122426,trnaseq.1p.fcs.rep3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337052,SAMN09255918,simple,10090,Mus musculus,trnaseq.1p.fcs.rep3,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,tRNA-seq,1% FCS,bio rep 3,Model organism or animal,
SRR10314475,26813658,2037838008,76,620,SRX7025594,rnaseq.grad.1p.fcs.rep1,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS5546191,SAMN13064846,simple,10090,Mus musculus,rnaseq.grad.1p.fcs.rep1,University of Basel,SRA982408,02,2020,Makar,"",mRNA-seq of cells grown in 1% FCS rep 1 (serum gradient),Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,wild-type,cell culture,1% FCS,bio rep 1,Model organism or animal,serum gradient
SRR10314474,24908629,1893055804,76,573,SRX7025595,rnaseq.grad.1p.fcs.rep2,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS5546192,SAMN13064847,simple,10090,Mus musculus,rnaseq.grad.1p.fcs.rep2,University of Basel,SRA982408,02,2020,Makar,"",mRNA-seq of cells grown in 1% FCS rep 2 (serum gradient),Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,wild-type,cell culture,1% FCS,bio rep 2,Model organism or animal,serum gradient
SRR10314473,22313054,1695792104,76,514,SRX7025596,rnaseq.grad.10p.fcs.rep2,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS5546193,SAMN13064856,simple,10090,Mus musculus,rnaseq.grad.10p.fcs.rep2,University of Basel,SRA982408,02,2020,Makar,"",mRNA-seq of cells grown in 10% FCS rep 2 (serum gradient),Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,wild-type,cell culture,10% FCS,bio rep 2,Model organism or animal,serum gradient
SRR10314472,20961762,1593093912,76,485,SRX7025597,rnaseq.grad.10p.fcs.rep3,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS5546194,SAMN13064857,simple,10090,Mus musculus,rnaseq.grad.10p.fcs.rep3,University of Basel,SRA982408,02,2020,Makar,"",mRNA-seq of cells grown in 10% FCS rep 3 (serum gradient),Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,wild-type,cell culture,10% FCS,bio rep 3,Model organism or animal,serum gradient
SRR10314471,29893098,2271875448,76,689,SRX7025598,rnaseq.grad.1p.fcs.rep3,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS5546195,SAMN13064848,simple,10090,Mus musculus,rnaseq.grad.1p.fcs.rep3,University of Basel,SRA982408,02,2020,Makar,"",mRNA-seq of cells grown in 1% FCS rep 3 (serum gradient),Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,wild-type,cell culture,1% FCS,bio rep 3,Model organism or animal,serum gradient
SRR10314470,26625928,2023570528,76,614,SRX7025599,rnaseq.grad.2p.fcs.rep1,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS5546196,SAMN13064849,simple,10090,Mus musculus,rnaseq.grad.2p.fcs.rep1,University of Basel,SRA982408,02,2020,Makar,"",mRNA-seq of cells grown in 2% FCS rep 1 (serum gradient),Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,wild-type,cell culture,2% FCS,bio rep 1,Model organism or animal,serum gradient
SRR10314469,26626240,2023594240,76,616,SRX7025600,rnaseq.grad.2p.fcs.rep2,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS5546197,SAMN13064850,simple,10090,Mus musculus,rnaseq.grad.2p.fcs.rep2,University of Basel,SRA982408,02,2020,Makar,"",mRNA-seq of cells grown in 2% FCS rep 2 (serum gradient),Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,wild-type,cell culture,2% FCS,bio rep 2,Model organism or animal,serum gradient
SRR10314468,23712412,1802143312,76,547,SRX7025601,rnaseq.grad.2p.fcs.rep3,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS5546198,SAMN13064851,simple,10090,Mus musculus,rnaseq.grad.2p.fcs.rep3,University of Basel,SRA982408,02,2020,Makar,"",mRNA-seq of cells grown in 2% FCS rep 3 (serum gradient),Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,wild-type,cell culture,2% FCS,bio rep 3,Model organism or animal,serum gradient
SRR10314467,20502757,1558209532,76,474,SRX7025602,rnaseq.grad.5p.fcs.rep1,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS5546199,SAMN13064852,simple,10090,Mus musculus,rnaseq.grad.5p.fcs.rep1,University of Basel,SRA982408,02,2020,Makar,"",mRNA-seq of cells grown in 5% FCS rep 1 (serum gradient),Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,wild-type,cell culture,5% FCS,bio rep 1,Model organism or animal,serum gradient
SRR10314466,23427941,1780523516,76,542,SRX7025603,rnaseq.grad.5p.fcs.rep2,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS5546200,SAMN13064853,simple,10090,Mus musculus,rnaseq.grad.5p.fcs.rep2,University of Basel,SRA982408,02,2020,Makar,"",mRNA-seq of cells grown in 5% FCS rep 2 (serum gradient),Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,wild-type,cell culture,5% FCS,bio rep 2,Model organism or animal,serum gradient
SRR10314465,23438687,1781340212,76,540,SRX7025604,rnaseq.grad.5p.fcs.rep3,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS5546201,SAMN13064854,simple,10090,Mus musculus,rnaseq.grad.5p.fcs.rep3,University of Basel,SRA982408,02,2020,Makar,"",mRNA-seq of cells grown in 5% FCS rep 3 (serum gradient),Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,wild-type,cell culture,5% FCS,bio rep 3,Model organism or animal,serum gradient
SRR10314464,25940600,1971485600,76,595,SRX7025605,rnaseq.grad.10p.fcs.rep1,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS5546202,SAMN13064855,simple,10090,Mus musculus,rnaseq.grad.10p.fcs.rep1,University of Basel,SRA982408,02,2020,Makar,"",mRNA-seq of cells grown in 10% FCS rep 1 (serum gradient),Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,wild-type,cell culture,10% FCS,bio rep 1,Model organism or animal,serum gradient
