Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,developmental stage,ip antibody,GEO Accession
SRR1806275,38107651,1943490201,51,1142,SRX879197,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS846781,SAMN03351784,simple,10090,Mus musculus,GSM1612027,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJG8: pS6-IP from 1% TMT stimulated olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1612027
SRR1806276,36895319,1881661269,51,1094,SRX879198,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS846780,SAMN03351811,simple,10090,Mus musculus,GSM1612028,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJG9: pS6-IP from 100% TMT stimulated olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1612028
SRR1513237,13341298,667064900,50,321,SRX650930,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP044258,PRJNA255075,26322927,"",SRS659014,SAMN02909991,simple,10090,Mus musculus,GSM1435022,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJMi4: pS6-IP from control olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1435022
SRR1513238,11338947,566947350,50,263,SRX650931,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP044258,PRJNA255075,26322927,"",SRS659015,SAMN02909992,simple,10090,Mus musculus,GSM1435023,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJMi5: pS6-IP from 100% acetophenone stimulated olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1435023
SRR1513239,13854983,1399353283,101,878,SRX650932,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS659017,SAMN02909993,simple,10090,Mus musculus,GSM1435024,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJ1: pS6-IP from control olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1435024
SRR1513240,14412068,1455618868,101,940,SRX650933,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS659016,SAMN02909994,simple,10090,Mus musculus,GSM1435025,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJ2: pS6-IP from 100% acetophenone stimulated olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1435025
SRR1513241,12446064,1257052464,101,793,SRX650934,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS659018,SAMN02909995,simple,10090,Mus musculus,GSM1435026,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJ3: pS6-IP from control olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1435026
SRR1513242,13082837,1321366537,101,861,SRX650935,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS659019,SAMN02909996,simple,10090,Mus musculus,GSM1435027,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJ6: pS6-IP from 100% acetophenone stimulated olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1435027
SRR1513243,12236913,1235928213,101,780,SRX650936,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS659020,SAMN02909997,simple,10090,Mus musculus,GSM1435028,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJ4: pS6-IP from 1% acetophenone stimulated olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1435028
SRR1513244,15245477,777519327,51,478,SRX650937,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS659022,SAMN02909998,simple,10090,Mus musculus,GSM1435029,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJA1: pS6-IP from control olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1435029
SRR1513245,14397468,734270868,51,446,SRX650938,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS659021,SAMN02909999,simple,10090,Mus musculus,GSM1435030,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJA3: pS6-IP from 1% acetophenone stimulated olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1435030
SRR1513246,11343008,578493408,51,360,SRX650939,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS659023,SAMN02910000,simple,10090,Mus musculus,GSM1435031,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJA4: pS6-IP from control olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1435031
SRR1513247,12108436,617530236,51,392,SRX650940,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS659024,SAMN02910001,simple,10090,Mus musculus,GSM1435032,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJA6: pS6-IP from 1% acetophenone stimulated olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1435032
