Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,breed,strain,sex,tissue,cell_line,treatment,BioSampleModel
SRR2442886,12847049,655199499,51,415,SRX1257812,Asp20_2_1_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073451,SAMN04095715,simple,7227,Drosophila melanogaster,S2_tsR-Asp20,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp20,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp20,Model organism or animal
SRR2442887,12749711,650235261,51,411,SRX1257813,Asp20_2_2_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073451,SAMN04095715,simple,7227,Drosophila melanogaster,S2_tsR-Asp20,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp20,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp20,Model organism or animal
SRR2442888,13017796,663907596,51,422,SRX1257814,Control_2_1_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2442889,14823996,756023796,51,489,SRX1257815,Asp20_1_degradome,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073451,SAMN04095715,simple,7227,Drosophila melanogaster,S2_tsR-Asp20,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp20,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp20,Model organism or animal
SRR2442890,14962149,763069599,51,495,SRX1257816,Asp20_2_degradome,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073451,SAMN04095715,simple,7227,Drosophila melanogaster,S2_tsR-Asp20,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp20,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp20,Model organism or animal
SRR2442891,5586159,284894109,51,187,SRX1257817,Asp20_1_sRNA,miRNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073451,SAMN04095715,simple,7227,Drosophila melanogaster,S2_tsR-Asp20,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp20,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp20,Model organism or animal
SRR2442892,5523488,281697888,51,182,SRX1257818,Asp20_2_sRNA,miRNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073451,SAMN04095715,simple,7227,Drosophila melanogaster,S2_tsR-Asp20,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp20,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp20,Model organism or animal
SRR2442893,18481521,942557571,51,548,SRX1257819,Asp20_1_ribo,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073451,SAMN04095715,simple,7227,Drosophila melanogaster,S2_tsR-Asp20,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp20,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp20,Model organism or animal
SRR2442894,18376555,937204305,51,546,SRX1257820,Asp20_2_ribo,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073451,SAMN04095715,simple,7227,Drosophila melanogaster,S2_tsR-Asp20,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp20,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp20,Model organism or animal
SRR2442907,8738995,445688745,51,284,SRX1257821,Asp29_1_1_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073452,SAMN04095716,simple,7227,Drosophila melanogaster,S2_tsR-Asp29,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp29,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp29,Model organism or animal
SRR2442908,8687221,443048271,51,282,SRX1257823,Asp29_1_2_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073452,SAMN04095716,simple,7227,Drosophila melanogaster,S2_tsR-Asp29,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp29,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp29,Model organism or animal
SRR2442909,12254141,624961191,51,397,SRX1257824,Asp29_2_1_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073452,SAMN04095716,simple,7227,Drosophila melanogaster,S2_tsR-Asp29,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp29,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp29,Model organism or animal
SRR2442910,12491903,637087053,51,406,SRX1257825,Asp29_2_2_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073452,SAMN04095716,simple,7227,Drosophila melanogaster,S2_tsR-Asp29,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp29,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp29,Model organism or animal
SRR2442911,13286671,677620221,51,433,SRX1257826,Control_2_2_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2442912,18867902,962263002,51,618,SRX1257827,Asp29_1_degradome,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073452,SAMN04095716,simple,7227,Drosophila melanogaster,S2_tsR-Asp29,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp29,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp29,Model organism or animal
SRR2442913,18838978,960787878,51,615,SRX1257828,Asp29_2_degradome,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073452,SAMN04095716,simple,7227,Drosophila melanogaster,S2_tsR-Asp29,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp29,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp29,Model organism or animal
SRR2442914,3998583,203927733,51,134,SRX1257830,Asp29_1_sRNA,miRNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073452,SAMN04095716,simple,7227,Drosophila melanogaster,S2_tsR-Asp29,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp29,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp29,Model organism or animal
SRR2442915,3964554,202192254,51,132,SRX1257831,Asp29_2_sRNA,miRNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073452,SAMN04095716,simple,7227,Drosophila melanogaster,S2_tsR-Asp29,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp29,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp29,Model organism or animal
SRR2442916,15236919,777082869,51,449,SRX1257832,Asp29_1_ribo,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073452,SAMN04095716,simple,7227,Drosophila melanogaster,S2_tsR-Asp29,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp29,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp29,Model organism or animal
SRR2442917,15161915,773257665,51,447,SRX1257833,Asp29_2_ribo,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073452,SAMN04095716,simple,7227,Drosophila melanogaster,S2_tsR-Asp29,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp29,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp29,Model organism or animal
SRR2442918,24363198,1242523098,51,801,SRX1257834,Starv_S1_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073454,SAMN04095717,simple,7227,Drosophila melanogaster,S2_Starvation,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in serum-free medium,Oregon R,NA,NA,NA,S2,cultured in serum-free medium,Model organism or animal
SRR2442920,24275019,1238025969,51,796,SRX1257835,Starv_S2_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073454,SAMN04095717,simple,7227,Drosophila melanogaster,S2_Starvation,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in serum-free medium,Oregon R,NA,NA,NA,S2,cultured in serum-free medium,Model organism or animal
SRR2442921,5546172,282854772,51,178,SRX1257836,Starv_S1_sRNA,miRNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073454,SAMN04095717,simple,7227,Drosophila melanogaster,S2_Starvation,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in serum-free medium,Oregon R,NA,NA,NA,S2,cultured in serum-free medium,Model organism or animal
SRR2442922,5560895,283605645,51,179,SRX1257837,Starv_S2_sRNA,miRNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073454,SAMN04095717,simple,7227,Drosophila melanogaster,S2_Starvation,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in serum-free medium,Oregon R,NA,NA,NA,S2,cultured in serum-free medium,Model organism or animal
SRR2442923,13238389,675157839,51,443,SRX1257838,Control_1_degradome,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2442924,13029212,664489812,51,356,SRX1257839,Starv_S1_ribo,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073454,SAMN04095717,simple,7227,Drosophila melanogaster,S2_Starvation,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in serum-free medium,Oregon R,NA,NA,NA,S2,cultured in serum-free medium,Model organism or animal
SRR2442925,13366693,681701343,51,363,SRX1257840,Starv_S2_ribo,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073454,SAMN04095717,simple,7227,Drosophila melanogaster,S2_Starvation,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in serum-free medium,Oregon R,NA,NA,NA,S2,cultured in serum-free medium,Model organism or animal
SRR2442926,13387062,682740162,51,449,SRX1257841,Control_2_degradome,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2442927,4946954,252294654,51,167,SRX1257842,Control_1_sRNA,miRNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2442928,5145384,262414584,51,173,SRX1257843,Control_2_sRNA,miRNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2442929,11844174,604052874,51,366,SRX1257844,Control_1_ribo,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2442930,12175465,620948715,51,378,SRX1257845,Control_2_ribo,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2757108,13755180,701514180,51,352,SRX1364748,AGO2KD_C_sRNA,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1127089,SAMN04202765,simple,7227,Drosophila melanogaster,S2_AGO2KD_normal,Peking University,SRA299317,10,2016,Makar,"","",NA,Oregon R,not determined,S2 cells,S2,AGO2 knockdown,Model organism or animal
SRR2757173,10449894,532944594,51,274,SRX1364749,AGO2KD_S_sRNA,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1127090,SAMN04202766,simple,7227,Drosophila melanogaster,S2_AGO2KD_starvation,Peking University,SRA299317,10,2016,Makar,"","",NA,Oregon R,not determined,S2 cells,S2,AGO2 knockdown and cultured in serum-free medium for 24 hours,Model organism or animal
