Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,age,tissue/cell type,GEO Accession
SRR12055106,44801763,2284889913,51,732,SRX8583520,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875057,SAMN15326419,simple,4932,Saccharomyces cerevisiae,GSM4627282,GEO,SRA1089156,11,2021,Stein,Yeast,WT_Day2_Rep1,Yeast,BY4741,sch9{delta},Day 0,Whole cells,GSM4627287
SRR12055107,143625824,7324917024,51,2314,SRX8583520,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875057,SAMN15326419,simple,4932,Saccharomyces cerevisiae,GSM4627282,GEO,SRA1089156,11,2021,Stein,Yeast,WT_Day2_Rep1,Yeast,BY4741,sch9{delta},Day 2,Whole cells,GSM4627288
SRR12055108,24398866,1244342166,51,405,SRX8583521,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875058,SAMN15326418,simple,4932,Saccharomyces cerevisiae,GSM4627283,GEO,SRA1089156,11,2021,Stein,Yeast,WT_Day2_Rep2,Yeast,BY4741,sch9{delta},Day 2,Whole cells,GSM4627289
SRR12055109,117169436,5975641236,51,1911,SRX8583521,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875058,SAMN15326418,simple,4932,Saccharomyces cerevisiae,GSM4627283,GEO,SRA1089156,11,2021,Stein,Yeast,WT_Day2_Rep2,Yeast,BY4741,sch9{delta},Day 4,Whole cells,GSM4627290
SRR12055110,35351090,1802905590,51,576,SRX8583522,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875059,SAMN15326417,simple,4932,Saccharomyces cerevisiae,GSM4627284,GEO,SRA1089156,11,2021,Stein,Yeast,WT_Day4_Rep1,Yeast,BY4741,sch9{delta},Day 4,Whole cells,GSM4627291
SRR12055111,43727012,2230077612,51,707,SRX8583522,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875059,SAMN15326417,simple,4932,Saccharomyces cerevisiae,GSM4627284,GEO,SRA1089156,11,2021,Stein,Yeast,WT_Day4_Rep1,Worms,N2,wild-type,Day 1 adult,Whole animals,GSM4627275
SRR12055112,26404308,1346619708,51,432,SRX8583523,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875060,SAMN15326416,simple,4932,Saccharomyces cerevisiae,GSM4627285,GEO,SRA1089156,11,2021,Stein,Yeast,WT_Day4_Rep2,Worms,N2,wild-type,Day 1 adult,Whole animals,GSM4627276
SRR12055113,123717264,6309580464,51,1991,SRX8583523,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875060,SAMN15326416,simple,4932,Saccharomyces cerevisiae,GSM4627285,GEO,SRA1089156,11,2021,Stein,Yeast,WT_Day4_Rep2,Worms,N2,wild-type,Day 6 adult,Whole animals,GSM4627277
SRR12055114,50563288,2578727688,51,836,SRX8583524,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875061,SAMN15326415,simple,4932,Saccharomyces cerevisiae,GSM4627286,GEO,SRA1089156,11,2021,Stein,Yeast,sch9Δ_Day0_Rep1,Worms,N2,wild-type,Day 12 adult,Whole animals,GSM4627278
SRR12055115,53197566,2713075866,51,870,SRX8583524,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875061,SAMN15326415,simple,4932,Saccharomyces cerevisiae,GSM4627286,GEO,SRA1089156,11,2021,Stein,Yeast,sch9Δ_Day0_Rep1,Worms,N2,wild-type,Day 12 adult,Whole animals,GSM4627279
SRR12055116,34734185,1771443435,51,572,SRX8583525,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875062,SAMN15326414,simple,4932,Saccharomyces cerevisiae,GSM4627287,GEO,SRA1089156,11,2021,Stein,Yeast,sch9Δ_Day0_Rep2,Yeast,BY4741,wild-type,Day 0,Whole cells,GSM4627280
SRR12055117,62420259,3183433209,51,1018,SRX8583525,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875062,SAMN15326414,simple,4932,Saccharomyces cerevisiae,GSM4627287,GEO,SRA1089156,11,2021,Stein,Yeast,sch9Δ_Day0_Rep2,Yeast,BY4741,wild-type,Day 0,Whole cells,GSM4627281
SRR12055118,17622300,898737300,51,274,SRX8583526,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875063,SAMN15326413,simple,4932,Saccharomyces cerevisiae,GSM4627288,GEO,SRA1089156,11,2021,Stein,Yeast,sch9Δ_Day2_Rep1,Yeast,BY4741,wild-type,Day 2,Whole cells,GSM4627282
SRR12055119,200375315,10219141065,51,3082,SRX8583526,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875063,SAMN15326413,simple,4932,Saccharomyces cerevisiae,GSM4627288,GEO,SRA1089156,11,2021,Stein,Yeast,sch9Δ_Day2_Rep1,Yeast,BY4741,wild-type,Day 2,Whole cells,GSM4627283
SRR12055120,20834548,1062561948,51,340,SRX8583527,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875064,SAMN15326412,simple,4932,Saccharomyces cerevisiae,GSM4627289,GEO,SRA1089156,11,2021,Stein,Yeast,sch9Δ_Day2_Rep2,Yeast,BY4741,wild-type,Day 4,Whole cells,GSM4627284
SRR12055121,113253683,5775937833,51,1821,SRX8583527,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875064,SAMN15326412,simple,4932,Saccharomyces cerevisiae,GSM4627289,GEO,SRA1089156,11,2021,Stein,Yeast,sch9Δ_Day2_Rep2,Yeast,BY4741,wild-type,Day 4,Whole cells,GSM4627285
SRR12055122,54065920,2757361920,51,886,SRX8583528,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875065,SAMN15326411,simple,4932,Saccharomyces cerevisiae,GSM4627290,GEO,SRA1089156,11,2021,Stein,Yeast,sch9Δ_Day4_Rep1,Yeast,BY4741,sch9{delta},Day 0,Whole cells,GSM4627286
SRR12055123,33837226,1725698526,51,551,SRX8583528,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875065,SAMN15326411,simple,4932,Saccharomyces cerevisiae,GSM4627290,GEO,SRA1089156,11,2021,Stein,Yeast,sch9Δ_Day4_Rep1,Yeast,BY4741,sch9{delta},Day 0,Whole cells,GSM4627287
SRR12055124,19684920,1003930920,51,330,SRX8583529,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875066,SAMN15326410,simple,4932,Saccharomyces cerevisiae,GSM4627291,GEO,SRA1089156,11,2021,Stein,Yeast,sch9Δ_Day4_Rep2,Yeast,BY4741,sch9{delta},Day 2,Whole cells,GSM4627288
SRR12055125,182841133,9324897783,51,3028,SRX8583529,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875066,SAMN15326410,simple,4932,Saccharomyces cerevisiae,GSM4627291,GEO,SRA1089156,11,2021,Stein,Yeast,sch9Δ_Day4_Rep2,Yeast,BY4741,sch9{delta},Day 2,Whole cells,GSM4627289
