Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,tissue,GEO Accession
SRR6833095,16181458,809072900,50,362,SRX3789175,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041840,SAMN08709412,simple,3702,Arabidopsis thaliana,GSM3040087,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,Col_0_rep2,10-day-old seedlings,Col_0,10-day-old seedlings,GSM3040087
SRR6833096,18798867,939943350,50,423,SRX3789176,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041841,SAMN08709411,simple,3702,Arabidopsis thaliana,GSM3040088,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,Col_0_rep3,10-day-old seedlings,Col_0,10-day-old seedlings,GSM3040088
SRR6833097,16850551,842527550,50,379,SRX3789177,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041842,SAMN08709410,simple,3702,Arabidopsis thaliana,GSM3040089,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,hyl1_rep1,10-day-old seedlings,hyl1,10-day-old seedlings,GSM3040089
SRR6833098,16389393,819469650,50,367,SRX3789178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041843,SAMN08709409,simple,3702,Arabidopsis thaliana,GSM3040090,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,hyl1_rep2,10-day-old seedlings,hyl1,10-day-old seedlings,GSM3040090
SRR6833099,20302050,1015102500,50,455,SRX3789179,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041844,SAMN08709408,simple,3702,Arabidopsis thaliana,GSM3040091,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,hyl1_rep3,10-day-old seedlings,hyl1,10-day-old seedlings,GSM3040091
SRR6833100,18748002,937400100,50,422,SRX3789180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041845,SAMN08709407,simple,3702,Arabidopsis thaliana,GSM3040092,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,hyl1_atxr_rep1,10-day-old seedlings,hyl1_atxr,10-day-old seedlings,GSM3040092
SRR6833101,19697551,984877550,50,441,SRX3789181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041846,SAMN08709406,simple,3702,Arabidopsis thaliana,GSM3040093,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,hyl1_atxr_rep2,10-day-old seedlings,hyl1_atxr,10-day-old seedlings,GSM3040093
SRR6833102,18225535,911276750,50,410,SRX3789182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041847,SAMN08709405,simple,3702,Arabidopsis thaliana,GSM3040094,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,hyl1_atxr_rep3,10-day-old seedlings,hyl1_atxr,10-day-old seedlings,GSM3040094
SRR6833103,16286036,814301800,50,367,SRX3789183,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041848,SAMN08709404,simple,3702,Arabidopsis thaliana,GSM3040095,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,se_2_rep1,10-day-old seedlings,se_2,10-day-old seedlings,GSM3040095
SRR6833104,16375919,818795950,50,369,SRX3789184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041849,SAMN08709403,simple,3702,Arabidopsis thaliana,GSM3040096,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,se_2_rep2,10-day-old seedlings,se_2,10-day-old seedlings,GSM3040096
SRR6833105,19390046,969502300,50,438,SRX3789185,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041850,SAMN08709402,simple,3702,Arabidopsis thaliana,GSM3040097,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,se_2_rep3,10-day-old seedlings,se_2,10-day-old seedlings,GSM3040097
SRR6833106,18266685,913334250,50,410,SRX3789186,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041851,SAMN08709401,simple,3702,Arabidopsis thaliana,GSM3040098,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,se_2_atxr_rep1,10-day-old seedlings,se_2_atxr,10-day-old seedlings,GSM3040098
SRR6833107,17216127,860806350,50,386,SRX3789187,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041852,SAMN08709400,simple,3702,Arabidopsis thaliana,GSM3040099,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,se_2_atxr_rep2,10-day-old seedlings,se_2_atxr,10-day-old seedlings,GSM3040099
SRR6833108,20112308,1005615400,50,452,SRX3789188,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041853,SAMN08709399,simple,3702,Arabidopsis thaliana,GSM3040100,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,se_2_atxr_rep3,10-day-old seedlings,se_2_atxr,10-day-old seedlings,GSM3040100
