Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype/variation,GEO Accession
SRR11626663,64773541,3238677050,50,1186,SRX8190767,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549558,SAMN14755281,simple,9606,Homo sapiens,GSM4504147,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 92 Tumor sample, Ribosome bound RNA, replicate1",Prostate cancer tissue,tumor sample,,GSM4504147
SRR11626664,47312387,2365619350,50,856,SRX8190768,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549557,SAMN14755278,simple,9606,Homo sapiens,GSM4504148,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 92 Tumor sample, Ribosome bound RNA, replicate2",Prostate cancer tissue,tumor sample,,GSM4504148
SRR11626665,55445793,2772289650,50,1019,SRX8190769,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549560,SAMN14755276,simple,9606,Homo sapiens,GSM4504149,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 145 Tumor sample, total RNA, replicate1",Prostate cancer tissue,tumor sample,,GSM4504149
SRR11626666,55176129,2758806450,50,1012,SRX8190770,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549559,SAMN14755275,simple,9606,Homo sapiens,GSM4504150,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 145 Tumor sample, total RNA, replicate2",Prostate cancer tissue,tumor sample,,GSM4504150
SRR11626667,61630143,3081507150,50,1144,SRX8190771,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549561,SAMN14755273,simple,9606,Homo sapiens,GSM4504151,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 145 Tumor sample, Ribosome bound RNA, replicate1",Prostate cancer tissue,tumor sample,,GSM4504151
SRR11626668,47608731,2380436550,50,865,SRX8190772,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS6549562,SAMN14755272,simple,9606,Homo sapiens,GSM4504152,GEO,SRA880706,03,2021,Lim,Prostate cancer tissue,"Lucap 145 Tumor sample, Ribosome bound RNA, replicate2",Prostate cancer tissue,tumor sample,,GSM4504152
SRR14578810,44416529,2220826450,50,891,SRX10921844,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS9011430,SAMN19243571,simple,9606,Homo sapiens,GSM5321286,GEO,SRA880706,01,2022,Lim,Prostate cancer tissue,"Lucap 147 Tumor sample, total RNA, replicate1",Prostate cancer tissue,tumor sample,,GSM5321286
SRR14578811,41972456,2098622800,50,843,SRX10921845,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS9011431,SAMN19243570,simple,9606,Homo sapiens,GSM5321287,GEO,SRA880706,01,2022,Lim,Prostate cancer tissue,"Lucap 147 Tumor sample, total RNA, replicate2",Prostate cancer tissue,tumor sample,,GSM5321287
SRR14578812,44339059,2216952950,50,898,SRX10921846,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS9011432,SAMN19243569,simple,9606,Homo sapiens,GSM5321288,GEO,SRA880706,01,2022,Lim,Prostate cancer tissue,"Lucap 147 Tumor sample, Ribosome bound RNA, replicate1",Prostate cancer tissue,tumor sample,,GSM5321288
SRR14578813,43561053,2178052650,50,886,SRX10921847,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS9011433,SAMN19243568,simple,9606,Homo sapiens,GSM5321289,GEO,SRA880706,01,2022,Lim,Prostate cancer tissue,"Lucap 147 Tumor sample, Ribosome bound RNA, replicate2",Prostate cancer tissue,tumor sample,,GSM5321289
SRR8987649,129279456,6463972800,50,2639,SRX5766762,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS4701060,SAMN11532637,simple,9606,Homo sapiens,GSM3739076,GEO,SRA880706,03,2021,Lim,Normal prostate tissue,WT_1_RNA,Normal prostate tissue,Normal prostate,wild type/ normal,GSM3739076
SRR8987650,144319681,7215984050,50,2802,SRX5766763,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS4701061,SAMN11532636,simple,9606,Homo sapiens,GSM3739077,GEO,SRA880706,03,2021,Lim,Normal prostate tissue,WT_2_RNA,Normal prostate tissue,Normal prostate,wild type/ normal,GSM3739077
SRR8987651,118808562,5940428100,50,2352,SRX5766764,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS4701062,SAMN11532635,simple,9606,Homo sapiens,GSM3739078,GEO,SRA880706,03,2021,Lim,Normal prostate tissue,WT_3_RNA,Normal prostate tissue,Normal prostate,wild type/ normal,GSM3739078
SRR8987652,87374155,4368707750,50,1711,SRX5766765,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS4701063,SAMN11532634,simple,9606,Homo sapiens,GSM3739079,GEO,SRA880706,03,2021,Lim,Normal prostate tissue,WT_4_RNA,Normal prostate tissue,Normal prostate,wild type/ normal,GSM3739079
SRR8987653,102173090,5108654500,50,1993,SRX5766766,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS4701064,SAMN11532633,simple,9606,Homo sapiens,GSM3739080,GEO,SRA880706,03,2021,Lim,Normal prostate tissue,WT_5_RNA,Normal prostate tissue,Normal prostate,wild type/ normal,GSM3739080
SRR8987654,96871688,4843584400,50,1960,SRX5766767,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS4701065,SAMN11532632,simple,9606,Homo sapiens,GSM3739081,GEO,SRA880706,03,2021,Lim,Normal prostate tissue,WT_1_RP,Normal prostate tissue,Normal prostate,wild type/ normal,GSM3739081
SRR8987655,100783521,5039176050,50,1853,SRX5766768,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS4701066,SAMN11532631,simple,9606,Homo sapiens,GSM3739082,GEO,SRA880706,03,2021,Lim,Normal prostate tissue,WT_2_RP,Normal prostate tissue,Normal prostate,wild type/ normal,GSM3739082
SRR8987656,105336155,5266807750,50,2068,SRX5766769,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS4701067,SAMN11532630,simple,9606,Homo sapiens,GSM3739083,GEO,SRA880706,03,2021,Lim,Normal prostate tissue,WT_3_RP,Normal prostate tissue,Normal prostate,wild type/ normal,GSM3739083
SRR8987657,106472230,5323611500,50,2077,SRX5766770,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS4701068,SAMN11532629,simple,9606,Homo sapiens,GSM3739084,GEO,SRA880706,03,2021,Lim,Normal prostate tissue,WT_4_RP,Normal prostate tissue,Normal prostate,wild type/ normal,GSM3739084
SRR8987658,96285517,4814275850,50,1887,SRX5766771,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194188,PRJNA540298,34244513,"",SRS4701069,SAMN11532628,simple,9606,Homo sapiens,GSM3739085,GEO,SRA880706,03,2021,Lim,Normal prostate tissue,WT_5_RP,Normal prostate tissue,Normal prostate,wild type/ normal,GSM3739085
