Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,sample type,GEO Accession
SRR18049381,22236471,1111823550,50,621,SRX14201650,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022069,SAMN25995474,simple,9606,Homo sapiens,GSM5903012,GEO,SRA1210108,02,2022,Han,esophagus,shGFP_3_input,esophagus,,esophageal epithelial,normal,,,GSM5903012
SRR18049382,23724862,1186243100,50,654,SRX14201651,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022070,SAMN25995475,simple,9606,Homo sapiens,GSM5903013,GEO,SRA1210108,02,2022,Han,esophagus,shGFP_3_RNC,esophagus,,esophageal epithelial,normal,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,,GSM5903013
SRR18049383,23876098,1193804900,50,658,SRX14201652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022071,SAMN25995476,simple,9606,Homo sapiens,GSM5903014,GEO,SRA1210108,02,2022,Han,esophagus,shM1_1_input,esophagus,,esophageal epithelial,METTL1-knockdown,,,GSM5903014
SRR18049384,23800554,1190027700,50,638,SRX14201653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022072,SAMN25995477,simple,9606,Homo sapiens,GSM5903015,GEO,SRA1210108,02,2022,Han,esophagus,shM1_1_RNC,esophagus,,esophageal epithelial,METTL1-knockdown,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,,GSM5903015
SRR18049385,23782510,1189125500,50,665,SRX14201654,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022073,SAMN25995478,simple,9606,Homo sapiens,GSM5903016,GEO,SRA1210108,02,2022,Han,esophagus,shM1_2_input,esophagus,,esophageal epithelial,METTL1-knockdown,,,GSM5903016
SRR18049386,23756819,1187840950,50,650,SRX14201655,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022074,SAMN25995479,simple,9606,Homo sapiens,GSM5903017,GEO,SRA1210108,02,2022,Han,esophagus,shM1_2_RNC,esophagus,,esophageal epithelial,METTL1-knockdown,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,,GSM5903017
SRR18049387,23860552,1193027600,50,664,SRX14201656,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022075,SAMN25995480,simple,9606,Homo sapiens,GSM5903018,GEO,SRA1210108,02,2022,Han,esophagus,shM1_3_input,esophagus,,esophageal epithelial,METTL1-knockdown,,,GSM5903018
SRR18049388,23784862,1189243100,50,659,SRX14201657,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022076,SAMN25995481,simple,9606,Homo sapiens,GSM5903019,GEO,SRA1210108,02,2022,Han,esophagus,shM1_3_RNC,esophagus,,esophageal epithelial,METTL1-knockdown,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,,GSM5903019
SRR18049389,23868416,1193420800,50,671,SRX14201658,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022077,SAMN25995482,simple,9606,Homo sapiens,GSM5903020,GEO,SRA1210108,02,2022,Han,esophagus,shM1_RPTOR_1_input,esophagus,,esophageal epithelial,METTL1-knockdown;RPTOR overexpression,,,GSM5903020
SRR18049390,23637621,1181881050,50,661,SRX14201659,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022078,SAMN25995483,simple,9606,Homo sapiens,GSM5903021,GEO,SRA1210108,02,2022,Han,esophagus,shM1_RPTOR_1_RNC,esophagus,,esophageal epithelial,METTL2-knockdown;RPTOR overexpression,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,,GSM5903021
SRR18049391,23674576,1183728800,50,652,SRX14201660,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022079,SAMN25995484,simple,9606,Homo sapiens,GSM5903022,GEO,SRA1210108,02,2022,Han,esophagus,shM1_RPTOR_2_input,esophagus,,esophageal epithelial,METTL3-knockdown;RPTOR overexpression,,,GSM5903022
SRR18049392,23810973,1190548650,50,659,SRX14201661,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022080,SAMN25995485,simple,9606,Homo sapiens,GSM5903023,GEO,SRA1210108,02,2022,Han,esophagus,shM1_RPTOR_2_RNC,esophagus,,esophageal epithelial,METTL4-knockdown;RPTOR overexpression,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,,GSM5903023
SRR18049393,23857767,1192888350,50,671,SRX14201662,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022081,SAMN25995486,simple,9606,Homo sapiens,GSM5903024,GEO,SRA1210108,02,2022,Han,esophagus,shM1_RPTOR_3_input,esophagus,,esophageal epithelial,METTL5-knockdown;RPTOR overexpression,,,GSM5903024
SRR18049394,23817606,1190880300,50,656,SRX14201663,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022082,SAMN25995487,simple,9606,Homo sapiens,GSM5903025,GEO,SRA1210108,02,2022,Han,esophagus,shM1_RPTOR_3_RNC,esophagus,,esophageal epithelial,METTL6-knockdown;RPTOR overexpression,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,,GSM5903025
