Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,common name,dev stage,sample name
ERR3489857,82595292,6277242192,76,3004,ERX3511272,Sphere 3 SSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556001,SAMEA5752542,simple,7955,Danio rerio,SAMEA5752542,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Sphere 3,2020-03-27,2019-07-03,SAMEA5752542,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,5,zebrafish,Sphere,5
ERR3489858,36057799,2740392724,76,1272,ERX3511273,Sphere 3 LSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556001,SAMEA5752542,simple,7955,Danio rerio,SAMEA5752542,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Sphere 3,2020-03-27,2019-07-03,SAMEA5752542,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,5,zebrafish,Sphere,5
ERR3489859,41542676,3157243376,76,1564,ERX3511274,Shield 1 SSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556004,SAMEA5752545,simple,7955,Danio rerio,SAMEA5752545,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 1,2020-03-27,2019-07-03,SAMEA5752545,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,8,zebrafish,Shield,8
ERR3489860,32074736,2437679936,76,1219,ERX3511275,Shield 1 LSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556004,SAMEA5752545,simple,7955,Danio rerio,SAMEA5752545,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 1,2020-03-27,2019-07-03,SAMEA5752545,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,8,zebrafish,Shield,8
ERR3489861,108027675,8210103300,76,3943,ERX3511276,Shield 2 SSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556005,SAMEA5752546,simple,7955,Danio rerio,SAMEA5752546,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 2,2020-03-27,2019-07-03,SAMEA5752546,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,9,zebrafish,Shield,9
ERR3489862,128622329,9775297004,76,4634,ERX3511277,Shield 2 LSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556005,SAMEA5752546,simple,7955,Danio rerio,SAMEA5752546,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 2,2020-03-27,2019-07-03,SAMEA5752546,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,9,zebrafish,Shield,9
ERR3489863,104216052,7920419952,76,3487,ERX3511278,Shield 3 SSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556006,SAMEA5752547,simple,7955,Danio rerio,SAMEA5752547,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 3,2020-03-27,2019-07-03,SAMEA5752547,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,10,zebrafish,Shield,10
ERR3489864,154963422,11777220072,76,5061,ERX3511279,Shield 3 LSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556006,SAMEA5752547,simple,7955,Danio rerio,SAMEA5752547,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 3,2020-03-27,2019-07-03,SAMEA5752547,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,10,zebrafish,Shield,10
ERR3489865,139688222,10616304872,76,4812,ERX3511280,64-cell-4Ei-0.1 SSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556002,SAMEA5752543,simple,7955,Danio rerio,SAMEA5752543,Computational Biology Unit,ERA2100634,04,2020,Makar,"",64-cell-4Ei-0.1,2020-03-27,2019-07-03,SAMEA5752543,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,6,zebrafish,64-cell,6
ERR3489866,88562180,6730725680,76,3027,ERX3511281,64-cell-4Ei-0.1 LSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556002,SAMEA5752543,simple,7955,Danio rerio,SAMEA5752543,Computational Biology Unit,ERA2100634,04,2020,Makar,"",64-cell-4Ei-0.1,2020-03-27,2019-07-03,SAMEA5752543,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,6,zebrafish,64-cell,6
ERR3489867,128586905,9772604780,76,4646,ERX3511282,64-cell-4Ei-10 SSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556003,SAMEA5752544,simple,7955,Danio rerio,SAMEA5752544,Computational Biology Unit,ERA2100634,04,2020,Makar,"",64-cell-4Ei-10,2020-03-27,2019-07-03,SAMEA5752544,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,7,zebrafish,64-cell,7
ERR3489868,78000721,5928054796,76,2821,ERX3511283,64-cell-4Ei-10 SSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556003,SAMEA5752544,simple,7955,Danio rerio,SAMEA5752544,Computational Biology Unit,ERA2100634,04,2020,Makar,"",64-cell-4Ei-10,2020-03-27,2019-07-03,SAMEA5752544,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,7,zebrafish,64-cell,7
ERR3489869,99258269,14987998619,151,6959,ERX3511284,Shield 4(150NT) SSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556007,SAMEA5752548,simple,7955,Danio rerio,SAMEA5752548,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 4(150NT),2020-03-27,2019-07-03,SAMEA5752548,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,11,zebrafish,Shield,11
ERR3489870,159358994,24063208094,151,11143,ERX3511285,Shield 4(150NT) LSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556007,SAMEA5752548,simple,7955,Danio rerio,SAMEA5752548,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 4(150NT),2020-03-27,2019-07-03,SAMEA5752548,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,11,zebrafish,Shield,11
ERR3489871,18873717,1434402492,76,705,ERX3511286,Shield 1 F9,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556004,SAMEA5752545,simple,7955,Danio rerio,SAMEA5752545,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 1,2020-03-27,2019-07-03,SAMEA5752545,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,8,zebrafish,Shield,8
ERR3489872,17580473,1336115948,76,663,ERX3511287,Shield 1 F10,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556004,SAMEA5752545,simple,7955,Danio rerio,SAMEA5752545,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 1,2020-03-27,2019-07-03,SAMEA5752545,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,8,zebrafish,Shield,8
ERR3489873,17166028,1304618128,76,639,ERX3511288,Shield 1 F12,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556004,SAMEA5752545,simple,7955,Danio rerio,SAMEA5752545,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 1,2020-03-27,2019-07-03,SAMEA5752545,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,8,zebrafish,Shield,8
ERR3489874,12916745,981672620,76,490,ERX3511289,Shield 1 F13,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556004,SAMEA5752545,simple,7955,Danio rerio,SAMEA5752545,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 1,2020-03-27,2019-07-03,SAMEA5752545,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,8,zebrafish,Shield,8
ERR3489875,11459903,870952628,76,434,ERX3511290,Shield 1 F14,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556004,SAMEA5752545,simple,7955,Danio rerio,SAMEA5752545,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 1,2020-03-27,2019-07-03,SAMEA5752545,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,8,zebrafish,Shield,8
ERR3489876,12534288,952605888,76,474,ERX3511291,Shield 1 F15,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556004,SAMEA5752545,simple,7955,Danio rerio,SAMEA5752545,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 1,2020-03-27,2019-07-03,SAMEA5752545,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,8,zebrafish,Shield,8
ERR3489877,17955472,1364615872,76,681,ERX3511292,Shield 1 F16,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556004,SAMEA5752545,simple,7955,Danio rerio,SAMEA5752545,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 1,2020-03-27,2019-07-03,SAMEA5752545,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,8,zebrafish,Shield,8
ERR3489878,16571796,1259456496,76,629,ERX3511293,Shield 1 F17,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556004,SAMEA5752545,simple,7955,Danio rerio,SAMEA5752545,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 1,2020-03-27,2019-07-03,SAMEA5752545,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,8,zebrafish,Shield,8
ERR3489879,19822543,1506513268,76,750,ERX3511294,Shield 1 F18,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556004,SAMEA5752545,simple,7955,Danio rerio,SAMEA5752545,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 1,2020-03-27,2019-07-03,SAMEA5752545,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,8,zebrafish,Shield,8
ERR3489880,12252193,931166668,76,469,ERX3511295,Shield 1 F19,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556004,SAMEA5752545,simple,7955,Danio rerio,SAMEA5752545,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 1,2020-03-27,2019-07-03,SAMEA5752545,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,8,zebrafish,Shield,8
ERR3489881,12836561,975578636,76,487,ERX3511296,Shield 1 F20,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556004,SAMEA5752545,simple,7955,Danio rerio,SAMEA5752545,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Shield 1,2020-03-27,2019-07-03,SAMEA5752545,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,8,zebrafish,Shield,8
ERR3841991,19670144,1494930944,76,710,ERX3854553,64-cell-1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3555997,SAMEA5752538,simple,7955,Danio rerio,SAMEA5752538,Computational Biology Unit,ERA2359305,04,2020,Makar,"",64-cell 1,2020-03-27,2019-07-03,SAMEA5752538,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,1,zebrafish,64-cell,1
ERR3841992,15968230,1213585480,76,570,ERX3854554,64-cell-4Ei,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556003,SAMEA5752544,simple,7955,Danio rerio,SAMEA5752544,Computational Biology Unit,ERA2359305,04,2020,Makar,"",64-cell-4Ei-10,2020-03-27,2019-07-03,SAMEA5752544,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,7,zebrafish,64-cell,7
ERR3841993,20780366,1579307816,76,753,ERX3854555,64-cell-3,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3555998,SAMEA5752539,simple,7955,Danio rerio,SAMEA5752539,Computational Biology Unit,ERA2359305,04,2020,Makar,"",64-cell 2,2020-03-27,2019-07-03,SAMEA5752539,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,2,zebrafish,64-cell,2
ERR3841994,17531101,1332363676,76,631,ERX3854556,Sphere-1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3555999,SAMEA5752540,simple,7955,Danio rerio,SAMEA5752540,Computational Biology Unit,ERA2359305,04,2020,Makar,"",Sphere 1,2020-03-27,2019-07-03,SAMEA5752540,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,3,zebrafish,Sphere,3
ERR3841995,20950950,1592272200,76,747,ERX3854557,Sphere-2,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556000,SAMEA5752541,simple,7955,Danio rerio,SAMEA5752541,Computational Biology Unit,ERA2359305,04,2020,Makar,"",Sphere 2,2020-03-27,2019-07-03,SAMEA5752541,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,4,zebrafish,Sphere,4
ERR3841996,18946768,1439954368,76,677,ERX3854558,Sphere-3,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556001,SAMEA5752542,simple,7955,Danio rerio,SAMEA5752542,Computational Biology Unit,ERA2359305,04,2020,Makar,"",Sphere 3,2020-03-27,2019-07-03,SAMEA5752542,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,5,zebrafish,Sphere,5
ERR3841997,16827519,1278891444,76,602,ERX3854559,Shield-1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556004,SAMEA5752545,simple,7955,Danio rerio,SAMEA5752545,Computational Biology Unit,ERA2359305,04,2020,Makar,"",Shield 1,2020-03-27,2019-07-03,SAMEA5752545,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,8,zebrafish,Shield,8
ERR3841998,15636105,1188343980,76,554,ERX3854560,Shield-150NT,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556007,SAMEA5752548,simple,7955,Danio rerio,SAMEA5752548,Computational Biology Unit,ERA2359305,04,2020,Makar,"",Shield 4(150NT),2020-03-27,2019-07-03,SAMEA5752548,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,11,zebrafish,Shield,11
ERR3841999,15374776,1168482976,76,549,ERX3854561,Shield-3,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556006,SAMEA5752547,simple,7955,Danio rerio,SAMEA5752547,Computational Biology Unit,ERA2359305,04,2020,Makar,"",Shield 3,2020-03-27,2019-07-03,SAMEA5752547,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,10,zebrafish,Shield,10
ERR3842000,18891426,1435748376,76,687,ERX3854562,Shield-4Ei,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS4268611,SAMEA6504165,simple,7955,Danio rerio,SAMEA6504165,Computational Biology Unit,ERA2359305,04,2020,Makar,"",Shield-4Ei,2020-03-27,2020-01-27,SAMEA6504165,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:05:06Z,2020-01-27T16:04:35Z,public,Shield-4Ei,zebrafish,,Shield-4Ei
ERR3842001,94132130,7154041880,76,3404,ERX3854563,Shield-4Ei SSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS4268611,SAMEA6504165,simple,7955,Danio rerio,SAMEA6504165,Computational Biology Unit,ERA2359340,04,2020,Makar,"",Shield-4Ei,2020-03-27,2020-01-27,SAMEA6504165,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:05:06Z,2020-01-27T16:04:35Z,public,Shield-4Ei,zebrafish,,Shield-4Ei
ERR3842002,143629308,10915827408,76,5195,ERX3854564,Shield-4Ei LSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS4268611,SAMEA6504165,simple,7955,Danio rerio,SAMEA6504165,Computational Biology Unit,ERA2359340,04,2020,Makar,"",Shield-4Ei,2020-03-27,2020-01-27,SAMEA6504165,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:05:06Z,2020-01-27T16:04:35Z,public,Shield-4Ei,zebrafish,,Shield-4Ei
