Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,treatment
SRR23190695,26140441,1307022050,50,639,SRX19141029,GSM6956692,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553810,SAMN32874445,simple,4932,Saccharomyces cerevisiae,GSM6956692,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"RNA-seq, 25°C [rna_ts_25_3]",whole cell extract,whole cell extract,BY4741 cdc33-ts4-2-HIS3,25degreeC for 1 hour
SRR23190694,18932769,946638450,50,465,SRX19141030,GSM6956693,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553811,SAMN32874444,simple,4932,Saccharomyces cerevisiae,GSM6956693,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"RNA-seq, 37°C [rna_ts_37_1]",whole cell extract,whole cell extract,BY4741 cdc33-ts4-2-HIS3,37degreeC for 1 hour
SRR23190693,15478723,773936150,50,379,SRX19141031,GSM6956694,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553812,SAMN32874443,simple,4932,Saccharomyces cerevisiae,GSM6956694,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"RNA-seq, 37°C [rna_ts_37_2]",whole cell extract,whole cell extract,BY4741 cdc33-ts4-2-HIS3,37degreeC for 1 hour
SRR23190692,16428998,821449900,50,404,SRX19141032,GSM6956695,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553813,SAMN32874442,simple,4932,Saccharomyces cerevisiae,GSM6956695,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"RNA-seq, 37°C [rna_ts_37_3]",whole cell extract,whole cell extract,BY4741 cdc33-ts4-2-HIS3,37degreeC for 1 hour
SRR23190691,13903200,695160000,50,341,SRX19141033,GSM6956696,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553814,SAMN32874441,simple,4932,Saccharomyces cerevisiae,GSM6956696,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"RNA-seq, 25°C [rna_wt_25_1]",whole cell extract,whole cell extract,BY4741 CDC33-HIS3,25degreeC for 1 hour
SRR23190690,15449524,772476200,50,378,SRX19141034,GSM6956697,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553815,SAMN32874440,simple,4932,Saccharomyces cerevisiae,GSM6956697,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"RNA-seq, 25°C [rna_wt_25_2]",whole cell extract,whole cell extract,BY4741 CDC33-HIS3,25degreeC for 1 hour
SRR23190689,18540757,927037850,50,456,SRX19141035,GSM6956698,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553816,SAMN32874439,simple,4932,Saccharomyces cerevisiae,GSM6956698,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"RNA-seq, 25°C [rna_wt_25_3]",whole cell extract,whole cell extract,BY4741 CDC33-HIS3,25degreeC for 1 hour
SRR23190688,16751208,837560400,50,411,SRX19141036,GSM6956699,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553817,SAMN32874438,simple,4932,Saccharomyces cerevisiae,GSM6956699,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"RNA-seq, 37°C [rna_wt_37_1]",whole cell extract,whole cell extract,BY4741 CDC33-HIS3,37degreeC for 1 hour
SRR23190687,19668315,983415750,50,481,SRX19141037,GSM6956700,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553818,SAMN32874437,simple,4932,Saccharomyces cerevisiae,GSM6956700,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"RNA-seq, 37°C [rna_wt_37_2]",whole cell extract,whole cell extract,BY4741 CDC33-HIS3,37degreeC for 1 hour
SRR23190686,16134559,806727950,50,396,SRX19141038,GSM6956701,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553819,SAMN32874436,simple,4932,Saccharomyces cerevisiae,GSM6956701,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"RNA-seq, 37°C [rna_wt_37_3]",whole cell extract,whole cell extract,BY4741 CDC33-HIS3,37degreeC for 1 hour
