Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,time in development,strain,growth protocol,GEO Accession
SRR1041165,6499351,324967550,50,210,SRX385567,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509673,SAMN02428665,simple,6239,Caenorhabditis elegans,GSM1277131,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_34hr,Whole-worm,36 hours,N2,Continuous,GSM1277132
SRR1041166,38762589,1938129450,50,1253,SRX385568,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509675,SAMN02428662,simple,6239,Caenorhabditis elegans,GSM1277132,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_35hr,Whole-worm,37 hours,N2,Continuous,GSM1277133
SRR1041167,50000000,2.5e+09,50,1595,SRX385569,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509674,SAMN02428671,simple,6239,Caenorhabditis elegans,GSM1277133,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_36hr,Whole-worm,1 hour post-dauer,N2,Dauer-exit,GSM1277134
SRR1041168,728105,36405250,50,24,SRX385569,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509674,SAMN02428671,simple,6239,Caenorhabditis elegans,GSM1277133,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_36hr,Whole-worm,2 hours post-dauer,N2,Dauer-exit,GSM1277135
SRR1041169,33409253,1703871903,51,1189,SRX385570,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509676,SAMN02428663,simple,6239,Caenorhabditis elegans,GSM1277134,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_1hr,Whole-worm,3 hours post-dauer,N2,Dauer-exit,GSM1277136
SRR1041170,28813158,1469471058,51,1029,SRX385571,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509677,SAMN02428666,simple,6239,Caenorhabditis elegans,GSM1277135,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_2hr,Whole-worm,4 hours post-dauer,N2,Dauer-exit,GSM1277137
SRR1041171,31587786,1610977086,51,1124,SRX385572,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509678,SAMN02428664,simple,6239,Caenorhabditis elegans,GSM1277136,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_3hr,Whole-worm,5 hours post-dauer,N2,Dauer-exit,GSM1277138
SRR1041172,29391640,1498973640,51,1046,SRX385573,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509679,SAMN02428669,simple,6239,Caenorhabditis elegans,GSM1277137,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_4hr,Whole-worm,6 hours post-dauer,N2,Dauer-exit,GSM1277139
SRR1041173,31109266,1586572566,51,1110,SRX385574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509680,SAMN02428667,simple,6239,Caenorhabditis elegans,GSM1277138,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_5hr,Whole-worm,7 hours post-dauer,N2,Dauer-exit,GSM1277140
SRR1041174,25441953,1297539603,51,909,SRX385575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509681,SAMN02428668,simple,6239,Caenorhabditis elegans,GSM1277139,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_6hr,Whole-worm,8 hours post-dauer,N2,Dauer-exit,GSM1277141
SRR1041175,27309993,1392809643,51,981,SRX385576,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509682,SAMN02428646,simple,6239,Caenorhabditis elegans,GSM1277140,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_7hr,Whole-worm,9 hours post-dauer,N2,Dauer-exit,GSM1277142
SRR1041176,27875358,1421643258,51,997,SRX385577,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509683,SAMN02428645,simple,6239,Caenorhabditis elegans,GSM1277141,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_8hr,Whole-worm,10 hours post-dauer,N2,Dauer-exit,GSM1277143
SRR1041177,31514160,1607222160,51,1126,SRX385578,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509684,SAMN02428648,simple,6239,Caenorhabditis elegans,GSM1277142,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_9hr,Whole-worm,11 hours post-dauer,N2,Dauer-exit,GSM1277144
SRR1041178,28659421,1461630471,51,1027,SRX385579,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509685,SAMN02428651,simple,6239,Caenorhabditis elegans,GSM1277143,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_10hr,Whole-worm,15 hours post-dauer,N2,Dauer-exit,GSM1277148
SRR1041179,30067323,1533433473,51,1073,SRX385580,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509686,SAMN02428670,simple,6239,Caenorhabditis elegans,GSM1277144,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_11hr,Whole-worm,16 hours post-dauer,N2,Dauer-exit,GSM1277149
SRR1041183,27529807,1404020157,51,961,SRX385581,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509687,SAMN02428674,simple,6239,Caenorhabditis elegans,GSM1277148,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_15hr,Whole-worm,17 hours post-dauer,N2,Dauer-exit,GSM1277150
SRR1041184,28077214,1431937914,51,977,SRX385582,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509688,SAMN02428673,simple,6239,Caenorhabditis elegans,GSM1277149,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_16hr,Whole-worm,18 hours post-dauer,N2,Dauer-exit,GSM1277151
SRR1041185,31558571,1609487121,51,1100,SRX385583,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509689,SAMN02428675,simple,6239,Caenorhabditis elegans,GSM1277150,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_17hr,Whole-worm,19 hours post-dauer,N2,Dauer-exit,GSM1277152
SRR1041186,28786832,1468128432,51,1004,SRX385584,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509690,SAMN02428678,simple,6239,Caenorhabditis elegans,GSM1277151,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_18hr,Whole-worm,20 hours post-dauer,N2,Dauer-exit,GSM1277153
SRR1041187,29141637,1486223487,51,1014,SRX385585,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509691,SAMN02428676,simple,6239,Caenorhabditis elegans,GSM1277152,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_19hr,Whole-worm,21 hours post-dauer,N2,Dauer-exit,GSM1277154
SRR1041188,28735845,1465528095,51,1000,SRX385586,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509692,SAMN02428684,simple,6239,Caenorhabditis elegans,GSM1277153,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_20hr,Whole-worm,22 hours post-dauer,N2,Dauer-exit,GSM1277155
SRR1041189,28389596,1447869396,51,990,SRX385587,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509693,SAMN02428682,simple,6239,Caenorhabditis elegans,GSM1277154,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_21hr,Whole-worm,40 hours,glp-4(bn2),Continuous,GSM1277156
SRR1041190,27480999,1401530949,51,958,SRX385588,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509694,SAMN02428687,simple,6239,Caenorhabditis elegans,GSM1277155,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_22hr,Whole-worm,42 hours,glp-4(bn2),Continuous,GSM1277157
SRR1041191,19862442,1012984542,51,712,SRX385589,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509695,SAMN02428680,simple,6239,Caenorhabditis elegans,GSM1277156,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDev_glp-4_40hr,Whole-worm,44 hours,glp-4(bn2),Continuous,GSM1277158
SRR1041192,28278118,1442184018,51,1021,SRX385589,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509695,SAMN02428680,simple,6239,Caenorhabditis elegans,GSM1277156,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDev_glp-4_40hr,Whole-worm,46 hours,glp-4(bn2),Continuous,GSM1277159
SRR1041193,22841618,1164922518,51,813,SRX385590,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509696,SAMN02428686,simple,6239,Caenorhabditis elegans,GSM1277157,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDev_glp-4_42hr,Whole-worm,48 hours,glp-4(bn2),Continuous,GSM1277160
SRR1041194,30720285,1566734535,51,1106,SRX385590,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509696,SAMN02428686,simple,6239,Caenorhabditis elegans,GSM1277157,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDev_glp-4_42hr,Whole-worm,50 hours,glp-4(bn2),Continuous,GSM1277161
SRR1041195,22778892,1161723492,51,816,SRX385591,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509698,SAMN02428679,simple,6239,Caenorhabditis elegans,GSM1277158,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDev_glp-4_44hr,Whole-worm,52 hours,glp-4(bn2),Continuous,GSM1277162
SRR1041196,32134279,1638848229,51,1156,SRX385591,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509698,SAMN02428679,simple,6239,Caenorhabditis elegans,GSM1277158,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDev_glp-4_44hr,Whole-worm,12 hours post-dauer,N2,Dauer-exit,GSM1277145
SRR1041197,21127935,1077524685,51,760,SRX385592,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509697,SAMN02428689,simple,6239,Caenorhabditis elegans,GSM1277159,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDev_glp-4_46hr,Whole-worm,13 hours post-dauer,N2,Dauer-exit,GSM1277146
SRR1041198,28619247,1459581597,51,1035,SRX385592,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509697,SAMN02428689,simple,6239,Caenorhabditis elegans,GSM1277159,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDev_glp-4_46hr,Whole-worm,14 hours post-dauer,N2,Dauer-exit,GSM1277147
SRR1041199,24407418,1244778318,51,853,SRX385593,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509699,SAMN02428683,simple,6239,Caenorhabditis elegans,GSM1277160,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDev_glp-4_48hr,Whole-worm,22 hours,N2,Continuous,GSM1277118
SRR1041200,32588663,1662021813,51,1156,SRX385593,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509699,SAMN02428683,simple,6239,Caenorhabditis elegans,GSM1277160,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDev_glp-4_48hr,Whole-worm,23 hours,N2,Continuous,GSM1277119
SRR1041201,15220020,776221020,51,551,SRX385594,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509700,SAMN02428688,simple,6239,Caenorhabditis elegans,GSM1277161,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDev_glp-4_50hr,Whole-worm,24 hours,N2,Continuous,GSM1277120
SRR1041202,21849135,1114305885,51,793,SRX385594,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509700,SAMN02428688,simple,6239,Caenorhabditis elegans,GSM1277161,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDev_glp-4_50hr,Whole-worm,25 hours,N2,Continuous,GSM1277121
SRR1041203,19522511,995648061,51,698,SRX385595,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509701,SAMN02428685,simple,6239,Caenorhabditis elegans,GSM1277162,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDev_glp-4_52hr,Whole-worm,26 hours,N2,Continuous,GSM1277122
SRR1041204,25355322,1293121422,51,922,SRX385595,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509701,SAMN02428685,simple,6239,Caenorhabditis elegans,GSM1277162,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDev_glp-4_52hr,Whole-worm,27 hours,N2,Continuous,GSM1277123
