Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,condition,molecule,GEO Accession
SRR11041312,40307102,2015355100,50,631,SRX7693082,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118733,SAMN14064658,simple,9606,Homo sapiens,GSM4258302,GEO,SRA1039504,09,2021,Gong,U2392 cell line,RNA_U2392_ctl_48_rep2,U2392 cell line,control,polyA RNA,GSM4258302
SRR11041313,40523677,2026183850,50,634,SRX7693083,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118734,SAMN14064657,simple,9606,Homo sapiens,GSM4258303,GEO,SRA1039504,09,2021,Gong,U2392 cell line,RNA_U2392_sh1_24_rep1,U2392 cell line,DDX3Xsh,polyA RNA,GSM4258303
SRR11041314,48832231,2441611550,50,774,SRX7693084,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118735,SAMN14064656,simple,9606,Homo sapiens,GSM4258304,GEO,SRA1039504,09,2021,Gong,U2392 cell line,RNA_U2392_sh1_24_rep2,U2392 cell line,DDX3Xsh,polyA RNA,GSM4258304
SRR11041315,20797686,1039884300,50,325,SRX7693085,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118736,SAMN14064655,simple,9606,Homo sapiens,GSM4258305,GEO,SRA1039504,09,2021,Gong,U2392 cell line,RNA_U2392_sh2_24_rep1,U2392 cell line,DDX3Xsh,polyA RNA,GSM4258305
SRR11041316,28959686,1447984300,50,462,SRX7693086,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118737,SAMN14064654,simple,9606,Homo sapiens,GSM4258306,GEO,SRA1039504,09,2021,Gong,U2392 cell line,RNA_U2392_sh2_24_rep2,U2392 cell line,DDX3Xsh,polyA RNA,GSM4258306
SRR11041317,30601580,1530079000,50,476,SRX7693087,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118738,SAMN14064653,simple,9606,Homo sapiens,GSM4258307,GEO,SRA1039504,09,2021,Gong,U2392 cell line,RNA_U2392_sh1_48_rep1,U2392 cell line,DDX3Xsh,polyA RNA,GSM4258307
SRR11041318,24161447,1208072350,50,376,SRX7693088,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118739,SAMN14064644,simple,9606,Homo sapiens,GSM4258308,GEO,SRA1039504,09,2021,Gong,U2392 cell line,RNA_U2392_sh2_48_rep1,U2392 cell line,DDX3Xsh,polyA RNA,GSM4258308
SRR11041319,21529718,1076485900,50,321,SRX7693089,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118740,SAMN14064643,simple,9606,Homo sapiens,GSM4258309,GEO,SRA1039504,09,2021,Gong,U2392 cell line,Ribo_U2392_ctl_24_rep1,U2392 cell line,control,Ribosomal footprints,GSM4258309
SRR11041320,121131589,6056579450,50,1918,SRX7693090,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118741,SAMN14064642,simple,9606,Homo sapiens,GSM4258310,GEO,SRA1039504,09,2021,Gong,U2392 cell line,Ribo_U2392_ctl_24_rep2,U2392 cell line,control,Ribosomal footprints,GSM4258310
SRR11041321,70040411,3502020550,50,1077,SRX7693091,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118742,SAMN14064640,simple,9606,Homo sapiens,GSM4258311,GEO,SRA1039504,09,2021,Gong,U2392 cell line,Ribo_U2392_ctl_48_rep1,U2392 cell line,control,Ribosomal footprints,GSM4258311
SRR11041322,100119681,5005984050,50,1577,SRX7693092,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118743,SAMN14064639,simple,9606,Homo sapiens,GSM4258312,GEO,SRA1039504,09,2021,Gong,U2392 cell line,Ribo_U2392_ctl_48_rep2,U2392 cell line,control,Ribosomal footprints,GSM4258312
SRR11041323,105126875,5256343750,50,1593,SRX7693093,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118744,SAMN14064638,simple,9606,Homo sapiens,GSM4258313,GEO,SRA1039504,09,2021,Gong,U2392 cell line,Ribo_U2392_sh1_24_rep1,U2392 cell line,DDX3Xsh,Ribosomal footprints,GSM4258313
SRR11041324,132752199,6637609950,50,2086,SRX7693094,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118745,SAMN14064637,simple,9606,Homo sapiens,GSM4258314,GEO,SRA1039504,09,2021,Gong,U2392 cell line,Ribo_U2392_sh1_24_rep2,U2392 cell line,DDX3Xsh,Ribosomal footprints,GSM4258314
SRR11041325,64494847,3224742350,50,979,SRX7693095,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118746,SAMN14064636,simple,9606,Homo sapiens,GSM4258315,GEO,SRA1039504,09,2021,Gong,U2392 cell line,Ribo_U2392_sh2_24_rep1,U2392 cell line,DDX3Xsh,Ribosomal footprints,GSM4258315
SRR11041326,139014467,6950723350,50,2173,SRX7693096,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118747,SAMN14064635,simple,9606,Homo sapiens,GSM4258316,GEO,SRA1039504,09,2021,Gong,U2392 cell line,Ribo_U2392_sh2_24_rep2,U2392 cell line,DDX3Xsh,Ribosomal footprints,GSM4258316
SRR11041327,93598689,4679934450,50,1440,SRX7693097,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118748,SAMN14064634,simple,9606,Homo sapiens,GSM4258317,GEO,SRA1039504,09,2021,Gong,U2392 cell line,Ribo_U2392_sh1_48_rep1,U2392 cell line,DDX3Xsh,Ribosomal footprints,GSM4258317
SRR11041328,80724704,4036235200,50,1255,SRX7693098,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247659,PRJNA605444,34437837,"",SRS6118749,SAMN14064633,simple,9606,Homo sapiens,GSM4258318,GEO,SRA1039504,09,2021,Gong,U2392 cell line,Ribo_U2392_sh1_48_rep2,U2392 cell line,DDX3Xsh,Ribosomal footprints,GSM4258318
