Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,host,collection_date,geo_loc_name,sample_type,collected_by,detailed_experiment,BioSampleModel
SRR8144025,8904528,2401015432,134,886,SRX4964668,Trp_100uM_R1_bin1,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004274,SAMN10358610,simple,562,Escherichia coli,Trp_100uM_R1_bin1,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_100uM_replicate1_bin1,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 100uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin1 (the strongest (GFP reporter)/(mCherry control)) by FACS,"Microbe, viral or environmental"
SRR8144024,9717903,2619829417,134,1000,SRX4964669,Trp_500uM_R1_bin6,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004275,SAMN10358627,simple,562,Escherichia coli,Trp_500uM_R1_bin6,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_500uM_replicate1_bin6,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 500uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin6 (the weakest (GFP reporter)/(mCherry control)) by FACS,"Microbe, viral or environmental"
SRR8144023,12287087,3313624789,134,1185,SRX4964670,Trp_100uM_R1_bin6,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004276,SAMN10358615,simple,562,Escherichia coli,Trp_100uM_R1_bin6,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_100uM_replicate1_bin6,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 100uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin6 (the weakest (GFP reporter)/(mCherry control)) by FACS,"Microbe, viral or environmental"
SRR8144022,11662098,3146589209,134,1106,SRX4964671,Trp_100uM_R1_bin5,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004277,SAMN10358614,simple,562,Escherichia coli,Trp_100uM_R1_bin5,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_100uM_replicate1_bin5,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 100uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin5 (bin6 < (GFP reporter)/(mCherry control) < bin4) by FACS,"Microbe, viral or environmental"
SRR8144021,8602919,2320687864,134,867,SRX4964672,Trp_500uM_R1_bin5,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004278,SAMN10358626,simple,562,Escherichia coli,Trp_500uM_R1_bin5,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_500uM_replicate1_bin5,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 500uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin5 (bin6 < (GFP reporter)/(mCherry control) < bin4) by FACS,"Microbe, viral or environmental"
SRR8144020,8303374,2240386731,134,826,SRX4964673,Trp_500uM_R2_bin2,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004279,SAMN10358629,simple,562,Escherichia coli,Trp_500uM_R2_bin2,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_500uM_replicate2_bin2,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 500uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin2 (bin3 < (GFP reporter)/(mCherry control) < bin1) by FACS,"Microbe, viral or environmental"
SRR8144019,10489774,2829723498,134,1035,SRX4964674,Trp_500uM_R2_bin1,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004280,SAMN10358628,simple,562,Escherichia coli,Trp_500uM_R2_bin1,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_500uM_replicate2_bin1,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 500uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin1 (the strongest (GFP reporter)/(mCherry control)) by FACS,"Microbe, viral or environmental"
SRR8144018,11583950,3122820516,134,1198,SRX4964675,Trp_0uM_R1_bin6,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004281,SAMN10358603,simple,562,Escherichia coli,Trp_0uM_R1_bin6,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_0uM_replicate1_bin6,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 0uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin6 (the weakest (GFP reporter)/(mCherry control)) by FACS,"Microbe, viral or environmental"
SRR8144017,13331868,3593783278,134,1387,SRX4964676,Trp_0uM_R1_bin5,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004282,SAMN10358602,simple,562,Escherichia coli,Trp_0uM_R1_bin5,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_0uM_replicate1_bin5,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 0uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin5 (bin6 < (GFP reporter)/(mCherry control) < bin4) by FACS,"Microbe, viral or environmental"
SRR8144016,10367921,2795319191,134,1055,SRX4964677,Trp_0uM_R1_bin4,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004283,SAMN10358601,simple,562,Escherichia coli,Trp_0uM_R1_bin4,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_0uM_replicate1_bin4,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 0uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin4 (bin5 < (GFP reporter)/(mCherry control) < bin3) by FACS,"Microbe, viral or environmental"
SRR8144015,13029160,3514368315,134,1435,SRX4964678,Trp_0uM_R1_bin3,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004284,SAMN10358600,simple,562,Escherichia coli,Trp_0uM_R1_bin3,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_0uM_replicate1_bin3,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 0uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin3 (bin4 < (GFP reporter)/(mCherry control) < bin2) by FACS,"Microbe, viral or environmental"
SRR8144014,15277069,4121104981,134,1649,SRX4964679,Trp_0uM_R1_bin2,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004285,SAMN10358599,simple,562,Escherichia coli,Trp_0uM_R1_bin2,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_0uM_replicate1_bin2,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 0uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin2 (bin3 < (GFP reporter)/(mCherry control) < bin1) by FACS,"Microbe, viral or environmental"
SRR8144013,14641849,3949002894,134,1561,SRX4964680,Trp_0uM_R1_bin1,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004286,SAMN10358598,simple,562,Escherichia coli,Trp_0uM_R1_bin1,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_0uM_replicate1_bin1,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 0uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin1 (the strongest (GFP reporter)/(mCherry control)) by FACS,"Microbe, viral or environmental"
SRR8144012,14693121,3963107647,134,1578,SRX4964681,Before_treatment_R2,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004288,SAMN10358597,simple,562,Escherichia coli,Before_treatment_R2,Tsinghua University,SRA801834,12,2018,Makar,"",Cells_carrying_tnaCLib_Before_Trp_treatment_replicate2,K12 MG1655,bacteria,2017-01-16,China,cell culture,Xiang Zheng,"The cells carrying tnaC mutant library prior to tryptophan treatment and FACS, used to quantify the abundance of each mutant in the library, replicate = biological replicate 2","Microbe, viral or environmental"
SRR8144011,14476790,3906429015,135,1551,SRX4964682,Before_treatment_R1,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004287,SAMN10358596,simple,562,Escherichia coli,Before_treatment_R1,Tsinghua University,SRA801834,12,2018,Makar,"",Cells_carrying_tnaCLib_Before_Trp_treatment_replicate1,K12 MG1655,bacteria,2017-01-16,China,cell culture,Xiang Zheng,"The cells carrying tnaC mutant library prior to tryptophan treatment and FACS, used to quantify the abundance of each mutant in the library, replicate = biological replicate 1","Microbe, viral or environmental"
SRR8144010,10830162,2919698501,134,1118,SRX4964683,Trp_0uM_R2_bin2,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004289,SAMN10358605,simple,562,Escherichia coli,Trp_0uM_R2_bin2,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_0uM_replicate2_bin2,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 0uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin2 (bin3 < (GFP reporter)/(mCherry control) < bin1) by FACS,"Microbe, viral or environmental"
SRR8144009,12042102,3247228192,134,1236,SRX4964684,Trp_0uM_R2_bin1,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004290,SAMN10358604,simple,562,Escherichia coli,Trp_0uM_R2_bin1,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_0uM_replicate2_bin1,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 0uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin1 (the strongest (GFP reporter)/(mCherry control)) by FACS,"Microbe, viral or environmental"
SRR8144008,8945380,2410781201,134,920,SRX4964685,Trp_500uM_R2_bin5,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004291,SAMN10358632,simple,562,Escherichia coli,Trp_500uM_R2_bin5,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_500uM_replicate2_bin5,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 500uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin5 (bin6 < (GFP reporter)/(mCherry control) < bin4) by FACS,"Microbe, viral or environmental"
SRR8144007,13434039,3622697731,134,1329,SRX4964686,Trp_500uM_R1_bin1,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004292,SAMN10358622,simple,562,Escherichia coli,Trp_500uM_R1_bin1,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_500uM_replicate1_bin1,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 500uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin1 (the strongest (GFP reporter)/(mCherry control)) by FACS,"Microbe, viral or environmental"
SRR8144006,11067163,2984167938,134,1080,SRX4964687,Trp_500uM_R1_bin2,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004293,SAMN10358623,simple,562,Escherichia coli,Trp_500uM_R1_bin2,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_500uM_replicate1_bin2,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 500uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin2 (bin3 < (GFP reporter)/(mCherry control) < bin1) by FACS,"Microbe, viral or environmental"
SRR8144005,12864168,3468580163,134,1268,SRX4964688,Trp_100uM_R2_bin5,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004294,SAMN10358620,simple,562,Escherichia coli,Trp_100uM_R2_bin5,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_100uM_replicate2_bin5,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 100uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin5 (bin6 < (GFP reporter)/(mCherry control) < bin4) by FACS,"Microbe, viral or environmental"
SRR8144004,16068474,4332831756,134,1600,SRX4964689,Trp_100uM_R2_bin6,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004295,SAMN10358621,simple,562,Escherichia coli,Trp_100uM_R2_bin6,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_100uM_replicate2_bin6,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 100uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin6 (the weakest (GFP reporter)/(mCherry control)) by FACS,"Microbe, viral or environmental"
SRR8144003,11281824,3041132041,134,1124,SRX4964690,Trp_100uM_R2_bin3,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004296,SAMN10358618,simple,562,Escherichia coli,Trp_100uM_R2_bin3,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_100uM_replicate2_bin3,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 100uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin3 (bin4 < (GFP reporter)/(mCherry control) < bin2) by FACS,"Microbe, viral or environmental"
SRR8144002,10666718,2875870928,134,1050,SRX4964691,Trp_100uM_R2_bin4,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004298,SAMN10358619,simple,562,Escherichia coli,Trp_100uM_R2_bin4,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_100uM_replicate2_bin4,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 100uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin4 (bin5 < (GFP reporter)/(mCherry control) < bin3) by FACS,"Microbe, viral or environmental"
SRR8144001,11582025,3124575772,134,1125,SRX4964692,Trp_100uM_R2_bin1,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004297,SAMN10358616,simple,562,Escherichia coli,Trp_100uM_R2_bin1,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_100uM_replicate2_bin1,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 100uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin1 (the strongest (GFP reporter)/(mCherry control)) by FACS,"Microbe, viral or environmental"
SRR8144000,10755167,2901530916,134,1058,SRX4964693,Trp_100uM_R2_bin2,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004301,SAMN10358617,simple,562,Escherichia coli,Trp_100uM_R2_bin2,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_100uM_replicate2_bin2,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 100uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin2 (bin3 < (GFP reporter)/(mCherry control) < bin1) by FACS,"Microbe, viral or environmental"
SRR8143999,9682642,2612566305,134,964,SRX4964694,Trp_500uM_R1_bin3,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004299,SAMN10358624,simple,562,Escherichia coli,Trp_500uM_R1_bin3,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_500uM_replicate1_bin3,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 500uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin3 (bin4 < (GFP reporter)/(mCherry control) < bin2) by FACS,"Microbe, viral or environmental"
SRR8143998,10616958,2863385194,134,1051,SRX4964695,Trp_500uM_R1_bin4,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004300,SAMN10358625,simple,562,Escherichia coli,Trp_500uM_R1_bin4,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_500uM_replicate1_bin4,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 500uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin4 (bin5 < (GFP reporter)/(mCherry control) < bin3) by FACS,"Microbe, viral or environmental"
