Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,age,genotype,GEO Accession
SRR11851783,61316729,18395018700,150,6585,SRX8401901,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714668,SAMN15027775,simple,10090,Mus musculus,GSM4568853,GEO,SRA1080034,08,2020,Pandey,Brain,RR866_mouse_adult_Brain_WT,Brain,adult,WT,GSM4568853
SRR11851784,63778807,19133642100,150,6840,SRX8401902,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714669,SAMN15027774,simple,10090,Mus musculus,GSM4568854,GEO,SRA1080034,08,2020,Pandey,Brain,RR867_mouse_adult_Brain_WT,Brain,adult,WT,GSM4568854
SRR11851785,62547331,18764199300,150,6731,SRX8401903,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714670,SAMN15027773,simple,10090,Mus musculus,GSM4568855,GEO,SRA1080034,08,2020,Pandey,Brain,RR868_mouse_adult_Brain_WT,Brain,adult,WT,GSM4568855
SRR11851786,63407065,19022119500,150,6831,SRX8401904,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714671,SAMN15027772,simple,10090,Mus musculus,GSM4568856,GEO,SRA1080034,08,2020,Pandey,Brain,RR869_mouse_adult_Brain_KO,Brain,adult,KO,GSM4568856
SRR11851787,64485092,19345527600,150,6896,SRX8401905,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714672,SAMN15027771,simple,10090,Mus musculus,GSM4568857,GEO,SRA1080034,08,2020,Pandey,Brain,RR870_mouse_adult_Brain_KO,Brain,adult,KO,GSM4568857
SRR11851788,61304044,18391213200,150,6538,SRX8401906,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714673,SAMN15027770,simple,10090,Mus musculus,GSM4568858,GEO,SRA1080034,08,2020,Pandey,Brain,RR871_mouse_adult_Brain_KO,Brain,adult,KO,GSM4568858
SRR11851789,33057462,2479309650,75,849,SRX8401907,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714674,SAMN15027769,simple,10090,Mus musculus,GSM4568859,GEO,SRA1080034,08,2020,Pandey,Brain,RR880_RF_mouse_adult_Brain_input_WT,Brain,adult,WT,GSM4568859
SRR11851790,32054905,2404117875,75,831,SRX8401908,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714675,SAMN15027768,simple,10090,Mus musculus,GSM4568860,GEO,SRA1080034,08,2020,Pandey,Brain,RR881_RF_mouse_adult_Brain_input_WT,Brain,adult,WT,GSM4568860
SRR11851791,30864720,2314854000,75,814,SRX8401909,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714676,SAMN15027767,simple,10090,Mus musculus,GSM4568861,GEO,SRA1080034,08,2020,Pandey,Brain,RR882_RF_mouse_adult_Brain_input_WT,Brain,adult,WT,GSM4568861
SRR11851792,31498850,2362413750,75,796,SRX8401910,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714677,SAMN15027766,simple,10090,Mus musculus,GSM4568862,GEO,SRA1080034,08,2020,Pandey,Brain,RR883_RF_mouse_adult_Brain_RF_WT,Brain,adult,WT,GSM4568862
SRR11851793,30971352,2322851400,75,775,SRX8401911,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714678,SAMN15027765,simple,10090,Mus musculus,GSM4568863,GEO,SRA1080034,08,2020,Pandey,Brain,RR884_RF_mouse_adult_Brain_RF_WT,Brain,adult,WT,GSM4568863
SRR11851794,31833598,2387519850,75,800,SRX8401912,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714679,SAMN15027764,simple,10090,Mus musculus,GSM4568864,GEO,SRA1080034,08,2020,Pandey,Brain,RR885_RF_mouse_adult_Brain_RF_WT,Brain,adult,WT,GSM4568864
SRR11851795,34899190,2617439250,75,911,SRX8401913,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714680,SAMN15027763,simple,10090,Mus musculus,GSM4568865,GEO,SRA1080034,08,2020,Pandey,Brain,RR886_RF_mouse_adult_Brain_input_KO,Brain,adult,KO,GSM4568865
SRR11851796,29574120,2218059000,75,745,SRX8401914,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714681,SAMN15027762,simple,10090,Mus musculus,GSM4568866,GEO,SRA1080034,08,2020,Pandey,Brain,RR887_RF_mouse_adult_Brain_input_KO,Brain,adult,KO,GSM4568866
SRR11851797,35805891,2685441825,75,925,SRX8401915,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714682,SAMN15027761,simple,10090,Mus musculus,GSM4568867,GEO,SRA1080034,08,2020,Pandey,Brain,RR888_RF_mouse_adult_Brain_input_KO,Brain,adult,KO,GSM4568867
SRR11851798,32004861,2400364575,75,794,SRX8401916,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714683,SAMN15027760,simple,10090,Mus musculus,GSM4568868,GEO,SRA1080034,08,2020,Pandey,Brain,RR889_RF_mouse_adult_Brain_RF_KO,Brain,adult,KO,GSM4568868
SRR11851799,30148256,2261119200,75,789,SRX8401917,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714684,SAMN15027754,simple,10090,Mus musculus,GSM4568869,GEO,SRA1080034,08,2020,Pandey,Brain,RR890_RF_mouse_adult_Brain_RF_KO,Brain,adult,KO,GSM4568869
SRR11851800,33013833,2476037475,75,833,SRX8401918,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714685,SAMN15027753,simple,10090,Mus musculus,GSM4568870,GEO,SRA1080034,08,2020,Pandey,Brain,RR891_RF_mouse_adult_Brain_RF_KO,Brain,adult,KO,GSM4568870
SRR11851816,30673661,3067366100,100,1071,SRX8401934,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714701,SAMN15027735,simple,10090,Mus musculus,GSM4568886,GEO,SRA1080034,08,2020,Pandey,Testes,RR926_m6Am_mouse_adult_Testes_input_HET,Testes,adult,HET,GSM4568886
SRR11851817,25310066,2531006600,100,885,SRX8401935,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714702,SAMN15027733,simple,10090,Mus musculus,GSM4568887,GEO,SRA1080034,08,2020,Pandey,Testes,RR927_m6Am_mouse_adult_Testes_input_HET,Testes,adult,HET,GSM4568887
SRR11851818,29785781,2978578100,100,1046,SRX8401936,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714703,SAMN15027731,simple,10090,Mus musculus,GSM4568888,GEO,SRA1080034,08,2020,Pandey,Testes,RR928_m6Am_mouse_adult_Testes_input_HET,Testes,adult,HET,GSM4568888
SRR11851819,26281227,2628122700,100,925,SRX8401937,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714704,SAMN15027729,simple,10090,Mus musculus,GSM4568889,GEO,SRA1080034,08,2020,Pandey,Testes,RR929_m6Am_mouse_adult_Testes_input_KO,Testes,adult,KO,GSM4568889
SRR11851820,32250689,3225068900,100,1132,SRX8401938,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714705,SAMN15027728,simple,10090,Mus musculus,GSM4568890,GEO,SRA1080034,08,2020,Pandey,Testes,RR930_m6Am_mouse_adult_Testes_input_KO,Testes,adult,KO,GSM4568890
SRR11851821,30023099,3002309900,100,1059,SRX8401939,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714706,SAMN15027727,simple,10090,Mus musculus,GSM4568891,GEO,SRA1080034,08,2020,Pandey,Testes,RR931_m6Am_mouse_adult_Testes_input_KO,Testes,adult,KO,GSM4568891
SRR11851822,18692920,1869292000,100,666,SRX8401940,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714707,SAMN15027726,simple,10090,Mus musculus,GSM4568892,GEO,SRA1080034,08,2020,Pandey,Testes,RR932_m6Am_mouse_adult_Testes_m6A_IP_HET,Testes,adult,HET,GSM4568892
SRR11851823,34000973,3400097300,100,1197,SRX8401941,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714708,SAMN15027725,simple,10090,Mus musculus,GSM4568893,GEO,SRA1080034,08,2020,Pandey,Testes,RR933_m6Am_mouse_adult_Testes_m6A_IP_HET,Testes,adult,HET,GSM4568893
SRR11851824,24785244,2478524400,100,878,SRX8401942,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714709,SAMN15027724,simple,10090,Mus musculus,GSM4568894,GEO,SRA1080034,08,2020,Pandey,Testes,RR934_m6Am_mouse_adult_Testes_m6A_IP_HET,Testes,adult,HET,GSM4568894
SRR11851825,21998438,2199843800,100,777,SRX8401943,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714710,SAMN15027723,simple,10090,Mus musculus,GSM4568895,GEO,SRA1080034,08,2020,Pandey,Testes,RR935_m6Am_mouse_adult_Testes_m6A_IP_KO,Testes,adult,KO,GSM4568895
SRR11851826,22163525,2216352500,100,829,SRX8401944,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714711,SAMN15027777,simple,10090,Mus musculus,GSM4568896,GEO,SRA1080034,08,2020,Pandey,Testes,RR936_m6Am_mouse_adult_Testes_m6A_IP_KO,Testes,adult,KO,GSM4568896
SRR11851827,30861324,3086132400,100,1091,SRX8401945,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP264836,PRJNA635159,32814042,"",SRS6714712,SAMN15027776,simple,10090,Mus musculus,GSM4568897,GEO,SRA1080034,08,2020,Pandey,Testes,RR937_m6Am_mouse_adult_Testes_m6A_IP_KO,Testes,adult,KO,GSM4568897
