Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,rna source,genotype,genotype/variation,molecule subtype,GEO Accession
SRR8830780,35601250,2314081250,65,1168,SRX5619084,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4571386,SAMN11309241,simple,4932,Saccharomyces cerevisiae,GSM3700976,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,slh1ski2_rep1,Whole Cells,Ribosome Protected mRNA (15-34 nt),slh1 ski2,,,GSM3700976
SRR9309991,27899875,1394993750,50,729,SRX6077640,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4979449,SAMN12077189,simple,4932,Saccharomyces cerevisiae,GSM3893141,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,cue2dom34ski2_rep2,Whole Cells,,,cue2dom34ski2,Ribosome Protected mRNA (15-34 nt),GSM3893141
SRR9309992,32421230,1621061500,50,842,SRX6077641,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4979450,SAMN12077188,simple,4932,Saccharomyces cerevisiae,GSM3893142,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,cue2slh1dom34ski2_rep4,Whole Cells,,,cue2slh1dom34ski2,Ribosome Protected mRNA (15-34 nt),GSM3893142
SRR9309993,32628004,1631400200,50,850,SRX6077642,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4979451,SAMN12077187,simple,4932,Saccharomyces cerevisiae,GSM3893143,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,dom34ski2_rep2,Whole Cells,,,dom34ski2,Ribosome Protected mRNA (15-34 nt),GSM3893143
SRR9309994,29594040,1479702000,50,773,SRX6077643,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4979452,SAMN12077186,simple,4932,Saccharomyces cerevisiae,GSM3893144,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,hel2dom34ski2_rep2,Whole Cells,,,hel2dom34ski2,Ribosome Protected mRNA (15-34 nt),GSM3893144
SRR9309995,49536287,2476814350,50,1274,SRX6077644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4979453,SAMN12077185,simple,4932,Saccharomyces cerevisiae,GSM3893145,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,hel2slh1dom34ski2_rep2,Whole Cells,,,hel2slh1dom34ski2,Ribosome Protected mRNA (15-34 nt),GSM3893145
SRR9309996,35830172,1791508600,50,933,SRX6077645,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4979454,SAMN12077184,simple,4932,Saccharomyces cerevisiae,GSM3893146,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,slh1dom34ski2_rep2,Whole Cells,,,slh1dom34ski2,Ribosome Protected mRNA (40-80 nt),GSM3893146
SRR9309997,27324687,1366234350,50,716,SRX6077646,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4979455,SAMN12077183,simple,4932,Saccharomyces cerevisiae,GSM3893147,GEO,SRA868051,06,2019,D'Orazio,Whole Cells,slh1ski2_rep2,Whole Cells,,,slh1ski2,Ribosome Protected mRNA (15-34 nt),GSM3893147
SRR9309998,78228738,9387448560,120,4862,SRX6077647,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4979456,SAMN12077182,simple,4932,Saccharomyces cerevisiae,GSM3893148,GEO,SRA868051,06,2019,D'Orazio,isolated tirsome fractions,noEtrisome,isolated tirsome fractions,,,,Ribosome Protected mRNA (15-90 nt),GSM3893148
SRR9309999,85522545,10262705400,120,5313,SRX6077648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4979457,SAMN12077181,simple,4932,Saccharomyces cerevisiae,GSM3893149,GEO,SRA868051,06,2019,D'Orazio,isolated tirsome fractions,SMRtrisome,isolated tirsome fractions,,,,Ribosome Protected mRNA (15-90 nt),GSM3893149
SRR9310000,81140182,9736821840,120,5037,SRX6077649,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190019,PRJNA530200,31219035,"",SRS4979458,SAMN12077180,simple,4932,Saccharomyces cerevisiae,GSM3893150,GEO,SRA868051,06,2019,D'Orazio,isolated tirsome fractions,R402Atrisome,isolated tirsome fractions,,,,Ribosome Protected mRNA (15-90 nt),GSM3893150
