Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,type,age,genotype,geo_loc_name,collection_date
SRR24972831,108585136,16287770400,75,6955,SRX20730402,GSM7500732,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021348,SAMN35811008,simple,10090,Mus musculus,GSM7500732,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E7-5_KO3,Embryo,gene expression profiling,E7.5,KO,missing,missing
SRR24972830,57474519,8621177850,75,3679,SRX20730403,GSM7500733,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021350,SAMN35811007,simple,10090,Mus musculus,GSM7500733,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E7-5_KO4,Embryo,gene expression profiling,E7.5,KO,missing,missing
SRR24972829,84283512,12642526800,75,5086,SRX20730404,GSM7500734,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021349,SAMN35811006,simple,10090,Mus musculus,GSM7500734,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E7-5_WT1,Embryo,gene expression profiling,E7.5,WT,missing,missing
SRR24972828,180370,27055500,75,11,SRX20730405,GSM7500735,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021357,SAMN35811005,simple,10090,Mus musculus,GSM7500735,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E7-5_WT2,Embryo,gene expression profiling,E7.5,WT,missing,missing
SRR24972827,71984647,10797697050,75,4372,SRX20730406,GSM7500736,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021356,SAMN35811004,simple,10090,Mus musculus,GSM7500736,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E7-5_WT3,Embryo,gene expression profiling,E7.5,WT,missing,missing
SRR24972826,83710007,12556501050,75,5025,SRX20730407,GSM7500737,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021352,SAMN35811003,simple,10090,Mus musculus,GSM7500737,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E7-5_WT4,Embryo,gene expression profiling,E7.5,WT,missing,missing
SRR24972825,101020009,12728521134,63,3708,SRX20730408,GSM7500738,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021361,SAMN35811002,simple,10090,Mus musculus,GSM7500738,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,11ctrl,Liver,gene expression profiling,Day2 expt-1stbatch,control,missing,missing
SRR24972824,72616359,9149661234,63,2665,SRX20730409,GSM7500739,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021353,SAMN35811001,simple,10090,Mus musculus,GSM7500739,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,12ctrl,Liver,gene expression profiling,Day2 expt-1stbatch,control,missing,missing
SRR24972823,81799463,10306732338,63,3007,SRX20730410,GSM7500740,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021355,SAMN35811000,simple,10090,Mus musculus,GSM7500740,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,14ctrl,Liver,gene expression profiling,Day2 expt-1stbatch,control,missing,missing
SRR24972822,85041035,10715170410,63,3115,SRX20730411,GSM7500741,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021366,SAMN35810999,simple,10090,Mus musculus,GSM7500741,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,11c1cKOliv,Liver,gene expression profiling,Day2 expt-1stbatch,cKO,missing,missing
SRR24972821,102687055,12938568930,63,3758,SRX20730412,GSM7500742,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021358,SAMN35810998,simple,10090,Mus musculus,GSM7500742,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,12c1cKOliv,Liver,gene expression profiling,Day2 expt-1stbatch,cKO,missing,missing
SRR24972820,74711285,9413621910,63,2752,SRX20730413,GSM7500743,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021362,SAMN35810997,simple,10090,Mus musculus,GSM7500743,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,13c1cKOliv,Liver,gene expression profiling,Day2 expt-1stbatch,cKO,missing,missing
SRR24972819,65837771,8295559146,63,2416,SRX20730414,GSM7500744,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021363,SAMN35810996,simple,10090,Mus musculus,GSM7500744,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,14c1cKOliv,Liver,gene expression profiling,Day2 expt-1stbatch,cKO,missing,missing
SRR24972818,79064254,10436481528,66,3209,SRX20730415,GSM7500745,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021359,SAMN35810995,simple,10090,Mus musculus,GSM7500745,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo21,Liver,gene expression profiling,Day2 expt-2ndbatch,control,missing,missing
SRR24972817,72578235,9580327020,66,2956,SRX20730416,GSM7500746,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021360,SAMN35810994,simple,10090,Mus musculus,GSM7500746,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo22,Liver,gene expression profiling,Day2 expt-2ndbatch,control,missing,missing
SRR24972816,101321669,13374460308,66,4122,SRX20730417,GSM7500747,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021364,SAMN35810993,simple,10090,Mus musculus,GSM7500747,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo25,Liver,gene expression profiling,Day2 expt-2ndbatch,control,missing,missing
SRR24972815,126006371,16632840972,66,5079,SRX20730418,GSM7500748,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021371,SAMN35810992,simple,10090,Mus musculus,GSM7500748,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo26,Liver,gene expression profiling,Day2 expt-2ndbatch,control,missing,missing
SRR24972814,94450730,12467496360,66,3855,SRX20730419,GSM7500749,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021367,SAMN35810991,simple,10090,Mus musculus,GSM7500749,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo17,Liver,gene expression profiling,Day2 expt-2ndbatch,cKO,missing,missing
SRR24972813,117914647,15564733404,66,4804,SRX20730420,GSM7500750,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021368,SAMN35810990,simple,10090,Mus musculus,GSM7500750,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo18,Liver,gene expression profiling,Day2 expt-2ndbatch,cKO,missing,missing
SRR24972812,113886773,15033054036,66,4622,SRX20730421,GSM7500751,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021365,SAMN35810989,simple,10090,Mus musculus,GSM7500751,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo29,Liver,gene expression profiling,Day2 expt-2ndbatch,cKO,missing,missing
SRR24972811,97330461,12847620852,66,3807,SRX20730422,GSM7500752,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021372,SAMN35810988,simple,10090,Mus musculus,GSM7500752,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo5,Liver,gene expression profiling,Day6 expt-2ndbatch,control,missing,missing
SRR24972810,84329985,11131558020,66,3294,SRX20730423,GSM7500753,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021373,SAMN35810987,simple,10090,Mus musculus,GSM7500753,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo6,Liver,gene expression profiling,Day6 expt-2ndbatch,control,missing,missing
SRR24972809,63683694,8406247608,66,2482,SRX20730424,GSM7500754,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021369,SAMN35810986,simple,10090,Mus musculus,GSM7500754,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo7,Liver,gene expression profiling,Day6 expt-2ndbatch,control,missing,missing
SRR24972808,86025348,11355345936,66,3357,SRX20730425,GSM7500755,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021370,SAMN35810985,simple,10090,Mus musculus,GSM7500755,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo8,Liver,gene expression profiling,Day6 expt-2ndbatch,control,missing,missing
SRR24972807,71044210,9377835720,66,2763,SRX20730426,GSM7500756,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021378,SAMN35810984,simple,10090,Mus musculus,GSM7500756,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo12,Liver,gene expression profiling,Day6 expt-2ndbatch,cKO,missing,missing
SRR24972806,74273102,9804049464,66,2903,SRX20730427,GSM7500757,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021374,SAMN35810983,simple,10090,Mus musculus,GSM7500757,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo13,Liver,gene expression profiling,Day6 expt-2ndbatch,cKO,missing,missing
SRR24972805,92403609,12197276388,66,3619,SRX20730428,GSM7500758,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021375,SAMN35810982,simple,10090,Mus musculus,GSM7500758,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo1,Liver,gene expression profiling,Day6 expt-2ndbatch,cKO,missing,missing
SRR24972804,102243306,13496116392,66,4159,SRX20730429,GSM7500759,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021383,SAMN35810981,simple,10090,Mus musculus,GSM7500759,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo27,Liver,gene expression profiling,Day6 expt-2ndbatch,cKO,missing,missing
SRR24972803,83858065,11069264580,66,3374,SRX20730430,GSM7500760,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021376,SAMN35810980,simple,10090,Mus musculus,GSM7500760,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo28,Liver,gene expression profiling,Day6 expt-2ndbatch,cKO,missing,missing
SRR24972802,90041160,11885433120,66,3539,SRX20730431,GSM7500761,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021388,SAMN35810979,simple,10090,Mus musculus,GSM7500761,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo2,Liver,gene expression profiling,Day6 expt-2ndbatch,cKO,missing,missing
SRR24972801,95788724,12644111568,66,3726,SRX20730432,GSM7500762,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021381,SAMN35810978,simple,10090,Mus musculus,GSM7500762,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo3,Liver,gene expression profiling,Day6 expt-2ndbatch,cKO,missing,missing
SRR24972800,81888780,10809318960,66,3181,SRX20730433,GSM7500763,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021380,SAMN35810977,simple,10090,Mus musculus,GSM7500763,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo4,Liver,gene expression profiling,Day6 expt-2ndbatch,cKO,missing,missing
SRR24972799,86726077,11447842164,66,3522,SRX20730434,GSM7500764,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021377,SAMN35810976,simple,10090,Mus musculus,GSM7500764,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo30,Liver,gene expression profiling,Day22 expt-2ndbatch,control,missing,missing
SRR24972798,81706754,10785291528,66,3191,SRX20730435,GSM7500765,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021379,SAMN35810975,simple,10090,Mus musculus,GSM7500765,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo14,Liver,gene expression profiling,Day22 expt-2ndbatch,control,missing,missing
SRR24972797,94614595,12489126540,66,3686,SRX20730436,GSM7500766,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021400,SAMN35810974,simple,10090,Mus musculus,GSM7500766,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo15,Liver,gene expression profiling,Day22 expt-2ndbatch,control,missing,missing
SRR24972796,69806471,9214454172,66,2731,SRX20730437,GSM7500767,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021382,SAMN35810973,simple,10090,Mus musculus,GSM7500767,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo16,Liver,gene expression profiling,Day22 expt-2ndbatch,control,missing,missing
SRR24972795,82233224,10854785568,66,3207,SRX20730438,GSM7500768,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021385,SAMN35810972,simple,10090,Mus musculus,GSM7500768,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo10,Liver,gene expression profiling,Day22 expt-2ndbatch,cKO,missing,missing
SRR24972794,84065377,11096629764,66,3290,SRX20730439,GSM7500769,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021386,SAMN35810971,simple,10090,Mus musculus,GSM7500769,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo11,Liver,gene expression profiling,Day22 expt-2ndbatch,cKO,missing,missing
SRR24972793,99328927,13111418364,66,3911,SRX20730440,GSM7500770,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021384,SAMN35810970,simple,10090,Mus musculus,GSM7500770,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Liver,MiDo9,Liver,gene expression profiling,Day22 expt-2ndbatch,cKO,missing,missing
SRR24972792,73056539,9205123914,63,2695,SRX20730441,GSM7500771,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP444904,PRJNA985729,37436893,"",SRS18021407,SAMN35810969,simple,9606,Homo sapiens,GSM7500771,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,HAP1 cells,11hap1KO,HAP1 cells,gene expression profiling,cell culture,KO,missing,missing
SRR24972791,83455006,10515330756,63,3107,SRX20730442,GSM7500772,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP444904,PRJNA985729,37436893,"",SRS18021387,SAMN35810968,simple,9606,Homo sapiens,GSM7500772,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,HAP1 cells,12hap1KO,HAP1 cells,gene expression profiling,cell culture,KO,missing,missing
SRR24972790,147985070,9323059410,,2774,SRX20730443,GSM7500773,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP444904,PRJNA985729,37436893,"",SRS18021389,SAMN35810967,simple,9606,Homo sapiens,GSM7500773,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,HAP1 cells,13hap1KO,HAP1 cells,gene expression profiling,cell culture,KO,missing,missing
SRR24972789,82972876,10454582376,63,3125,SRX20730444,GSM7500774,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP444904,PRJNA985729,37436893,"",SRS18021390,SAMN35810966,simple,9606,Homo sapiens,GSM7500774,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,HAP1 cells,14hap1KO,HAP1 cells,gene expression profiling,cell culture,KO,missing,missing
SRR24972788,88417077,11140551702,63,3311,SRX20730445,GSM7500775,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP444904,PRJNA985729,37436893,"",SRS18021391,SAMN35810965,simple,9606,Homo sapiens,GSM7500775,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,HAP1 cells,11hap1WT,HAP1 cells,gene expression profiling,cell culture,WT,missing,missing
SRR24972787,101184569,6374627847,63,1909,SRX20730446,GSM7500776,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP444904,PRJNA985729,37436893,"",SRS18021418,SAMN35810964,simple,9606,Homo sapiens,GSM7500776,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,HAP1 cells,12hap1WT,HAP1 cells,gene expression profiling,cell culture,WT,missing,missing
SRR24972786,96551644,12165507144,63,3591,SRX20730447,GSM7500777,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP444904,PRJNA985729,37436893,"",SRS18021392,SAMN35810963,simple,9606,Homo sapiens,GSM7500777,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,HAP1 cells,13hap1WT,HAP1 cells,gene expression profiling,cell culture,WT,missing,missing
SRR24972785,77639067,9782522442,63,2851,SRX20730448,GSM7500778,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP444904,PRJNA985729,37436893,"",SRS18021393,SAMN35810962,simple,9606,Homo sapiens,GSM7500778,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,HAP1 cells,14hap1WT,HAP1 cells,gene expression profiling,cell culture,WT,missing,missing
SRR24972784,33217554,3321755400,100,1243,SRX20730449,GSM7500779,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021394,SAMN35810961,simple,10090,Mus musculus,GSM7500779,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E6_5_Cmtr2_33_WT,Embryo,gene expression profiling,E6.5,WT,missing,missing
SRR24972783,22012025,2201202500,100,841,SRX20730450,GSM7500780,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP444904,PRJNA985729,37436893,"",SRS18021395,SAMN35810960,simple,10090,Mus musculus,GSM7500780,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E6_5_Cmtr2_62_WT,Embryo,gene expression profiling,E6.5,WT,missing,missing
