Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,molecule type,treatment,GEO Accession
SRR3328255,24289445,1214472250,50,711,SRX1676731,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372569,SAMN04604719,simple,9606,Homo sapiens,GSM2107430,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493_3_RF,P493 cell line,,,,GSM2745774
SRR3328256,25782315,1289115750,50,792,SRX1676732,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372568,SAMN04604720,simple,9606,Homo sapiens,GSM2107431,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493tet_1_RF,P493 cell line,,,,GSM2745775
SRR3328257,26055261,1302763050,50,804,SRX1676732,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372568,SAMN04604720,simple,9606,Homo sapiens,GSM2107431,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493tet_1_RF,P493 cell line,,,,GSM2745776
SRR3328258,33734737,1686736850,50,1021,SRX1676733,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372570,SAMN04604721,simple,9606,Homo sapiens,GSM2107432,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493tet_2_RF,P493 cell line,,,,GSM2745777
SRR3328259,34048456,1702422800,50,1037,SRX1676733,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372570,SAMN04604721,simple,9606,Homo sapiens,GSM2107432,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493tet_2_RF,P493 cell line,,,,GSM2745778
SRR3328260,34505796,1725289800,50,1051,SRX1676734,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372567,SAMN04604722,simple,9606,Homo sapiens,GSM2107433,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493tet_3_RF,P493 cell line,,,,GSM2745779
SRR3328261,34848371,1742418550,50,1058,SRX1676734,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372567,SAMN04604722,simple,9606,Homo sapiens,GSM2107433,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493tet_3_RF,P493 cell line,,,,GSM2745780
SRR5938216,96186392,9618639200,50,5762,SRX3098104,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434428,SAMN07511560,simple,9606,Homo sapiens,GSM2745771,GEO,SRA403832,04,2019,Singh,P493 cell line,P493_1_plus_HR,P493 cell line,P493,Total RNA,,GSM2107424
SRR5938217,97115971,8102126850,50,4718,SRX3098104,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434428,SAMN07511560,simple,9606,Homo sapiens,GSM2745771,GEO,SRA403832,04,2019,Singh,P493 cell line,P493_1_plus_HR,P493 cell line,P493,Total RNA,,GSM2107425
SRR5938218,87381051,8738105100,50,5200,SRX3098105,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434429,SAMN07511569,simple,9606,Homo sapiens,GSM2745772,GEO,SRA403832,04,2019,Singh,P493 cell line,P493_2_plus_HR,P493 cell line,P493,Total RNA,tetracycline (0.1 uM),GSM2107426
SRR5938219,87918277,7117192600,50,4163,SRX3098105,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434429,SAMN07511569,simple,9606,Homo sapiens,GSM2745772,GEO,SRA403832,04,2019,Singh,P493 cell line,P493_2_plus_HR,P493 cell line,P493,Total RNA,tetracycline (0.1 uM),GSM2107427
SRR5938220,25454017,1272700850,50,806,SRX3098106,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434430,SAMN07511568,simple,9606,Homo sapiens,GSM2745773,GEO,SRA403832,04,2019,Singh,P493 cell line,P493_1_plus_HR_RF,P493 cell line,P493,Ribosome protected RNA,,GSM2107428
SRR5938221,26034621,1301731050,50,821,SRX3098106,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434430,SAMN07511568,simple,9606,Homo sapiens,GSM2745773,GEO,SRA403832,04,2019,Singh,P493 cell line,P493_1_plus_HR_RF,P493 cell line,P493,Ribosome protected RNA,,GSM2107429
SRR5938222,36874811,1843740550,50,1216,SRX3098107,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434431,SAMN07511567,simple,9606,Homo sapiens,GSM2745774,GEO,SRA403832,04,2019,Singh,P493 cell line,P493_2_plus_HR_RF,P493 cell line,P493,Ribosome protected RNA,,GSM2107430
SRR5938223,37205981,1860299050,50,1232,SRX3098107,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434431,SAMN07511567,simple,9606,Homo sapiens,GSM2745774,GEO,SRA403832,04,2019,Singh,P493 cell line,P493_2_plus_HR_RF,P493 cell line,P493,Ribosome protected RNA,tetracycline (0.1 uM),GSM2107431
SRR5938224,33943681,1697184050,,1095,SRX3098108,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434432,SAMN07511566,simple,9606,Homo sapiens,GSM2745775,GEO,SRA403832,04,2019,Singh,P493 cell line,P493_3_plus_HR_RF,P493 cell line,P493,Ribosome protected RNA,tetracycline (0.1 uM),GSM2107432
SRR5938225,34260531,1713026550,50,1111,SRX3098108,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434432,SAMN07511566,simple,9606,Homo sapiens,GSM2745775,GEO,SRA403832,04,2019,Singh,P493 cell line,P493_3_plus_HR_RF,P493 cell line,P493,Ribosome protected RNA,tetracycline (0.1 uM),GSM2107433
SRR5938226,45817341,4581734100,50,2744,SRX3098109,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434433,SAMN07511565,simple,9606,Homo sapiens,GSM2745776,GEO,SRA403832,04,2019,Singh,P493 cell line,Ptet_1_plus_HR,P493 cell line,,,,GSM2745771
SRR5938227,45974337,4597433700,50,2741,SRX3098109,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434433,SAMN07511565,simple,9606,Homo sapiens,GSM2745776,GEO,SRA403832,04,2019,Singh,P493 cell line,Ptet_1_plus_HR,P493 cell line,,,,GSM2745772
SRR5938228,51514729,5151472900,50,3068,SRX3098110,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434434,SAMN07511564,simple,9606,Homo sapiens,GSM2745777,GEO,SRA403832,04,2019,Singh,P493 cell line,Ptet_2_plus_HR,P493 cell line,,,,GSM2745773
SRR5938229,51629778,5162977800,50,3063,SRX3098110,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434434,SAMN07511564,simple,9606,Homo sapiens,GSM2745777,GEO,SRA403832,04,2019,Singh,P493 cell line,Ptet_2_plus_HR,P493 cell line,,,,GSM2745774
SRR5938230,28824513,1441225650,50,916,SRX3098111,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434435,SAMN07511563,simple,9606,Homo sapiens,GSM2745778,GEO,SRA403832,04,2019,Singh,P493 cell line,Ptet_1_plus_HR_RF,P493 cell line,,,,GSM2745775
SRR5938231,29088360,1454418000,50,923,SRX3098111,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434435,SAMN07511563,simple,9606,Homo sapiens,GSM2745778,GEO,SRA403832,04,2019,Singh,P493 cell line,Ptet_1_plus_HR_RF,P493 cell line,,,,GSM2745776
SRR5938232,30813359,1540667950,50,983,SRX3098112,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434436,SAMN07511562,simple,9606,Homo sapiens,GSM2745779,GEO,SRA403832,04,2019,Singh,P493 cell line,Ptet_2_plus_HR_RF,P493 cell line,,,,GSM2745777
SRR5938233,31039387,1551969350,50,990,SRX3098112,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434436,SAMN07511562,simple,9606,Homo sapiens,GSM2745779,GEO,SRA403832,04,2019,Singh,P493 cell line,Ptet_2_plus_HR_RF,P493 cell line,,,,GSM2745778
SRR5938234,16814688,840734400,50,536,SRX3098113,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434437,SAMN07511561,simple,9606,Homo sapiens,GSM2745780,GEO,SRA403832,04,2019,Singh,P493 cell line,Ptet_3_plus_HR_RF,P493 cell line,,,,GSM2745779
SRR5938235,16945128,847256400,50,540,SRX3098113,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS2434437,SAMN07511561,simple,9606,Homo sapiens,GSM2745780,GEO,SRA403832,04,2019,Singh,P493 cell line,Ptet_3_plus_HR_RF,P493 cell line,,,,GSM2745780
