Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,geo_loc_name,collection_date
SRR22356457,10866243,717172038,66,258,SRX18327370,GSM6744626,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816627,SAMN31814852,simple,9606,Homo sapiens,GSM6744626,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, RNA_04h_rep1",HCT116,HCT116,DDX3X_Degron_04h,missing,missing
SRR22356456,43114158,2845534428,66,952,SRX18327371,GSM6744627,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816626,SAMN31814851,simple,9606,Homo sapiens,GSM6744627,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, Ribo_04h_rep2",HCT116,HCT116,DDX3X_Degron_04h,missing,missing
SRR22356455,13433217,886592322,66,320,SRX18327372,GSM6744628,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816628,SAMN31814850,simple,9606,Homo sapiens,GSM6744628,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, RNA_04h_rep2",HCT116,HCT116,DDX3X_Degron_04h,missing,missing
SRR22356454,51121671,3374030286,66,1123,SRX18327373,GSM6744629,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816629,SAMN31814849,simple,9606,Homo sapiens,GSM6744629,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, Ribo_08h_rep1",HCT116,HCT116,DDX3X_Degron_08h,missing,missing
SRR22356453,11016806,727109196,66,261,SRX18327374,GSM6744630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816630,SAMN31814848,simple,9606,Homo sapiens,GSM6744630,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, RNA_08h_rep1",HCT116,HCT116,DDX3X_Degron_08h,missing,missing
SRR22356452,52482514,3463845924,66,1161,SRX18327375,GSM6744631,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816631,SAMN31814847,simple,9606,Homo sapiens,GSM6744631,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, Ribo_08h_rep2",HCT116,HCT116,DDX3X_Degron_08h,missing,missing
SRR22356451,14590240,962955840,66,348,SRX18327376,GSM6744632,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816632,SAMN31814846,simple,9606,Homo sapiens,GSM6744632,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, RNA_08h_rep2",HCT116,HCT116,DDX3X_Degron_08h,missing,missing
SRR22356450,47237126,3117650316,66,1052,SRX18327377,GSM6744633,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816633,SAMN31814845,simple,9606,Homo sapiens,GSM6744633,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, Ribo_DMSO_rep1",HCT116,HCT116,DDX3X_Degron_DMSO,missing,missing
SRR22356449,14673939,968479974,66,347,SRX18327378,GSM6744634,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816634,SAMN31814844,simple,9606,Homo sapiens,GSM6744634,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, RNA_DMSO_rep1",HCT116,HCT116,DDX3X_Degron_DMSO,missing,missing
SRR22356448,63557088,4194767808,66,1393,SRX18327379,GSM6744635,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816635,SAMN31814843,simple,9606,Homo sapiens,GSM6744635,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, Ribo_DMSO_rep2",HCT116,HCT116,DDX3X_Degron_DMSO,missing,missing
SRR22356447,16956673,1119140418,66,403,SRX18327380,GSM6744636,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816636,SAMN31814842,simple,9606,Homo sapiens,GSM6744636,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, RNA_DMSO_rep2",HCT116,HCT116,DDX3X_Degron_DMSO,missing,missing
SRR22356446,36627769,5494165350,150,2231,SRX18327381,GSM6744637,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816637,SAMN31814841,simple,9606,Homo sapiens,GSM6744637,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, SLAM_Degron_0h_rep1",HCT116,HCT116,SLAM_labeling_DDX3X_Degron_0h,missing,missing
SRR22356445,42580738,6387110700,150,2569,SRX18327382,GSM6744638,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816638,SAMN31814840,simple,9606,Homo sapiens,GSM6744638,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, SLAM_Degron_0h_rep2",HCT116,HCT116,SLAM_labeling_DDX3X_Degron_0h,missing,missing
SRR22356444,20774782,3116217300,150,1297,SRX18327383,GSM6744639,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816639,SAMN31814839,simple,9606,Homo sapiens,GSM6744639,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, SLAM_Degron_8h_rep1",HCT116,HCT116,SLAM_labeling_DDX3X_Degron_8h,missing,missing
SRR22356443,21715683,3257352450,150,1316,SRX18327384,GSM6744640,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816640,SAMN31814838,simple,9606,Homo sapiens,GSM6744640,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, SLAM_Degron_8h_rep2",HCT116,HCT116,SLAM_labeling_DDX3X_Degron_8h,missing,missing
SRR22356442,35596684,5339502600,150,2225,SRX18327385,GSM6744641,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816641,SAMN31814837,simple,9606,Homo sapiens,GSM6744641,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, SLAM_DMSO_0h_rep1",HCT116,HCT116,SLAM_labeling_DMSO_0h,missing,missing
SRR22356441,42698861,6404829150,150,2606,SRX18327386,GSM6744642,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816642,SAMN31814836,simple,9606,Homo sapiens,GSM6744642,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, SLAM_DMSO_0h_rep2",HCT116,HCT116,SLAM_labeling_DMSO_0h,missing,missing
SRR22356440,39071484,5860722600,150,2359,SRX18327387,GSM6744643,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816643,SAMN31814835,simple,9606,Homo sapiens,GSM6744643,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, SLAM_DMSO_8h_rep1",HCT116,HCT116,SLAM_labeling_DMSO_8h,missing,missing
SRR22356439,10106329,1515949350,150,617,SRX18327388,GSM6744644,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816644,SAMN31814834,simple,9606,Homo sapiens,GSM6744644,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, SLAM_DMSO_8h_rep2",HCT116,HCT116,SLAM_labeling_DMSO_8h,missing,missing
SRR22356438,20123787,3018568050,150,1219,SRX18327389,GSM6744645,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816645,SAMN31814833,simple,9606,Homo sapiens,GSM6744645,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, SLAM_nolabeling_rep1",HCT116,HCT116,SLAM_No_labeling,missing,missing
SRR22356437,38036630,5705494500,150,2409,SRX18327390,GSM6744646,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816646,SAMN31814832,simple,9606,Homo sapiens,GSM6744646,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, SLAM_nolabeling_rep2",HCT116,HCT116,SLAM_No_labeling,missing,missing
