Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell cycle phase,molecule subtype,GEO Accession
SRR2536838,43426912,2214772512,51,1104,SRX1295646,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094436,SAMN04122427,simple,9606,Homo sapiens,GSM1898010,GEO,SRA302029,09,2016,Makar,HeLa S3_M_Ribo-Seq Exp1,M Ribo-Seq Exp1 Rep1,HeLa S3_G1_RNA-Seq Exp1,HeLa S3 cells,G1 phase,Total mRNA (RNA-seq),GSM1898016
SRR2536839,50627792,2582017392,51,1310,SRX1295647,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094446,SAMN04122428,simple,9606,Homo sapiens,GSM1898011,GEO,SRA302029,09,2016,Makar,HeLa S3_M_Ribo-Seq Exp1,M Ribo-Seq Exp1 Rep2,HeLa S3_G1_RNA-Seq Exp2,HeLa S3 cells,G1 phase,Total mRNA (RNA-seq),GSM1898017
SRR2536840,16000000,8.16e+08,51,416,SRX1295648,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094444,SAMN04122429,simple,9606,Homo sapiens,GSM1898012,GEO,SRA302029,09,2016,Makar,HeLa S3_M_Ribo-Seq Exp1,M Ribo-Seq Exp1 Rep3,HeLa S3_G1_Ribo-Seq Exp1,HeLa S3 cells,G1 phase,ribosome-protected fragments (Ribo-seq),GSM1898018
SRR2536841,7523334,383690034,51,193,SRX1295648,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094444,SAMN04122429,simple,9606,Homo sapiens,GSM1898012,GEO,SRA302029,09,2016,Makar,HeLa S3_M_Ribo-Seq Exp1,M Ribo-Seq Exp1 Rep3,HeLa S3_G1_Ribo-Seq Exp1,HeLa S3 cells,G1 phase,ribosome-protected fragments (Ribo-seq),GSM1898019
SRR2536842,16000000,8.16e+08,51,397,SRX1295649,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094445,SAMN04122430,simple,9606,Homo sapiens,GSM1898013,GEO,SRA302029,09,2016,Makar,HeLa S3_M_Ribo-Seq Exp2,M Ribo-Seq Exp2 Rep1,HeLa S3_G1_Ribo-Seq Exp1,HeLa S3 cells,G1 phase,ribosome-protected fragments (Ribo-seq),GSM1898020
SRR2536843,16000000,8.16e+08,51,400,SRX1295649,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094445,SAMN04122430,simple,9606,Homo sapiens,GSM1898013,GEO,SRA302029,09,2016,Makar,HeLa S3_M_Ribo-Seq Exp2,M Ribo-Seq Exp2 Rep1,HeLa S3_G1_Ribo-Seq Exp2,HeLa S3 cells,G1 phase,ribosome-protected fragments (Ribo-seq),GSM1898021
SRR2536844,16000000,8.16e+08,51,400,SRX1295649,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094445,SAMN04122430,simple,9606,Homo sapiens,GSM1898013,GEO,SRA302029,09,2016,Makar,HeLa S3_M_Ribo-Seq Exp2,M Ribo-Seq Exp2 Rep1,HeLa S3_M_RNA-Seq Exp1,HeLa S3 cells,M phase,Total mRNA (RNA-seq),GSM1898006
SRR2536845,16000000,8.16e+08,51,393,SRX1295649,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094445,SAMN04122430,simple,9606,Homo sapiens,GSM1898013,GEO,SRA302029,09,2016,Makar,HeLa S3_M_Ribo-Seq Exp2,M Ribo-Seq Exp2 Rep1,HeLa S3_M_RNA-Seq Exp1,HeLa S3 cells,M phase,Total mRNA (RNA-seq),GSM1898007
SRR2536846,5844327,298060677,51,149,SRX1295649,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094445,SAMN04122430,simple,9606,Homo sapiens,GSM1898013,GEO,SRA302029,09,2016,Makar,HeLa S3_M_Ribo-Seq Exp2,M Ribo-Seq Exp2 Rep1,HeLa S3_M_RNA-Seq Exp1,HeLa S3 cells,M phase,Total mRNA (RNA-seq),GSM1898008
SRR2536847,45945452,2343218052,51,1152,SRX1295650,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094443,SAMN04122431,simple,9606,Homo sapiens,GSM1898014,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_RNA-Seq Exp1,G1 RNA-Seq Exp1 Rep1,HeLa S3_M_RNA-Seq Exp2,HeLa S3 cells,M phase,Total mRNA (RNA-seq),GSM1898009
SRR2536848,59570067,3038073417,51,1518,SRX1295651,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094442,SAMN04122432,simple,9606,Homo sapiens,GSM1898015,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_RNA-Seq Exp1,G1 RNA-Seq Exp1 Rep2,HeLa S3_M_Ribo-Seq Exp1,HeLa S3 cells,M phase,ribosome-protected fragments (Ribo-seq),GSM1898010
SRR2536849,16000000,8.16e+08,51,404,SRX1295652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094441,SAMN04122433,simple,9606,Homo sapiens,GSM1898016,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_RNA-Seq Exp1,G1 RNA-Seq Exp1 Rep3,HeLa S3_M_Ribo-Seq Exp1,HeLa S3 cells,M phase,ribosome-protected fragments (Ribo-seq),GSM1898011
SRR2536850,16000000,8.16e+08,51,404,SRX1295652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094441,SAMN04122433,simple,9606,Homo sapiens,GSM1898016,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_RNA-Seq Exp1,G1 RNA-Seq Exp1 Rep3,HeLa S3_M_Ribo-Seq Exp1,HeLa S3 cells,M phase,ribosome-protected fragments (Ribo-seq),GSM1898012
SRR2536851,16000000,8.16e+08,51,402,SRX1295652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094441,SAMN04122433,simple,9606,Homo sapiens,GSM1898016,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_RNA-Seq Exp1,G1 RNA-Seq Exp1 Rep3,HeLa S3_M_Ribo-Seq Exp2,HeLa S3 cells,M phase,ribosome-protected fragments (Ribo-seq),GSM1898013
SRR2536852,8325174,424583874,51,210,SRX1295652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094441,SAMN04122433,simple,9606,Homo sapiens,GSM1898016,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_RNA-Seq Exp1,G1 RNA-Seq Exp1 Rep3,HeLa S3_G1_RNA-Seq Exp1,HeLa S3 cells,G1 phase,Total mRNA (RNA-seq),GSM1898014
SRR2536853,16000000,8.16e+08,51,396,SRX1295653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094434,SAMN04122434,simple,9606,Homo sapiens,GSM1898017,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_RNA-Seq Exp2,G1 RNA-Seq Exp2 Rep1,HeLa S3_G1_RNA-Seq Exp1,HeLa S3 cells,G1 phase,Total mRNA (RNA-seq),GSM1898015
SRR2536854,220057,11222907,51,5,SRX1295653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094434,SAMN04122434,simple,9606,Homo sapiens,GSM1898017,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_RNA-Seq Exp2,G1 RNA-Seq Exp2 Rep1,HeLa S3_G1_RNA-Seq Exp1,HeLa S3 cells,G1 phase,Total mRNA (RNA-seq),GSM1898016
SRR2536855,16000000,8.16e+08,51,393,SRX1295653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094434,SAMN04122434,simple,9606,Homo sapiens,GSM1898017,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_RNA-Seq Exp2,G1 RNA-Seq Exp2 Rep1,HeLa S3_G1_RNA-Seq Exp2,HeLa S3 cells,G1 phase,Total mRNA (RNA-seq),GSM1898017
SRR2536856,66513563,3392191713,51,1687,SRX1295654,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094440,SAMN04122435,simple,9606,Homo sapiens,GSM1898018,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_Ribo-Seq Exp1,G1 Ribo-Seq Exp1 Rep1,HeLa S3_G1_Ribo-Seq Exp1,HeLa S3 cells,G1 phase,ribosome-protected fragments (Ribo-seq),GSM1898018
SRR2536857,56321998,2872421898,51,1457,SRX1295655,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094439,SAMN04122436,simple,9606,Homo sapiens,GSM1898019,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_Ribo-Seq Exp1,G1 Ribo-Seq Exp1 Rep2,HeLa S3_G1_Ribo-Seq Exp1,HeLa S3 cells,G1 phase,ribosome-protected fragments (Ribo-seq),GSM1898019
SRR2536858,16000000,8.16e+08,51,411,SRX1295656,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094438,SAMN04122437,simple,9606,Homo sapiens,GSM1898020,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_Ribo-Seq Exp1,G1 Ribo-Seq Exp1 Rep3,HeLa S3_G1_Ribo-Seq Exp1,HeLa S3 cells,G1 phase,ribosome-protected fragments (Ribo-seq),GSM1898020
SRR2536859,16000000,8.16e+08,51,410,SRX1295656,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094438,SAMN04122437,simple,9606,Homo sapiens,GSM1898020,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_Ribo-Seq Exp1,G1 Ribo-Seq Exp1 Rep3,HeLa S3_G1_Ribo-Seq Exp2,HeLa S3 cells,G1 phase,ribosome-protected fragments (Ribo-seq),GSM1898021
SRR2536860,16000000,8.16e+08,51,409,SRX1295656,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094438,SAMN04122437,simple,9606,Homo sapiens,GSM1898020,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_Ribo-Seq Exp1,G1 Ribo-Seq Exp1 Rep3,HeLa S3_M_RNA-Seq Exp1,HeLa S3 cells,M phase,Total mRNA (RNA-seq),GSM1898006
SRR2536861,16000000,8.16e+08,51,407,SRX1295656,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094438,SAMN04122437,simple,9606,Homo sapiens,GSM1898020,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_Ribo-Seq Exp1,G1 Ribo-Seq Exp1 Rep3,HeLa S3_M_RNA-Seq Exp1,HeLa S3 cells,M phase,Total mRNA (RNA-seq),GSM1898007
SRR2536862,13192584,672821784,,334,SRX1295656,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094438,SAMN04122437,simple,9606,Homo sapiens,GSM1898020,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_Ribo-Seq Exp1,G1 Ribo-Seq Exp1 Rep3,HeLa S3_M_RNA-Seq Exp1,HeLa S3 cells,M phase,Total mRNA (RNA-seq),GSM1898008
SRR2536863,16000000,8.16e+08,51,393,SRX1295657,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094437,SAMN04122438,simple,9606,Homo sapiens,GSM1898021,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_Ribo-Seq Exp2,G1 Ribo-Seq Exp2 Rep1,HeLa S3_M_RNA-Seq Exp2,HeLa S3 cells,M phase,Total mRNA (RNA-seq),GSM1898009
SRR2536864,16000000,8.16e+08,51,395,SRX1295657,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094437,SAMN04122438,simple,9606,Homo sapiens,GSM1898021,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_Ribo-Seq Exp2,G1 Ribo-Seq Exp2 Rep1,HeLa S3_M_Ribo-Seq Exp1,HeLa S3 cells,M phase,ribosome-protected fragments (Ribo-seq),GSM1898010
SRR2536865,16000000,8.16e+08,51,397,SRX1295657,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094437,SAMN04122438,simple,9606,Homo sapiens,GSM1898021,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_Ribo-Seq Exp2,G1 Ribo-Seq Exp2 Rep1,HeLa S3_M_Ribo-Seq Exp1,HeLa S3 cells,M phase,ribosome-protected fragments (Ribo-seq),GSM1898011
SRR2536866,16000000,8.16e+08,51,388,SRX1295657,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094437,SAMN04122438,simple,9606,Homo sapiens,GSM1898021,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_Ribo-Seq Exp2,G1 Ribo-Seq Exp2 Rep1,HeLa S3_M_Ribo-Seq Exp1,HeLa S3 cells,M phase,ribosome-protected fragments (Ribo-seq),GSM1898012
SRR2536867,6888123,351294273,51,174,SRX1295657,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094437,SAMN04122438,simple,9606,Homo sapiens,GSM1898021,GEO,SRA302029,09,2016,Makar,HeLa S3_G1_Ribo-Seq Exp2,G1 Ribo-Seq Exp2 Rep1,HeLa S3_M_Ribo-Seq Exp2,HeLa S3 cells,M phase,ribosome-protected fragments (Ribo-seq),GSM1898013
