Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line/type,genotype,treatment,umi,molecule subtype,GEO Accession
SRR14323373,56782647,4305609293,75,1697,SRX10678499,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772293,SAMN18870194,simple,9606,Homo sapiens,GSM5264849,GEO,SRA1223561,05,2021,Soto,"Myocytes (Myoblasts, 2 days post-differentiation induction)",Myocyte-4_RNAseq,"Myocytes (Myoblasts, 2 days post-differentiation induction)","Myocytes (Myoblasts, 2 days post-differentiation induction)",WT,"treated with 0.4 ug/mL dexamethasone (Sigma, CAT D4902)","5' 4 nt, 3' 6 nt",rRNA-depleted total RNA,GSM5264849
SRR14323374,4915540,1337633848,135,787,SRX10678500,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP316314,PRJNA725118,35945592,"",SRS8772294,SAMN18870193,simple,9606,Homo sapiens,GSM5264850,GEO,SRA1223561,05,2021,Soto,HeLa S3,Hela-5_RNAseq,HeLa S3,HeLa S3,WT,untreated,none,rRNA-depleted total RNA,GSM5264850
SRR14323375,4008888,1070983063,133,637,SRX10678501,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP316314,PRJNA725118,35945592,"",SRS8772296,SAMN18870192,simple,9606,Homo sapiens,GSM5264851,GEO,SRA1223561,05,2021,Soto,HeLa S3,Hela-6_RNAseq,HeLa S3,HeLa S3,WT,untreated,none,rRNA-depleted total RNA,GSM5264851
SRR14323376,88877839,6733410386,75,2624,SRX10678502,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772295,SAMN18870188,simple,9606,Homo sapiens,GSM5264852,GEO,SRA1223561,05,2021,Soto,HEK293,HEK-1_RNAseq,HEK293,HEK293,WT,untreated,"5' 4 nt, 3' 10 nt",rRNA-depleted total RNA,GSM5264852
SRR14323377,94223228,7136638048,75,2792,SRX10678503,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772297,SAMN18870187,simple,9606,Homo sapiens,GSM5264853,GEO,SRA1223561,05,2021,Soto,HEK293,HEK-2_RNAseq,HEK293,HEK293,WT,untreated,"5' 4 nt, 3' 10 nt",rRNA-depleted total RNA,GSM5264853
SRR14323378,55102606,4187798056,76,1750,SRX10678504,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772298,SAMN18870186,simple,9606,Homo sapiens,GSM5264854,GEO,SRA1223561,05,2021,Soto,HEK293,HEK-3_RNAseq,HEK293,HEK293,WT,untreated,"5' 4 nt, 3' 10 nt",rRNA-depleted total RNA,GSM5264854
SRR14323379,73091652,5554965552,76,2294,SRX10678505,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772299,SAMN18870185,simple,9606,Homo sapiens,GSM5264855,GEO,SRA1223561,05,2021,Soto,HEK293,HEK-4_RNAseq,HEK293,HEK293,WT,untreated,"5' 4 nt, 3' 10 nt",rRNA-depleted total RNA,GSM5264855
SRR14323380,75614911,5745637715,75,2240,SRX10678506,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772300,SAMN18870184,simple,9606,Homo sapiens,GSM5264856,GEO,SRA1223561,05,2021,Soto,"Myoblasts, anonymous donor",Myoblast-5_cytoRP,"Myoblasts, anonymous donor","Myoblasts, anonymous donor",WT,untreated,"5' 4 nt, 3' 6 nt",cytoribosome protected fragments,GSM5264856
SRR14323381,78480634,5962948016,75,2331,SRX10678507,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772301,SAMN18870191,simple,9606,Homo sapiens,GSM5264857,GEO,SRA1223561,05,2021,Soto,"Myoblasts, anonymous donor",Myoblast-6_cytoRP,"Myoblasts, anonymous donor","Myoblasts, anonymous donor",WT,untreated,"5' 4 nt, 3' 6 nt",cytoribosome protected fragments,GSM5264857
SRR14323382,69931059,5312552904,75,2077,SRX10678508,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772302,SAMN18870190,simple,9606,Homo sapiens,GSM5264858,GEO,SRA1223561,05,2021,Soto,"Myocytes (Myoblasts, 2 days post-differentiation induction)",Myocyte-5_cytoRP,"Myocytes (Myoblasts, 2 days post-differentiation induction)","Myocytes (Myoblasts, 2 days post-differentiation induction)",WT,"treated with 0.4 ug/mL dexamethasone (Sigma, CAT D4902)","5' 4 nt, 3' 6 nt",cytoribosome protected fragments,GSM5264858
SRR14323383,77449322,5884708024,75,2299,SRX10678509,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772303,SAMN18870189,simple,9606,Homo sapiens,GSM5264859,GEO,SRA1223561,05,2021,Soto,"Myocytes (Myoblasts, 2 days post-differentiation induction)",Myocyte-6_cytoRP,"Myocytes (Myoblasts, 2 days post-differentiation induction)","Myocytes (Myoblasts, 2 days post-differentiation induction)",WT,"treated with 0.4 ug/mL dexamethasone (Sigma, CAT D4902)","5' 4 nt, 3' 6 nt",cytoribosome protected fragments,GSM5264859
SRR14323384,77419913,5881484164,75,2279,SRX10678510,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772304,SAMN18870183,simple,9606,Homo sapiens,GSM5264860,GEO,SRA1223561,05,2021,Soto,HEK293,HEK-1_cytoRP,HEK293,HEK293,WT,untreated,"5' 4 nt, 3' 10 nt",cytoribosome protected fragments,GSM5264860
SRR14323385,106497080,8089984214,75,3139,SRX10678511,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772305,SAMN18870182,simple,9606,Homo sapiens,GSM5264861,GEO,SRA1223561,05,2021,Soto,HEK293,HEK-2_cytoRP,HEK293,HEK293,WT,untreated,"5' 4 nt, 3' 10 nt",cytoribosome protected fragments,GSM5264861
SRR14323386,51915002,3945540152,76,1484,SRX10678512,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772306,SAMN18870218,simple,9606,Homo sapiens,GSM5264862,GEO,SRA1223561,05,2021,Soto,HEK293,HEK-3_cytoRP,HEK293,HEK293,WT,untreated,"5' 4 nt, 3' 10 nt",cytoribosome protected fragments,GSM5264862
SRR14323387,76568571,5819211396,76,2191,SRX10678513,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772307,SAMN18870217,simple,9606,Homo sapiens,GSM5264863,GEO,SRA1223561,05,2021,Soto,HEK293,HEK-4_cytoRP,HEK293,HEK293,WT,untreated,"5' 4 nt, 3' 10 nt",cytoribosome protected fragments,GSM5264863
SRR14323388,32935328,2005594908,60,676,SRX10678514,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772308,SAMN18870216,simple,9606,Homo sapiens,GSM5264864,GEO,SRA1223561,05,2021,Soto,"Dermal fibroblasts, anonymous donor",Fibroblast_DMSO30m-1_mitoRP,"Dermal fibroblasts, anonymous donor","Dermal fibroblasts, anonymous donor",WT,"30 min with DMSO (Sigma, CAT 276855)","5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264864
SRR14323389,51140269,3112686426,60,1067,SRX10678515,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772309,SAMN18870215,simple,9606,Homo sapiens,GSM5264865,GEO,SRA1223561,05,2021,Soto,"Dermal fibroblasts, anonymous donor",Fibroblast_DMSO30m-2_mitoRP,"Dermal fibroblasts, anonymous donor","Dermal fibroblasts, anonymous donor",WT,"30 min with DMSO (Sigma, CAT 276855)","5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264865
SRR14323390,36464324,2219836719,60,761,SRX10678516,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772310,SAMN18870214,simple,9606,Homo sapiens,GSM5264866,GEO,SRA1223561,05,2021,Soto,"Dermal fibroblasts, anonymous donor",Fibroblast_CHX30m_1_mitoRP,"Dermal fibroblasts, anonymous donor","Dermal fibroblasts, anonymous donor",WT,"30 minutes with 100 ug/mL of cycloheximide dissolved in DMSO (Sigma, CAT C7698)","5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264866
SRR14323391,27782774,1691003124,60,581,SRX10678517,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772311,SAMN18870213,simple,9606,Homo sapiens,GSM5264867,GEO,SRA1223561,05,2021,Soto,"Dermal fibroblasts, anonymous donor",Fibroblast_CHX30m-2_mitoRP,"Dermal fibroblasts, anonymous donor","Dermal fibroblasts, anonymous donor",WT,"30 minutes with 100 ug/mL of cycloheximide dissolved in DMSO (Sigma, CAT C7698)","5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264867
SRR14323351,60887214,3707233733,60,1285,SRX10678518,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772312,SAMN18870181,simple,9606,Homo sapiens,GSM5264827,GEO,SRA1223561,05,2021,Soto,"Dermal fibroblasts, anonymous donor",Fibroblast-1_mitoRP,"Dermal fibroblasts, anonymous donor","Dermal fibroblasts, anonymous donor",WT,untreated,"5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264827
SRR14323392,43520171,2828811115,65,1002,SRX10678519,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772313,SAMN18870212,simple,9606,Homo sapiens,GSM5264868,GEO,SRA1223561,05,2021,Soto,"Dermal fibroblasts, anonymous donor",Fibroblast_NT-1_mitoRP,"Dermal fibroblasts, anonymous donor","Dermal fibroblasts, anonymous donor",WT,untreated,"5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264868
SRR14323393,69190035,4497352275,65,1576,SRX10678520,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772315,SAMN18870211,simple,9606,Homo sapiens,GSM5264869,GEO,SRA1223561,05,2021,Soto,"Dermal fibroblasts, anonymous donor",Fibroblast_NT-2_mitoRP,"Dermal fibroblasts, anonymous donor","Dermal fibroblasts, anonymous donor",WT,untreated,"5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264869
SRR14323394,40148759,2609669335,65,932,SRX10678521,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772314,SAMN18870210,simple,9606,Homo sapiens,GSM5264870,GEO,SRA1223561,05,2021,Soto,"Dermal fibroblasts, anonymous donor",Fibroblast_ANX2h-1_mitoRP,"Dermal fibroblasts, anonymous donor","Dermal fibroblasts, anonymous donor",WT,"2 hours with 100 ug/mL anisomycin dissolved in DMSO (Sigma, CAT A9789)","5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264870
SRR14323395,35090005,2280850325,65,829,SRX10678522,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772316,SAMN18870209,simple,9606,Homo sapiens,GSM5264871,GEO,SRA1223561,05,2021,Soto,"Dermal fibroblasts, anonymous donor",Fibroblast_ANX2h-2_mitoRP,"Dermal fibroblasts, anonymous donor","Dermal fibroblasts, anonymous donor",WT,"2 hours with 100 ug/mL anisomycin dissolevd in DMSO (Sigma, CAT A9789)","5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264871
SRR14323396,4809370,288562200,60,160,SRX10678523,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP316314,PRJNA725118,35945592,"",SRS8772317,SAMN18870208,simple,9606,Homo sapiens,GSM5264872,GEO,SRA1223561,05,2021,Soto,HeLa S3,Hela_noDrug_mitoRP,HeLa S3,HeLa S3,WT,untreated,"5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264872
SRR14323397,4413947,264836820,60,149,SRX10678524,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP316314,PRJNA725118,35945592,"",SRS8772319,SAMN18870207,simple,9606,Homo sapiens,GSM5264873,GEO,SRA1223561,05,2021,Soto,HeLa S3,Hela_plusDrug_mitoRP,HeLa S3,HeLa S3,WT,"15 minutes with 100 ug/mL of chloramphenicol (Sigma, CAT C3175) and 5 minutes with 100 ug/mL cycloheximide (Sigma, CAT C769)","5' 0nt, 3' 6 nt",mitoribosome protected fragments,GSM5264873
SRR14323398,88478556,6716042664,75,2184,SRX10678525,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772318,SAMN18870206,simple,9606,Homo sapiens,GSM5264874,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_KO-1_mitoRP,HEK293,HEK293,LRPPRC KO,untreated,"5' 4 nt, 3' 10 nt",mitoribosome protected fragments,GSM5264874
SRR14323399,86151490,6534375193,75,2450,SRX10678526,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772320,SAMN18870205,simple,9606,Homo sapiens,GSM5264875,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_KO-2_mitoRP,HEK293,HEK293,LRPPRC KO,untreated,"5' 4 nt, 3' 10 nt",mitoribosome protected fragments,GSM5264875
SRR14323400,19745464,1497909255,75,560,SRX10678527,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772321,SAMN18870204,simple,9606,Homo sapiens,GSM5264876,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_KO-3_mitoRP,HEK293,HEK293,LRPPRC KO,untreated,"5' 4 nt, 3' 10 nt",mitoribosome protected fragments,GSM5264876
SRR14323401,53913386,4089580158,75,1356,SRX10678528,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772322,SAMN18870203,simple,9606,Homo sapiens,GSM5264877,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_KOplWT-1_mitoRP,HEK293,HEK293,LRPPRC KO + LRPPRC,untreated,"5' 4 nt, 3' 10 nt",mitoribosome protected fragments,GSM5264877
SRR14323402,121264634,9185021330,75,3455,SRX10678529,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772323,SAMN18870202,simple,9606,Homo sapiens,GSM5264878,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_KOplWT-2_mitoRP,HEK293,HEK293,LRPPRC KO + LRPPRC,untreated,"5' 4 nt, 3' 10 nt",mitoribosome protected fragments,GSM5264878
SRR14323403,58570836,4436234954,75,1669,SRX10678530,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772324,SAMN18870201,simple,9606,Homo sapiens,GSM5264879,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_KOplWT-3_mitoRP,HEK293,HEK293,LRPPRC KO + LRPPRC,untreated,"5' 4 nt, 3' 10 nt",mitoribosome protected fragments,GSM5264879
SRR14323404,64663223,4899015198,75,1907,SRX10678531,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772325,SAMN18870228,simple,9606,Homo sapiens,GSM5264880,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_KO-2_RNAseq,HEK293,HEK293,LRPPRC KO,untreated,"5' 4 nt, 3' 10 nt",rRNA-depleted total RNA,GSM5264880
SRR14323405,79901683,6053109097,75,2354,SRX10678532,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772326,SAMN18870227,simple,9606,Homo sapiens,GSM5264881,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_KO-3_RNAseq,HEK293,HEK293,LRPPRC KO,untreated,"5' 4 nt, 3' 10 nt",rRNA-depleted total RNA,GSM5264881
SRR14323406,80986310,6134189638,75,2405,SRX10678533,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772328,SAMN18870226,simple,9606,Homo sapiens,GSM5264882,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_KOplWT-2_RNAseq,HEK293,HEK293,LRPPRC KO + LRPPRC,untreated,"5' 4 nt, 3' 10 nt",rRNA-depleted total RNA,GSM5264882
SRR14323407,98296353,7440963068,75,2929,SRX10678534,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772327,SAMN18870225,simple,9606,Homo sapiens,GSM5264883,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_KOplWT-3_RNAseq,HEK293,HEK293,LRPPRC KO + LRPPRC,untreated,"5' 4 nt, 3' 10 nt",rRNA-depleted total RNA,GSM5264883
SRR14323408,72728778,5524506062,75,2164,SRX10678535,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772329,SAMN18870224,simple,9606,Homo sapiens,GSM5264884,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_KO-2_cytoRP,HEK293,HEK293,LRPPRC KO,untreated,"5' 4 nt, 3' 10 nt",cytoribosome protected fragments,GSM5264884
SRR14323409,77995408,5924958028,75,2297,SRX10678536,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772330,SAMN18870223,simple,9606,Homo sapiens,GSM5264885,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_KO-3_cytoRP,HEK293,HEK293,LRPPRC KO,untreated,"5' 4 nt, 3' 10 nt",cytoribosome protected fragments,GSM5264885
SRR14323410,90177552,6846643846,75,2681,SRX10678537,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772331,SAMN18870222,simple,9606,Homo sapiens,GSM5264886,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_KOplWT-2_cytoRP,HEK293,HEK293,LRPPRC KO + LRPPRC,untreated,"5' 4 nt, 3' 10 nt",cytoribosome protected fragments,GSM5264886
SRR14323411,75407321,5724844492,75,2246,SRX10678538,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772332,SAMN18870221,simple,9606,Homo sapiens,GSM5264887,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_KOplWT-3_cytoRP,HEK293,HEK293,LRPPRC KO + LRPPRC,untreated,"5' 4 nt, 3' 10 nt",cytoribosome protected fragments,GSM5264887
