Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment,genotype,strain,GEO Accession
SRR14243823,21978503,1098925150,50,625,SRX10606464,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP314965,PRJNA722238,35179319,"",SRS8707600,SAMN18747468,simple,9606,Homo sapiens,GSM5242692,GEO,SRA1218944,03,2022,Chen,HNSCC,WT3_Input,HNSCC,HNSCC cells,,normal,,GSM5242692
SRR14243824,23658984,1182949200,50,671,SRX10606465,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP314965,PRJNA722238,35179319,"",SRS8707601,SAMN18747467,simple,9606,Homo sapiens,GSM5242693,GEO,SRA1218944,03,2022,Chen,HNSCC,WT1_polyribosome-bound-mRNA,HNSCC,HNSCC cells,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,normal,,GSM5242693
SRR14243825,21978009,1098900450,50,622,SRX10606466,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP314965,PRJNA722238,35179319,"",SRS8707604,SAMN18747466,simple,9606,Homo sapiens,GSM5242694,GEO,SRA1218944,03,2022,Chen,HNSCC,WT2_polyribosome-bound-mRNA,HNSCC,HNSCC cells,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,normal,,GSM5242694
SRR14243826,23863194,1193159700,50,677,SRX10606467,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP314965,PRJNA722238,35179319,"",SRS8707602,SAMN18747465,simple,9606,Homo sapiens,GSM5242695,GEO,SRA1218944,03,2022,Chen,HNSCC,WT3_polyribosome-bound-mRNA,HNSCC,HNSCC cells,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,normal,,GSM5242695
SRR14243827,23772205,1188610250,50,663,SRX10606468,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP314965,PRJNA722238,35179319,"",SRS8707603,SAMN18747464,simple,9606,Homo sapiens,GSM5242696,GEO,SRA1218944,03,2022,Chen,HNSCC,KO1_Input,HNSCC,HNSCC cells,,METTL1-knockout,,GSM5242696
SRR14243828,23801738,1190086900,50,670,SRX10606469,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP314965,PRJNA722238,35179319,"",SRS8707605,SAMN18747490,simple,9606,Homo sapiens,GSM5242697,GEO,SRA1218944,03,2022,Chen,HNSCC,KO2_Input,HNSCC,HNSCC cells,,METTL1-knockout,,GSM5242697
SRR14243829,23811529,1190576450,50,673,SRX10606470,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP314965,PRJNA722238,35179319,"",SRS8707607,SAMN18747489,simple,9606,Homo sapiens,GSM5242698,GEO,SRA1218944,03,2022,Chen,HNSCC,KO3_Input,HNSCC,HNSCC cells,,METTL1-knockout,,GSM5242698
SRR14243830,23807456,1190372800,50,674,SRX10606471,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP314965,PRJNA722238,35179319,"",SRS8707606,SAMN18747488,simple,9606,Homo sapiens,GSM5242699,GEO,SRA1218944,03,2022,Chen,HNSCC,KO1_polyribosome-bound-mRNA,HNSCC,HNSCC cells,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,METTL1-knockout,,GSM5242699
SRR14243831,23806541,1190327050,50,672,SRX10606472,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP314965,PRJNA722238,35179319,"",SRS8707608,SAMN18747487,simple,9606,Homo sapiens,GSM5242700,GEO,SRA1218944,03,2022,Chen,HNSCC,KO2_polyribosome-bound-mRNA,HNSCC,HNSCC cells,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,METTL1-knockout,,GSM5242700
SRR14243832,23811434,1190571700,50,666,SRX10606473,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP314965,PRJNA722238,35179319,"",SRS8707609,SAMN18747486,simple,9606,Homo sapiens,GSM5242701,GEO,SRA1218944,03,2022,Chen,HNSCC,KO3_polyribosome-bound-mRNA,HNSCC,HNSCC cells,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,METTL1-knockout,,GSM5242701
SRR14243833,21749441,6524832300,150,1933,SRX10606474,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP314965,PRJNA722238,35179319,"",SRS8707610,SAMN18747485,simple,9606,Homo sapiens,GSM5242702,GEO,SRA1218944,03,2022,Chen,HNSCC,WT_RNA-seq,HNSCC,HNSCC cells,,normal,,GSM5242702
SRR14243834,102813634,30844090200,150,13937,SRX10606475,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP314965,PRJNA722238,35179319,"",SRS8707611,SAMN18747484,simple,9606,Homo sapiens,GSM5242703,GEO,SRA1218944,03,2022,Chen,HNSCC,WT_ribo,HNSCC,HNSCC cells,"To immobilize initiating ribosomes, harringtonine was added to cell culture medium to a final concentration of 2 µg/ml. Cells were Incubated for 120 s with harringtonine in the incubator. Next, to block translational elongation, cycloheximide was added to cell culture medium to a final concentration of 100 µg/ml. Cells were mixed well and proceeded immediately to cell lysis.",normal,,GSM5242703
SRR14243835,23086702,6926010600,150,2037,SRX10606476,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP314965,PRJNA722238,35179319,"",SRS8707612,SAMN18747483,simple,9606,Homo sapiens,GSM5242704,GEO,SRA1218944,03,2022,Chen,HNSCC,KO_RNA-seq,HNSCC,HNSCC cells,,METTL1-knockout,,GSM5242704
SRR14243836,137538262,41261478600,150,18862,SRX10606477,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP314965,PRJNA722238,35179319,"",SRS8707613,SAMN18747482,simple,9606,Homo sapiens,GSM5242705,GEO,SRA1218944,03,2022,Chen,HNSCC,KO_ribo,HNSCC,HNSCC cells,"To immobilize initiating ribosomes, harringtonine was added to cell culture medium to a final concentration of 2 µg/ml. Cells were Incubated for 120 s with harringtonine in the incubator. Next, to block translational elongation, cycloheximide was added to cell culture medium to a final concentration of 100 µg/ml. Cells were mixed well and proceeded immediately to cell lysis.",METTL1-knockout,,GSM5242705
SRR14243837,78802192,14736009904,28,4373,SRX10606478,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314965,PRJNA722238,35179319,"",SRS8707614,SAMN18747481,simple,10090,Mus musculus,GSM5242706,GEO,SRA1218944,03,2022,Chen,tongue,Mettl1_WT1,tongue,,,wild type,C57BL/6,GSM5242706
SRR14243838,80861716,15121140892,28,4496,SRX10606478,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314965,PRJNA722238,35179319,"",SRS8707614,SAMN18747481,simple,10090,Mus musculus,GSM5242706,GEO,SRA1218944,03,2022,Chen,tongue,Mettl1_WT1,tongue,,,wild type,C57BL/6,GSM5242707
SRR14243839,77150607,14427163509,28,4299,SRX10606478,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314965,PRJNA722238,35179319,"",SRS8707614,SAMN18747481,simple,10090,Mus musculus,GSM5242706,GEO,SRA1218944,03,2022,Chen,tongue,Mettl1_WT1,tongue,,,Mettl1-/-,C57BL/6,GSM5242708
SRR14243840,80306975,15017404325,28,4481,SRX10606478,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314965,PRJNA722238,35179319,"",SRS8707614,SAMN18747481,simple,10090,Mus musculus,GSM5242706,GEO,SRA1218944,03,2022,Chen,tongue,Mettl1_WT1,tongue,,,Mettl1-/-,C57BL/6,GSM5242709
SRR14243841,272429409,50944299483,28,15375,SRX10606479,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314965,PRJNA722238,35179319,"",SRS8707615,SAMN18747480,simple,10090,Mus musculus,GSM5242707,GEO,SRA1218944,03,2022,Chen,tongue,Mettl1_WT2,HNSCC,HNSCC cells,demethylated by ALKB,normal,,GSM5242682
SRR14243842,72276124,13515635188,28,4102,SRX10606480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314965,PRJNA722238,35179319,"",SRS8707616,SAMN18747479,simple,10090,Mus musculus,GSM5242708,GEO,SRA1218944,03,2022,Chen,tongue,Mettl1_KO1,HNSCC,HNSCC cells,demethylated by ALKB,normal,,GSM5242683
SRR14243843,72124887,13487353869,28,4103,SRX10606480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314965,PRJNA722238,35179319,"",SRS8707616,SAMN18747479,simple,10090,Mus musculus,GSM5242708,GEO,SRA1218944,03,2022,Chen,tongue,Mettl1_KO1,HNSCC,HNSCC cells,demethylated by ALKB,METTL1-knockout,,GSM5242684
SRR14243844,72747998,13603875626,28,4149,SRX10606480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314965,PRJNA722238,35179319,"",SRS8707616,SAMN18747479,simple,10090,Mus musculus,GSM5242708,GEO,SRA1218944,03,2022,Chen,tongue,Mettl1_KO1,HNSCC,HNSCC cells,demethylated by ALKB,METTL1-knockout,,GSM5242685
SRR14243845,73408714,13727429518,28,4181,SRX10606480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314965,PRJNA722238,35179319,"",SRS8707616,SAMN18747479,simple,10090,Mus musculus,GSM5242708,GEO,SRA1218944,03,2022,Chen,tongue,Mettl1_KO1,HNSCC,HNSCC cells,demethylated by ALKB; NaBH4/Aniline induced reduction and cleavage,normal,,GSM5242686
SRR14243846,77911045,14569365415,28,4337,SRX10606481,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314965,PRJNA722238,35179319,"",SRS8707617,SAMN18747478,simple,10090,Mus musculus,GSM5242709,GEO,SRA1218944,03,2022,Chen,tongue,Mettl1_KO2,HNSCC,HNSCC cells,demethylated by ALKB; NaBH4/Aniline induced reduction and cleavage,normal,,GSM5242687
SRR14243847,80283682,15013048534,28,4477,SRX10606481,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314965,PRJNA722238,35179319,"",SRS8707617,SAMN18747478,simple,10090,Mus musculus,GSM5242709,GEO,SRA1218944,03,2022,Chen,tongue,Mettl1_KO2,HNSCC,HNSCC cells,demethylated by ALKB; NaBH4/Aniline induced reduction and cleavage,METTL1-knockout,,GSM5242688
SRR14243848,75985730,14209331510,28,4247,SRX10606481,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314965,PRJNA722238,35179319,"",SRS8707617,SAMN18747478,simple,10090,Mus musculus,GSM5242709,GEO,SRA1218944,03,2022,Chen,tongue,Mettl1_KO2,HNSCC,HNSCC cells,demethylated by ALKB; NaBH4/Aniline induced reduction and cleavage,METTL1-knockout,,GSM5242689
SRR14243849,79168987,14804600569,28,4431,SRX10606481,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP314965,PRJNA722238,35179319,"",SRS8707617,SAMN18747478,simple,10090,Mus musculus,GSM5242709,GEO,SRA1218944,03,2022,Chen,tongue,Mettl1_KO2,HNSCC,HNSCC cells,,normal,,GSM5242690
