Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,developmental stage,GEO Accession
SRR3720843,1722850,87865350,51,61,SRX1878963,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526209,SAMN05293637,simple,7227,Drosophila melanogaster,GSM2214172,GEO,SRA435945,08,2016,Lim,Drosophila immature oocyte,mTAIL-seq exp #5 wt-immature2,Drosophila immature oocyte,,w1118,oogenesis stage 9-10,GSM2214172
SRR3720844,1737046,88589346,51,63,SRX1878964,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526210,SAMN05293660,simple,7227,Drosophila melanogaster,GSM2214173,GEO,SRA435945,08,2016,Lim,Drosophila immature oocyte,mTAIL-seq exp #5 wisp-immature2,Drosophila immature oocyte,,wispKG5287 (wispy knockout),oogenesis stage 9-10,GSM2214173
SRR3720845,1598298,81513198,51,58,SRX1878965,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526211,SAMN05293643,simple,7227,Drosophila melanogaster,GSM2214174,GEO,SRA435945,08,2016,Lim,Drosophila mature oocyte,mTAIL-seq exp #6 wt-mature2,Drosophila mature oocyte,,w1118,oogenesis stage 14,GSM2214174
SRR3720846,1160788,59200188,51,42,SRX1878966,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526212,SAMN05293644,simple,7227,Drosophila melanogaster,GSM2214175,GEO,SRA435945,08,2016,Lim,Drosophila mature oocyte,mTAIL-seq exp #6 wisp-mature2,Drosophila mature oocyte,,wispKG5287 (wispy knockout),oogenesis stage 14,GSM2214175
SRR3720847,1785696,91070496,51,63,SRX1878967,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526213,SAMN05293649,simple,7227,Drosophila melanogaster,GSM2214176,GEO,SRA435945,08,2016,Lim,Drosophila activated egg,mTAIL-seq exp #7 wt-actegg2,Drosophila activated egg,,w1118,activated egg 0-1hr,GSM2214176
SRR3720848,876780,44715780,51,31,SRX1878968,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526214,SAMN05293648,simple,7227,Drosophila melanogaster,GSM2214177,GEO,SRA435945,08,2016,Lim,Drosophila activated egg,mTAIL-seq exp #7 wisp-actegg2,Drosophila activated egg,,wispKG5287 (wispy knockout),activated egg 0-1hr,GSM2214177
SRR3720849,1727829,88119279,51,62,SRX1878969,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526215,SAMN05293647,simple,7227,Drosophila melanogaster,GSM2214178,GEO,SRA435945,08,2016,Lim,Drosophila activated egg,mTAIL-seq exp #8 wt-actegg(0-2hr),Drosophila activated egg,,w1118,activated egg 0-2hr,GSM2214178
SRR3720850,1018364,51936564,51,36,SRX1878970,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526216,SAMN05293646,simple,7227,Drosophila melanogaster,GSM2214179,GEO,SRA435945,08,2016,Lim,Drosophila activated egg,mTAIL-seq exp #9 wt-actegg(0-2hr)2,Drosophila activated egg,,w1118,activated egg 0-2hr,GSM2214179
SRR3720851,386789,19726239,51,14,SRX1878971,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526217,SAMN05293645,simple,7227,Drosophila melanogaster,GSM2214180,GEO,SRA435945,08,2016,Lim,Drosophila S2 cell,mTAIL-seq exp #9 S2cell,Drosophila S2 cell,S2,,,GSM2214180
SRR3720852,1008737,51445587,51,35,SRX1878972,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526218,SAMN05293654,simple,7227,Drosophila melanogaster,GSM2214181,GEO,SRA435945,08,2016,Lim,Drosophila embryo,mTAIL-seq exp #10 e00,Drosophila embryo,,w1118,0-0.5hr after egg laying (AEL),GSM2214181
SRR3720853,1280748,65318148,51,45,SRX1878973,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526219,SAMN05293655,simple,7227,Drosophila melanogaster,GSM2214182,GEO,SRA435945,08,2016,Lim,Drosophila embryo,mTAIL-seq exp #10 e05,Drosophila embryo,,w1118,0.5-1.0hr after egg laying (AEL),GSM2214182
SRR3720854,1134857,57877707,51,40,SRX1878974,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526220,SAMN05293653,simple,7227,Drosophila melanogaster,GSM2214183,GEO,SRA435945,08,2016,Lim,Drosophila embryo,mTAIL-seq exp #10 e10,Drosophila embryo,,w1118,1.0-1.5hr after egg laying (AEL),GSM2214183
SRR3720855,849903,43345053,51,30,SRX1878975,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526221,SAMN05293650,simple,7227,Drosophila melanogaster,GSM2214184,GEO,SRA435945,08,2016,Lim,Drosophila embryo,mTAIL-seq exp #10 e15,Drosophila embryo,,w1118,1.5-2.0hr after egg laying (AEL),GSM2214184
SRR3720856,514476,26238276,51,18,SRX1878976,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526222,SAMN05293651,simple,7227,Drosophila melanogaster,GSM2214185,GEO,SRA435945,08,2016,Lim,Drosophila embryo,mTAIL-seq exp #10 e20,Drosophila embryo,,w1118,2.0-3.0hr after egg laying (AEL),GSM2214185
SRR3720857,519133,26475783,51,18,SRX1878977,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526223,SAMN05293652,simple,7227,Drosophila melanogaster,GSM2214186,GEO,SRA435945,08,2016,Lim,Drosophila embryo,mTAIL-seq exp #10 e30,Drosophila embryo,,w1118,3.0-4.5hr after egg laying (AEL),GSM2214186
