Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,passages,drug treatment,sirna transfection,cell line,molecule subtype,GEO Accession
SRR6026767,23656112,970099280,41,220,SRX3177225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506893,SAMN07629913,simple,9606,Homo sapiens,GSM2779663,GEO,SRA607220,01,2018,Woo,HEK293 cells,DMSO_RNAseq_rep3,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,none,,,GSM2779663
SRR6026768,26318685,1090087894,41,242,SRX3177226,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506894,SAMN07629912,simple,9606,Homo sapiens,GSM2779664,GEO,SRA607220,01,2018,Woo,HEK293 cells,DMSO_RNAseq_rep4,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,none,,,GSM2779664
SRR6026769,32513805,1369206976,42,289,SRX3177227,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506895,SAMN07629911,simple,9606,Homo sapiens,GSM2779665,GEO,SRA607220,01,2018,Woo,HEK293 cells,THAP_RNAseq_rep1,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,none,,,GSM2779665
SRR6026770,21362859,994129930,46,213,SRX3177228,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506896,SAMN07629910,simple,9606,Homo sapiens,GSM2779666,GEO,SRA607220,01,2018,Woo,HEK293 cells,THAP_RNAseq_rep2,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,none,,,GSM2779666
SRR6026771,23218764,960764265,41,218,SRX3177229,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506897,SAMN07629909,simple,9606,Homo sapiens,GSM2779667,GEO,SRA607220,01,2018,Woo,HEK293 cells,THAP_RNAseq_rep3,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,none,,,GSM2779667
SRR6026772,22340869,912746224,40,207,SRX3177230,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506898,SAMN07629908,simple,9606,Homo sapiens,GSM2779668,GEO,SRA607220,01,2018,Woo,HEK293 cells,THAP_RNAseq_rep4,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,none,,,GSM2779668
SRR6026773,1665820,45720741,27,12,SRX3177231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506899,SAMN07629907,simple,9606,Homo sapiens,GSM2779669,GEO,SRA607220,01,2018,Woo,HEK293 cells,DMSO_Riboseq_rep1,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,none,,,GSM2779669
SRR6026774,2056196,56576564,27,13,SRX3177232,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506900,SAMN07629906,simple,9606,Homo sapiens,GSM2779670,GEO,SRA607220,01,2018,Woo,HEK293 cells,DMSO_Riboseq_rep2,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,none,,,GSM2779670
SRR6026775,4043631,110337154,27,26,SRX3177233,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506901,SAMN07629905,simple,9606,Homo sapiens,GSM2779671,GEO,SRA607220,01,2018,Woo,HEK293 cells,DMSO_Riboseq_rep3,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,none,,,GSM2779671
SRR6026776,4933725,134864217,27,30,SRX3177234,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506902,SAMN07629904,simple,9606,Homo sapiens,GSM2779672,GEO,SRA607220,01,2018,Woo,HEK293 cells,DMSO_Riboseq_rep4,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,none,,,GSM2779672
SRR6026777,462259,13441644,29,4,SRX3177235,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506903,SAMN07629903,simple,9606,Homo sapiens,GSM2779673,GEO,SRA607220,01,2018,Woo,HEK293 cells,THAP_Riboseq_rep1,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,none,,,GSM2779673
SRR6026778,388884,10457719,26,3,SRX3177236,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506904,SAMN07629902,simple,9606,Homo sapiens,GSM2779674,GEO,SRA607220,01,2018,Woo,HEK293 cells,THAP_Riboseq_rep2,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,none,,,GSM2779674
SRR6026779,1861626,51517593,27,13,SRX3177237,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506905,SAMN07629901,simple,9606,Homo sapiens,GSM2779675,GEO,SRA607220,01,2018,Woo,HEK293 cells,THAP_Riboseq_rep3,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,none,,,GSM2779675
SRR6026780,1935766,52661924,27,12,SRX3177238,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506906,SAMN07629900,simple,9606,Homo sapiens,GSM2779676,GEO,SRA607220,01,2018,Woo,HEK293 cells,THAP_Riboseq_rep4,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,none,,,GSM2779676
SRR6026781,53622481,2567342466,47,538,SRX3177239,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506907,SAMN07629899,simple,9606,Homo sapiens,GSM2779677,GEO,SRA607220,01,2018,Woo,HEK293 cells,DMSO_PROseq_rep1,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,none,,,GSM2779677
SRR6026782,25701276,1179715247,45,257,SRX3177240,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506908,SAMN07629898,simple,9606,Homo sapiens,GSM2779678,GEO,SRA607220,01,2018,Woo,HEK293 cells,DMSO_PROseq_rep2,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,none,,,GSM2779678
SRR6026783,51083557,2511811207,49,514,SRX3177241,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506909,SAMN07629897,simple,9606,Homo sapiens,GSM2779679,GEO,SRA607220,01,2018,Woo,HEK293 cells,THAP_PROseq_rep1,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,none,,,GSM2779679
SRR6026784,61042956,2962422776,48,617,SRX3177242,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506910,SAMN07629896,simple,9606,Homo sapiens,GSM2779680,GEO,SRA607220,01,2018,Woo,HEK293 cells,THAP_PROseq_rep2,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,none,,,GSM2779680
SRR6946238,35831269,2436526292,68,645,SRX3889862,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS3127713,SAMN08869085,simple,9606,Homo sapiens,GSM3082786,GEO,SRA607220,10,2019,Woo,DMSO_cytosol_TEDseq,DMSO_cytosol_TEDseq_rep3,DMSO_cytosol_TEDseq,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,,HEK293,total RNA from cytosol fraction,GSM3082786
SRR6946239,49078709,3337352212,68,883,SRX3889863,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS3127712,SAMN08869084,simple,9606,Homo sapiens,GSM3082787,GEO,SRA607220,10,2019,Woo,THAP_cytosol_TEDseq,THAP_cytosol_TEDseq_rep3,THAP_cytosol_TEDseq,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,,HEK293,total RNA from cytosol fraction,GSM3082787
SRR6946240,31410160,2135890880,68,688,SRX3889864,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS3127714,SAMN08869083,simple,9606,Homo sapiens,GSM3082788,GEO,SRA607220,10,2019,Woo,DMSO_cytosol_TEDseq,DMSO_cytosol_TEDseq_rep4,DMSO_cytosol_TEDseq,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,,HEK293,total RNA from cytosol fraction,GSM3082788
SRR6946241,22215834,1510676712,68,502,SRX3889865,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS3127715,SAMN08869082,simple,9606,Homo sapiens,GSM3082789,GEO,SRA607220,10,2019,Woo,THAP_cytosol_TEDseq,THAP_cytosol_TEDseq_rep4,THAP_cytosol_TEDseq,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,,HEK293,total RNA from cytosol fraction,GSM3082789
SRR6946242,29005176,1972351968,68,658,SRX3889866,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS3127716,SAMN08869081,simple,9606,Homo sapiens,GSM3082790,GEO,SRA607220,10,2019,Woo,DMSO_cytosol_TEDseq,DMSO_cytosol_TEDseq_rep5,DMSO_cytosol_TEDseq,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,,HEK293,total RNA from cytosol fraction,GSM3082790
SRR6946243,27959769,1901264292,68,633,SRX3889867,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS3127731,SAMN08869080,simple,9606,Homo sapiens,GSM3082791,GEO,SRA607220,10,2019,Woo,THAP_cytosol_TEDseq,THAP_cytosol_TEDseq_rep5,THAP_cytosol_TEDseq,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,,HEK293,total RNA from cytosol fraction,GSM3082791
SRR6946245,22411495,1523981660,68,493,SRX3889868,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS3127717,SAMN08869079,simple,9606,Homo sapiens,GSM3082792,GEO,SRA607220,10,2019,Woo,DMSO_insoluble_TEDseq,DMSO_insoluble_TEDseq_rep5,DMSO_insoluble_TEDseq,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,,HEK293,total RNA from cytosol fraction,GSM3082792
SRR6946246,14229137,967581316,68,323,SRX3889869,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS3127718,SAMN08869078,simple,9606,Homo sapiens,GSM3082793,GEO,SRA607220,10,2019,Woo,THAP_insoluble_TEDseq,THAP_insoluble_TEDseq_rep5,THAP_insoluble_TEDseq,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,,HEK293,total RNA from cytosol fraction,GSM3082793
