Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,genotype/variation,treated with,molecule subtype,GEO Accession
SRR7265177,11617923,592514073,51,303,SRX4169293,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381239,SAMN09370698,simple,4932,Saccharomyces cerevisiae,GSM3176633,GEO,SRA715427,08,2018,Van,no TIR +DMSO_+DTT,"no TIR +DMSO, +DTT 1hr mRNA",no TIR +DMSO_+DTT,SK1,no TIR,"+DMSO, +DTT",ribosome footprints,GSM3176646
SRR7265178,11625779,592914729,51,306,SRX4169293,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381239,SAMN09370698,simple,4932,Saccharomyces cerevisiae,GSM3176633,GEO,SRA715427,08,2018,Van,no TIR +DMSO_+DTT,"no TIR +DMSO, +DTT 1hr mRNA",no TIR +auxin +DTT,SK1,no TIR,+auxin +DTT,ribosome footprints,GSM3176647
SRR7265179,12992890,662637390,51,337,SRX4169294,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381240,SAMN09370697,simple,4932,Saccharomyces cerevisiae,GSM3176634,GEO,SRA715427,08,2018,Van,no TIR +auxin +DTT,no TIR +auxin +DTT 1hr mRNA,+TIR +auxin_no treatment,SK1,+TIR,"+auxin, no treatment",ribosome footprints,GSM3176648
SRR7265180,13003541,663180591,51,340,SRX4169294,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381240,SAMN09370697,simple,4932,Saccharomyces cerevisiae,GSM3176634,GEO,SRA715427,08,2018,Van,no TIR +auxin +DTT,no TIR +auxin +DTT 1hr mRNA,+TIR +DMSO_+DTT,SK1,+TIR,"+DMSO, +DTT",ribosome footprints,GSM3176649
SRR7265181,13009432,663481032,51,336,SRX4169295,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381241,SAMN09370696,simple,4932,Saccharomyces cerevisiae,GSM3176635,GEO,SRA715427,08,2018,Van,no TIR +DMSO_+DTT,"no TIR +DMSO, +DTT 2hr mRNA",+TIR +auxin +DTT,SK1,+TIR,+auxin +DTT,ribosome footprints,GSM3176650
SRR7265182,13024494,664249194,51,338,SRX4169295,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381241,SAMN09370696,simple,4932,Saccharomyces cerevisiae,GSM3176635,GEO,SRA715427,08,2018,Van,no TIR +DMSO_+DTT,"no TIR +DMSO, +DTT 2hr mRNA",+TIR +auxin_no treatment,SK1,+TIR,"+auxin, no treatment",ribosome footprints,GSM3176651
SRR7265183,9669120,493125120,51,249,SRX4169296,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381242,SAMN09370695,simple,4932,Saccharomyces cerevisiae,GSM3176636,GEO,SRA715427,08,2018,Van,no TIR +auxin +DTT,no TIR +auxin +DTT 2hr mRNA,+TIR +DMSO_+DTT,SK1,+TIR,"+DMSO, +DTT",ribosome footprints,GSM3176652
SRR7265184,9651889,492246339,51,250,SRX4169296,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381242,SAMN09370695,simple,4932,Saccharomyces cerevisiae,GSM3176636,GEO,SRA715427,08,2018,Van,no TIR +auxin +DTT,no TIR +auxin +DTT 2hr mRNA,+TIR +auxin +DTT,SK1,+TIR,+auxin +DTT,ribosome footprints,GSM3176653
SRR7265185,26224631,1337456181,51,667,SRX4169297,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381243,SAMN09370694,simple,4932,Saccharomyces cerevisiae,GSM3176637,GEO,SRA715427,08,2018,Van,+TIR +auxin_no treatment,"+TIR +auxin, no treatment 1hr mRNA",vegetative exponential WT cells untreated,SK1,WT,none (untreated),ribosome footprints,GSM3176620
SRR7265186,26249196,1338708996,51,673,SRX4169297,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381243,SAMN09370694,simple,4932,Saccharomyces cerevisiae,GSM3176637,GEO,SRA715427,08,2018,Van,+TIR +auxin_no treatment,"+TIR +auxin, no treatment 1hr mRNA",vegetative exponential WT cells treated with DTT,SK1,WT,5mM DTT,ribosome footprints,GSM3176621
SRR7265187,11141957,568239807,51,286,SRX4169298,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381244,SAMN09370693,simple,4932,Saccharomyces cerevisiae,GSM3176638,GEO,SRA715427,08,2018,Van,+TIR +DMSO_+DTT,"+TIR +DMSO, +DTT 1hr mRNA",vegetative exponential WT cells treated with Tm,SK1,WT,2μg/mL Tm,ribosome footprints,GSM3176622
SRR7265188,11117786,567007086,51,288,SRX4169298,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381244,SAMN09370693,simple,4932,Saccharomyces cerevisiae,GSM3176638,GEO,SRA715427,08,2018,Van,+TIR +DMSO_+DTT,"+TIR +DMSO, +DTT 1hr mRNA",vegetative exponential hac1 delete cells untreated,SK1,hac1 deleted,none (untreated),ribosome footprints,GSM3176623
SRR7265189,14458736,737395536,51,376,SRX4169299,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381245,SAMN09370692,simple,4932,Saccharomyces cerevisiae,GSM3176639,GEO,SRA715427,08,2018,Van,+TIR +auxin +DTT,+TIR +auxin +DTT 1hr mRNA,vegetative exponential hac1 delete cells treated with DTT,SK1,hac1 deleted,5mM DTT,ribosome footprints,GSM3176624
SRR7265190,14458768,737397168,51,379,SRX4169299,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381245,SAMN09370692,simple,4932,Saccharomyces cerevisiae,GSM3176639,GEO,SRA715427,08,2018,Van,+TIR +auxin +DTT,+TIR +auxin +DTT 1hr mRNA,vegetative exponential hac1 delete cells treated with Tm,SK1,hac1 deleted,2μg/mL Tm,ribosome footprints,GSM3176625
SRR7265191,10672694,544307394,51,278,SRX4169300,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381246,SAMN09370691,simple,4932,Saccharomyces cerevisiae,GSM3176640,GEO,SRA715427,08,2018,Van,+TIR +auxin_no treatment,"+TIR +auxin, no treatment 2hr mRNA",vegetative exponential WT cells untreated,SK1,WT,none (untreated),mRNA,GSM3176626
SRR7265192,10664303,543879453,51,280,SRX4169300,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381246,SAMN09370691,simple,4932,Saccharomyces cerevisiae,GSM3176640,GEO,SRA715427,08,2018,Van,+TIR +auxin_no treatment,"+TIR +auxin, no treatment 2hr mRNA",vegetative exponential WT cells treated with DTT,SK1,WT,5mM DTT,mRNA,GSM3176627
SRR7265193,13473401,687143451,51,346,SRX4169301,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381248,SAMN09370690,simple,4932,Saccharomyces cerevisiae,GSM3176641,GEO,SRA715427,08,2018,Van,+TIR +DMSO_+DTT,"+TIR +DMSO, +DTT 2hr mRNA",vegetative exponential WT cells treated with Tm,SK1,WT,2μg/mL Tm,mRNA,GSM3176628
SRR7265194,13482097,687586947,51,348,SRX4169301,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381248,SAMN09370690,simple,4932,Saccharomyces cerevisiae,GSM3176641,GEO,SRA715427,08,2018,Van,+TIR +DMSO_+DTT,"+TIR +DMSO, +DTT 2hr mRNA",vegetative exponential hac1 delete cells untreated,SK1,hac1 deleted,none (untreated),mRNA,GSM3176629
SRR7265195,12489933,636986583,51,322,SRX4169302,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381247,SAMN09370689,simple,4932,Saccharomyces cerevisiae,GSM3176642,GEO,SRA715427,08,2018,Van,+TIR +auxin +DTT,+TIR +auxin +DTT 2hr mRNA,vegetative exponential hac1 delete cells treated with DTT,SK1,hac1 deleted,5mM DTT,mRNA,GSM3176630
SRR7265196,12497364,637365564,51,324,SRX4169302,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381247,SAMN09370689,simple,4932,Saccharomyces cerevisiae,GSM3176642,GEO,SRA715427,08,2018,Van,+TIR +auxin +DTT,+TIR +auxin +DTT 2hr mRNA,vegetative exponential hac1 delete cells treated with Tm,SK1,hac1 deleted,2μg/mL Tm,mRNA,GSM3176631
SRR7265197,4503629,229685079,51,128,SRX4169303,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381249,SAMN09370688,simple,4932,Saccharomyces cerevisiae,GSM3176643,GEO,SRA715427,08,2018,Van,no TIR +auxin_no treatment,"no TIR +auxin, no treatment 1hr fp",no TIR +auxin_no treatment,SK1,no TIR,"+auxin, no treatment",mRNA,GSM3176632
SRR7265198,4473230,228134730,51,128,SRX4169303,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381249,SAMN09370688,simple,4932,Saccharomyces cerevisiae,GSM3176643,GEO,SRA715427,08,2018,Van,no TIR +auxin_no treatment,"no TIR +auxin, no treatment 1hr fp",no TIR +DMSO_+DTT,SK1,no TIR,"+DMSO, +DTT",mRNA,GSM3176633
SRR7265199,6955381,354724431,51,196,SRX4169304,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381250,SAMN09370687,simple,4932,Saccharomyces cerevisiae,GSM3176644,GEO,SRA715427,08,2018,Van,no TIR +DMSO_+DTT,"no TIR +DMSO, +DTT 1hr fp",no TIR +auxin +DTT,SK1,no TIR,+auxin +DTT,mRNA,GSM3176634
SRR7265200,6927860,353320860,51,197,SRX4169304,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381250,SAMN09370687,simple,4932,Saccharomyces cerevisiae,GSM3176644,GEO,SRA715427,08,2018,Van,no TIR +DMSO_+DTT,"no TIR +DMSO, +DTT 1hr fp",no TIR +DMSO_+DTT,SK1,no TIR,"+DMSO, +DTT",mRNA,GSM3176635
SRR7265201,25587034,1304938734,51,720,SRX4169305,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381251,SAMN09370686,simple,4932,Saccharomyces cerevisiae,GSM3176645,GEO,SRA715427,08,2018,Van,no TIR +auxin +DTT,no TIR +auxin +DTT 1hr fp,no TIR +auxin +DTT,SK1,no TIR,+auxin +DTT,mRNA,GSM3176636
SRR7265202,25406738,1295743638,51,720,SRX4169305,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381251,SAMN09370686,simple,4932,Saccharomyces cerevisiae,GSM3176645,GEO,SRA715427,08,2018,Van,no TIR +auxin +DTT,no TIR +auxin +DTT 1hr fp,+TIR +auxin_no treatment,SK1,+TIR,"+auxin, no treatment",mRNA,GSM3176637
SRR7265203,10814625,551545875,51,313,SRX4169306,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381252,SAMN09370685,simple,4932,Saccharomyces cerevisiae,GSM3176646,GEO,SRA715427,08,2018,Van,no TIR +DMSO_+DTT,"no TIR +DMSO, +DTT 2hr fp",+TIR +DMSO_+DTT,SK1,+TIR,"+DMSO, +DTT",mRNA,GSM3176638
SRR7265204,10739001,547689051,51,313,SRX4169306,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381252,SAMN09370685,simple,4932,Saccharomyces cerevisiae,GSM3176646,GEO,SRA715427,08,2018,Van,no TIR +DMSO_+DTT,"no TIR +DMSO, +DTT 2hr fp",+TIR +auxin +DTT,SK1,+TIR,+auxin +DTT,mRNA,GSM3176639
SRR7265205,16893509,861568959,51,477,SRX4169307,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381255,SAMN09370681,simple,4932,Saccharomyces cerevisiae,GSM3176647,GEO,SRA715427,08,2018,Van,no TIR +auxin +DTT,no TIR +auxin +DTT 2hr fp,+TIR +auxin_no treatment,SK1,+TIR,"+auxin, no treatment",mRNA,GSM3176640
