Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,genotype,treatment,GEO Accession
SRR15164958,71383669,4639938485,65,2042,SRX11472310,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512805,SAMN20251295,simple,10090,Mus musculus,GSM5456049,GEO,SRA1259807,06,2022,Silva,intestinal organoid,RNAseq_invitro_SCe_org3,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.RPL22.HA,stem cell enrichment,GSM5456049
SRR15164962,107910575,7014187375,65,3931,SRX11472314,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512809,SAMN20251291,simple,10090,Mus musculus,GSM5456053,GEO,SRA1259807,06,2022,Silva,intestinal organoid,Riboseq_invitro_Rptorflfl_org1,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.Rptor.fl/fl.RPL22.HA,untreated,GSM5456053
SRR15164963,101991247,6629431055,65,3609,SRX11472315,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512810,SAMN20251290,simple,10090,Mus musculus,GSM5456054,GEO,SRA1259807,06,2022,Silva,intestinal organoid,Riboseq_invitro_Rptorflfl_org2,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.Rptor.fl/fl.RPL22.HA,untreated,GSM5456054
SRR15164964,58585854,3808080510,65,2193,SRX11472316,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512811,SAMN20251289,simple,10090,Mus musculus,GSM5456055,GEO,SRA1259807,06,2022,Silva,intestinal organoid,Riboseq_invitro_Rptorflfl_org3,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.Rptor.fl/fl.RPL22.HA,untreated,GSM5456055
SRR15164965,126729464,8237415160,65,4979,SRX11472317,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512813,SAMN20251288,simple,10090,Mus musculus,GSM5456056,GEO,SRA1259807,06,2022,Silva,intestinal organoid,Riboseq_invitro_SCe_org1,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.RPL22.HA,stem cell enrichment,GSM5456056
SRR15164966,19815235,1287990275,65,631,SRX11472318,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512812,SAMN20251287,simple,10090,Mus musculus,GSM5456057,GEO,SRA1259807,06,2022,Silva,intestinal organoid,Riboseq_invitro_SCe_org2,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.RPL22.HA,stem cell enrichment,GSM5456057
SRR15164967,118048257,7673136705,65,3551,SRX11472319,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512814,SAMN20251286,simple,10090,Mus musculus,GSM5456058,GEO,SRA1259807,06,2022,Silva,intestinal organoid,Riboseq_invitro_SCe_org3,intestinal organoid,C57BL/6,intestinal organoid,VillinCre.ERT2.RPL22.HA,stem cell enrichment,GSM5456058
SRR15164971,97861414,6360991910,65,2614,SRX11472323,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512818,SAMN20251282,simple,10090,Mus musculus,GSM5456062,GEO,SRA1259807,06,2022,Silva,small intestine,Riboseq_invivo_Lgr5_WT_m1,small intestine,C57BL/6,small intestine,Lgr5Cre.ERT2.RPL22.HA,untreated,GSM5456062
SRR15164972,67094406,4361136390,65,1997,SRX11472324,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512819,SAMN20251281,simple,10090,Mus musculus,GSM5456063,GEO,SRA1259807,06,2022,Silva,small intestine,Riboseq_invivo_Lgr5_WT_m2,small intestine,C57BL/6,small intestine,Lgr5Cre.ERT2.RPL22.HA,untreated,GSM5456063
SRR15164973,55091852,3580970380,65,1896,SRX11472325,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512820,SAMN20251280,simple,10090,Mus musculus,GSM5456064,GEO,SRA1259807,06,2022,Silva,small intestine,Riboseq_invivo_Lgr5_WT_m3,small intestine,C57BL/6,small intestine,Lgr5Cre.ERT2.RPL22.HA,untreated,GSM5456064
SRR15164974,48523739,3154043035,65,1114,SRX11472326,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512821,SAMN20251279,simple,10090,Mus musculus,GSM5456065,GEO,SRA1259807,06,2022,Silva,small intestine,Riboseq_invivo_Lgr5_Rptorflfl_m1,small intestine,C57BL/6,small intestine,Lgr5Cre.ERT2.Rptor.fl/fl.RPL22.HA,untreated,GSM5456065
SRR15164975,33282668,2163373420,65,856,SRX11472327,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512822,SAMN20251278,simple,10090,Mus musculus,GSM5456066,GEO,SRA1259807,06,2022,Silva,small intestine,Riboseq_invivo_Lgr5_Rptorflfl_m2,small intestine,C57BL/6,small intestine,Lgr5Cre.ERT2.Rptor.fl/fl.RPL22.HA,untreated,GSM5456066
SRR15164976,59537488,3869936720,65,1577,SRX11472328,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP328552,PRJNA747022,35918345,"",SRS9512823,SAMN20251277,simple,10090,Mus musculus,GSM5456067,GEO,SRA1259807,06,2022,Silva,small intestine,Riboseq_invivo_Lgr5_Rptorflfl_m3,small intestine,C57BL/6,small intestine,Lgr5Cre.ERT2.Rptor.fl/fl.RPL22.HA,untreated,GSM5456067
