Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,collection_date,geo_loc_name,isolation_source,sample_type,BioSampleModel
SRR1613265,20020207,1001010350,50,751,SRX733584,C2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722105,SAMN03106133,simple,562,Escherichia coli,LepA study WT replicate 2,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli BW25113 (pWSK29) replicate 2,BW25113 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613266,18140727,907036350,50,680,SRX733585,C3,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722106,SAMN03107813,simple,562,Escherichia coli,LepA study WT replicate 3,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli BW25113 (pWSK29) replicate 3,BW25113 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613268,3640574,182028700,50,131,SRX733588,C4,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722107,SAMN03106131,simple,562,Escherichia coli,LepA study M replicate 1,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pWSK29) (LepA mutant) replicate 1,KLF2604 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613269,14545092,727254600,50,437,SRX733588,C4,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722107,SAMN03106131,simple,562,Escherichia coli,LepA study M replicate 1,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pWSK29) (LepA mutant) replicate 1,KLF2604 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613270,5358746,267937300,50,191,SRX733591,C5,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722108,SAMN03106134,simple,562,Escherichia coli,LepA study M replicate 2,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pWSK29) (LepA mutant) replicate 2,KLF2604 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613287,23648253,1182412650,50,709,SRX733591,C5,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722108,SAMN03106134,simple,562,Escherichia coli,LepA study M replicate 2,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pWSK29) (LepA mutant) replicate 2,KLF2604 (pLEPA),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613272,8779929,438996450,50,314,SRX733592,C6,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722119,SAMN03107814,simple,562,Escherichia coli,LepA study M replicate 3,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pWSK29) (LepA mutant) replicate 3,KLF2604 (pLEPA),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613277,6811320,340566000,50,238,SRX733595,C7,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722120,SAMN03106132,simple,562,Escherichia coli,LepA study C replicate 1,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pLEPA) (complemented) replicate 1,KLF2604 (pLEPA),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613278,20537706,1026885300,50,592,SRX733595,C7,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722120,SAMN03106132,simple,562,Escherichia coli,LepA study C replicate 1,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pLEPA) (complemented) replicate 1,BW25113 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613280,3642225,182111250,50,126,SRX733598,C8,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722121,SAMN03106135,simple,562,Escherichia coli,LepA study C replicate 2,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pLEPA) (complemented) replicate 2,BW25113 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613281,18767441,938372050,50,548,SRX733598,C8,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722121,SAMN03106135,simple,562,Escherichia coli,LepA study C replicate 2,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pLEPA) (complemented) replicate 2,BW25113 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613283,3666535,183326750,50,126,SRX733601,C9,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722122,SAMN03107815,simple,562,Escherichia coli,LepA study C replicate 3,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pLEPA) (complemented) replicate 3,KLF2604 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613285,23299777,1164988850,50,668,SRX733601,C9,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722122,SAMN03107815,simple,562,Escherichia coli,LepA study C replicate 3,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pLEPA) (complemented) replicate 3,KLF2604 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
