Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,stressor,stress time,GEO Accession
SRR9681159,13227967,2672049334,101,1026,SRX6441361,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095345,SAMN12273951,simple,562,Escherichia coli,GSM3940505,GEO,SRA920914,07,2022,Makar,GLU4_without paraquat,WT_B_0PQ,GLU4_without paraquat,GLU4,,,GSM3940505
SRR9681160,10961888,2214301376,101,850,SRX6441362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095346,SAMN12273950,simple,562,Escherichia coli,GSM3940506,GEO,SRA920914,07,2022,Makar,GLU4_250uM Paraquat,WT_B_PQ,GLU4_250uM Paraquat,GLU4,250uM Paraquat,20mins,GSM3940506
SRR9681161,6586696,665256296,101,231,SRX6441363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095348,SAMN12273949,simple,562,Escherichia coli,GSM3940507,GEO,SRA920914,07,2022,Makar,MP_250uM Paraquat,MP_A_ribo,MP_250uM Paraquat,MP,250uM Paraquat,20mins,GSM3940507
SRR9681162,7826377,790464077,101,274,SRX6441364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095347,SAMN12273948,simple,562,Escherichia coli,GSM3940508,GEO,SRA920914,07,2022,Makar,MP_250uM Paraquat,MP_B_ribo,MP_250uM Paraquat,MP,250uM Paraquat,20mins,GSM3940508
SRR9681163,10902902,1101193102,101,391,SRX6441365,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095349,SAMN12273947,simple,562,Escherichia coli,GSM3940509,GEO,SRA920914,07,2022,Makar,PQ2_without paraquat,PQ2A_0PQ_ribo,PQ2_without paraquat,PQ2,,,GSM3940509
SRR9681164,19780663,1997846963,101,734,SRX6441366,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095350,SAMN12273946,simple,562,Escherichia coli,GSM3940510,GEO,SRA920914,07,2022,Makar,PQ2_250uM Paraquat,PQ2A_PQ_ribo,PQ2_250uM Paraquat,PQ2,250uM Paraquat,20mins,GSM3940510
SRR9681165,10158357,1025994057,101,362,SRX6441367,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095351,SAMN12273924,simple,562,Escherichia coli,GSM3940511,GEO,SRA920914,07,2022,Makar,PQ2_without paraquat,PQ2B_0PQ_ribo,PQ2_without paraquat,PQ2,,,GSM3940511
SRR9681166,15622185,1577840685,101,568,SRX6441368,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095352,SAMN12273923,simple,562,Escherichia coli,GSM3940512,GEO,SRA920914,07,2022,Makar,PQ2_250uM Paraquat,PQ2B_PQ_ribo,PQ2_250uM Paraquat,PQ2,250uM Paraquat,20mins,GSM3940512
SRR9681167,10327217,1043048917,101,376,SRX6441369,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095353,SAMN12273922,simple,562,Escherichia coli,GSM3940513,GEO,SRA920914,07,2022,Makar,GLU4_without paraquat,WT_A_0PQ_ribo,GLU4_without paraquat,GLU4,,,GSM3940513
SRR9681168,14703557,588142280,40,201,SRX6441370,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095354,SAMN12273920,simple,562,Escherichia coli,GSM3940514,GEO,SRA920914,07,2022,Makar,GLU4_250uM Paraquat,WT_A_PQ_ribo,GLU4_250uM Paraquat,GLU4,250uM Paraquat,20mins,GSM3940514
SRR9681169,9745331,984278431,101,355,SRX6441371,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095355,SAMN12273929,simple,562,Escherichia coli,GSM3940515,GEO,SRA920914,07,2022,Makar,GLU4_without paraquat,WT_B_0PQ_ribo,GLU4_without paraquat,GLU4,,,GSM3940515
SRR9681170,15236245,609449800,40,207,SRX6441372,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095356,SAMN12273928,simple,562,Escherichia coli,GSM3940516,GEO,SRA920914,07,2022,Makar,GLU4_250uM Paraquat,WT_B_PQ_ribo,GLU4_250uM Paraquat,GLU4,250uM Paraquat,20mins,GSM3940516
