Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype/variation,treatment,molecule subtype,GEO Accession
SRR9295899,34529294,2624226344,76,1422,SRX6065279,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966428,SAMN12050139,simple,9606,Homo sapiens,GSM3889087,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1",93C: larp1sko_torin_RPF_rep1,"HEK-293T, sgLARP1",HEK-293T,sgLARP1,Torin 1,,GSM3889087
SRR9295900,31869106,2422052056,76,1305,SRX6065280,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966429,SAMN12050138,simple,9606,Homo sapiens,GSM3889088,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1",93C: larp1sko_torin_RPF_rep2,"HEK-293T, sgLARP1",HEK-293T,sgLARP1,Torin 1,,GSM3889088
SRR9295901,19193682,1458719832,76,789,SRX6065281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966430,SAMN12050137,simple,9606,Homo sapiens,GSM3889089,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1",93C: larp1sko_dmso_RNA_rep1,"HEK-293T, sgLARP1",HEK-293T,sgLARP1,DMSO,,GSM3889089
SRR9295902,18026018,1369977368,76,734,SRX6065282,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966431,SAMN12050133,simple,9606,Homo sapiens,GSM3889090,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1",93C: larp1sko_dmso_RNA_rep2,"HEK-293T, sgLARP1",HEK-293T,sgLARP1,DMSO,,GSM3889090
SRR9295903,18151857,1379541132,76,742,SRX6065283,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966432,SAMN12050132,simple,9606,Homo sapiens,GSM3889091,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1",93C: larp1sko_torin_RNA_rep1,"HEK-293T, sgLARP1",HEK-293T,sgLARP1,Torin 1,,GSM3889091
SRR9295904,15252644,1159200944,76,622,SRX6065284,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966433,SAMN12050131,simple,9606,Homo sapiens,GSM3889092,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1",93C: larp1sko_torin_RNA_rep2,"HEK-293T, sgLARP1",HEK-293T,sgLARP1,Torin 1,,GSM3889092
SRR9295905,45596529,1291596657,28,1518,SRX6065285,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966434,SAMN12050136,simple,9606,Homo sapiens,GSM3889093,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1+sgLARP1B",LP: larp1dko_dmso_RPF_rep1,"HEK-293T, sgLARP1+sgLARP1B",HEK-293T,sgLARP1/1B,DMSO,,GSM3889093
SRR9295906,29782007,832384232,27,992,SRX6065286,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966435,SAMN12050135,simple,9606,Homo sapiens,GSM3889094,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1+sgLARP1B",LP: larp1dko_dmso_RPF_rep2,"HEK-293T, sgLARP1+sgLARP1B",HEK-293T,sgLARP1/1B,DMSO,,GSM3889094
SRR9295907,26583487,744805527,28,887,SRX6065287,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966436,SAMN12050134,simple,9606,Homo sapiens,GSM3889095,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1+sgLARP1B",LP: larp1dko_torin_RPF_rep1,"HEK-293T, sgLARP1+sgLARP1B",HEK-293T,sgLARP1/1B,Torin 1,,GSM3889095
SRR9295908,19997171,545750656,27,664,SRX6065288,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966437,SAMN12050156,simple,9606,Homo sapiens,GSM3889096,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1+sgLARP1B",LP: larp1dko_torin_RPF_rep2,"HEK-293T, sgLARP1+sgLARP1B",HEK-293T,sgLARP1/1B,Torin 1,,GSM3889096
SRR9295909,21110343,1604386068,76,712,SRX6065289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966438,SAMN12050155,simple,9606,Homo sapiens,GSM3889097,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1+sgLARP1B",LP: larp1dko_dmso_RNA_rep1,"HEK-293T, sgLARP1+sgLARP1B",HEK-293T,sgLARP1/1B,DMSO,,GSM3889097
SRR9295910,18308245,1391426620,76,627,SRX6065290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966439,SAMN12050154,simple,9606,Homo sapiens,GSM3889098,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1+sgLARP1B",LP: larp1dko_dmso_RNA_rep2,"HEK-293T, sgLARP1+sgLARP1B",HEK-293T,sgLARP1/1B,DMSO,,GSM3889098
SRR9295911,15504084,1178310384,76,530,SRX6065291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966440,SAMN12050153,simple,9606,Homo sapiens,GSM3889099,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1+sgLARP1B",LP: larp1dko_torin_RNA_rep1,"HEK-293T, sgLARP1+sgLARP1B",HEK-293T,sgLARP1/1B,Torin 1,,GSM3889099
SRR9295912,18884748,1435240848,76,645,SRX6065292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966441,SAMN12050152,simple,9606,Homo sapiens,GSM3889100,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1+sgLARP1B",LP: larp1dko_torin_RNA_rep2,"HEK-293T, sgLARP1+sgLARP1B",HEK-293T,sgLARP1/1B,Torin 1,,GSM3889100
SRR10382043,9462862,268459507,28,479,SRX7082853,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS5598475,SAMN13174472,simple,9606,Homo sapiens,GSM4146393,GEO,SRA898897,02,2020,Philippe,RPF from sgLARP1+sgLARP1B HEK-293T cells treated with DMSO for 2h,larp1dko_dmso_RPF_rep1_reseq,RPF from sgLARP1+sgLARP1B HEK-293T cells treated with DMSO for 2h,HEK-293T,sgLARP1+sgLARP1B,DMSO for 2h,RNA (RPFs),GSM4146393
SRR10382044,6183973,173188073,28,315,SRX7082854,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS5598476,SAMN13174471,simple,9606,Homo sapiens,GSM4146394,GEO,SRA898897,02,2020,Philippe,RPF from sgLARP1+sgLARP1B HEK-293T cells treated with DMSO for 2h,larp1dko_dmso_RPF_rep2_reseq,RPF from sgLARP1+sgLARP1B HEK-293T cells treated with DMSO for 2h,HEK-293T,sgLARP1+sgLARP1B,DMSO for 2h,RNA (RPFs),GSM4146394
SRR10382045,5523452,155068432,28,282,SRX7082855,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS5598477,SAMN13174470,simple,9606,Homo sapiens,GSM4146395,GEO,SRA898897,02,2020,Philippe,RPF from sgLARP1+sgLARP1B HEK-293T cells treated with 250 nM Torin 1 for 2h,larp1dko_torin_RPF_rep1_reseq,RPF from sgLARP1+sgLARP1B HEK-293T cells treated with 250 nM Torin 1 for 2h,HEK-293T,sgLARP1+sgLARP1B,250 nM Torin 1 for 2h,RNA (RPFs),GSM4146395
SRR10382046,4144329,113284450,27,210,SRX7082856,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS5598478,SAMN13174469,simple,9606,Homo sapiens,GSM4146396,GEO,SRA898897,02,2020,Philippe,RPF from sgLARP1+sgLARP1B HEK-293T cells treated with 250 nM Torin 1 for 2h,larp1dko_torin_RPF_rep2_reseq,RPF from sgLARP1+sgLARP1B HEK-293T cells treated with 250 nM Torin 1 for 2h,HEK-293T,sgLARP1+sgLARP1B,250 nM Torin 1 for 2h,RNA (RPFs),GSM4146396
