Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,time,treatment,GEO Accession
SRR8891617,149265178,23882428480,80,8631,SRX5676966,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618343,SAMN11408168,simple,9606,Homo sapiens,GSM3721657,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-6h-Tunicamycin-R3 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,6 h,tunicamycin,GSM3721666
SRR8891618,148892046,23822727360,80,9136,SRX5676967,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618344,SAMN11408167,simple,9606,Homo sapiens,GSM3721658,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-2h-Thapsigargin-R1 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,6 h,tunicamycin,GSM3721667
SRR8891619,103014855,16482376800,80,6872,SRX5676967,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618344,SAMN11408167,simple,9606,Homo sapiens,GSM3721658,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-2h-Thapsigargin-R1 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,6 h,tunicamycin,GSM3721668
SRR8891620,175259826,28041572160,80,10978,SRX5676968,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618345,SAMN11408166,simple,9606,Homo sapiens,GSM3721659,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-6h-Thapsigargin-R1 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,2 h,thapsigargin,GSM3721669
SRR8891621,128524536,20563925760,80,8666,SRX5676968,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618345,SAMN11408166,simple,9606,Homo sapiens,GSM3721659,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-6h-Thapsigargin-R1 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,6 h,thapsigargin,GSM3721670
SRR8891622,213472650,10887105150,51,7301,SRX5676969,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618347,SAMN11408165,simple,9606,Homo sapiens,GSM3721660,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-untreated-GCCAAT-R1 (Ribo-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,0 h,untreated,GSM3721649
SRR8891623,92070440,5800437720,63,1737,SRX5676970,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618346,SAMN11408164,simple,9606,Homo sapiens,GSM3721661,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-untreated-GCCAAT-R2 (Ribo-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,0 h,untreated,GSM3721650
SRR8891624,104025631,6553614753,63,1840,SRX5676971,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618348,SAMN11408163,simple,9606,Homo sapiens,GSM3721662,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-untreated-GCCAAT-R3 (Ribo-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,0 h,untreated,GSM3721651
SRR8891625,184891958,9429489858,51,6136,SRX5676972,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618350,SAMN11408162,simple,9606,Homo sapiens,GSM3721663,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-2h-Tunicamycin-AGGAAT-R1 (Ribo-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,2 h,tunicamycin,GSM3721652
SRR8891626,111090661,6998711643,63,2112,SRX5676973,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618349,SAMN11408161,simple,9606,Homo sapiens,GSM3721664,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-2h-Tunicamycin-AGGAAT-R2 (Ribo-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,2 h,tunicamycin,GSM3721653
SRR8891627,85335062,5376108906,63,1528,SRX5676974,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618351,SAMN11408160,simple,9606,Homo sapiens,GSM3721665,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-2h-Tunicamycin-AGGAAT-R3 (Ribo-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,2 h,tunicamycin,GSM3721654
SRR8891628,135312177,6900921027,51,4341,SRX5676975,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618353,SAMN11408159,simple,9606,Homo sapiens,GSM3721666,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-6h-Tunicamycin-GAATGA-R1 (Ribo-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,6 h,tunicamycin,GSM3721655
SRR8891629,118524938,7467071094,63,2128,SRX5676976,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618352,SAMN11408158,simple,9606,Homo sapiens,GSM3721667,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-6h-Tunicamycin-GAATGA-R2 (Ribo-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,6 h,tunicamycin,GSM3721656
SRR8891630,116717218,7236467516,62,2037,SRX5676977,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618354,SAMN11408157,simple,9606,Homo sapiens,GSM3721668,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-6h-Tunicamycin-GAATGA-R3 (Ribo-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,6 h,tunicamycin,GSM3721657
SRR8891631,144618740,7375555740,51,4755,SRX5676978,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618355,SAMN11408156,simple,9606,Homo sapiens,GSM3721669,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-2h-Thapsigargin-TACAAG (Ribo-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,2 h,thapsigargin,GSM3721658
SRR8891632,163239539,8325216489,51,5441,SRX5676979,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618356,SAMN11408177,simple,9606,Homo sapiens,GSM3721670,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-6h-Thapsigargin-GCTCAT (Ribo-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,6 h,thapsigargin,GSM3721659
