Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,rna type,GEO Accession
SRR1802140,26989572,1376468172,51,857,SRX876057,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844812,SAMN03342119,simple,9606,Homo sapiens,GSM1608279,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcTAM01hr_chx_rep2,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Ribosome protected fragments,GSM1608279
SRR1802141,28537500,1455412500,51,902,SRX876058,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844813,SAMN03342115,simple,9606,Homo sapiens,GSM1608280,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcTAM04hr_chx_rep2,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Ribosome protected fragments,GSM1608280
SRR1802142,27874626,1421605926,51,882,SRX876059,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844811,SAMN03342114,simple,9606,Homo sapiens,GSM1608281,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcTAM24hr_chx_rep2,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Ribosome protected fragments,GSM1608281
SRR1802143,11100542,566127642,51,345,SRX876060,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844810,SAMN03342108,simple,9606,Homo sapiens,GSM1608282,GEO,SRA240809,11,2015,Ji,Fibroblast cell,EH_rna,Fibroblast cell,BJ,Fibroblast,Total RNA,GSM1608282
SRR1802144,9728963,496177113,51,301,SRX876061,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844809,SAMN03342117,simple,9606,Homo sapiens,GSM1608283,GEO,SRA240809,11,2015,Ji,Fibroblast cell,EL_rna,Fibroblast cell,BJ,Fibroblast,Total RNA,GSM1608283
SRR1802145,10524774,536763474,51,324,SRX876062,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844806,SAMN03342103,simple,9606,Homo sapiens,GSM1608284,GEO,SRA240809,11,2015,Ji,Fibroblast cell,ELR_rna,Fibroblast cell,BJ,Fibroblast,Total RNA,GSM1608284
SRR1802146,15587252,794949852,51,495,SRX876063,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844807,SAMN03342131,simple,9606,Homo sapiens,GSM1608285,GEO,SRA240809,11,2015,Ji,Fibroblast cell,EH_chx_rep1,Fibroblast cell,BJ,Fibroblast,Ribosome protected fragments,GSM1608285
SRR1802147,18859600,961839600,51,596,SRX876064,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844805,SAMN03342104,simple,9606,Homo sapiens,GSM1608286,GEO,SRA240809,11,2015,Ji,Fibroblast cell,EL_chx_rep1,Fibroblast cell,BJ,Fibroblast,Ribosome protected fragments,GSM1608286
SRR1802148,18414413,939135063,51,585,SRX876065,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844808,SAMN03342130,simple,9606,Homo sapiens,GSM1608287,GEO,SRA240809,11,2015,Ji,Fibroblast cell,ELR_chx_rep1,Fibroblast cell,BJ,Fibroblast,Ribosome protected fragments,GSM1608287
SRR1802149,18911710,964497210,51,604,SRX876066,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844804,SAMN03342109,simple,9606,Homo sapiens,GSM1608288,GEO,SRA240809,11,2015,Ji,Fibroblast cell,EH_harr_rep1,Fibroblast cell,BJ,Fibroblast,Ribosome protected fragments,GSM1608288
SRR1802150,16962098,865066998,51,543,SRX876067,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844803,SAMN03342124,simple,9606,Homo sapiens,GSM1608289,GEO,SRA240809,11,2015,Ji,Fibroblast cell,EL_harr_rep1,Fibroblast cell,BJ,Fibroblast,Ribosome protected fragments,GSM1608289
SRR1802151,17162794,875302494,51,547,SRX876068,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844802,SAMN03342127,simple,9606,Homo sapiens,GSM1608290,GEO,SRA240809,11,2015,Ji,Fibroblast cell,ELR_harr_rep1,Fibroblast cell,BJ,Fibroblast,Ribosome protected fragments,GSM1608290
SRR1802152,14053737,716740587,51,411,SRX876069,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844800,SAMN03342106,simple,9606,Homo sapiens,GSM1608291,GEO,SRA240809,11,2015,Ji,Fibroblast cell,EH_chx_rep2,Fibroblast cell,BJ,Fibroblast,Ribosome protected fragments,GSM1608291
SRR1802153,18400100,938405100,51,537,SRX876070,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844801,SAMN03342105,simple,9606,Homo sapiens,GSM1608292,GEO,SRA240809,11,2015,Ji,Fibroblast cell,EL_chx_rep2,Fibroblast cell,BJ,Fibroblast,Ribosome protected fragments,GSM1608292
SRR1802154,14533146,741190446,51,428,SRX876071,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844799,SAMN03342123,simple,9606,Homo sapiens,GSM1608293,GEO,SRA240809,11,2015,Ji,Fibroblast cell,ELR_chx_rep2,Fibroblast cell,BJ,Fibroblast,Ribosome protected fragments,GSM1608293
SRR1802155,19514203,995224353,51,577,SRX876072,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844798,SAMN03342129,simple,9606,Homo sapiens,GSM1608294,GEO,SRA240809,11,2015,Ji,Fibroblast cell,EH_harr_rep2,Fibroblast cell,BJ,Fibroblast,Ribosome protected fragments,GSM1608294
SRR1802156,18307167,933665517,51,540,SRX876073,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844796,SAMN03342102,simple,9606,Homo sapiens,GSM1608295,GEO,SRA240809,11,2015,Ji,Fibroblast cell,EL_harr_rep2,Fibroblast cell,BJ,Fibroblast,Ribosome protected fragments,GSM1608295
SRR1802157,19647392,1002016992,51,575,SRX876074,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844797,SAMN03342116,simple,9606,Homo sapiens,GSM1608296,GEO,SRA240809,11,2015,Ji,Fibroblast cell,ELR_harr_rep2,Fibroblast cell,BJ,Fibroblast,Ribosome protected fragments,GSM1608296
