Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,strain,genotype,GEO Accession
SRR9029637,22311660,1137894660,51,374,SRX5807035,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736498,SAMN11604848,simple,10090,Mus musculus,GSM3755893,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_batch2_rep1,mESC_Trim71KO_batch2_rep1,mESC_WT_rep3,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5,GSM3755898
SRR9029638,22426828,1143768228,51,377,SRX5807035,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736498,SAMN11604848,simple,10090,Mus musculus,GSM3755893,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_batch2_rep1,mESC_Trim71KO_batch2_rep1,mESC_Trim71KO_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71-/-,GSM3755899
SRR9029639,24577636,1253459436,51,413,SRX5807036,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736499,SAMN11604847,simple,10090,Mus musculus,GSM3755894,GEO,SRA884331,08,2019,Welte,mESC_WT_batch2_rep2,mESC_WT_batch2_rep2,mESC_Trim71KO_rep2,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71-/-,GSM3755900
SRR9029640,24728359,1261146309,51,417,SRX5807036,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736499,SAMN11604847,simple,10090,Mus musculus,GSM3755894,GEO,SRA884331,08,2019,Welte,mESC_WT_batch2_rep2,mESC_WT_batch2_rep2,mESC_Trim71KO_rep3,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71-/-,GSM3755901
SRR9029641,24677410,1258547910,51,415,SRX5807037,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736500,SAMN11604846,simple,10090,Mus musculus,GSM3755895,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_batch2_rep2,mESC_Trim71KO_batch2_rep2,mESC_Trim71RING_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71C12AC15A/C12AC15A,GSM3755902
SRR9029642,24793715,1264479465,51,418,SRX5807037,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736500,SAMN11604846,simple,10090,Mus musculus,GSM3755895,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_batch2_rep2,mESC_Trim71KO_batch2_rep2,mESC_Trim71RING_rep2,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71C12AC15A/C12AC15A,GSM3755903
SRR9029643,22185613,1131466263,51,368,SRX5807038,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736501,SAMN11604845,simple,10090,Mus musculus,GSM3755896,GEO,SRA884331,08,2019,Welte,mESC_WT_rep1,mESC_WT_rep1,mESC_Trim71RING_rep3,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71C12AC15A/C12AC15A,GSM3755904
SRR9029644,22280805,1136321055,51,370,SRX5807038,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736501,SAMN11604845,simple,10090,Mus musculus,GSM3755896,GEO,SRA884331,08,2019,Welte,mESC_WT_rep1,mESC_WT_rep1,mESC_Trim71NHL_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71R738A/R738A,GSM3755905
SRR9029645,22393346,1142060646,51,374,SRX5807039,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736502,SAMN11604844,simple,10090,Mus musculus,GSM3755897,GEO,SRA884331,08,2019,Welte,mESC_WT_rep2,mESC_WT_rep2,mESC_Trim71NHL_rep2,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71R738A/R738A,GSM3755906
SRR9029646,22500112,1147505712,51,376,SRX5807039,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736502,SAMN11604844,simple,10090,Mus musculus,GSM3755897,GEO,SRA884331,08,2019,Welte,mESC_WT_rep2,mESC_WT_rep2,mESC_Trim71NHL_rep3,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71R738A/R738A,GSM3755907
SRR9029647,22067302,1125432402,51,370,SRX5807040,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736503,SAMN11604842,simple,10090,Mus musculus,GSM3755898,GEO,SRA884331,08,2019,Welte,mESC_WT_rep3,mESC_WT_rep3,mESC_WT_LIF_exp1_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5,GSM3755908
SRR9029648,22158048,1130060448,51,371,SRX5807040,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736503,SAMN11604842,simple,10090,Mus musculus,GSM3755898,GEO,SRA884331,08,2019,Welte,mESC_WT_rep3,mESC_WT_rep3,mESC_Trim71KO_LIF_exp1_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71-/-,GSM3755909
SRR9029649,23713329,1209379779,51,394,SRX5807041,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736504,SAMN11604841,simple,10090,Mus musculus,GSM3755899,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_rep1,mESC_Trim71KO_rep1,mESC_WT_LIF_exp2_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5,GSM3755910
SRR9029650,23818731,1214755281,51,396,SRX5807041,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736504,SAMN11604841,simple,10090,Mus musculus,GSM3755899,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_rep1,mESC_Trim71KO_rep1,mESC_WT_LIF_exp2_rep2,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5,GSM3755911
SRR9029651,22691451,1157264001,51,377,SRX5807042,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736505,SAMN11604840,simple,10090,Mus musculus,GSM3755900,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_rep2,mESC_Trim71KO_rep2,mESC_Trim71KO_LIF_exp2_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71-/-,GSM3755912
SRR9029652,22798919,1162744869,51,379,SRX5807042,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736505,SAMN11604840,simple,10090,Mus musculus,GSM3755900,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_rep2,mESC_Trim71KO_rep2,mESC_Trim71KO_LIF_exp2_rep2,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71-/-,GSM3755913
SRR9029653,22525572,1148804172,51,375,SRX5807043,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736506,SAMN11604838,simple,10090,Mus musculus,GSM3755901,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_rep3,mESC_Trim71KO_rep3,mESC_Trim71NHL_LIF_exp2_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71R738A/R738A,GSM3755914
SRR9029654,22635774,1154424474,51,377,SRX5807043,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736506,SAMN11604838,simple,10090,Mus musculus,GSM3755901,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_rep3,mESC_Trim71KO_rep3,mESC_Trim71NHL_LIF_exp2_rep2,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71R738A/R738A,GSM3755915
SRR9029655,21854971,1114603521,51,364,SRX5807044,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736507,SAMN11604837,simple,10090,Mus musculus,GSM3755902,GEO,SRA884331,08,2019,Welte,mESC_Trim71RING_rep1,mESC_Trim71RING_rep1,mESC_Trim71RING_LIF_exp2_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71C12AC15A/C12AC15A,GSM3755916
SRR9029656,21959143,1119916293,51,366,SRX5807044,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736507,SAMN11604837,simple,10090,Mus musculus,GSM3755902,GEO,SRA884331,08,2019,Welte,mESC_Trim71RING_rep1,mESC_Trim71RING_rep1,mESC_Trim71RING_LIF_exp2_rep2,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71C12AC15A/C12AC15A,GSM3755917
SRR9029657,23309508,1188784908,51,386,SRX5807045,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736508,SAMN11604884,simple,10090,Mus musculus,GSM3755903,GEO,SRA884331,08,2019,Welte,mESC_Trim71RING_rep2,mESC_Trim71RING_rep2,Ne4C_WT_exp1_rep1,Ne4C,CRL-2925,-,GSM3755918
SRR9029658,23412033,1194013683,51,388,SRX5807045,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736508,SAMN11604884,simple,10090,Mus musculus,GSM3755903,GEO,SRA884331,08,2019,Welte,mESC_Trim71RING_rep2,mESC_Trim71RING_rep2,Ne4C_WT_exp1_rep2,Ne4C,CRL-2925,-,GSM3755919
SRR9029659,21013926,1071710226,51,351,SRX5807046,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736509,SAMN11604883,simple,10090,Mus musculus,GSM3755904,GEO,SRA884331,08,2019,Welte,mESC_Trim71RING_rep3,mESC_Trim71RING_rep3,Ne4C_WT_exp1_rep3,Ne4C,CRL-2925,-,GSM3755920
SRR9029660,21104443,1076326593,51,353,SRX5807046,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736509,SAMN11604883,simple,10090,Mus musculus,GSM3755904,GEO,SRA884331,08,2019,Welte,mESC_Trim71RING_rep3,mESC_Trim71RING_rep3,Ne4C_Trim71KO_exp1_rep1,Ne4C,CRL-2925,TRIM71-/-,GSM3755921
SRR9029661,22105925,1127402175,51,367,SRX5807047,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736510,SAMN11604881,simple,10090,Mus musculus,GSM3755905,GEO,SRA884331,08,2019,Welte,mESC_Trim71NHL_rep1,mESC_Trim71NHL_rep1,Ne4C_Trim71KO_exp1_rep2,Ne4C,CRL-2925,TRIM71-/-,GSM3755922
SRR9029662,22206554,1132534254,51,369,SRX5807047,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736510,SAMN11604881,simple,10090,Mus musculus,GSM3755905,GEO,SRA884331,08,2019,Welte,mESC_Trim71NHL_rep1,mESC_Trim71NHL_rep1,Ne4C_Trim71KO_exp1_rep3,Ne4C,CRL-2925,TRIM71-/-,GSM3755923
SRR9029663,22945288,1170209688,51,382,SRX5807048,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736511,SAMN11604879,simple,10090,Mus musculus,GSM3755906,GEO,SRA884331,08,2019,Welte,mESC_Trim71NHL_rep2,mESC_Trim71NHL_rep2,Ne4C_WT_exp2_rep1,Ne4C,CRL-2925,-,GSM3755924
SRR9029664,23051222,1175612322,51,384,SRX5807048,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736511,SAMN11604879,simple,10090,Mus musculus,GSM3755906,GEO,SRA884331,08,2019,Welte,mESC_Trim71NHL_rep2,mESC_Trim71NHL_rep2,Ne4C_WT_exp2_rep2,Ne4C,CRL-2925,-,GSM3755925
SRR9029665,23482432,1197604032,51,391,SRX5807049,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736512,SAMN11604878,simple,10090,Mus musculus,GSM3755907,GEO,SRA884331,08,2019,Welte,mESC_Trim71NHL_rep3,mESC_Trim71NHL_rep3,Ne4C_WT_exp2_rep3,Ne4C,CRL-2925,-,GSM3755926
SRR9029666,23595949,1203393399,51,393,SRX5807049,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736512,SAMN11604878,simple,10090,Mus musculus,GSM3755907,GEO,SRA884331,08,2019,Welte,mESC_Trim71NHL_rep3,mESC_Trim71NHL_rep3,Ne4C_Trim71KO_exp2_rep1,Ne4C,CRL-2925,TRIM71-/-,GSM3755927
SRR9029667,12703116,647858916,51,221,SRX5807050,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736513,SAMN11604877,simple,10090,Mus musculus,GSM3755908,GEO,SRA884331,08,2019,Welte,mESC_WT_LIF_exp1_rep1,mESC_WT_LIF_exp1_rep1,Ne4C_Trim71KO_exp2_rep2,Ne4C,CRL-2925,TRIM71-/-,GSM3755928
SRR9029668,12688008,647088408,51,220,SRX5807050,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736513,SAMN11604877,simple,10090,Mus musculus,GSM3755908,GEO,SRA884331,08,2019,Welte,mESC_WT_LIF_exp1_rep1,mESC_WT_LIF_exp1_rep1,Ne4C_Trim71KO_exp2_rep3,Ne4C,CRL-2925,TRIM71-/-,GSM3755929
SRR9029669,12748037,650149887,51,220,SRX5807050,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736513,SAMN11604877,simple,10090,Mus musculus,GSM3755908,GEO,SRA884331,08,2019,Welte,mESC_WT_LIF_exp1_rep1,mESC_WT_LIF_exp1_rep1,Ne4C_WT_exp3_rep1,Ne4C,CRL-2925,-,GSM3755930
SRR9029670,12719888,648714288,51,221,SRX5807050,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736513,SAMN11604877,simple,10090,Mus musculus,GSM3755908,GEO,SRA884331,08,2019,Welte,mESC_WT_LIF_exp1_rep1,mESC_WT_LIF_exp1_rep1,Ne4C_WT_exp3_rep2,Ne4C,CRL-2925,-,GSM3755931
SRR9029671,11210408,571730808,51,194,SRX5807051,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736514,SAMN11604875,simple,10090,Mus musculus,GSM3755909,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_LIF_exp1_rep1,mESC_Trim71KO_LIF_exp1_rep1,Ne4C_Trim71KO_exp3_rep1,Ne4C,CRL-2925,TRIM71-/-,GSM3755932
SRR9029672,11198667,571132017,51,193,SRX5807051,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736514,SAMN11604875,simple,10090,Mus musculus,GSM3755909,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_LIF_exp1_rep1,mESC_Trim71KO_LIF_exp1_rep1,Ne4C_Trim71KO_exp3_rep2,Ne4C,CRL-2925,TRIM71-/-,GSM3755933
SRR9029673,11244807,573485157,51,194,SRX5807051,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736514,SAMN11604875,simple,10090,Mus musculus,GSM3755909,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_LIF_exp1_rep1,mESC_Trim71KO_LIF_exp1_rep1,Huh7_WT_rep1,Huh-7,JCRB0403,-,GSM3755934
SRR9029674,11229741,572716791,51,195,SRX5807051,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736514,SAMN11604875,simple,10090,Mus musculus,GSM3755909,GEO,SRA884331,08,2019,Welte,mESC_Trim71KO_LIF_exp1_rep1,mESC_Trim71KO_LIF_exp1_rep1,Huh7_WT_rep2,Huh-7,JCRB0403,-,GSM3755935
SRR9029675,8621357,439689207,51,142,SRX5807052,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736515,SAMN11604873,simple,10090,Mus musculus,GSM3755910,GEO,SRA884331,08,2019,Welte,mESC_WT_LIF_exp2_rep1,mESC_WT_LIF_exp2_rep1,Huh7_WT_rep3,Huh-7,JCRB0403,-,GSM3755936
SRR9029676,8832139,450439089,51,146,SRX5807052,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736515,SAMN11604873,simple,10090,Mus musculus,GSM3755910,GEO,SRA884331,08,2019,Welte,mESC_WT_LIF_exp2_rep1,mESC_WT_LIF_exp2_rep1,Huh7_Trim71KO_rep1,Huh-7,JCRB0403,TRIM71 -/-,GSM3755937
SRR9029677,8824300,450039300,51,145,SRX5807052,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736515,SAMN11604873,simple,10090,Mus musculus,GSM3755910,GEO,SRA884331,08,2019,Welte,mESC_WT_LIF_exp2_rep1,mESC_WT_LIF_exp2_rep1,Huh7_Trim71KO_rep2,Huh-7,JCRB0403,TRIM71 -/-,GSM3755938
SRR9029678,8802540,448929540,51,145,SRX5807052,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736515,SAMN11604873,simple,10090,Mus musculus,GSM3755910,GEO,SRA884331,08,2019,Welte,mESC_WT_LIF_exp2_rep1,mESC_WT_LIF_exp2_rep1,Huh7_Trim71KO_rep3,Huh-7,JCRB0403,TRIM71 -/-,GSM3755939
SRR9029679,8797031,448648581,51,145,SRX5807052,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736515,SAMN11604873,simple,10090,Mus musculus,GSM3755910,GEO,SRA884331,08,2019,Welte,mESC_WT_LIF_exp2_rep1,mESC_WT_LIF_exp2_rep1,mESC_rpf_WT_batch1_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5,GSM3755940
SRR9029680,8587766,437976066,51,141,SRX5807053,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP197096,PRJNA541924,31371437,"",SRS4736516,SAMN11604871,simple,10090,Mus musculus,GSM3755911,GEO,SRA884331,08,2019,Welte,mESC_WT_LIF_exp2_rep2,mESC_WT_LIF_exp2_rep2,mESC_rpf_Trim71KO_batch1_rep1,mESC,(129xC57BL/6),Rosa26Cre-ERT2/BirA-V5 TRIM71-/-,GSM3755941
